GSE22155_02,GSE91061,GSE22155_47,TCGA-SKCM,GSE35640,GSE22155_02|GSE91061,GSE22155_02|GSE22155_47,GSE22155_02|GSE35640,GSE91061|GSE22155_47,GSE91061|GSE35640,GSE22155_47|GSE35640,TCGA-SKCM|GSE35640,GSE22155_02|GSE91061|GSE22155_47,GSE22155_02|GSE91061|GSE35640,GSE22155_02|GSE22155_47|GSE35640,GSE91061|GSE22155_47|GSE35640,GSE22155_02|GSE91061|GSE22155_47|GSE35640,GSE61992,GSE35640|GSE61992,GSE22155_47|GSE61992,GSE22155_47|GSE35640|GSE61992,GSE91061|GSE61992,GSE91061|GSE35640|GSE61992,GSE91061|GSE22155_47|GSE61992,GSE91061|GSE22155_47|GSE35640|GSE61992,GSE22155_02|GSE61992,GSE22155_02|GSE35640|GSE61992,GSE22155_02|GSE22155_47|GSE61992,GSE22155_02|GSE22155_47|GSE35640|GSE61992,GSE22155_02|GSE91061|GSE61992,GSE22155_02|GSE91061|GSE35640|GSE61992,GSE22155_02|GSE91061|GSE22155_47|GSE61992,GSE22155_02|GSE91061|GSE22155_47|GSE35640|GSE61992
ASS1,ATG7,GEMIN4,SPANXD,SNORA21,EHD2,GALNT15,ADGRF5,ARL11,SLC29A3,EPM2AIP1,CXCL3,RSPO3,CD248,ADRB2,CD180,FAM162B,LINC00938,NACA4P,GABARAPL1,TCEAL8,HVCN1,ADA2,TMEM170A,CD86,TRPC6,GIMAP8,SCRIB,ANGPTL2,RASL11A,GIMAP7,ZBTB44,GIMAP1
CCDC85A,ACP5,KPNA1,AKTIPP2,RPS11,SYNC,CCDC68,TAL1,PLBD1,LIPA,DOK4,,CCDC92,ST6GALNAC6,DEPP1,SUSD1,JAM2,METAP2,RPL24,CHKA,PIF1,SLC15A3,C3AR1,ZNF564,IKZF1,CCDC107,SH3D19,TICRR,,TLN1,CYYR1,,GIMAP4
LTC4S,TBXAS1,CTBS,MRPS21P5,RPL41,CCDC170,SYBU,PDE2A,ERMAP,TM6SF1,PURA,,C1QTNF7,LRP1,NFKBIA,LILRA2,VCL,TSPAN32,RPS25,CDC20,MYL12B,FLVCR2,CD84,SAPCD2,RNF13,PTH1R,TNFRSF1B,CEP131,,SGCG,FLI1,,IL1R1
ACO1,CD68,DDX23,RNA5SP162,RPL41P1,CDH23,REM1,ZNF366,MGST2,IRF5,C19orf44,,GSTM5,VWF,PTGER4,BCAT1,CLEC3B,BBS12,RPL23A,EPHA2,CAPZA1,BMF,MAFB,DIP2A,AIF1,GRK5,LAMA2,,,GAS6,DOCK11,,SLC9A9
TM4SF4,RAB42,NTNG1,MIR518E,RPL41P2,CLDN5,FIS1,PTGER3,ACOT4,NAGK,HIBADH,,,FZD4,GLI2,HLA-DRB6,SYNPO2,CHN2,RPS4X,LHX8,GPR18,ARRDC4,HLA-DMB,,TMEM144,PTPRB,MRTFB,,,CPE,ATP8B4,,MAN1A1
GPIHBP1,CD300C,CSRNP3,TRBV29OR9-2,RPL41P5,DHRS3,CTF1,NEXN,SCAMP1,TREM2,SLC30A7,,,EBF1,NXF1,PPT1,RCSD1,ZNF26,RPL21P28,AP3M2,ABHD10,IFNAR1,LAPTM5,,KCNMA1,GKAP1,AGTR1,,,TESK1,LMO2,,ABI3BP
EGFL7,PIK3R6,SHROOM2,COL6A2-DT,SNORD54,ENG,MCM3,MECOM,SCARNA9,NFAM1,B3GALNT1,,,TEK,CYB5D1,ID2,NUAK1,ENTR1,LSM14A,SLC25A25-AS1,POGLUT1,TMEM156,CTSS,,MAP2K4,CFAP69,CAVIN2,,,CYBRD1,PLCL2,,KIAA1217
CCM2L,SLC37A2,CREBRF,MIR153-1,HNRNPA1P35,ARHGEF15,,AKR1C3,CD82,PSAP,GOLPH3L,,,GGT5,PDE12,MAP3K2,SMOC2,IFT57,RGS18,SNAPC4,,GSAP,NCKAP1L,,DIPK2A,CYP46A1,TMT1A,,,PAK4,MBNL1,,KCTD12
MAOA,PLD3,NUDC,WNT5A-AS1,HNRNPA1P4,TLL1,,C1S,,PTAFR,MIER1,,,AOC3,,CD200R1,OLFML1,ZSCAN31,RPL22,CAND2,,MAPKAP1,IGSF6,,SVEP1,PCDH19,CACNA2D3,,,MAN1C1,TBX15,,YPEL5
