GSE22155_47,GSE91061,GSE22155_02,GSE61992,GSE35640,GSE22155_47|GSE91061,GSE22155_47|GSE22155_02,GSE22155_47|GSE61992,GSE22155_47|GSE35640,GSE91061|GSE22155_02,GSE91061|GSE61992,GSE91061|GSE35640,GSE22155_02|GSE61992,GSE22155_02|GSE35640,GSE61992|GSE35640,GSE22155_47|GSE91061|GSE22155_02,GSE22155_47|GSE91061|GSE35640,GSE22155_47|GSE22155_02|GSE35640,GSE91061|GSE22155_02|GSE61992,GSE91061|GSE22155_02|GSE35640,GSE91061|GSE61992|GSE35640,GSE22155_47|GSE91061|GSE22155_02|GSE35640
GEMIN4,RASGRP4,SLC29A2,FUCA2,SNORA21,ALAS1,MGLL,RTN4IP1,ARHGAP10,G0S2,FAM107B,RAB8B,ANKRD27,PSG9,PRR11,DGAT2,SIN3A,ACSS2,CEACAM1,PFKFB3,CFL1,MME
ENTPD5,N4BP1,CACHD1,REXO5,RPL41,ATOH8,AQP7,ADAMTS2,SUOX,BCL6,PIK3CG,NUMB,GSN,PDZRN3,VTI1B,GLUL,PIK3R1,BRI3BP,,FPR2,MTHFR,RNF181
RXRA,GPCPD1,CUTC,RBM4B,RPL41P1,PATL1,CDH23,,GPLD1,CPD,FCHO1,MKNK1,MGST1,PECR,TOMM70,CCDC69,NADK,DHTKD1,,LITAF,,
FANCC,SLC26A8,ARHGAP29,MEX3B,RPL41P2,TMOD3,ACADS,,SFXN5,LINC02649,ZNF586,BNIP2,NMT2,AKAP5,ECT2,PPP1R3D,CISH,FOXO1,,PELI1,,
TTC31,ELL,PROM1,TSPAN18,RPL41P5,PCBP2,LSR,,CYP2B6,RILPL2,H2BC11,GZF1,RASGRF1,PDHA1,IGF2BP2-AS1,,CRKL,PXDC1,,PADI4,,
LCAT,NAIP,GZMH,CDC20,NACA4P,FHIP1B,DCXR,,MTCH2,CASP5,VGLL3,NLRP3,,BHMT2,TICRR,,KCNJ15,ACACB,,SERPINB1,,
SLC16A2,SAMSN1,KRT8,DIPK1C,SNORD54,IL1RN,ECHS1,,IZUMO4,APOBEC3A,,TAGAP,,RPL10,MIPEP,,GOLGB1,AKAP1,,MOSPD2,,
MYO16,PIK3R5,ME1,TCN1,HNRNPA1P35,ZNF592,FZD5,,MEP1B,ACSL1,,RABGEF1,,GPAM,PLOD2,,MID1,CCDC68,,MAP1LC3B,,
TNS2,ZNF267,ACADL,DDX19B,HNRNPA1P4,MPP1,GGT1,,SLC22A1,IFNGR1,,C9orf72,,MCCC1,ATP5F1B,,ALDH9A1,,,PNPLA8,,
