GSE50509,GSE91061,GSE50509|GSE91061
TLN1,PAX5,CD79A
MXRA7,CLEC17A,CD19
CDK20,TNFRSF13C,VPREB3
NDRG3,TLR10,MGAT3
HTN1,FCRL2,GBA2
SCN1B,GPR18,FBXO10
HPN,POU2F2,FAM120AOS
FGF14-AS2,CNR2,TNFRSF13B
CLN8,FCRL1,UBAP1
RGP1,STAP1,TESK1
DCTN3,MS4A1,GNA12
SMIM11,BANK1,MED27
GPRC5C,TESPA1,ST6GALNAC4
FSTL3,SPIB,TOR4A
CCDC140,TMEM156,KLRB1
LZTS1,NIBAN3,TNFRSF17
C6orf132,ZC3H12D,POU2AF1
RAB3IL1,LTA,BLK
IL11RA,P2RX2,SLC25A42
FAM219A,CCR6,TMEM203
EXD3,MAP4K1,PDCD4-AS1
PHF24,RHOH,MZB1
INMT,GCSAM,MKRN1
TMPRSS9,ADGRG5,RAB11FIP1
ARL3,IKZF1,VAV2
KCNN3,P2RX5,PIM2
SIGLEC8,BACH2,PKIG
OPLAH,BEND4,FAM30A
CES4A,GAPT,RUNDC1
SHF,FCRL3,SEC16A
PCGF2,CLLU1,SYS1
FOXO4,CD22,CBX7
RUSC2,PPP1R16B,PSMA2
CREB3,IRF8,ZBTB5
TRIOBP,IRAG2,PHF2
GRTP1,SLAMF6,MRPL50
DDAH2,WDFY4,ASB16
GPR37L1,BTLA,FNBP1
DMRT3,SASH3,MXD4
NLGN3,SP140,MIR600HG
DMTN,CORO1A,PVRIG
GAS1,SEPTIN1,TOMM5
GRM3,P2RY10,VOPP1
ATOSB,INPP5D,SURF1
OBSCN,LCK,DERL3
PDGFD,KBTBD8,TMC8
C5orf58,CD40LG,CAMK1G
GSTM1,IKZF3,INTS9
LGI3,HVCN1,EAF2
EPHX2,NCR3,GZMM
RPS6KA2,TRAF3IP3,YPEL3
ANKRD34A,TSPOAP1-AS1,MAP2K7
MAP1LC3C,PTPN6,CXCR5
CLTA,TLR9,BTG2
GOLGA2,TREML2,SUSD3
LZTS3,BCL11A,MED22
PDE9A,LINC00926,SEMA4D
LRRC8A,AICDA,BRD3OS
KHDC1,CD3G,GNG7
SLC50A1,CARMIL2,PBXIP1
BCL2L1,PLCG2,HMGN2
ALG1L1P,GVINP1,PTK2B
MRAP2,IL17REL,SSNA1
DDTL,ZNF101,EML3
MANBAL,NLRC3,TTI2
EXOC3,LNROP,FERMT3
SLC2A9,AKNA,ZBTB7A
DNAJB5,PCED1B-AS1,GRAP2
FAM107A,GRAP,HCLS1
MTMR11,SHISAL2A,TXNDC11
F2,BTK,ELMO1
FBXO27,FCRL4,SETD6
SNX21,RGS13,PNOC
GSR,CR2,GALT
GLIPR2,PIK3CG,AGFG2
ALDH1B1,FCHO1,REXO4
DLGAP4,C12orf42,PCIF1
CRSP8P,LINC01501,ATP2A3
DAW1,SHISA8,PIK3IP1
MSRA,ACAP1,NELFB
ADIRF,DTX1,EEIG1
PCBP4,CCDC88C,SESN3
PAQR6,SNX29P2,PARVA
PRELP,BLNK,STAT5B
SNHG7,ARHGAP30,MAPKAPK2
ENTREP3,SLC12A3,QSOX2
DSTNP2,CARD11,FAM117A
PPP2R5B,C16orf54,EDF1
WWC1,CD180,SCAMP4
TMEM25,VAV3-AS1,LY9
RNF122,FCER2,PDPK1
PIGO,RAB37,CD79B
MYRF,LINC00487,CD3E
DRGX,PLD4,CTSW
PGPEP1,PCED1B,TMEM63A
BST2,CD27,RNF220
MGST1,ELL3,FCRL5
CACFD1,TRAC,BCAS4
LINC02897,TNFAIP8,TMEM131L
ATP1A2,CRIP3,CD37
GJC2,CCL21,WAS
LZTR1,DAPP1,ADD1
CRABP1,RASAL3,PACS1
SEMA4B,CD48,PTPRCAP
KCNMB4,DEF6,MIR155HG
CACNA1I,PARP15,TBC1D10C
MRGPRF,CDC42SE2,PTGDS
SIGLEC10,ARHGAP9,DIAPH1
CYGB,LINC00861,INPP5E
VCP,DENND1C,ORMDL3
SMOC2,ARHGDIB,CLECL1P
INPP5A,CCR7,PRRC2B
B3GAT1,CBFA2T3,ZNF687
PRODH,GPR132,ERH
GID8,FCAMR,PPP1R35
CDIPT,SIT1,HLA-DOB
RARRES2,TRAT1,RAPGEF1
WHRN,PLEKHG7,YY1AP1
LOC100127955,CD1C,IL34
IGFBP7,IL2RG,LYRM9
COMMD4,BIRC3,RPP25L
TRIM35,CD5,QPCT
HHIP-AS1,TCF7,PDE6B
NKX3-2,LINGO3,ZEB1-AS1
RBPMS,FUT7,PRPS2
OSBPL2,LINC00996,SURF6
XKR6,ARHGAP45,TCL1A
ALOX15B,MIR142,POLR1E
ITM2C,CD96,RAC2
PEA15,IL7R,ZBTB32
DYNLRB1,RASSF5,CHMP7
FGFRL1,EVL,EFCC1
TBX2,GRK2,FCMR
PHPT1,ARMH1,GIMAP6
CAMKMT,GMIP,NHLRC4
HSD17B3,ITK,VPS51
MCM4,SLA2,PEX11B
LYPD5,SNX20,LTB
PMVK,SCN3A,CD6
GFAP,PACSIN1,ZHX2
F11R,CD28,ATP6V0A2
CNTN6,STK17B,ATP5PB
TEF,ICAM3,SRSF10
BBLN,LAT2,RPL7A
PIAS3,JAK3,HNRNPM
NACC2,NAPSB,SMIM7
RPL14,MFNG,KBTBD7
LTC4S,TXK,CLSTN3
CBFA2T2,CYTH1,CD2
CC2D2A,ARHGAP27,EEF1B2
ARHGEF37,CLEC9A,MEI1
EFNA4,CLEC2D,UBE2Q1
ABL1,ALPK2,SGSM2
JSRP1,ARRDC5,MOB3C
ZDHHC14,PTPN7,ANP32E
CTIF,IL21R,SMAP2
LGI4,LOC100130298,DEDD
ADM2,ZNF831,ZNF79
SLC35E3,TNF,CASP4
SGCD,KEL,TES
ADA2,DOCK8,NUAK2
SETD5,THEMIS,RALGPS2
MIR124-2HG,CSK,KDM5A
TRIM46,HTR3A,MCM9
PPP1R3D,CLEC4C,C14orf93
GRHPR,STAT4,TELO2
SLC16A2,RASGRP1,MTRFR
CAPN12,PSD4,GTF2A1
LDHC,ZNF107,GMEB2
HTN3,SERPINA9,HSH2D
SCD5,PIK3C2B,SLIT1
HDAC10,ARHGAP25,NAXD
MIR335,CCDC88B,JUND
PRCD,CRLF3,CD52
CDK18,MYO1G,ABTB1
PTPA,SSTR3,LINC00921
TBX3,NCKAP1L,CYTH4
ARHGAP22,SIRPG,SPOCK2
TGM6,DENND2D,SH3GLB2
FBLN7,ITGB7,KANSL1
LOC100507547,CD72,FLI1
MIR483,FGD3,SP2
MPC2,DOCK2,PYM1
MORN4,LILRA4,RAB39B
AMER2,UBASH3A,ZSWIM1
DHCR7,IGHM,TSC22D2
CRKL,MAP3K14,WBP1L
ARHGAP42,DCK,CCAR2
SF3A1,CYSLTR1,SUN2
BCR,CD3D,SMDT1
HAND2,PLAC8,CD247
CORO2A,TMIGD2,THG1L
KLF15,PRKD2,CRTC2
CITED2,KRT72,CSTF3
