GSE50509,GSE91061,GSE50509|GSE91061
MIR155HG,ICAM1,LIF
PTPRE,CD86,HAVCR2
SOD2,LILRB4,HCK
RAB31,ITGB2,CD163
SRSF10,CCL2,HK3
SH2B3,PTAFR,AIF1
ITGAX,RNF17,CD14
C1orf162,ITGAM,LAPTM5
IFI30,AKR1A1,CD300A
AAK1,CD300C,FGR
PCBP3,ECEL1,SLA
CD84,PDCD1LG2,CAP1
SBF2,NECAP2,NCEH1
ITGA1,TLR1,STX12
GCNT1,PRSS56,CCR1
CD70,SLC7A7,FCN1
VCAM1,ACP2,MARCO
SLC1A3,CSF1,TUBGCP2
MCUB,CST5,NMT2
NOD2,IRF2,P2RY6
ABCC3,FKBP15,TRIML2
DENND3,SPPL2A,SPI1
GUCY1B1,FABP6,NFKB2
UGGT1,ADAMDEC1,MSN
ADAM19,RAB8A,SLC16A3
STAB1,PGD,ZMIZ1-AS1
PLAUR,NPPC,SLC30A7
C2orf80,ARL11,PTPRO
SPTY2D1,LACTB,CDCP1
SYN1,SLC25A19,CDC27
PAGE1,RELB,PIK3CG
ASGR2,CRYAA,CCL7
SYT6,DTX2,APLP2
CSF3R,TYMP,SLAMF8
GMFG,LINC03040,HK1
SELENOM,ARHGAP18,SLC2A5
IL1A,TLR8,GRB2
FREY1,CYP27B1,MICU1
TNFAIP2,UBALD2,PRDX1
NLRP3,RPS6KA1,PTPN6
KCNA5,TNIP2,MYO1F
SPHK1,STX18,DNM2
UVSSA,FLOT2,SLC11A1
PDGFA,TAPBP,LSR
CPE,CD101,SIGLEC9
CDK14,UBC,PNP
DCBLD1,ACTN4,TEKT5
RNF141,GNAI2,CHST15
TNFRSF1B,CTSB,BCAT1
KLHL6,PSMA5,CLEC5A
TSPY8,ST8SIA4,PLIN2
LINC00294,G6PD,DCLRE1B
ZC3H12A,FCGR3A,UNC13D
FOXC2,ZNF385A,MMP7
CSTF3,SLC31A2,MSRA
MT2A,IL4I1,LRRC25
FCER1G,EAF1,NCKAP1L
SALL1,MARCHF1,VSIG4
TENT4A,ACOT7,PIK3AP1
HPX,LGALS9,FXYD5
SERPINE1,LAIR1,TMEM50A
FAM30A,THEMIS2,
DKK3,AMPD3,
MYH9,LINC01587,
C3,VAC14,
AKTIP,STXBP2,
TSPY2,AMPH,
LRIG2,USB1,
SNORA61,MAPKAPK3,
KCNMA1,CENPBD2P,
TSPY10,CYBB,
LOC442028,SCIMP,
GREM1,CYFIP1,
CYP46A1,KCNJ5-AS1,
EPCIP-AS1,IL2RA,
SNORD104,CCL8,
MKNK1,MICALL2,
ITPR1,TICAM1,
ATG16L2,CSF1R,
PPBP,SIGLEC15,
SRD5A3,SHKBP1,
CXCL5,LAMTOR3,
GPAT3,RAB35,
MMP25,ZSWIM4,
CKAP2L,MAP1S,
CCL3,COPRS,
LILRA3,MCL1,
ADGRG7,MMP9,
CAMK2A,DNTTIP1,
CCL13,PLIN3,
CT47A6,CAPZB,
GLUD1,SMAP2,
CPT1B,SLC8A1,
MOCS2-DT,LRRC59,
MT1M,TANK,
ADGRE3,LINC00944,
MACF1,RHBDF2,
GPHB5,SNX10,
PLA2G2A,IL17RA,
MSRB3,LINC01094,
DYSF,CCAR2,
FFAR2,SPATA12,
AQP9,NFKB1,
DUSP5,PHTF1,
IL4R,RNF4,
GLIS3,FCGR2A,
LCMT2,GTF2B,
IL1R2,NLRC4,
UNC5A,TASL,
SIGLEC11,NFKBIE,
CDX1,FBP1,
MKI67,MACROH2A1,
GPRIN3,CHI3L1,
JSRP1,PSMC1,
DIRAS3,DBNL,
ZFP42,HNRNPL,
COL4A4,TACC3,
LCP1,P4HB,
FAM225B,TCIRG1,
