GSE50509,GSE91061,GSE50509|GSE91061
CEMIP,ARNT2,DYRK4
LINC01091,NUP58,UBE2Z
DDX23,C15orf39,NAE1
SLC50A1,PXN,ATG101
RNASE6,NECAP1,FXR2
RPSA,PRORP,SLC25A26
PRND,ETF1,XRCC3
RPS6KA3,STARD3NL,NABP2
DRG2,RALB,NFXL1
CIDECP1,MARK3,NEDD8
TRAPPC2,FAM220A,DHX15
ITGBL1,RARA,PPIF
MRPL54,USPL1,MPDU1
NAA38,GDE1,RPAP1
DHRS4,SMURF1,ATP5MF
COX17,LEF1,RNF167
PAQR3,ZNF107,PCBP2
EXOSC7,SCO1,RUBCNL
ABHD14B,ZSCAN32,POLG
SAT2,REPIN1,SMUG1
COMP,ADCK2,GLYCTK
DHRS4L1,RAC1,DAD1
GORASP1,MKRN1,ELAC2
KLHL8,BNIP2,COG1
TLL1,TMEM253,ELP5
CEP44,SNORA5C,SLC43A2
FAM222A,LUZP6,TARBP2
PMEL,CSPG4,COMMD4
NOP10,ADPGK,CTBP1
SURF1,CBX4,ANKRD52
H1-10,SH3BP2,SUPT4H1
ITGB2,SNRPA1,ENTREP3
SPCS1,TIGAR,SMIM7
KAT7,MAPKAPK5,DNAJC14
SARM1,SYPL1,SMARCD1
CRELD1,CLDN12,TRAPPC14
NDUFA7,ZMYM5,MYBBP1A
RNF123,ZXDC,TMEM11
SIX4,MIPEP,MAPK7
STIMATE,NUP42,RCC1L
RPSAP9,NOL4L,CDCA4
SGIP1,NOM1,FLCN
BORCS6,ARHGEF40,SDF2
ZDHHC3,ZNF200,RTN4IP1
SCAMP4,ZMYM2,APOM
ESPL1,CEP41,NCKAP5L
ARL3,LUC7L2,ADAMTS4
NMB,NFKBIE,ELOVL1
MIR98,PPP1R15B,WDR24
WDR75,CLK3,FLII
PAGE1,POM121C,AAAS
CDC25A,LINC00673,HOXA2
MED9,RNF216P1,PIP4P1
ACAA1,SUPT20H,USP5
GAPDH,SRPK1,CTDNEP1
GLB1,CCT6P3,AURKB
RASSF9,MBD1,PRR13
CYB561D2,LUC7L,GRB2
CDKN2AIPNL,RNF111,MBLAC1
DHRS7B,ZNF3,MCOLN1
NSMCE2,CCNK,GNG3
EMC6,YWHAG,NOP2
CRABP1,PYCR2,B9D1
ZMPSTE24,TMEM128,MFSD5
TSPAN31,HPN-AS1,EFTUD2
CDH11,LCMT1,TBL3
SYT13,ARPC1A,EOLA2
DHRS4L2,SIRT7,COPZ1
ABHD15,PML,CNPY2
NET1,CWC25,SUPT6H
APEH,ADIPOR1,PELI1
GEM,MAP2K4,VPS18
NEXN,PMS2CL,TMC6
CDCA3,N4BP1,ADGRE5
G6PC3,CC2D1A,GAS7
MKX,NHLRC3,CHP1P2
UXT,BUD31,ORMDL3
BAP1,ZNF598,THOC6
NTS,SLC35A2,MRPS11
ACTC1,RABGEF1,ZNF384
ZNF131,TOP1,TIMM29
OSCAR,SSBP1,PLEKHM1
TPI1,SLC12A9,CYBC1
NELFB,MRPS31P5,SERPIND1
GPR143,ZC3HC1,RAB22A
HDAC11,NUB1,TRAPPC1
SLC19A2,ETV6,ATPAF2
PSMB3,BAG5,DERL2
ARL5A,ZNF746,PFN1
PRPF8,NDEL1,DNM2
