GSE50509,GSE91061,GSE50509|GSE91061
LPIN1,PCDHB7,SBF2
TRAPPC2,WWP2,GRAMD2B
DKC1,DACT3,COMMD4
SLC2A12,RNF150,SC5D
RCBTB2,TERF2,RGL1
RPS6KA3,MIR1915HG,CYP39A1
RNF141,PRCP,NFIA
NEDD8,LPL,ATG101
PABPC3,TGFBR2,ANXA2R-OT1
AUTS2,MEF2C,ENTREP3
ZNF131,DACT3-AS1,PCSK2
KANSL3,NMT2,UPP1
SLC35A1,KLHL34,VXN
PDHX,STAC2,TIMM23
PABPC1,PCDHGA6,NABP2
ZNF512,SHTN1,SMUG1
BCL2,LINC00111,NTF3
CSPP1,NFATC3,CD63
ADCY10P1,ZFP1,NICOL1
CSAD,ZNF813,DYRK4
OGT,HSD17B4,ATOX1
ST13P4,INKA2-AS1,FPGT
FAM86B3P,RAB30,MAP2K3
ANXA2,EPS8L2,CTSC
COX17,GLG1,ECI2
RPAP2,MIPEP,POU3F1
POU2F1,LNPEP,PCMTD1
SORL1,GDE1,AFF2
TDRD6,TMEM145,FOXO3B
CAMTA1,KIAA0319,MFSD5
RNY3,LDLRAD4,MRPL46
ZNF318,ARHGAP6,SDHD
DIXDC1,TTYH2,PMEL
SLC25A27,PCDHGA12,DECR1
ZBTB20,SNRPA1,TTC33
TNFRSF12A,TP53INP1,SESN3
ATOSB,DSEL,GSTO1
TAF4B,LINC02946,GNG2
HCFC1R1,ARB2A,CYTOR
LRRC1,PCDHB15,ARCN1
PHF21A,SKIDA1,ZNF250
SPIN3,MED29,ZNF219
GNA12,NUCB1,PIP4K2C
KDM6A,FAM161B,ARSG
LAMP2,PCDHB2,HLF
ZNF330,ZNF563,FAM13A
RAD1,SAMD13,SNAI2
AFF3,TIGAR,CRAT
SRSF10,GALNT14,ETS1
GCLC,NR3C1,PSMG3
ZDHHC16,TMEM47,ABCD1
PRRG1,SYNGR1,ORMDL3
LZTS1,MAP10,LETM1
TPGS1,ALDH7A1,ARHGAP42
NOP10,ST8SIA2,CUBN
PDZD2,MARCHF9,MAPRE2
SLC50A1,TCF7L1,ADGRG1
RNPC3,ISG20,NADK2
TMCO2,CARD14,ALDH3A2
GOLPH3,ABCG2,SLC45A2
PCMTD2,HCG11,FAXDC2
ZNF397,FCMR,ZNF717
MAML2,DNM1P46,RPP25
ATP7A,ARPC1B,CTR9
PM20D2,RTN4R,CYP2J2
ANXA2P3,RIPK4,MIF4GD
DLX6-AS1,COBLL1,IL6ST
GLYCTK,CDKL5,AASDHPPT
MEAF6,RBL2,TXNRD2
STAG2,FBLL1,OS9
PNRC2,LMCD1,NAGPA
DCTN3,DLX5,TARBP2
RAD54B,CDH6,DMD
YTHDF2,PYCR2,SNORA5C
OR9G9,SIRT4,CCDC121
SLC25A26,HNMT,TOR3A
LGALS1,TMEM43,RNFT2
SLC9A5,PLOD1,FATE1
DDX17,GALNS,ARF3
NPIPB9,SLC39A11,PPM1H
RBBP6,EPAS1,KIDINS220
CREBRF,ZNF598,RBMXL1
CUL4B,PIK3R1,ATP6V0B
GPBP1,TENT5A,ZNF614
FMNL2,EHD2,MLF2
RNF14,DKKL1,ST6GALNAC6
CREB3,FTO,CD109
GPRIN3,CLDN12,EMG1
MGA,PGAP6,PSAP
SLC39A10,ACOT7,RBKS
KDM7A-DT,MBTPS1,TSPAN6
ADNP,DDX6,RPL17
BICRAL,NFKB2,ZNF780A
RPL22,NMRAL2P,TMEM253
ZSCAN26,NECAP1,KLHL29
TMEM41B,PCDHGC3,C11orf54
MIR17HG,SOAT2,SRXN1
NDUFA7,ADCK2,CHML
GAB1,ABLIM3,ARHGEF12
ARHGAP32,SYNGR2,ANKEF1
ZNF280C,ST7,MELTF
PMVK,RSPH9,MAEA
TENT4A,REPIN1,SMURF1
PPFIA4,C15orf39,MED15
APIP,PCOLCE2,ZNF726
MANBAL,TMEM132D,GET4
VCP,RTN4RL2,PPP2R5B
ZFP69B,STX18,FBXO3
PER3,MAP6,PTH1R
ANKRD34A,ADO,TEAD4
ZNF227,TRIM2,ARHGEF6
SRSF1,LRRC71,MYO1B
EXOSC7,GYPC,NDUFA9
S100A11,ALKBH8,MIR4435-2HG
TRIQK,SNORA81,
KLHL8,CD226,
CSTF3,APP,
MUC5B,UVSSA,
NNT,PUS3,
YTHDC1,PIM3,
MGAM2,APC,
UBE2Z,LEPROT,
KANSL1L,HMGCL,
SNRNP25,ARHGEF26,
ADH5,GNG8,
ASAP1-IT1,FLRT1,
ZRANB2,MRPS31P5,
ESD,SLC16A2,
MRPL54,IL13RA1,
AP1S2,B3GNT9,
ATL2,ZW10,
MXRA7,MLEC,
