GSE50509,GSE91061,GSE50509|GSE91061
CEMIP,RAB8B,RUBCNL
CRABP1,RASGRP4,PLIN4
CNTNAP3B,N4BP1,DCUN1D3
ASB16,NUMB,RBM5
LINC01091,GPCPD1,CEACAM1
CCL11,SLC26A8,HMOX1
SKIDA1,MKNK1,CASP4
MAML2,ELL,CRISPLD2
COMP,MPP1,H1-2
LZTS1,NAIP,IGSF6
RCBTB2,SAMSN1,SBF2
ADH1B,BNIP2,WDR82
FABP4,PIK3R5,IQSEC1
MN1,GZF1,DLEU2
GLRX2,ZNF267,ARHGAP25
DES,TNIP1,SNORD89
ALOX15B,GTPBP1,HERC1
CNTNAP3,NLRP3,HILPDA
SIX4,ZFP36,SERTAD2
TBL1X,TAGAP,STAT5B
CD300LG,CD53,ZSWIM8
SLC7A10,EVI2B,PTGS2
SYT13,DAPP1,PLEK
PAGE1,BCL6,ZBTB34
GNG3,CCNL1,PHF21A
NTS,SUSD6,SP140
MMP1,ZDHHC18,SH3KBP1
MSMP,EHD1,PNPLA2
TLE4,LCP1,PIM2
ARHGAP6,RABGEF1,MIR1976
PLXNB1,C9orf72,AIF1
MIR17HG,USP15,GBP2
SYNDIG1,SIGLEC14,PIK3CG
VCP,MIR4257,IL10RA
ADH1A,DYSF,CASP5
SNORD25,HYCC2,JAK1
ITGBL1,PFKFB3,ZBP1
CRABP2,FCGR3B,APLP2
MIR99AHG,CEACAM3,RNF122
AKR1C3,BIN2,H2AC8
RASL11B,LYN,MAP4K4
ACKR4,PTPRC,G0S2
STX17,GCA,DOCK2
CIDEC,FPR1,CD28
ASB11,MTF1,ING1
HIP1R,CPD,H2BC11
ACTC1,SNN,HCK
PLIN1,FAM209B,MAP2K1
PTPRG,STEAP4,H2AC6
MGLL,CSF3R,IRF1
MKX,MEFV,
PCGF2,NFKBIA,
SMIM32,LOC729737,
ID1,KDM6B,
GJA3,FAM53C,
WSCD1,CXCR2,
CCDC74A,CXCR1,
COL8A1,MKNK1-AS1,
PPP1R1A,DDX60L,
PRRX2,C3AR1,
NXPH1,MXD1,
PRL,FPR2,
OLIG1,RESF1,
MRPL35,IRAK3,
BMPER,NFKBID,
CD36,VAV1,
THRSP,STK4,
PSORS1C1,FAM157A,
CBLN2,H3-3A,
HAND2,CWC25,
SLC40A1,C5AR1,
SALL1,REL,
GABRB1,CLEC12A,
MAGEA4,TNFAIP6,
ASB9,CAMK2G,
LOC442028,MAP2K3,
NRK,POU5F1P3,
TSPAN8,VNN2,
MAEL,LCP2,
NDRG3,FFAR2,
COL13A1,TNFRSF10C,
FREM2,SCARF1,
IGSF21,TRIM25,
SGIP1,SNORD10,
CNTNAP5,ADGRG3,
LGALS1,CSF2RB,
IRF8,FCAR,
TMEM100,ADGRE3,
CPA3,NCF2,
GABRR1,H3P6,
LMBR1L,SLC2A3,
CUTALP,FAM157B,
PCDH9,OSM,
RASA3,SIGLEC5,
DNASE1L3,XPO6,
ZNF227,LSMEM1,
ESD,MCTP1,
MYCN,MNDA,
SPHKAP,H1-4,
ASGR1,MIR3909,
