GSE50509,GSE91061,GSE50509|GSE91061
XIRP1,GPR171,CD8A
HLA-DQB1,TIGIT,CD2
NCF1C,JAKMIP1,SIRPG
CST7,AKAP5,CD3E
TNFAIP2,CRTAM,IL10RA
IFIT2,CD38,CD27
HLA-DQA2,TRAC,GZMK
HLA-DRB6,FCRL6,SP140
JAML,IKZF3,TNFSF13B
TSPAN32,KLRD1,CD74
PRAM1,TBX21,GZMH
PABPC4,CALHM6,AIF1
ZAP70,CD226,GZMA
ARRDC5,GRIN3A,CCL5
SLC11A1,GBP1,CD3D
CLEC12A,TRAT1,HLA-DMB
FYN,GBP1P1,APOL3
MXRA7,SCIMP,ARHGAP9
RTN1,LILRB1,IKZF1
TUBB6,SAMD3,TBC1D10C
PARP6,CTSW,HCST
HLA-DRB4,BHLHE40-AS1,ITGAL
HCK,CXCR3,TAPBP
DIAPH1,GFI1,NKG7
NT5DC2,BATF2,HLA-DPA1
HS3ST1,GIMAP6,SLAMF8
COMMD4,XCL1,IFNG
NPIPB9,CCR5,C1QA
SPHK1,XCL2,CXCR6
NFKB2,PSMB10,APOBEC3H
FNDC4,PTPN22,ACAP1
MAP2K1,SLFN12L,TOGARAM2
JADE2,FBXO6,C1QB
ROR2,CARINH,HLA-DMA
NCF1,DTHD1,HAVCR2
RPL4,AOAH,HLA-DQA1
PNP,USP30-AS1,INPP5D
GMFG,CCL4,C1QC
LRRC8A,APOL4,LAG3
BRD8,TARP,STAT1
RAB3IL1,CD244,ARHGAP25
GPR68,PPP1R16B,HERC1
RNASE2CP,KLHDC7B,IL12RB1
UBD,NCR1,SLA2
FCMR,PDCD1LG2,CIITA
GON4L,TRAV12-2,CD3G
MARCO,SIT1,GBP4
SPI1,ZNF683,DOCK2
UCP2,GNGT2,ITGB2
ARL17B,KLRG1,GIMAP4
ENGASE,PLA2G2D,PDCD1
TRAPPC2,GZMM,RASSF5
TIMD4,SOCS1,CD6
CHRNA1,ERAP2,IL18BP
ST6GALNAC4,IL21,IL2RG
SPOCD1,ACOD1,CLEC10A
PRKCQ,CDC42SE2,GVINP1
POU2F1,GIMAP2,FGL2
ENG,P2RY10,CD247
RPL14,SLC8A1,SAMD9
UBE2D2,TRAV21,PTPN6
HVCN1,KLRC1,TLR8
TLN1,STAT4,RASAL3
RBM22,CNOT6L,IL4I1
ZNF200,SRD5A3-AS1,IRF1
FCN1,P2RY12,ITK
MCM4,ABI3,WARS1
KIR2DL3,ITM2A,SLAMF6
DAAM2,B2M,IL32
IGSF21,TIFAB,DENND2D
GARRE1,GPR18,FASLG
AGAP4,ST8SIA4,LY9
MAPK8IP3,SNX20,HLA-DRA
ZNF469,TNFRSF9,IGSF6
MTOR,IPCEF1,CYLD
ZNF609,NECAP2,UBASH3A
ARL17A,ZNF101,BST2
KIR2DL4,APOBEC3D,GZMB
YBX1,UNC93B1,HLA-DPB1
LINC01091,CEACAM21,NCF1B
SPATA13,EPSTI1,ZNF831
SCARNA9,UBE2L6,NCKAP1L
JAM2,LGALS17A,BTN3A1
FCER1G,HLA-C,MMP7
ANO9,GNLY,TRAF3IP3
SOX18,BTLA,ZBED2
ZCCHC24,LAX1,PTPRC
APBB3,TRIM14,PTPN7
LOC100190986,RASGRP1,PRF1
TMEM14C,DOK2,CXCL10
PID1,IL21R,IRF8
IGFBP7,TOX,CXCL9
HMG20A,FCGR3A,SIGLEC11
BCOR,CLEC2D,SEC31B
SPATA31H1,PTPRN2-AS1,DCANP1
NPIPB13,SAMHD1,IFIT5
HLA-DRB3,BTN3A3,IL2RB
YTHDF2,P2RY14,PLCB2
CCR1,TRAV13-1,RCSD1
NBPF9,TRIM21,RASSF4
TSPAN11,GALM,HLA-E
TSPOAP1,APOBEC3C,NUB1
LYN,TNFSF10,PVRIG
AGAP6,TTC24,PCED1B
PDPR2P,EID2,FGD2
LILRB4,ARHGAP30,WAS
TLK2,APOL6,KCTD12
TMEM176B,SH2D2A,PSTPIP2
RIPK1,APOBEC3F,RFX5
PDE2A,TAPBPL,SLAMF7
HECTD4,FCGR1A,ADA2
NUDT6,JAK2,RPL3
P3H3,NMI,LGALS2
CSDE1,GIMAP1,TMEM18
HTRA4,IFI35,SEMA4D
LINC01347,GRK2,MS4A6A
PCBP3,BATF,TRIM22
APLNR,TESPA1,TOX2
KANSL3,APOL1,GCH1
PPARGC1B,GIMAP8,MAP4K1
ST14,IKBKE,HMOX1
FTSJ1,DTX1,TRIM69
CREB3,CSF1R,NSD1
LFNG,DENND1B,PARP14
CYTOR,TYMP,CYTH1
ABCC3,VOPP1,DELE1
FAM219A,CR1L,HLA-DOA
FAM225A,GPR141,CD72
GALNT18,C19orf38,STX11
G0S2,CORO1A,PATL2
EGFL7,PIK3CG,MCOLN2
MMP3,TSPAN17,SAMD9L
CDX1,MS4A7,PYHIN1
SKIC8,TMEM150B,ANKRD22
SLAMF1,ARHGDIB,PTAFR
CFP,IGFLR1,THEMIS
GPRC5C,SNX6,UBA7
CTDSPL,SASH3,SLC9A9
ZBTB20,ITGAE,CMKLR1
TNFRSF12A,PIK3R6,C1orf162
TP53I3,ZBTB32,PSTPIP1
KIR3DL2,SNAP47,HAPLN3
SND1-IT1,MTHFR,CXCR2P1
SLC24A3,RAB8A,MARCHF1
CLUHP3,TAB1,SSNA1
WBP11,TRAV8-6,FGD3
CNTN6,PAOX,CEPT1
NOD2,CLEC6A,MANBAL
PCDH9,NR1H3,APOBEC3G
POM121C,COL22A1,EBI3
GJA4,CHST12,PSMB9
RPS18,APOL2,CD7
