GSE50509,GSE91061,GSE50509|GSE91061
H3C4,DOCK9,FAM30A
H2BC6,ZDHHC23,CTLA4
OR10K2,GPR15,LRRC57
CEMIP,SANBR,PLCG2
JSRP1,CFAP161,CLDND1
PIM2,EFCC1,MSL2
H2BC4,SCML1,LAX1
H1-2,BMPR2,FYTTD1
PLEK,IL10,EPHA4
MMP12,FLT1,ZBTB11
LINC01091,COL13A1,CCR2
PMEL,THSD1,CEP128
SKIDA1,GOLGA7B,TRAPPC2
H2AC6,SMCO2,RASGRP1
JCHAIN,EIF5A2,SMURF2
PRND,FAM135B,ALMS1P1
RGL4,LINC00312,FGFR1
DNAJB9,IZUMO1,PI4K2B
TNFRSF17,LGR6,IFIH1
RTP3,DMBT1L1,RBBP7
ZFP42,PIEZO2,WIPF1
MZB1,GPR55,ENTPD1
LIPG,GLB1L3,MFN1
KIR2DL1,FGF1,RXYLT1
TMCO2,RXFP3,LAMP2
POU2AF1,ZNF341,SLC33A1
MDK,RUNX2,FCRL5
SP140,LOC374443,EMX2
H2BC5,JAK1,CCDC14
CYP27B1,SFRP5,PRRT2
PAGE1,KRTAP20-2,LPIN1
WSB2,SH3KBP1,UBE2J1
LCP1,KRTAP22-2,SLC39A8
SNORD45C,PLEKHG1,CLEC4C
TTTY7,TNFRSF11B,ARAP2
CD160,KIAA1549L,CPOX
LOC646214,RHEBL1,NABP1
XBP1,MIA-RAB4B,EML5
QPCT,ST7,FAM81A
PTGS1,NTRK3,ATL2
CATSPERE,LINGO1,RASSF1
MIR508,GSG1L,SELP
PIK3AP1,PLCZ1,CAB39
SELENOT,LINC00426,TOPBP1
TENT5C,ZNRF1,UPF3B
PARPBP,TINCR,OFD1
KLRC1,KHDRBS2,ZNF700
UPRT,ITPKA,CACHD1
P2RY10,WFDC11,FAM118A
ARHGEF33,CFAP92,VCF2
STAP1,TMEM163,CNBP
HMGN5,TAL1,PAQR3
SNORD38A,TMEM254-AS1,JAK2
NPIPB9,QDPR,HOMER2
NAPEPLD,LINC00698,RCBTB1
CXCL9,ANO1,ACAP2
H2AC21,CROT,SENP7
SSTR3,DRAXIN,RAB31
SEL1L3,SPATS2L,NTM
CRABP1,DGCR5,CEP63
GBP5,GNS,STAT4
ADAM19,LINC00499,ATMIN
ZNF683,ABCA4,TCL1A
LIME1,ACVR1,LRRC8C
NIBAN3,NHS,PPM1B
TMEM263,CAMK1G,RTKN2
CHM,CCN4,NGLY1
IFNG,TBL1Y,UBQLN2
TMPRSS2,GSX1,TBL1X
LIF,GRM3,ICOS
VMA21,CYP24A1,IRX3
COMP,GHRLOS,TRIM8
LARP1B,PAX6,SCARNA9
IL18R1,CHN2,GARRE1
NEXN,MATN3,PKM
CHI3L1,LEMD3,OIP5
ZNF280D,FLNB,
DGKE,PXK,
CCND2,ISM2,
UAP1,CLEC2D,
H2BC12,ADGRG2,
HMGN4,SV2C,
H3C10,BCL2L11,
OR52N5,KLKP1,
MIR15A,PMAIP1,
TERC,KRTAP19-6,
NBPF7P,CTNNA2,
ZNF80,MT1L,
DCAF17,RERE,
ZNF729,NKD1,
TUBGCP2,ADCY2,
LCNL1,BLVRA,
ALK,DBI,
