GSE91061,GSE61992,GSE91061|GSE61992
SLC7A14,ATP5F1EP2,BLOC1S6
CHGB,CFL1,NPTX2
GJD2,SLC25A23,RAMP2-AS1
CHODL,FKBP5,GNB1
TEX101,HLA-B,CCT6A
MIR124-1HG,TMCO1,STC1
CNTN2,GSDME,CDCA7
MIR7-3HG,S100A3,ZNF394
ELAVL4,SLC37A4,EXOSC10
HOXB-AS3,CTSZ,C6orf62
CRYBB2,UBE2F,TRIM4
LASP1NB,IFI27,DDX17
KRT3,TNFRSF21,PNPT1
POTEC,RBM34,C1orf174
MIR208B,GORASP2,ZNF529
WIF1,IGFBP6,HJURP
HOXB3,AURKA,RCBTB2
HNRNPCL2,ANKRD37,
LMO2,IGKV1ORY-1,
ST6GAL2,RAB33A,
ZCCHC12,CPOX,
MYT1,SRP14,
GABRA4,PBX3,
TNR,NSMCE1,
LOC100507351,DUSP19,
SLC18A1,DAB2,
GRIK5,CFAP68,
CHEK2P2,PSME1,
ZMYM2,CSE1L,
SMAD5,TMED7,
CPNE6,VPS53,
DRP2,SUMO1P3,
TEX13C,RAB9A,
IGDCC3,DPF2,
GNG3,AP1M1,
HIP1,EHD1,
ASTN1,AOC4P,
PLXNA4,LINC00221,
ARK2C,SS18L2,
HOXB9,RFTN1,
MIR4801,LRRFIP1,
SP6,TFAP2A,
MAP3K1,MAGED1,
SOX11,FLOT2,
BMP7,PSMB6,
PDE1C,ZNF682,
TAC1,RPL27,
TLCD3B,UBP1,
SAA3P,BAG3,
HPCAL4,HLA-DRA,
TMEM233,ARHGEF10,
LEMD1-AS1,S100A9,
SCRT2,ARID3A,
HOXA-AS3,NPAS1,
FAM220A,FADD,
CA10,ANGPTL7,
ZNF3,DNAJB1,
EPCIP,WDR18,
DPYSL5,TAGLN,
KCNA6,EIF1AX,
SHISA9,CXCL16,
CDK6,WLS,
SPATA31C2,EVI5,
RYR3,UBAC2,
PICSAR,HDAC1,
NEFM,MBTPS1,
ZNF12,SMG1P2,
MIR9-1HG,COX7A2,
GCSAML-AS1,LAMP1,
CNMD,PBK,
HOXB5,DARS2,
H2BC7,OCA2,
TPTE2,SRPRB,
ZNF664-RFLNA,GBP5,
ACTL6B,UBE4B,
CELF3,CCDC6,
SNORD114-7,PPFIBP2,
PROKR2,POFUT1,
PMS2CL,ATP2A2,
CASTOR3P,RNPEP,
DAB1,FBXO32,
HRC,TMEM17,
SNORD114-26,DCT,
FAM131B,SERTAD1,
GPC2,QRFPR,
LINC01257,TESC,
ZSCAN9,SPTAN1,
MAP3K15,MOK,
RAC1,,
USP42,,
VEZF1,,
SMIM32,,
GBX2,,
C2orf80,,
KIF5C,,
SCUBE3,,
CECR2,,
IKZF4,,
MIR4307,,
MEG3,,
HCG23,,
MRPS31P5,,
SAMD14,,
FAT3,,
RFPL4A,,
LINC01546,,
ATAT1,,
CHRNB4,,
ADRB1,,
CEMIP,,
HAPLN4,,
ABCA11P,,
NRG1,,
LOC730101,,
PCSK1,,
SPHKAP,,
CAMKV,,
