GSE91061,GSE61992,TCGA-SKCM,GSE91061|GSE61992
ICAM1,STC1,SPANXD,SERTAD1
HK3,S100A3,CXCL3,HLA-B
SLC2A5,FKBP5,WNT5A-AS1,AP1M1
GRB2,NPTX2,MT-CO1,CFL1
CD86,UBE2F,MT-CO3,TMCO1
LILRB4,GORASP2,MT-ND4,
CCL7,IGFBP6,MT-ATP6,
ITGB2,PIGM,SMILR,
CCL2,ZNF394,MT-CO2,
PTAFR,ATP5F1EP2,PPIAP22,
RNF17,PBX3,MT-CYB,
ITGAM,PNPT1,TMA7,
AKR1A1,NPAS1,MT-ND2,
CD300C,SLC37A4,MT-ND3,
ECEL1,TESC,MT-ND4L,
PDCD1LG2,TAP1,MT-ATP8,
NECAP2,IGKV1ORY-1,MT-ND1,
TLR1,TNFRSF21,MT-ND5,
TEKT5,HJURP,MT-RNR2,
PRSS56,BLOC1S6,RPL41P1,
SLC7A7,DPF2,RPL29P19,
FCN1,WBP11,HNRNPCP2,
ACP2,RPL27,SMG5,
CCR1,VPS53,MT-ND6,
LAPTM5,SS18L2,PPP1R14BP3,
HAVCR2,ANKRD37,MT-RNR1,
CSF1,,MT-TP,
SIGLEC9,,INTS5,
CST5,,MTATP6P1,
IRF2,,SNRPGP2,
FKBP15,,HMGB1P6,
SPPL2A,,B4GALT5,
FABP6,,RPL17P6,
ADAMDEC1,,SDC4,
NCKAP1L,,MIR621,
RAB8A,,TBC1D22B,
PGD,,RPL41P5,
NPPC,,MRPS14,
ARL11,,RPS2P5,
SLAMF8,,BMS1P20,
LACTB,,SERTAD2,
SLC25A19,,MORF4L1P1,
CDCP1,,TBCAP1,
RELB,,RPL36AP37,
CRYAA,,DNAJB6P1,
DTX2,,RN7SL2,
P2RY6,,SOCS3,
MARCO,,RPL3P4,
TYMP,,MTCO1P12,
PTPRO,,TMX2P1,
LINC03040,,PRR11-AS1,
ARHGAP18,,AGAP2-AS1,
TLR8,,CD2AP,
VSIG4,,CDR2L,
CYP27B1,,RFLNB,
UBALD2,,HMGB1P10,
RPS6KA1,,RPS15P4,
TNIP2,,ANXA2P2,
STX18,,EEF1A1P5,
FLOT2,,RPL7P9,
TAPBP,,ZFTA,
CD101,,EIF3FP3,
UBC,,RPL15P3,
ACTN4,,RPS27P3,
LRRC25,,RPS27P8,
GNAI2,,TRMT12,
CTSB,,FCF1P2,
CLEC5A,,RPS28P7,
PSMA5,,MTND2P28,
ST8SIA4,,RPL18AP3,
CD14,,RPL21P16,
G6PD,,RNA5SP283,
FCGR3A,,PAG1,
ZNF385A,,PLXNA3,
SPI1,,H3P6,
SLC31A2,,RPS28P4,
IL4I1,,UTP14C,
EAF1,,PPIAP29,
MARCHF1,,RPL13AP25,
ACOT7,,CHCHD2P9,
LGALS9,,RPL13P12,
LAIR1,,RPL13AP5,
THEMIS2,,GAPDHP1,
AMPD3,,MIR4482,
LINC01587,,,
VAC14,,,
STXBP2,,,
AMPH,,,
USB1,,,
MAPKAPK3,,,
CENPBD2P,,,
CYBB,,,
SCIMP,,,
CYFIP1,,,
KCNJ5-AS1,,,
IL2RA,,,
CCL8,,,
MICALL2,,,
PRDX1,,,
TICAM1,,,
CSF1R,,,
SIGLEC15,,,
SHKBP1,,,
LAMTOR3,,,
RAB35,,,
ZSWIM4,,,
MAP1S,,,
COPRS,,,
MCL1,,,
MMP9,,,
DNTTIP1,,,
PLIN3,,,
CAPZB,,,
SMAP2,,,
HCK,,,
SLC8A1,,,
LRRC59,,,
TANK,,,
LINC00944,,,
RHBDF2,,,
SNX10,,,
IL17RA,,,
LINC01094,,,
CCAR2,,,
NFKB2,,,
SPATA12,,,
NFKB1,,,
MMP7,,,
PHTF1,,,
RNF4,,,
FCGR2A,,,
GTF2B,,,
NLRC4,,,
TASL,,,
NFKBIE,,,
FBP1,,,
MACROH2A1,,,
CHI3L1,,,
PSMC1,,,
DBNL,,,
HNRNPL,,,
TACC3,,,
MICU1,,,
P4HB,,,
TCIRG1,,,
PTPN6,,,
SIGLEC10,,,
FAM20C,,,
RSPO4,,,
MED18,,,
PLK1,,,
RAD23A,,,
TUBGCP2,,,
MAN2B2,,,
EGR2,,,
PSMB2,,,
RAP1A,,,
AKIRIN2,,,
WBP2,,,
TPSD1,,,
CIR1,,,
RHOA,,,
TMEM161B,,,
NRP2,,,
TMEM51,,,
GRK6,,,
TEDC1,,,
FHOD1,,,
PSMC2,,,
PKM,,,
DGKG,,,
TLR6,,,
GNB2,,,
AIF1,,,
TFEC,,,
ERICH1,,,
MLX,,,
ERAL1,,,
YWHAG,,,
IL10RB-DT,,,
SLC66A1,,,
CHTF8,,,
EIF2B2,,,
ALOX5,,,
PARP4,,,
YARS1,,,
PARP9,,,
MAP7D1,,,
MFSD13A,,,
ZMIZ1-AS1,,,
PLEKHO2,,,
ARHGDIA,,,
MVP,,,
SRP54,,,
PSMD3,,,
PSMD8,,,
SRP68,,,
CD9,,,
RAVER1,,,
GNAI3,,,
SIRPB2,,,
TXNRD1,,,
SAMD9,,,
GPR141,,,
HSPA6,,,
NUCB1,,,
ZNF598,,,
LASP1,,,
JUNB,,,
TBC1D2,,,
SEC61A1,,,
TBC1D9,,,
RAP1GDS1,,,
PNPLA6,,,
CEBPB,,,
CAP1,,,
TNFAIP8L2,,,
BCL7B,,,
SELENOF,,,
HK1,,,
MED25,,,
ARHGDIB,,,
SQOR,,,
RNF19B,,,
ENOPH1,,,
CASP3,,,
TOM1L1,,,
ATP6V0D1,,,
MANBA,,,
PSMC4,,,
RTCA,,,
PPP4R3C,,,
SLA,,,
ANKFN1,,,
VPS37A,,,
DDRGK1,,,
ACTB,,,
ARF1,,,
LRIF1,,,
PSMB3,,,
JPT1,,,
GET4,,,
PARP12,,,
CD163,,,
CTBS,,,
PKMYT1,,,
TRIM47,,,
GPR132,,,
