GSE91061,GSE61992,TCGA-SKCM,GSE91061|GSE61992
GAS7,ATP5F1EP2,SPANXD,ZNF394
ARNT2,STC1,AKTIPP2,TMCO1
NUP58,CFL1,SNORD31B,GALNT11
C15orf39,FKBP5,NTF6B,TRIM4
BUD23,SLC25A23,MTCL1P1,BLMH
PXN,HLA-B,RNU6-34P,POMP
NECAP1,GSDME,NALF1-IT1,DAGLA
PRORP,CTSZ,MRPS21P5,BLOC1S6
ETF1,TNFRSF21,ENTR1P1,SRPRB
STARD3NL,DAB2,AMMECR1LP1,PNPT1
RALB,CSE1L,RNA5SP287,FKBP14
MARK3,DDX17,MIR518E,TMEM17
FAM220A,AURKA,TRBV29OR9-2,C6orf62
RARA,IGKV1ORY-1,RNU6-715P,POLG
USPL1,SLC37A4,LINC01179,PLEKHA2
GDE1,DNAJB1,CST12P,IL1B
SMURF1,IFI27,LINC01327,AOC4P
ZNF174,ITGA3,MIR153-1,UBAC2
LEF1,NPTX2,RN7SKP200,CDK5RAP1
ZNF107,TFAP2A,SCGB1D1,
SCO1,DUSP19,CES1P2,
ZSCAN32,CPOX,RN7SL135P,
REPIN1,RAB33A,RN7SL342P,
ADCK2,RBM34,KPNA2P1,
RAC1,UBE2F,CSGALNACT2P1,
ZNF282,RFTN1,OR8X1P,
MKRN1,PSME1,RPL17P14,
BNIP2,RPL21,RNA5SP388,
TMEM253,EXOSC10,MTND4LP12,
SNORA5C,ZNF682,RNU6-739P,
XPO6,DNAJC9,ADAM20P3,
LUZP6,CFAP68,SNORD114-21,
CSPG4,ANKRD37,LINC02547,
ADPGK,MBTPS1,HMGB3P15,
CBX4,ATP2A2,MT-CO2,
SH3BP2,TMED7,MIR367,
SNRPA1,RAMP2-AS1,MTCO1P40,
TIGAR,ANGPTL7,MT-CYB,
MAPKAPK5,WIPI1,MT-ATP6,
SYPL1,SS18L2,MT-CO3,
CLDN12,GNB1,TUBB8P9,
ZMYM5,LINC00221,BNIP3P3,
ZXDC,LRRFIP1,XGY1,
MIPEP,NSMCE1,MT-ND4,
NUP42,OCA2,COL6A2-DT,
NOL4L,LASP1,PTGES3P5,
PGS1,VPS53,SNRPGP8,
ENTREP3,GORASP2,COX7BP6,
NOM1,WLS,MT-ATP8,
ARHGEF40,CTSG,RNU6-27P,
ZNF200,ARHGEF10,MT-ND4L,
ZMYM2,ZNF529,CNTNAP2-AS1,
CEP41,RAB9A,RNU2-31P,
LUC7L2,C1orf174,MT-ND3,
NFKBIE,DPM1,VPS51P4,
PPP1R15B,SUMO1P3,GREM1-AS1,
CLK3,NISCH,PLA2G10IP,
POM121C,QRFPR,MIR1278,
LINC00673,TAGLN,MT-ND2,
RNF216P1,BTG3,MT-RNR1,
SUPT20H,UBE4B,RNU4ATAC13P,
SRPK1,HIGD2A,MTATP6P1,
CCT6P3,PBK,MIR3919,
DAGLB,RCBTB2,OR13C6P,
MBD1,EVI5,RN7SL592P,
LUC7L,RPL27,RNVU1-26,
RNF111,FBXO32,RNY4P20,
ZNF3,HDAC1,ATP5MFP3,
CCNK,HJURP,SMSP1,
YWHAG,CFAP74,RN7SL57P,
PYCR2,UBP1,RNU6-626P,
ARF3,ZBTB4,RN7SL20P,
TMEM128,DUT,RN7SL392P,
HPN-AS1,PSMA5,MIR4686,
EOLA2,CD83,MT-RNR2,
LCMT1,CXCL16,RNU6-1089P,
ARPC1A,DDX27,HMGN2P11,
CARD14,HLA-DRA,CFAP144P2,
SIRT7,DARS2,RN7SKP71,
PML,COMMD6,TMEM256P1,
ANGEL1,NAP1L4,RN7SL517P,
CWC25,EIF1AX,SPRYD7P1,
YKT6,NDUFA6,WNT5A-AS1,
ADIPOR1,ZCCHC17,MT-CO1,
MAP2K4,EMILIN2,SREK1IP1P1,
PMS2CL,MARCHF6,RN7SL585P,
N4BP1,POFUT1,RNA5-8SP2,
CC2D1A,MOK,RN7SL123P,
NHLRC3,ALPP,RNU1-89P,
BUD31,CDCA7,TMEM97P2,
ZNF598,EIF3L,LINC02006,
SLC35A2,SYVN1,RNU6-1336P,
GET4,FADD,MIR4439,
RABGEF1,GBP5,MIR4762,
MAP2K3,CATSPER2,ACTBP16,
TOP1,KLHL9,RN7SKP258,
SSBP1,PMEL,MEMO1P3,
SLC12A9,GSTO1,RNA5SP162,
MRPS31P5,GFRA3,CDC42P7,
ZC3HC1,DPY30,RNA5SP531,
NUB1,CCDC6,RN7SL254P,
ETV6,LRP8,SMILR,
TMEM11,VCP,OR10Y1P,
BAG5,IER5L,MIR3689F,
MSN,COX7A2,MTCO1P12,
EXOSC9,IL10,CYCSP1,
ZNF746,LAMP1,RN7SL717P,
NDEL1,CCDC117,CXCL3,
ADAM15,PIGM,MRPL50P4,
ZNF800,ID2,HSPA8P13,
GZF1,CGN,RNU4-59P,
HERPUD2,NDUFAF6,DEFB116,
CNP,LEPROTL1,RNVU1-25,
NPLOC4,HERPUD1,RNU1-63P,
PAN3,S100A9,MTND2P28,
ZNF655,BLZF1,RNU6ATAC34P,
MCTS1,VWF,RN7SKP259,
AFG3L1P,NSUN4,MIR3173,
FARP2,ARID3A,RN7SL541P,
MARS1,NUPR1,MIR4323,
NFKB2,DCT,RNU6-67P,
CCP110,PPFIBP2,GIP,
PLEKHB2,ARID4B,MRPS15P1,
INTS15,,MORF4L1P1,
SMTNL1,,MTCO2P12,
SLC24A1,,FTH1P27,
MICALL2,,RN7SL35P,
PLXNB3,,RPL36P20,
LOC100233156,,AKAP13-AS1,
USB1,,TYRO3P,
ZKSCAN5,,RNU6-777P,
DUS4L,,NLGN4Y-AS1,
OR2L13,,BNIP3P4,
USP15,,,
SNORA81,,,
PLEKHO2,,,
KPNA1,,,
IFRD1,,,
IL27RA,,,
HNRNPA1L2,,,
TBRG4,,,
ERBB3,,,
IPO8,,,
BIN3,,,
AMN1,,,
WDR90,,,
TMEM63A,,,
SHTN1,,,
NBPF15,,,
ADAMTS4,,,
LMTK2,,,
MIR3605,,,
PROSER1,,,
NUP93,,,
TMEM161B,,,
DGCR11,,,
ZNF276,,,
JPX,,,
RAB40A,,,
TNFRSF10B,,,
ZMYND8,,,
CNOT4,,,
COG6,,,
CSRP1,,,
POM121,,,
ATG101,,,
LINC02591,,,
COPS3,,,
ARHGEF2,,,
MAPK8IP3,,,
TYW1,,,
PMS2P3,,,
EIF4E,,,
TET3,,,
UBE3C,,,
H3-3B,,,
ZNF18,,,
PSMG3,,,
SMUG1,,,
FUS,,,
SEM1,,,
COX19,,,
SLC35B4,,,
SKAP2,,,
SGSH,,,
HM13-AS1,,,
WNK4,,,
UVSSA,,,
CAPRIN2,,,
BAZ2A,,,
RINT1,,,
ARPC1B,,,
MED4,,,
TTC19,,,
SMARCD3,,,
ERCC3,,,
RIPK4,,,
ANKDD1A,,,
ARAP3,,,
UBC,,,
MED28,,,
NUFIP1,,,
SMARCD1,,,
ZNF398,,,
TRIM25,,,
CEP170P1,,,
DYNLT4,,,
CMTM5,,,
ZNF410,,,
TMEM41A,,,
TOR1AIP2,,,
CNEP1R1,,,
WDR46,,,
PIM3,,,
ABHD13,,,
PSME3,,,
EIF2B2,,,
LINC00641,,,
PRKCD,,,
AGK,,,
MIR3186,,,
MALAT1,,,
MDM4,,,
MAN2A2,,,
DLD,,,
ANAPC4,,,
BIVM,,,
EIF5A,,,
RNF24,,,
HAPSTR1,,,
RBM33,,,
NAPEPLD,,,
RAB7A,,,
LSM8,,,
CHSY1,,,
CCSAP,,,
TOR3A,,,
ZBTB11,,,
TAP2,,,
ATF6,,,
SNX13,,,
ZNF767P,,,
DCTN5,,,
FZD6,,,
LOC100130691,,,
PSMC2,,,
FGFR1OP2,,,
YY1AP1,,,
WDR73,,,
MFSD5,,,
MAGEF1,,,
RPAIN,,,
PIP4K2C,,,
CERS5,,,
CDC42SE1,,,
DNAL1,,,
GIPC1,,,
SREK1,,,
IMPDH1,,,
RBCK1,,,
FBXO41,,,
ISY1,,,
TRA2B,,,
POLM,,,
SLBP,,,
KIAA0753,,,
SNORD10,,,
DDX39B,,,
TLE3,,,
ZNF12,,,
STK4,,,
SUPT4H1,,,
VEZT,,,
CXorf38,,,
KCNRG,,,
ANKMY2,,,
ARID3B,,,
METTL22,,,
HARS2,,,
NSUN5,,,
TBL2,,,
GATAD1,,,
PIAS1,,,
BRAP,,,
EGR3,,,
NAA25,,,
GPCPD1,,,
AGAP3,,,
CEP20,,,
PNN,,,
BACH1,,,
AREL1,,,
IVNS1ABP,,,
NOTCH1,,,
LINC01001,,,
KREMEN1,,,
FCRLB,,,
CDK5,,,
PCGF3,,,
ELAC2,,,
PLEKHM1,,,
LINC01004,,,
FLCN,,,
USP36,,,
CCT6P1,,,
CLSTN3,,,
RHBDF1,,,
NFKB1,,,
RB1,,,
ZSCAN25,,,
KLHDC7B,,,
TOX4,,,
GPBP1,,,
IST1,,,
G3BP2,,,
PLK3,,,
POLR1F,,,
LINC01000,,,
CHD4,,,
OPA1,,,
BOD1L1,,,
METTL17,,,
LINC00265,,,
FAM86B3P,,,
ST3GAL2,,,
CCDC122,,,
RNPS1,,,
HOTAIRM1,,,
ANKRD13A,,,
CX3CL1,,,
CDK13,,,
METTL2B,,,
TSPAN14,,,
DDX47,,,
GGA3,,,
LNX2,,,
DUSP15,,,
SP1,,,
GATAD2B,,,
U2AF1,,,
DDX42,,,
KATNBL1,,,
PMM2,,,
EPDR1,,,
SHISA4,,,
SPMIP4,,,
PPHLN1,,,
TMEM184C,,,
TRIM13,,,
TTYH2,,,
ZBTB49,,,
WASH7P,,,
PPIE,,,
ARMCX5,,,
ANAPC5,,,
ADNP2,,,
DIS3,,,
UBE2Z,,,
EIF4H,,,
PBX2,,,
AP1S1,,,
VMA21,,,
LY6G5B,,,
DCUN1D2,,,
ARFIP1,,,
TIMM29,,,
SLC39A9,,,
RSRC2,,,
MTERF1,,,
IRAK2,,,
TCERG1,,,
MOSMO,,,
MELTF-AS1,,,
PLXNA1,,,
SNORA67,,,
ZNF263,,,
DYRK4,,,
HOXC13-AS,,,
SEC11C,,,
ANKRD10,,,
ATR,,,
TM7SF3,,,
EMG1,,,
ZNF219,,,
ME2,,,
BAZ1A,,,
RAI1,,,
SDAD1,,,
UTP3,,,
RAB21,,,
NOCT,,,
ENOPH1,,,
BZW2,,,
FAM66D,,,
TRAFD1,,,
KRAS,,,
NUDT17,,,
MAPRE3,,,
STARD7-AS1,,,
GSAP,,,
UBE2Q2P16,,,
DTX3,,,
MID2,,,
CCNL1,,,
METTL2A,,,
TRIM47,,,
ZNF333,,,
ABCF2,,,
FAM209B,,,
EIF3B,,,
GAS8-AS1,,,
FAM86HP,,,
LINC03009,,,
LY6E,,,
UMPS,,,
LINC02946,,,
SMARCD2,,,
UGGT2,,,
CPSF6,,,
BCL2A1,,,
AEN,,,
RNF216,,,
TRIM38,,,
ANKLE2,,,
CRYAA,,,
NCKAP5L,,,
RBAK,,,
RRN3P3,,,
KRIT1,,,
U2SURP,,,
KCTD13,,,
GOLT1B,,,
PITPNA,,,
DHRS3,,,
NUP54,,,
SCARNA16,,,
CSNK1D,,,
PIGL,,,
HNRNPL,,,
MIOS,,,
SENP5,,,
PLEKHM1P1,,,
CHP1P2,,,
TBC1D10A,,,
TMEM248,,,
USP12,,,
HIVEP3,,,
CDRT15P1,,,
SEC61A1,,,
PTPN12,,,
ZNF212,,,
TPM3,,,
CAP1,,,
DYNC2I1,,,
INPP5F,,,
TMEM121,,,
SMG7,,,
SNORA48,,,
LMBR1L,,,
PELI1,,,
BRAF,,,
PLAT,,,
PITX1-AS1,,,
DEGS1,,,
ZNF654,,,
ORC5,,,
PIGB,,,
NDFIP2,,,
PRR22,,,
KCNAB3,,,
ZNF133,,,
TGDS,,,
KBTBD6,,,
DDX60L,,,
RBM28,,,
DDIT3,,,
ZNF207,,,
VPS9D1,,,
MICAL3,,,
SRRT,,,
BID,,,
AGFG1,,,
DHX38,,,
N4BP2L2,,,
DHX34,,,
RLF,,,
VAX2,,,
SLC25A12,,,
ZNF789,,,
FBP1,,,
PABIR2,,,
MTFMT,,,
KIAA1755,,,
DPY19L1P1,,,
GCC1,,,
CGGBP1,,,
RNF19B,,,
RHOT1,,,
NAA10,,,
DNAJB14,,,
LIMK2,,,
ZNF319,,,
SNHG4,,,
RCC1L,,,
MAP10,,,
EXOG,,,
NOMO1,,,
VPS8,,,
ARMCX6,,,
CBLL1,,,
C1orf74,,,
SNORA46,,,
TRPC4AP,,,
PARP11,,,
GCN1,,,
AK2,,,
PMS2,,,
NAGPA,,,
AGAP6,,,
PHF23,,,
JARID2,,,
LIN54,,,
CASP2,,,
ADGRG1,,,
HMGCL,,,
MKLN1,,,
OPHN1,,,
HOXD4,,,
TBKBP1,,,
UBQLN4,,,
GTF2F2,,,
CDK8,,,
BAZ1B,,,
SAP30BP,,,
SAMD13,,,
RNF6,,,
TRAPPC14,,,
ORAI2,,,
ZC3H7A,,,
DZIP1L,,,
LGALS3BP,,,
UNC119,,,
NPEPPS,,,
NAMPT,,,
LINS1,,,
STX18,,,
MAP3K11,,,
BTBD19,,,
TP53BP1,,,
GPALPP1,,,
GMPS,,,
RNF213-AS1,,,
RHBDF2,,,
COG5,,,
GLI1,,,
SNORD12B,,,
DCAF16,,,
TAB3,,,
PPCDC,,,
WTAP,,,
NDUFA9,,,
ANKRD61,,,
CCAR2,,,
SP140L,,,
ZNF700,,,
SUGP2,,,
RBM19,,,
POLR1B,,,
RUBCNL,,,
CIAO1,,,
AKAP8L,,,
DDHD1,,,
VARS1,,,
CKLF,,,
RNF213,,,
SNORD59A,,,
FIP1L1,,,
MALSU1,,,
CAMTA2,,,
MORF4L2,,,
DDX56,,,
CTDP1,,,
MCOLN2,,,
NPEPL1,,,
ELL,,,
PRPF39,,,
RGL2,,,
CD226,,,
CCDC126,,,
PNPLA8,,,
HOXC11,,,
CAPN15,,,
PPP1R18,,,
AVL9,,,
ZBTB48,,,
CRTC2,,,
RPTOR,,,
GTPBP1,,,
GSR,,,
MIR3176,,,
EPAS1,,,
GPATCH8,,,
JAZF1,,,
MKS1,,,
ARMC8,,,
EMP3,,,
GLYR1,,,
TENT4B,,,
SMARCC2,,,
LPCAT2,,,
GARS1,,,
FCHSD1,,,
CDCA4,,,
TMEM164,,,
PRR7-AS1,,,
P3H4,,,
SAP18,,,
HOXB7,,,
LDLRAD4,,,
PRDM4,,,
RBM22,,,
STX6,,,
TAMALIN,,,
DLEU1,,,
PALB2,,,
PANK2,,,
ZNF195,,,
HARS1,,,
CLBA1,,,
BCAP31,,,
LEMD2,,,
STEAP1B,,,
SART3,,,
SNORD21,,,
NDE1,,,
PHYHD1,,,
VPS33B,,,
ZNF500,,,
ZDHHC17,,,
SENP3-EIF4A1,,,
GPD2,,,
KDM6B,,,
TMEM106B,,,
CMTR1,,,
RBM48,,,
OBI1,,,
MIR590,,,
HUS1,,,
LAMTOR3,,,
CEP19,,,
PISD,,,
FAM111A,,,
MIDN,,,
PLAGL2,,,
KCNH8,,,
CMTM1,,,
SH2B2,,,
ZNF267,,,
TRIM24,,,
ZNF92,,,
VPS18,,,
MYBBP1A,,,
UBR7,,,
MICB,,,
HIF1A,,,
ACP6,,,
APOBEC3C,,,
TOP3A,,,
FBXW7,,,
HAUS3,,,
CD27-AS1,,,
SGCA,,,
COX10,,,
ZNF775,,,
USP3,,,
VPS50,,,
LRIF1,,,
ATP6V1B1,,,
OGT,,,
GSPT1,,,
NUDCD3,,,
POLR3K,,,
PELP1,,,
ANKRD13D,,,
OCIAD1,,,
DPF1,,,
DNAJC2,,,
COX16,,,
PIGG,,,
SEPTIN9,,,
TANK,,,
PPP1R12A,,,
ZNF138,,,
RC3H1,,,
CMC2,,,
GNB2,,,
HOXC4,,,
SDE2,,,
SKIC8,,,
N4BP2L2-IT2,,,
LSMEM1,,,
CCDC57,,,
TP53RK,,,
UTP14C,,,
ATP13A1,,,
USP39,,,
POC5,,,
FCGR2A,,,
SLC44A1,,,
WDR91,,,
CDK2AP1,,,
STK40,,,
ZFYVE27,,,
LRP6,,,
RP9,,,
NFE2L3,,,
EXOSC8,,,
PRP4K,,,
FDXR,,,
ALKBH1,,,
CHCHD6,,,
RELCH,,,
MAD2L1BP,,,
CUL1,,,
CCT6A,,,
POLR2B,,,
NEURL3,,,
CCDC14,,,
C5orf58,,,
PRKXP1,,,
NT5C3B,,,
SENP1,,,
MLF2,,,
RBBP6,,,
CLEC7A,,,
MCTP1,,,
ZYX,,,
ZNF277,,,
CDC16,,,
PRR13,,,
POU5F1P3,,,
CHMP2B,,,
GRAMD1A,,,
MARVELD1,,,
KBTBD2,,,
PPP2R2A,,,
GTPBP2,,,
WASL,,,
FANCL,,,
INTS9,,,
INTS14,,,
FERRY3,,,
MINDY3,,,
CNOT11,,,
HYCC2,,,
LOC254896,,,
NUFIP2,,,
ZDHHC4,,,
APOBEC3B,,,
HGS,,,
RAB4B,,,
H3P6,,,
CPSF4,,,
RUFY3,,,
PLOD3,,,
TCHP,,,
TNPO3,,,
CYTH3,,,
R3HDM4,,,
RNF19A,,,
SQSTM1,,,
GYG1,,,
ATP6V1B2,,,
RNF114,,,
SNORA7B,,,
M6PR,,,
SNX33,,,
TP53,,,
SNORA31,,,
TSR1,,,
IQCB1,,,
MBLAC1,,,
IGSF3,,,
TMEM177,,,
TSC22D4,,,
SRGAP2,,,
PSMC1,,,
MIR3939,,,
OSER1,,,
CBARP,,,
ARGLU1,,,
LOC729737,,,
GPATCH2L,,,
ALOX12,,,
MARCO,,,
UPP1,,,
SELENOP,,,
NUMB,,,
ECHDC3,,,
RPL36A,,,
IRAK4,,,
C15orf40,,,
RLIM,,,
WASH3P,,,
URGCP,,,
ACSL3,,,
HCCAT5,,,
SNORD17,,,
METAP1,,,
TMCC3,,,
SLC22A17,,,
AKAP10,,,
SRXN1,,,
SLC4A5,,,
PCGF2,,,
ALPK1,,,
FAM131B,,,
UBE2M,,,
AP1G1,,,
PRELID1,,,
SLC7A1,,,
YTHDC1,,,
MARCHF9,,,
TMED3,,,
SLC25A40,,,
SPPL2B,,,
SLC25A29,,,
LIG4,,,
PIMREG,,,
LRRC23,,,
MIR3936,,,
KDELR2,,,
RAE1,,,
SPAG1,,,
SPRY4,,,
EIF4A3,,,
GTPBP10,,,
NMRAL2P,,,
NUP153,,,
APOBEC3A,,,
GIGYF1,,,
GIHCG,,,
UQCC6,,,
CAPZA2,,,
METAP2,,,
SNRPF,,,
POT1,,,
SUZ12P1,,,
MSL1,,,
VCPKMT,,,
PAQR6,,,
ZNF839,,,
LTB4R2,,,
SUSD6,,,
FANCI,,,
USP2,,,
UIMC1,,,
RYBP,,,
ARAF,,,
COPS6,,,
KMT5C,,,
SRP68,,,
ASB16,,,
SRI,,,
NALF2,,,
DDA1,,,
DHX36,,,
COA1,,,
XPO4,,,
HEATR3,,,
ARHGEF7,,,
RNF187,,,
MINK1,,,
CEP350,,,
NAXD,,,
TRMT10C,,,
RBM15,,,
EIF2B5,,,
PLA1A,,,
ERGIC2,,,
SLC25A26,,,
DNAJA2,,,
CFAP45,,,
CDK18,,,
LIPN,,,
LUC7L3,,,
SMIM14,,,
RBM25,,,
CYREN,,,
GTF3A,,,
OTUB2,,,
SLC43A2,,,
CENPJ,,,
RCHY1,,,
PPP1R15A,,,
CDO1,,,
LRWD1,,,
SEC24B,,,
UCHL3,,,
LAS1L,,,
LMF1,,,
ZNF384,,,
RASA2,,,
CCZ1,,,
TAF7,,,
DPY19L2,,,
PPIA,,,
NGRN,,,
IDH3A,,,
KMT2B,,,
MAEA,,,
THEM4,,,
NOXO1,,,
ST7,,,
KDM3A,,,
ATXN2L,,,
MAP3K1,,,
ACOT7,,,
NT5C3A,,,
STKLD1,,,
COASY,,,
SNORD117,,,
CNTROB,,,
CARD16,,,
ZNF530,,,
ABCG2,,,
PER1,,,
DMPK,,,
VASP,,,
AAGAB,,,
SRSF9,,,
EIF2B1,,,
VPS13C,,,
POMT2,,,
GFER,,,
TMC6,,,
CHD2,,,
WASH8P,,,
MOAP1,,,
NDUFAB1,,,
ELP5,,,
SETD6,,,
ZNF697,,,
KIFC3,,,
PRKD2,,,
ANKIB1,,,
DEF8,,,
ANKRD33B,,,
MZT1,,,
PMS2P5,,,
RBM26,,,
RSAD2,,,
ARF6,,,
IL10RB,,,
B3GNTL1,,,
RNF157-AS1,,,
CD9,,,
CEP170B,,,
FAM185A,,,
PSMA2,,,
POU3F1,,,
FBXO34,,,
TBK1,,,
RHPN1,,,
EDC3,,,
GIT1,,,
