GSE91061,GSE61992,GSE91061|GSE61992
GNG2,ATP5F1EP2,GSTO1
SESN3,STC1,TMEM43
PCDHB7,FKBP5,MBTPS1
WWP2,HLA-B,ZNF394
DACT3,BLOC1S6,DNAJC9
RNF150,TMCO1,ZNF410
TERF2,GSDME,POMP
MIR1915HG,CFL1,LINC00221
PRCP,SLC25A23,PLXNA1
LPL,CTSZ,DDR2
TGFBR2,DAB2,
MEF2C,DDX17,
DACT3-AS1,IFI27,
PPP2R5B,CSE1L,
NMT2,DUSP19,
KLHL34,SLC37A4,
STAC2,NPTX2,
PCDHGA6,AURKA,
SHTN1,CTSG,
LINC00111,DNAJB1,
NFATC3,NAP1L4,
ZFP1,S100A3,
ZNF813,PSME1,
ARHGAP42,NISCH,
HSD17B4,AOC4P,
INKA2-AS1,ZNF682,
RAB30,NSMCE1,
EPS8L2,ANKRD37,
GLG1,RPL21,
MIPEP,BTG3,
LNPEP,OCA2,
GDE1,UBE2F,
MIR4435-2HG,AP1M1,
TMEM145,ITGA3,
KIAA0319,QRFPR,
NTF3,TNFRSF21,
LDLRAD4,TRIM4,
ARHGAP6,HERPUD1,
TTYH2,MARCHF6,
PCDHGA12,EXOSC10,
SNRPA1,IL1B,
TP53INP1,HIGD2A,
DSEL,RAB33A,
LINC02946,LASP1,
ARB2A,SYVN1,
PCDHB15,TMED7,
SKIDA1,ACTL6A,
MED29,IGKV1ORY-1,
NUCB1,DPM1,
FAM161B,PNPT1,
PCDHB2,CALR,
ZNF563,PBK,
SAMD13,CFAP68,
TIGAR,HLA-DRA,
GALNT14,LRRFIP1,
POU3F1,KLHL9,
NR3C1,MOK,
TMEM47,RBM34,
SYNGR1,RAB9A,
MAP10,CFAP74,
ALDH7A1,RBM23,
ST8SIA2,RAMP2-AS1,
MARCHF9,S100A8,
TCF7L1,FKBP14,
ISG20,DARS2,
CARD14,CCL8,
ABCG2,NDUFAF6,
HCG11,RFTN1,
FCMR,IER5L,
DNM1P46,ALPP,
ARPC1B,MX1,
RTN4R,FICD,
RIPK4,CDCA7,
COBLL1,PIGM,
CDKL5,DDX27,
RBL2,UBP1,
FBLL1,GID8,
LMCD1,TAGLN,
DLX5,COX7A2,
CDH6,CCDC117,
PYCR2,PPFIBP2,
SIRT4,FBXO32,
HNMT,ATP2A2,
PLOD1,SS18L2,
GALNS,SRPRB,
SLC39A11,DPF2,
EPAS1,SERTAD1,
ZNF598,IMPA1,
PIK3R1,PLEKHG3,
TENT5A,EVI5,
EHD2,IL10,
DKKL1,ZBTB4,
SNAI2,MED25,
FTO,CD83,
CLDN12,TAP1,
PGAP6,WIPI1,
ACOT7,BLZF1,
ATG101,CATSPER2,
DDX6,ITPR1,
NFKB2,STX5,
NMRAL2P,ATP7A,
NECAP1,EBNA1BP2,
PCDHGC3,ANGPTL7,
SOAT2,TTC17,
ADCK2,ITPK1,
ABLIM3,GBP5,
SYNGR2,FADD,
ST7,SLC38A10,
RSPH9,P4HB,
REPIN1,DIP2B,
TOR3A,IGFBP6,
C15orf39,NBPF11,
