GSE91061,GSE61992,GSE91061|GSE61992
RAB8B,ATP5F1EP2,EHD1
RASGRP4,SLC25A23,DNAJB1
N4BP1,HLA-B,S100A9
NUMB,TMCO1,CXCL16
GPCPD1,FKBP5,ARID3A
SLC26A8,DAB2,CFL1
MKNK1,TNFRSF21,SS18L2
G0S2,STC1,S100A8
ELL,SLC37A4,ZNF394
MPP1,DDX17,PSME1
NAIP,TMED7,BLOC1S6
SAMSN1,ANKRD37,LAMP1
BNIP2,IFI27,POMP
PIK3R5,TAGLN,GNB1
GZF1,IGKV1ORY-1,FLOT2
ZNF267,NSMCE1,
TNIP1,UBE2F,
GTPBP1,AURKA,
NLRP3,RBM34,
ZFP36,HJURP,
TAGAP,GORASP2,
CD53,GSDME,
EVI2B,VWF,
DAPP1,CFAP68,
BCL6,RAB33A,
CCNL1,RAB9A,
SUSD6,S100A3,
ZDHHC18,AP1M1,
LCP1,SUMO1P3,
RABGEF1,TFAP2A,
C9orf72,GSTO1,
USP15,PNPT1,
SIGLEC14,CSE1L,
MIR4257,RPL27,
DYSF,ITGA3,
HYCC2,C1orf174,
PFKFB3,DARS2,
FCGR3B,VPS53,
CEACAM3,SMG1P2,
BIN2,DPF2,
LYN,PBK,
PTPRC,IGFBP6,
GCA,UBAC2,
FPR1,COX7A2,
MTF1,UBP1,
CPD,SRPRB,
SNN,C6orf62,
FAM209B,HLA-DRA,
STEAP4,MBTPS1,
CSF3R,ZBTB4,
MEFV,EIF1AX,
NFKBIA,DUT,
LOC729737,RNPEP,
KDM6B,CTSZ,
FAM53C,LINC00221,
CXCR2,RFTN1,
CXCR1,ISYNA1,
MKNK1-AS1,WDR18,
DDX60L,PBX3,
C3AR1,OCA2,
MXD1,PDLIM1,
FPR2,DCTD,
RESF1,UBE4B,
IRAK3,,
NFKBID,,
VAV1,,
STK4,,
FAM157A,,
H3-3A,,
CWC25,,
C5AR1,,
REL,,
CLEC12A,,
TNFAIP6,,
CAMK2G,,
MAP2K3,,
POU5F1P3,,
VNN2,,
LCP2,,
FFAR2,,
TNFRSF10C,,
SCARF1,,
TRIM25,,
SNORD10,,
PLEK,,
ADGRG3,,
CSF2RB,,
FCAR,,
ADGRE3,,
NCF2,,
H3P6,,
SLC2A3,,
FAM157B,,
OSM,,
SIGLEC5,,
XPO6,,
LSMEM1,,
MCTP1,,
MNDA,,
H1-4,,
MIR3909,,
LIPN,,
GK,,
TREML3P,,
SAT1,,
TSPAN16,,
H2BC18,,
MMP25,,
HCAR2,,
CLEC4D,,
IL1B,,
IRAK2,,
ARHGAP26,,
HCAR3,,
CXCL8,,
PROK2,,
SELL,,
GADD45B,,
ZC3H12A,,
H2BC21,,
SLED1,,
SLC2A14,,
ARRB2,,
PTGS2,,
CDKN2D,,
MIR3945,,
SNORA31,,
IL18RAP,,
CDC42EP2,,
LINC02649,,
CYTH4,,
NOD2,,
SLC25A37,,
MIR629,,
BASP1,,
VASP,,
TREM1,,
DHX34,,
CSGALNACT2,,
RILPL2,,
PTPRE,,
ARID3B,,
IL1RN,,
CASP5,,
PTK2B,,
SLC12A6,,
TLR2,,
CARD17P,,
STK40,,
LITAF,,
LOC100131635,,
ALOX5AP,,
GCM1,,
NAMPT,,
HILPDA,,
DENND3,,
MYADM,,
ITGAX,,
H3-3B,,
KLF10,,
APOBEC3A,,
PPP1R15A,,
ATG16L2,,
LIMK2,,
SRGN,,
SNORD89,,
ADIPOR1,,
FYB1,,
SH2D3A,,
ZNF230,,
PRKCD,,
ADGRE2,,
KATNBL1,,
SNORA48,,
NFKBIZ,,
CCL20,,
ACSL1,,
TNFRSF1B,,
DNAH17,,
PREX1,,
CSRNP1,,
IRF1,,
TMEM71,,
GPR84,,
NDEL1,,
S100A12,,
AGTPBP1,,
RNF213-AS1,,
NUP98,,
PIAS1,,
IFITM2,,
MOB3A,,
CAMKK2,,
TNFAIP3,,
CFLAR-AS1,,
MCEMP1,,
MIR3198-1,,
IFNGR1,,
RLF,,
BCL2A1,,
FOS,,
CFAP45,,
TANK,,
MCTP2,,
MIR223,,
RASA2,,
RASSF5,,
RNF149,,
MIR1976,,
MALAT1,,
CAP1,,
SLC11A1,,
CASS4,,
TMEM154,,
TNIP3,,
ZSWIM6,,
CLEC4A,,
CXCL2,,
AQP9,,
C5AR2,,
RIT1,,
PGS1,,
UBAP1,,
SOD2,,
CYTIP,,
RSAD2,,
CHST15,,
MYO1F,,
MIR3945HG,,
NFIL3,,
CLEC4E,,
SLA,,
TREML4,,
CCNK,,
FGR,,
SLC43A2,,
APBB1IP,,
CMTM2,,
U2AF1,,
R3HDM4,,
ALPL,,
TOR1AIP2,,
WDFY3,,
DCUN1D3,,
CEACAM4,,
ROPN1L,,
NABP1,,
KCNJ15,,
CCL3,,
IL10RB,,
WAS,,
WTAP,,
HCLS1,,
MIR4632,,
CCRL2,,
GRAMD1A,,
ARL5B,,
H2BC4,,
HCK,,
SNORD117,,
ANKRD13A,,
PPP1R15B,,
PELI1,,
IL1R2,,
DOCK8,,
FMNL1,,
TMCC3,,
GPR65,,
CYRIA,,
LILRA5,,
EVI2A,,
IPMK,,
USB1,,
CYB5R4,,
KIF21B,,
KLF2,,
LINC01001,,
RHOG,,
SMCHD1,,
CR1,,
MPZL3,,
ZNF200,,
MIR4772,,
ZNF143,,
CMTM6,,
ETF1,,
APAF1,,
NCF4,,
MGAM,,
PNRC1,,
MTMR3,,
TUT7,,
C15orf39,,
ASTL,,
NHSL2,,
GLIPR2,,
HIF1A,,
CLEC7A,,
SNORA67,,
PPIF,,
MCOLN1,,
HSH2D,,
SEMA4A,,
RYBP,,
FCGR2A,,
ADAM8,,
NAGK,,
ALPK1,,
ZBP1,,
SOCS3,,
UBE2D1,,
CHP1P2,,
RGL4,,
NBEAL2,,
PLAUR,,
CBL,,
RAB24,,
UNC119,,
