GSE91061,GSE61992,GSE91061|GSE61992
CD8A,TRIM4,GBP5
CD8B,SLC37A4,TAP1
GPR171,MAGED1,HLA-B
FASLG,STC1,PSME1
IFNG,S100A3,CCL8
TIGIT,ADO,WAS
JAKMIP1,YEATS2,HCLS1
NKG7,HLA-DRB6,IRF8
LAG3,RAB33A,LRP3
SLA2,CFL1,FNBP1
IL2RB,DLD,KLHL9
CCL5,EXOSC10,HLA-DRA
CXCR6,RAB9A,PRAME
IL12RB1,TFAP2A,IFI27
GZMA,TNFRSF21,RPL27
PRF1,WBP11,UBP1
CD3G,GALNT11,NPTX2
CD2,BLOC1S6,
AKAP5,SS18L2,
SIRPG,AP1M1,
PDCD1,SLC25A23,
CRTAM,ZNF358,
SLAMF6,DDX17,
CD38,CDCA7,
TRAC,NDUFAF6,
FCRL6,TAGLN,
IKZF3,GNB1,
CD96,KIAA1671,
GBP4,AURKA,
KLRD1,DIPK1C,
PLAAT4,CTSZ,
ASCL2,CD83,
GZMH,ATP5F1EP2,
SH2D1A,TMEM43,
LCK,BAG3,
APOBEC3H,IGKV1ORY-1,
TBX21,IMPA1,
GZMK,LINC00221,
THEMIS,CALR,
CALHM6,CTTN,
UBASH3A,RBM34,
SLAMF7,COMMD6,
CD3E,DPY30,
CD226,MBTPS1,
GIMAP4,PIGM,
C1QC,GMPR,
GRIN3A,CCDC6,
GBP1,MAL,
C1QA,FOXC1,
CD72,PSMB6,
C1QB,IRF2BP2,
CD3D,LAMP1,
APOL3,,
TRAT1,,
TOGARAM2,,
GBP1P1,,
SCIMP,,
LILRB1,,
SAMD3,,
ICOS,,
TRAFD1,,
RAB37,,
CTSW,,
CD247,,
BHLHE40-AS1,,
CXCR3,,
GFI1,,
BATF2,,
CXCR2P1,,
ITGAL,,
GIMAP6,,
CXCL9,,
MAP4K1,,
GCH1,,
PATL2,,
XCL1,,
TLR8,,
IRF1,,
TOX2,,
CCR5,,
CD86,,
CXCL10,,
CTSC,,
XCL2,,
PSMB10,,
PTPN22,,
GBP2,,
IL10RA,,
SLFN12L,,
FCRL3,,
FBXO6,,
CARINH,,
SECTM1,,
DTHD1,,
PCED1B,,
AOAH,,
USP30-AS1,,
CD27,,
EBI3,,
CD7,,
CCL4,,
APOL4,,
ITK,,
TARP,,
CD244,,
PPP1R16B,,
ITGB7,,
KLHDC7B,,
NCR1,,
P2RY6,,
PDCD1LG2,,
IL2RG,,
IRF2,,
STAT1,,
TRAV12-2,,
SIT1,,
GVINP1,,
ZNF683,,
GNGT2,,
GZMB,,
NCKAP1L,,
STX11,,
NLRC3,,
KLRG1,,
PRKCH,,
PLA2G2D,,
GZMM,,
FGD2,,
GIMAP7,,
WARS1,,
HLA-E,,
SOCS1,,
ERAP2,,
CXCL11,,
IL21,,
ACOD1,,
CDC42SE2,,
GIMAP2,,
P2RY10,,
RASSF4,,
PTPN7,,
SLC8A1,,
NLRC5,,
TRAV21,,
KLRC1,,
STAT4,,
BTN3A1,,
PSMB9,,
CNOT6L,,
ZBED2,,
SRD5A3-AS1,,
TRIM22,,
VAMP5,,
HLA-H,,
CXCL13,,
P2RY12,,
HLA-F,,
MS4A6A,,
ABI3,,
ITM2A,,
B2M,,
TIFAB,,
PYHIN1,,
SLC31A2,,
RCSD1,,
GPR18,,
ST8SIA4,,
SNX20,,
TNFRSF9,,
IPCEF1,,
PSTPIP1,,
LILRB2,,
AKNA,,
NECAP2,,
CD6,,
ZNF101,,
MAX,,
APOBEC3G,,
ANKRD22,,
APOBEC3D,,
UNC93B1,,
CEACAM21,,
EPSTI1,,
UBE2L6,,
LGALS17A,,
HLA-C,,
HCST,,
PSTPIP2,,
IKZF1,,
GNLY,,
BTLA,,
LAX1,,
EVL,,
LAP3,,
IL4I1,,
TRIM14,,
RASGRP1,,
DOK2,,
IL21R,,
TOX,,
FCGR3A,,
SMIM43,,
CLEC2D,,
PTPRN2-AS1,,
SAMHD1,,
BTN3A3,,
INPP5D,,
P2RY14,,
TRAV13-1,,
TRIM21,,
GALM,,
CD80,,
SLAMF8,,
RASAL3,,
APOBEC3C,,
TNFSF10,,
TTC24,,
EID2,,
SEPTIN1,,
ARHGAP30,,
APOL6,,
MARCHF1,,
TNFSF13B,,
ZNF80,,
SH2D2A,,
APOBEC3F,,
TAPBPL,,
IL15,,
FCGR1A,,
CMKLR1,,
JAK2,,
NMI,,
ARHGAP9,,
GIMAP1,,
IFI35,,
GRK2,,
BATF,,
TESPA1,,
SLA,,
