GSE91061,GSE61992,GSE91061|GSE61992
CTLA4,STC1,TMEM163
DOCK9,S100A3,CTSG
ZDHHC23,CFL1,GORASP2
GPR15,NPTX2,NAP1L4
SANBR,SRP14,ENTPD1
CFAP161,IGFBP6,
EFCC1,CTSZ,
SCML1,DAB2,
BMPR2,EHD1,
IL10,HERPUD1,
FLT1,DPF2,
COL13A1,SS18L2,
THSD1,SERTAD1,
GOLGA7B,GSDME,
SMCO2,NPAS1,
EIF5A2,IL1B,
FAM135B,ITGA3,
LINC00312,UPP1,
IZUMO1,UBE2F,
LGR6,PBX3,
DMBT1L1,GID8,
PIEZO2,POMP,
GPR55,TESC,
GLB1L3,STX5,
FGF1,CALR,
RXFP3,SLC25A23,
ZNF341,P4HB,
RUNX2,S100A8,
LOC374443,YEATS2,
JAK1,SLC38A10,
SFRP5,PNPT1,
KRTAP20-2,CXCL16,
SH3KBP1,WIPI1,
KRTAP22-2,NRIP3,
PLEKHG1,DNAJC9,
TNFRSF11B,RFTN1,
KIAA1549L,WBP11,
RHEBL1,COX17,
MIA-RAB4B,ATP5F1EP2,
ST7,COBL,
NTRK3,MYPOP,
LINGO1,TNFAIP3,
GSG1L,WBP2,
UBE2J1,CD83,
PLCZ1,KLHL9,
LINC00426,PPP1R3C,
ZNRF1,DLD,
TINCR,ZNF358,
KHDRBS2,RPL27,
ITPKA,FICD,
WFDC11,DNAJB1,
CFAP92,VPS53,
TAL1,GALNT11,
TMEM254-AS1,GSTO2,
QDPR,CDCA7,
LINC00698,S100A9,
ANO1,HNRNPA1P33,
CROT,KIAA1671,
DRAXIN,,
SPATS2L,,
DGCR5,,
GNS,,
LINC00499,,
ABCA4,,
ACVR1,,
NHS,,
CAMK1G,,
CCN4,,
TBL1Y,,
GSX1,,
GRM3,,
CYP24A1,,
GHRLOS,,
PAX6,,
CHN2,,
MATN3,,
LEMD3,,
FLNB,,
PXK,,
ISM2,,
CLEC2D,,
ADGRG2,,
SV2C,,
BCL2L11,,
KLKP1,,
PMAIP1,,
ZNF700,,
KRTAP19-6,,
CTNNA2,,
EMX2,,
MT1L,,
RERE,,
NKD1,,
ADCY2,,
BLVRA,,
DBI,,
DNTT,,
OTUD3,,
CARD8,,
TMEM14A,,
WDPCP,,
CELF2,,
ST8SIA1,,
PRRT2,,
TMEM204,,
UPK1A-AS1,,
NOTUM,,
CST7,,
GATD1,,
KLHL5,,
EPAS1,,
ANKRD20A4P,,
CACHD1,,
GAD1,,
MEPE,,
PPFIBP1,,
ARHGEF3,,
MMP13,,
SCN8A,,
EPB41L3,,
PDE6H,,
INSIG2,,
GATA1,,
GYPB,,
MNX1,,
SLC15A4,,
NXPE3,,
ZNF37BP,,
TG,,
EMX2OS,,
CRYGS,,
HNRNPUL2,,
CYP20A1,,
GOLGA2P5,,
PCGF5,,
SIGLEC6,,
TARS3,,
LINC00887,,
CCND1,,
CAND1,,
APBA2,,
AKIRIN2,,
EPX,,
SLC5A8,,
MICAL2,,
PGM5,,
CCDC148,,
KCNMB3,,
SRARP,,
THSD4,,
