GSE35640,GSE61992,GSE91061,GSE22155_47,GSE22155_02,GSE35640|GSE61992,GSE35640|GSE91061,GSE35640|GSE22155_47,GSE35640|GSE22155_02,GSE61992|GSE91061,GSE61992|GSE22155_47,GSE61992|GSE22155_02,GSE91061|GSE22155_47,GSE91061|GSE22155_02,GSE22155_47|GSE22155_02,GSE35640|GSE61992|GSE91061,GSE35640|GSE61992|GSE22155_02,GSE35640|GSE91061|GSE22155_47,GSE35640|GSE91061|GSE22155_02,GSE35640|GSE22155_47|GSE22155_02,GSE61992|GSE91061|GSE22155_02,GSE91061|GSE22155_47|GSE22155_02,GSE35640|GSE61992|GSE91061|GSE22155_47,GSE35640|GSE61992|GSE91061|GSE22155_02,GSE35640|GSE91061|GSE22155_47|GSE22155_02,GSE35640|GSE61992|GSE91061|GSE22155_47|GSE22155_02
SNORA21,FBXO2,P2RX2,OLFML3,LOC606724,ODAD3,ZRANB2-AS1,XKR4,RPL24,TESK1,PTPRF,RNA28SN5,ANO9,CLEC17A,LINC00857,RBM4B,CDC42,SPIB,RPS11,RPS10,FOXP3,RGL4,RPA2,KDM2B,CXCR5,CCL21
NACA4P,GALNT12,CLLU1,FAM163A,MYBPC2,HES4,HMGN2,GRIN1,VIPR2,GSAP,LCP2,DRD3,DDX39A,CNR2,CDH18,LRBA,TOMM70,NCR3,RPS25,NXPE3,,USF1,BCL11B,MEF2C,VPREB3,AP4B1
RPL41,GSTA4,IL17REL,MRAP2,MSX2P1,FAM53B,ARL11,SFTPB,TXNDC2,SGSM2,ANO4,HLA-J,AURKC,LINC01501,POPDC2,SZRD1,GFM1,LTA,RPL23A,P2RY8,,GZMK,,SNN,GP1BA,
RPL41P1,FCER1A,PCED1B-AS1,MRGPRX4,CCDC183,VRTN,AICDA,POU5F1B,TPT1,AFF2,,RPL13AP3,YJU2,PLEKHG7,TRMT2A,ATXN1L,SSU72,SHISAL2A,RPS4X,ERG,,POLR3K,,CAPZB,TLR10,
RPL41P2,MEX3B,VAV3-AS1,PTCHD3,TMOD4,FBXW8,RPL21,GRIK1-AS1,TMSB10,TINCR,,COQ3,BNIP1,CLEC9A,SH2D1B,ABCC3,CCDC107,TDG,CD40LG,AUP1,,RAB24,,ATP5IF1,FCER2,
RPL41P5,H2BC11,LINC00861,DNTTIP1,CD8A,DNAJC16,IGHD,CARD9,RPL39,GNG2,,SELE,HINFP,SERPINB9P1,ZNF622,PHLPP2,COQ5,STAP1,ADGRG5,TJAP1,,GIT2,,FCMR,TCL1A,
SNORD54,MTRNR2L1,LINGO3,SYT6,OR13A1,TYMP,MAP3K14-AS1,IGLL1,FITM1,BACE2,,,GPN2,CEACAM21,NT5C,SEPTIN9,,ANXA2R,FAM216B,REM2,,INO80C,,CNOT1,BANK1,
HNRNPA1P35,H2BC12,FUT7,NXF2,CDH26,TXLNA,MIR7-1,ATP6V0E1,ASZ1,ZNF767P,,,RPAIN,WNT10A,VPS33B,DNMT3A,,PDE7A,UBA52,TRIM68,,FIS1,,PPIL3,FCRL2,
HNRNPA1P4,LOC646471,GRK2,KRT12,CYP2C8,PLPP1,LSM14A,ZNF221,TMBIM4,TNNI3,,,GEMIN4,ZNF721,RARS1,TNRC6C,,PTK2B,RPL32,DSN1,,,,,CD5,
HNRNPA1P7,ZNF250,ARRDC5,GTSF1,ATG101,TTLL5,CRIP3,RAPSN,KCNK17,,,,ELP4,CXCR3,,ZNF93,,FCRL5,TLR9,TXNDC12,,,,,CCR7,
RPL24P2,GLA,LOC100130298,SERPINI1,RPGRIP1,LRRC40,HMGN1,UTRN,FAM177B,,,,LINC00239,NUGGC,,SNRNP35,,LAT2,DTX1,BMS1,,,,,CD79A,
RPL24P8,IGSF3,SCIMP,SPACA3,PEBP4,TAB3,ICOSLG,SPHKAP,RPL27,,,,,DGKZ,,TAOK3,,GOLPH3L,C1orf220,FEM1C,,,,,FGD3,
HNRNPKP4,CFAP161,ECE1-AS1,SYCE1,SPDYE7P,FOXO3B,CDKN2D,C19orf44,RPS12,,,,,ZSCAN32,,BMAL1,,ZBTB18,EEF1A1,TMED9,,,,,CARMIL2,
