GSE35640,GSE61992,GSE91061,GSE22155_47,GSE22155_02,GSE35640|GSE61992,GSE35640|GSE91061,GSE35640|GSE22155_47,GSE35640|GSE22155_02,GSE61992|GSE91061,GSE61992|GSE22155_47,GSE61992|GSE22155_02,GSE91061|GSE22155_47,GSE91061|GSE22155_02,GSE22155_47|GSE22155_02,GSE35640|GSE61992|GSE91061,GSE35640|GSE61992|GSE22155_47,GSE35640|GSE61992|GSE22155_02,GSE35640|GSE91061|GSE22155_47,GSE35640|GSE91061|GSE22155_02,GSE35640|GSE22155_47|GSE22155_02,GSE61992|GSE91061|GSE22155_02,GSE91061|GSE22155_47|GSE22155_02,GSE35640|GSE61992|GSE91061|GSE22155_02,GSE35640|GSE61992|GSE22155_47|GSE22155_02,GSE35640|GSE91061|GSE22155_47|GSE22155_02,TCGA-SKCM,GSE35640|TCGA-SKCM,GSE35640|GSE61992|TCGA-SKCM
SNORA21,INHBB,RNF17,TRANK1,KCNJ15,NACA4P,SAMD15,GLOD5,CDH23,PLXNA1,GIMAP6,GBA2,F11R,CCL2,TMEM26,CAPZA1,NAT8B,HAMP,ETF1,SLC2A5,PLEK,SMIM3,FCN1,HK3,TMEM176A,THEMIS2,SPANXD,RPL41P1,SOCS3
RPS11,STARD5,AKR1A1,SUCNR1,OSM,RPL24,C19orf47,TRPC3,A1CF,SESN3,LZTR1,CXCL16,CALHM6,CD300C,SNRPB,ZNF319,ANGPTL7,MYO1G,RPA2,IL2RA,P2RY8,KCNK13,NCEH1,VSIG4,,,CXCL3,RPL41P5,TMA7
RPL41,YPEL4,ECEL1,RTL10,DYSF,ZNF613,CASS4,CCDC198,NXF3,SLC20A2,KBTBD8,TNFRSF1B,NELFB,SIGLEC9,GTF3C5,LILRB4,,ZMYND15,ARHGAP18,LINC01094,,P2RY6,CD33,CSF1R,,,WNT5A-AS1,EEF1A1P5,
RPL41P2,GADD45G,PDCD1LG2,GEMIN4,PRAM1,RPS25,YWHAG,SULT2A1,OPRK1,SPHK2,RPAIN,TPCN1,TNFSF13B,RAB8A,PTPN9,SIGLEC10,,CYTH4,ACAT2,TLR8,,IKBKG,,CTSB,,,SMILR,HMGB1P6,
SNORD54,PPFIBP2,TEKT5,HMGCL,FMNL1,SERPINB5,ARL11,BEX1,NT5C1B,SLC31A2,PSPC1,TYROBP,CD48,PGD,RAPSN,ZBTB8OS,,TGM2,,MSR1,,PNPLA6,,SLC7A7,,,MT-CYB,HMGB1P10,
FSD2,CBX6,PRSS56,GOLT1A,DOK3,RPS4X,HMGN2,TMED7,TLL1,CCDC106,ZNF74,NCF4,MCM2,LACTB,FITM1,IL17RA,,LMO2,,SQOR,,LRRC25,,CHST15,,,MT-RNR2,PPIAP22,
NPY4R,NOTCH3,ACP2,ODF2L,LST1,FBXL14,TIGD4,CTNNA1,JAKMIP3,MYO7A,IL2RB,UNC5B,GINS3,SLC25A19,FOXO1,FRG1,,SLC8B1,,TMEM150B,,ABI3,,LAPTM5,,,RPL29P19,PPIAP29,
NPY4R2,ESAM,CST5,SKI,RNASE2,MMP11,MRFAP1,HDAC1,ENPP6,TWIST1,,NFKBID,KYNU,MARCO,IL18RAP,FAM20C,,SLCO2B1,,CYBB,,FGR,,SLAMF8,,,HNRNPCP2,RPL21P16,
TEX13B,CYB561D1,IRF2,PCSK9,SRGN,GRIK5,CAP1,MARVELD3,ELL,MICALL2,,MOB3A,NMT2,PTPRO,,DTX2,,BCL2L1,,PTAFR,,TCIRG1,,SLC11A1,,,SMG5,MT-ATP6,
CAPS2-AS1,CD248,FABP6,NOBOX,NCF2,PDGFB,PPP5C,SARNP,ACOT9,PNKD,,ARHGAP26,LRRK2,CLEC5A,,VSIR,,ZNF684,,CMKLR1,,ADAP2,,CD14,,,PPP1R14BP3,MT-ATP8,
MIR3152,CYGB,NPPC,RCC2,LILRA3,AKIP1,CYFIP1,IL7R,RPS12,NUCB1,,FOSL2,SEC24D,LGALS9,,FLVCR2,,ENG,,GRB2,,CEBPB,,PILRA,,,MT-RNR1,MTATP6P1,
LINC00683,DCAF11,CDCP1,NCOA5,MCEMP1,IGSF21,SIRPB2,ZNF564,C17orf78,USP38,,ROBO4,,VAC14,,MMP9,,CD4,,ST8SIA4,,SPI1,,,,,MT-TP,MT-CO2,
LINC01101,GABRE,RELB,OSGIN1,C1orf162,RPL22,NUB1,GPN1,CD84,MMP19,,PKD2L1,,MAPKAPK3,,,,TREM2,,C3AR1,,APOBR,,,,,INTS5,MT-CO3,
ARHGAP19-SLIT1,TSEN15,CRYAA,SPOCK2,FPR2,RPS3A,STX12,DENND1B,TREML3P,LGALS3BP,,ADAM8,,KCNJ5-AS1,,,,VPS16,,TLR2,,NECTIN2,,,,,SNRPGP2,MT-ND3,
HNRNPA1P35,NUPR1,LINC03040,ELP4,EPHB2,TRIP12,CLTC,RALGPS1,CHST4,AVL9,,LAIR2,,SHKBP1,,,,SOCS1,,BMP2K,,TBC1D2,,,,,B4GALT5,MT-ND4L,
HNRNPA1P4,ELOVL3,CYP27B1,CDX4,SIGLEC5,RIMBP3,MSN,TAAR9,IL1B,ICAM1,,LILRA5,,TASL,,,,,,GPR132,,,,,,,MIR621,MT-ND4,
HNRNPA1P7,STAG2,UBALD2,CCDC85C,VAV1,SNORA10,SBDS,KCNMB4,KCNB1,IL4I1,,TMEM114,,FBP1,,,,,,IFNAR1,,,,,,,TBC1D22B,MT-ND6,
FAM187B,PDGFRB,RPS6KA1,HCP5,CR1,ZDHHC8,UBC,ARHGAP35,DOCK2,CCL7,,ZBTB46,,PTPN6,,,,,,CD86,,,,,,,MRPS14,MT-CO1,
EMX1,METAP2,TNIP2,PDE12,CMTM2,MAU2,ATP6V0E1,CRKL,CHRM4,CHI3L1,,CHST13,,TUBGCP2,,,,,,ALOX5,,,,,,,RPS2P5,RPL7P9,
LINC00879,C2CD4B,STX18,MGLL,CCL3L1,BMP5,TXNDC12,TJAP1,LNPEP,LSR,,TLN1,,GRK6,,,,,,NECAP2,,,,,,,BMS1P20,MT-ND5,
LINC00343,PWWP3A,FLOT2,TP73,SLC6A6,GPRC5C,PTP4A2,FAM136A,DAZAP1,GRK2,,ARHGEF17,,GNB2,,,,,,RSPH3,,,,,,,MORF4L1P1,RPS27P3,
FBXO39,CD34,CD101,NID2,GPR35,TTC19,MKRN1,RAB5A,MEFV,PI4K2A,,GCLM,,AIF1,,,,,,HCK,,,,,,,DNAJB6P1,RPS27P8,
FGF4,LOC100131257,ACTN4,B3GALT2,AQP9,CTR9,RB1,TAB2,NLRP3,GRN,,EXOC3L2,,ZMIZ1-AS1,,,,,,MYD88,,,,,,,RN7SL2,MT-ND1,
DNAAF3-AS1,TCN2,PSMA5,SAFB,CEACAM3,COPS2,SUMO2,LCOR,CD74,ZSWIM4,,NXPH4,,TXNRD1,,,,,,CD163,,,,,,,TMX2P1,MT-ND2,
LINC02466,SH3KBP1,G6PD,SOSTDC1,CXCR1,ENKUR,LRRC59,IKBIP,CLEC4A,PIP5K1C,,PARVG,,ATP6V0D1,,,,,,NLRC4,,,,,,,PRR11-AS1,MTCO1P12,
SPACA7,RAMP1,ZNF385A,MAGEB6,ITGA5,RPL7,TM9SF2,GVINP1,RNF183,PCGF2,,ITGAX,,RCSD1,,,,,,HAVCR2,,,,,,,AGAP2-AS1,RPL15P3,
LRRC4B,TMEM117,EAF1,VPREB3,ADGRE3,KIAA1143,SLC8A1,GLE1,SPTBN1,SFPQ,,,,VASP,,,,,,NCKAP1L,,,,,,,RFLNB,RPL13AP5,
LINC03066,FCN3,ACOT7,CERS6,COL23A1,OLFML2B,PSMB2,EPSTI1,OLR1,CMIP,,,,CATSPER1,,,,,,LAIR1,,,,,,,RPS15P4,CD2AP,
