GSE35640,GSE91061,GSE22155_47,GSE22155_02,TCGS-SKCM,GSE35640|GSE91061,GSE35640|GSE22155_47,GSE35640|GSE22155_02,GSE35640|TCGS-SKCM,GSE91061|GSE22155_47,GSE91061|GSE22155_02,GSE22155_47|GSE22155_02,GSE35640|GSE91061|GSE22155_47,GSE35640|GSE91061|GSE22155_02,GSE35640|GSE22155_47|GSE22155_02,GSE91061|GSE22155_47|GSE22155_02,GSE35640|GSE91061|GSE22155_47|GSE22155_02,GSE61992,GSE22155_02|GSE61992,GSE22155_47|GSE61992,GSE91061|GSE61992,GSE35640|GSE61992,GSE35640|GSE22155_02|GSE61992,GSE35640|GSE22155_47|GSE61992,GSE35640|GSE91061|GSE61992
SNORA21,C15orf39,RAD9A,AFMID,SPANXD,SNORD54,RPL41,ARTN,MT-ATP8,PYCR2,NECAP1,ATAD3A,DENND1B,TRIM65,NARS1,RPAIN,CRMP1,GSN,COA5,CYP2U1,MDM4,TMEM221,IFT70A,CAND2,PAN3
RPS11,BUD23,NRXN2,ZNF484,AKTIPP2,SAMD15,RPL24,STYXL2,MTATP6P1,ARPC1A,FAM220A,LRRC47,LETM1,DDX5,SEC31A,ZBTB48,,DIPK1C,IFT74,PTGDS,EIF4H,ZNF81,PTPRT,EXTL1,KDELR2
NACA4P,RALB,BRD8,KCNE4,SNORD31B,SNORA31,RPS25,ENPP6,MTCO2P12,TBRG4,USP15,STX8,TRIM17,FPR2,COIL,,,EPHA2,ATP2B2,CHRM1,NOCT,PRR11,,,MAMLD1
RPL41P1,MARK3,LDLRAP1,INTU,NTF6B,YWHAG,YTHDF1,PEBP4,MT-ATP6,FBXO41,KIAA0753,CLCN6,ZMIZ1,LRP6,,,,ZNF26,CATSPER1,CCM2,RHBDF2,OAZ1,,,KRBOX5
RPL41P2,USPL1,RRBP1,SHROOM4,MTCL1P1,HGFAC,FMO6P,CLTC,MT-CO2,INPP5F,ME2,PANK4,PSPC1,GAS7,,,,SDHA,FKBP15,PELO,WDR91,CD63,,,GRB2
RPL41P5,SMURF1,OSBPL2,RIBC1,RNU6-34P,LINC02591,PDE6B,JPH2,MT-CO3,TRPC4AP,UTP3,C11orf24,ANKRD13A,BNIP2,,,,PPFIBP2,TMEM30CP,,APOBEC3B,LINC01565,,,C15orf48
HNRNPA1P35,ZNF174,IQCC,GFRA3,NALF1-IT1,MIR7-1,ZYG11B,AFF2,MT-ND3,SP140L,PITPNA,RNF121,THEM4,PPHLN1,,,,RBM4B,ZNF235,,PIMREG,RMDN3,,,
HNRNPA1P4,ZNF107,P4HB,DNASE2,MRPS21P5,CDK2AP1,CTRB2,STX12,MT-ND4L,RNF213,BID,INTS11,RBM39,SPART,,,,TNF,,,ACOT7,EIF4A2,,,
HNRNPA1P7,SCO1,HSPA2,USO1,ENTR1P1,EEF1A2,ARHGAP35,XKR6,MT-ND4,MCOLN2,MTFMT,SARM1,IGSF3,SCARB2,,,,ERMP1,,,NUP205,PSMB2,,,
HNRNPKP4,ZSCAN32,UCKL1,SDF4,AMMECR1LP1,HMGB1,SARNP,LILRA3,MT-CO1,POC5,DNAJB14,SP110,SLC11A2,CAPRIN2,,,,FXYD5,,,HOXB4,BCAP29,,,
RPL24P2,ADCK2,WNT4,ZNF684,RNA5SP287,HMGN1,QNG1,BICD1,MT-ND2,PLOD3,CCAR2,SGSM3,PEDS1,YIPF6,,,,USP47,,,SLC27A2,TGIF1,,,
RPL24P8,ZNF282,SMIM12,PCDH20,MIR518E,SNORA27,SLC30A7,UBE2Q2,GIP,URGCP,SUGP2,THYN1,HES1,FGFR1OP2,,,,ZNF586,,,NUDT16L2P,NCAM1,,,
EEF1A1P11,TMEM253,MIIP,ELP4,TRBV29OR9-2,ADAR,RPS13,MEX3C,MORF4L1P1,TEX30,LAMTOR3,TRMT2A,WHAMM,TREML3P,,,,TFAP2E,,,PRAME,HSF2,,,
FABP6-AS1,SNORA5C,CHCHD10,ELAVL3,RNU6-715P,CAP1,PPM1B,GTDC1,MTCO1P12,DAGLA,TANK,,LINC00997,CISD2,,,,KIAA0513,,,CBR3,AKIP1,,,
RPL38,XPO6,NCEH1,SMIM10,LINC01179,LEMD3,SIN3A,CALY,CNTNAP2-AS1,AUP1,INTS9,,MED28,PROCA1,,,,CDC20,,,EPS15L1,RAB13,,,
GPC1-AS1,LUZP6,GPN1,PDPN,CST12P,CYP2A6,NES,KLHL2,,TMUB1,TSR1,,MOSPD2,CCT6A,,,,MYL6,,,HSPBAP1,GARIN1B,,,
SYT3,CSPG4,MFN2,ARHGEF17,LINC01327,SNORD65,ABI2,KIAA0825,,ZSWIM8,SLC43A2,,ETF1,YTHDC1,,,,PGF,,,CD82,EIF4B,,,
TRABD2B,SH3BP2,INO80C,UBE3D,MIR153-1,TSNAX,PURA,INTS2,,ERVK13-1,IL10RB,,WNK4,TBK1,,,,ZNF285,,,IFFO2,ORC2,,,
LINC00343,SNRPA1,CGREF1,EDRF1,RN7SKP200,TDG,MAPKBP1,STK38L,,POLR2J,MANBA,,ARHGAP17,HERPUD2,,,,KLHDC7A,,,HIRA,ZNF765,,,
MTND2P39,TIGAR,VPREB3,SLC11A1,SCGB1D1,ADGRG7,RPL4,TMEM59,,OGFR,NAT9,,TP53,ERGIC2,,,,CRNKL1,,,,MPC2,,,
EEF1A1P19,MAPKAPK5,RUSC1,CHRNB1,CES1P2,HOXD8,FRG1BP,MAP3K2,,LINC00622,C4orf33,,EFHC1,PPP2R2A,,,,FLNB,,,,UBR4,,,
PACRG-AS2,ZXDC,TOB2P1,ITGAE,RN7SL135P,UBC,RPL5,TARDBP,,GTF3C3,ZNF8,,ARNT2,ABCE1,,,,ETS1,,,,BHLHE40,,,
HMGB1P6,MIPEP,P2RY8,HEATR6,RN7SL342P,KCMF1,ARB2A,TCEANC2,,FASTK,CDC37,,,BIN3,,,,SH3RF2,,,,PLA2G10,,,
RPL24P4,NOL4L,ARHGAP19,FBXO42,KPNA2P1,DRD1,VAPB,RAB3GAP1,,KLF2,DIS3L,,,TMEM87A,,,,SV2B,,,,PGAM1,,,
PRSS54,PGS1,CYP27A1,RNF112,CSGALNACT2P1,SUMO2,MFF,C10orf67,,ZBED5,SNX12,,,PIK3C3,,,,CCDC146,,,,DAP,,,
TMEM105,ENTREP3,CCDC85C,ELP3,OR8X1P,RAB7A,HDAC1,ARHGAP18,,NIF3L1,SLC2A3,,,ZSCAN29,,,,SLC45A2,,,,DDX3Y,,,
LINC01271,NOM1,SKIC3,ZNF121,RPL17P14,PPP1CC,SAFB,SOCS2,,GTF2IRD1,RNF157,,,DDX42,,,,PPP1R12B,,,,MRPS5,,,
C10orf62,ARHGEF40,CHRM3,TUSC3,RNA5SP388,ATXN7L3B,RPL19,CEP85L,,RBM14,SLC25A37,,,RLF,,,,ATP1A1-AS1,,,,ARPP21,,,
GLYCTK-AS1,CEP41,ATP6V0E2,ZZEF1,MTND4LP12,IYD,RBM43,PGRMC1,,NXF1,AGTPBP1,,,ZDHHC17,,,,CNTN6,,,,PDGFA,,,
FAM187B,ZNF394,H2BC11,GRIA3,RNU6-739P,TIGD4,ERVW-1,GOLGA7,,PHKA1,CCDC59,,,SDAD1,,,,IFI30,,,,ZMAT1,,,
LINC02387,PPP1R15B,SMOX,DHX32,ADAM20P3,DAZAP2,CDH15,MFAP1,,PLEK,IRAK3,,,UBA6,,,,DCT,,,,CRYAB,,,
LINC00564,POM121C,ASL,DFFB,SNORD114-21,PIP4K2C,ZNF362,FNDC3A,,SLC35C2,SIGLEC5,,,METAP2,,,,ABCD4,,,,ATP5F1C,,,
EEF1A1P5,LINC00673,ATP2B4,EEF1AKMT2,LINC02547,PPIA,TAF13,EID1,,TNS2,ZUP1,,,COPS7A,,,,COL16A1,,,,KIRREL1,,,
EEF1A1P6,RNF216P1,HHIPL1,MAP9,HMGB3P15,ANGPTL3,FBXO7,ZNF25,,SMAD6,UPF3A,,,PHF21A,,,,CNTN4,,,,AKAP17A,,,
LAPTM4A,SRPK1,TCFL5,FAAP20,MIR367,MSN,RPL6,JAKMIP3,,MTG1,SCLT1,,,FKBP14,,,,FGF21,,,,ZNF713,,,
STARD7,CCT6P3,PINX1,BARX1,MTCO1P40,UBE3A,PTPN14,CALR,,DHDDS,PROK2,,,DERL2,,,,CBR1,,,,PFKFB2,,,
SHISA7,DAGLB,PMM1,IL15,MT-CYB,SENP1,BTF3,ITGB8,,,CEACAM3,,,MIS12,,,,NR3C2,,,,,,,
AKAIN1,MBD1,ARFGAP1,CHST2,TUBB8P9,PEBP1,POMGNT1,MPHOSPH8,,,OSM,,,CCDC91,,,,GADD45G,,,,,,,
TPM3P8,LUC7L,KHDC1,VAMP3,BNIP3P3,CDK13,CEP104,EIF4G3,,,SNRPD1,,,TBC1D15,,,,PYGL,,,,,,,
EEF1A1P13,ZNF3,TOR1B,SRPX2,XGY1,TLK2,LCOR,MARCHF7,,,GCA,,,VPS37A,,,,ZNF571,,,,,,,
CLDN3,CCNK,LINC00205,LILRA2,COL6A2-DT,TMEM106B,GGNBP2,ZFHX3,,,C8orf48,,,PUS7L,,,,ITFG2-AS1,,,,,,,
LINC02148,ARF3,ZDHHC14,GBGT1,PTGES3P5,USP12,RPS23,PARK7,,,CEP83,,,ZNF12,,,,NR2C1,,,,,,,
