GO.ID	Description	p.Val	FDR	Phenotype	Genes
GO:0006950	response to stress	0.0015780674054757	0.0015780674054757	+1	45
GO:0005737	cytoplasm	2.57713188453978e-11	2.57713188453978e-11	+1	107
GO:0012505	endomembrane system	7.8337573932459e-07	7.8337573932459e-07	+1	56
GO:0005829	cytosol	0.000126783846178146	0.000126783846178146	+1	56
GO:0005783	endoplasmic reticulum	0.000186243022042869	0.000186243022042869	+1	30
GO:0031984	organelle subcompartment	0.000234942835987174	0.000234942835987174	+1	25
GO:0005789	endoplasmic reticulum membrane	0.000715923103662049	0.000715923103662049	+1	21
GO:0098827	endoplasmic reticulum subcompartment	0.000774486332771239	0.000774486332771239	+1	21
GO:0042175	nuclear outer membrane-endoplasmic reticulum membrane network	0.000964944394463243	0.000964944394463243	+1	21
GO:0140534	endoplasmic reticulum protein-containing complex	0.00189068262695898	0.00189068262695898	+1	7
GO:0031090	organelle membrane	0.0137185908676382	0.0137185908676382	+1	39
GO:0016020	membrane	0.0259063345942261	0.0259063345942261	+1	76
GO:0030141	secretory granule	0.0384901792299633	0.0384901792299633	+1	15
GO:0005515	protein binding	0.00378896338906372	0.00378896338906372	+1	111
HPA:0460201	skin 1; endothelial cells[≥Low]	0.00275723463056021	0.00275723463056021	+1	22
HPA:0470671	skin 2; melanocytes[≥Low]	0.0116751101929169	0.0116751101929169	+1	19
HPA:0470201	skin 2; endothelial cells[≥Low]	0.020079427697825	0.020079427697825	+1	21
