query	GO.ID	Description	p.Val	Genes	FDR	Phenotype
GSE61992	GO:0006950	response to stress	0.0015780674054757	45	0.0015780674054757	+1
GSE61992	GO:0005737	cytoplasm	2.57713188453978e-11	107	2.57713188453978e-11	+1
GSE61992	GO:0012505	endomembrane system	7.8337573932459e-07	56	7.8337573932459e-07	+1
GSE61992	GO:0005829	cytosol	0.000126783846178146	56	0.000126783846178146	+1
GSE61992	GO:0005783	endoplasmic reticulum	0.000186243022042869	30	0.000186243022042869	+1
GSE61992	GO:0031984	organelle subcompartment	0.000234942835987174	25	0.000234942835987174	+1
GSE61992	GO:0005789	endoplasmic reticulum membrane	0.000715923103662049	21	0.000715923103662049	+1
GSE61992	GO:0098827	endoplasmic reticulum subcompartment	0.000774486332771239	21	0.000774486332771239	+1
GSE61992	GO:0042175	nuclear outer membrane-endoplasmic reticulum membrane network	0.000964944394463243	21	0.000964944394463243	+1
GSE61992	GO:0140534	endoplasmic reticulum protein-containing complex	0.00189068262695898	7	0.00189068262695898	+1
GSE61992	GO:0031090	organelle membrane	0.0137185908676382	39	0.0137185908676382	+1
GSE61992	GO:0016020	membrane	0.0259063345942261	76	0.0259063345942261	+1
GSE61992	GO:0030141	secretory granule	0.0384901792299633	15	0.0384901792299633	+1
GSE61992	GO:0005515	protein binding	0.00378896338906372	111	0.00378896338906372	+1
GSE61992	HPA:0460201	skin 1; endothelial cells[≥Low]	0.00275723463056021	22	0.00275723463056021	+1
GSE61992	HPA:0470671	skin 2; melanocytes[≥Low]	0.0116751101929169	19	0.0116751101929169	+1
GSE61992	HPA:0470201	skin 2; endothelial cells[≥Low]	0.020079427697825	21	0.020079427697825	+1
GSE91061	CORUM:351	Spliceosome	2.47722623460242e-11	82	2.47722623460242e-11	+1
GSE91061	CORUM:1181	C complex spliceosome	1.0614590186444e-06	47	1.0614590186444e-06	+1
GSE91061	CORUM:306	Ribosome, cytoplasmic	2.5743318324825e-06	45	2.5743318324825e-06	+1
GSE91061	CORUM:305	40S ribosomal subunit, cytoplasmic	0.0058974911482749	20	0.0058974911482749	+1
GSE91061	CORUM:338	40S ribosomal subunit, cytoplasmic	0.00658305662019252	19	0.00658305662019252	+1
GSE91061	CORUM:308	60S ribosomal subunit, cytoplasmic	0.00917574882739246	25	0.00917574882739246	+1
GSE91061	CORUM:3055	Nop56p-associated pre-rRNA complex	0.0107668265026655	45	0.0107668265026655	+1
GSE91061	CORUM:1332	Large Drosha complex	0.0210582570569836	14	0.0210582570569836	+1
GSE91061	GO:0051171	regulation of nitrogen compound metabolic process	2.34639781080356e-138	1514	2.34639781080356e-138	+1
GSE91061	GO:0019219	regulation of nucleobase-containing compound metabolic process	6.15232377037005e-138	1237	6.15232377037005e-138	+1
GSE91061	GO:0044271	cellular nitrogen compound biosynthetic process	1.28319337608231e-134	1387	1.28319337608231e-134	+1
GSE91061	GO:0080090	regulation of primary metabolic process	1.36283029455366e-133	1532	1.36283029455366e-133	+1
GSE91061	GO:0051252	regulation of RNA metabolic process	6.12588025891858e-131	1159	6.12588025891858e-131	+1
GSE91061	GO:0032774	RNA biosynthetic process	2.32765827121141e-117	1095	2.32765827121141e-117	+1
GSE91061	GO:0006351	DNA-templated transcription	3.91336391093486e-114	1081	3.91336391093486e-114	+1
GSE91061	GO:0018130	heterocycle biosynthetic process	4.69982030476641e-111	1185	4.69982030476641e-111	+1
GSE91061	GO:0034654	nucleobase-containing compound biosynthetic process	5.00560843258713e-111	1169	5.00560843258713e-111	+1
GSE91061	GO:2001141	regulation of RNA biosynthetic process	2.27506932013553e-109	1048	2.27506932013553e-109	+1
GSE91061	GO:0019438	aromatic compound biosynthetic process	1.90338668703316e-108	1181	1.90338668703316e-108	+1
GSE91061	GO:0006355	regulation of DNA-templated transcription	1.54699944357407e-107	1040	1.54699944357407e-107	+1
GSE91061	GO:0060255	regulation of macromolecule metabolic process	3.71885918595102e-105	1654	3.71885918595102e-105	+1
GSE91061	GO:1901362	organic cyclic compound biosynthetic process	5.72348240461257e-102	1195	5.72348240461257e-102	+1
GSE91061	GO:0031323	regulation of cellular metabolic process	3.37717798746407e-100	1648	3.37717798746407e-100	+1
GSE91061	GO:0019222	regulation of metabolic process	8.57314232563101e-99	1731	8.57314232563101e-99	+1
GSE91061	GO:0010556	regulation of macromolecule biosynthetic process	6.05963503005115e-98	1454	6.05963503005115e-98	+1
GSE91061	GO:0010468	regulation of gene expression	3.76900420016817e-96	1425	3.76900420016817e-96	+1
GSE91061	GO:0031326	regulation of cellular biosynthetic process	2.5168977427381e-93	1465	2.5168977427381e-93	+1
GSE91061	GO:0009889	regulation of biosynthetic process	6.42767806238242e-92	1467	6.42767806238242e-92	+1
GSE91061	GO:0006366	transcription by RNA polymerase II	2.63623602107335e-90	838	2.63623602107335e-90	+1
GSE91061	GO:0006357	regulation of transcription by RNA polymerase II	2.36307599237192e-87	804	2.36307599237192e-87	+1
GSE91061	GO:0050794	regulation of cellular process	7.65778707857009e-72	2406	7.65778707857009e-72	+1
GSE91061	GO:0010604	positive regulation of macromolecule metabolic process	2.35769435518952e-71	944	2.35769435518952e-71	+1
GSE91061	GO:0051173	positive regulation of nitrogen compound metabolic process	9.48275654207335e-68	848	9.48275654207335e-68	+1
GSE91061	GO:0045935	positive regulation of nucleobase-containing compound metabolic process	4.93625828172038e-66	640	4.93625828172038e-66	+1
GSE91061	GO:0009893	positive regulation of metabolic process	3.40027333900222e-65	985	3.40027333900222e-65	+1
GSE91061	GO:0050789	regulation of biological process	2.18286349650164e-64	2466	2.18286349650164e-64	+1
GSE91061	GO:0031325	positive regulation of cellular metabolic process	2.94375731159783e-64	909	2.94375731159783e-64	+1
GSE91061	GO:0065007	biological regulation	2.39238894086563e-62	2519	2.39238894086563e-62	+1
GSE91061	GO:0010557	positive regulation of macromolecule biosynthetic process	7.80285052403524e-61	746	7.80285052403524e-61	+1
GSE91061	GO:0051254	positive regulation of RNA metabolic process	1.71617267429829e-60	582	1.71617267429829e-60	+1
GSE91061	GO:0048518	positive regulation of biological process	1.00662800838693e-59	1446	1.00662800838693e-59	+1
GSE91061	GO:0048522	positive regulation of cellular process	4.45325301924743e-59	1347	4.45325301924743e-59	+1
GSE91061	GO:0031328	positive regulation of cellular biosynthetic process	7.47633029386159e-58	755	7.47633029386159e-58	+1
GSE91061	GO:0009891	positive regulation of biosynthetic process	1.18282468348098e-56	756	1.18282468348098e-56	+1
GSE91061	GO:0006807	nitrogen compound metabolic process	1.26541748961929e-53	2383	1.26541748961929e-53	+1
GSE91061	GO:0045893	positive regulation of DNA-templated transcription	7.53435205302653e-53	530	7.53435205302653e-53	+1
GSE91061	GO:1902680	positive regulation of RNA biosynthetic process	1.41131710579708e-52	530	1.41131710579708e-52	+1
GSE91061	GO:0071824	protein-DNA complex organization	1.33957572183079e-48	335	1.33957572183079e-48	+1
GSE91061	GO:0034641	cellular nitrogen compound metabolic process	4.75539437600531e-47	1822	4.75539437600531e-47	+1
GSE91061	GO:0090304	nucleic acid metabolic process	6.04373417281361e-47	1618	6.04373417281361e-47	+1
GSE91061	GO:0043170	macromolecule metabolic process	8.64864250343919e-47	2384	8.64864250343919e-47	+1
GSE91061	GO:0044238	primary metabolic process	2.59927497028885e-46	2434	2.59927497028885e-46	+1
GSE91061	GO:0006325	chromatin organization	1.53843217850811e-41	296	1.53843217850811e-41	+1
GSE91061	GO:0045934	negative regulation of nucleobase-containing compound metabolic process	1.34975687474919e-40	473	1.34975687474919e-40	+1
GSE91061	GO:0051172	negative regulation of nitrogen compound metabolic process	6.34023458695953e-40	602	6.34023458695953e-40	+1
GSE91061	GO:0006139	nucleobase-containing compound metabolic process	4.33544538269515e-39	1680	4.33544538269515e-39	+1
GSE91061	GO:0043412	macromolecule modification	4.68527635336463e-37	805	4.68527635336463e-37	+1
GSE91061	GO:0046483	heterocycle metabolic process	5.17895100278628e-37	1700	5.17895100278628e-37	+1
GSE91061	GO:0016070	RNA metabolic process	6.83943742485241e-37	1479	6.83943742485241e-37	+1
GSE91061	GO:0051253	negative regulation of RNA metabolic process	1.0578843168994e-36	435	1.0578843168994e-36	+1
GSE91061	GO:0046649	lymphocyte activation	2.45278081489819e-36	277	2.45278081489819e-36	+1
GSE91061	GO:0006725	cellular aromatic compound metabolic process	2.48835493232796e-35	1701	2.48835493232796e-35	+1
GSE91061	GO:0002682	regulation of immune system process	5.3836770790777e-35	441	5.3836770790777e-35	+1
GSE91061	GO:0045321	leukocyte activation	1.86053082919786e-34	312	1.86053082919786e-34	+1
GSE91061	GO:0019538	protein metabolic process	1.08709736045532e-33	1102	1.08709736045532e-33	+1
GSE91061	GO:0050776	regulation of immune response	2.52826310648257e-33	294	2.52826310648257e-33	+1
GSE91061	GO:0006259	DNA metabolic process	7.38146833225833e-33	330	7.38146833225833e-33	+1
GSE91061	GO:0006338	chromatin remodeling	8.36804798628056e-32	238	8.36804798628056e-32	+1
GSE91061	GO:0002684	positive regulation of immune system process	1.39102570870962e-31	330	1.39102570870962e-31	+1
GSE91061	GO:1901360	organic cyclic compound metabolic process	2.51196143623343e-31	1723	2.51196143623343e-31	+1
GSE91061	GO:0008152	metabolic process	3.35642183140591e-31	2638	3.35642183140591e-31	+1
GSE91061	GO:0045944	positive regulation of transcription by RNA polymerase II	1.35176317266639e-30	372	1.35176317266639e-30	+1
GSE91061	GO:0050778	positive regulation of immune response	2.77043246555555e-30	248	2.77043246555555e-30	+1
GSE91061	GO:0002376	immune system process	4.95512061760566e-30	684	4.95512061760566e-30	+1
GSE91061	GO:0010467	gene expression	6.92544087560025e-30	1831	6.92544087560025e-30	+1
GSE91061	GO:0001775	cell activation	8.34375675491032e-30	334	8.34375675491032e-30	+1
GSE91061	GO:0048583	regulation of response to stimulus	1.78464706462154e-29	904	1.78464706462154e-29	+1
GSE91061	GO:1902679	negative regulation of RNA biosynthetic process	2.47185602625958e-29	389	2.47185602625958e-29	+1
GSE91061	GO:0009059	macromolecule biosynthetic process	2.61086940745351e-29	1907	2.61086940745351e-29	+1
GSE91061	GO:0006950	response to stress	6.06385760791052e-29	886	6.06385760791052e-29	+1
GSE91061	GO:0044237	cellular metabolic process	1.07040667108824e-28	2415	1.07040667108824e-28	+1
GSE91061	GO:0071704	organic substance metabolic process	1.50842448847676e-28	2551	1.50842448847676e-28	+1
GSE91061	GO:0006974	DNA damage response	1.63495173131327e-28	286	1.63495173131327e-28	+1
GSE91061	GO:0030098	lymphocyte differentiation	2.99904595467723e-28	172	2.99904595467723e-28	+1
GSE91061	GO:0009057	macromolecule catabolic process	6.02736407002061e-28	383	6.02736407002061e-28	+1
GSE91061	GO:0045892	negative regulation of DNA-templated transcription	1.23552835522108e-27	381	1.23552835522108e-27	+1
GSE91061	GO:0035556	intracellular signal transduction	1.85424497563101e-27	653	1.85424497563101e-27	+1
GSE91061	GO:0002764	immune response-regulating signaling pathway	1.29372738466467e-26	184	1.29372738466467e-26	+1
GSE91061	GO:0002757	immune response-activating signaling pathway	4.42389084588357e-26	176	4.42389084588357e-26	+1
GSE91061	GO:0033554	cellular response to stress	9.20437622148839e-26	467	9.20437622148839e-26	+1
GSE91061	GO:0030097	hemopoiesis	1.63528396874986e-25	294	1.63528396874986e-25	+1
GSE91061	GO:0036211	protein modification process	2.04540297606669e-25	715	2.04540297606669e-25	+1
GSE91061	GO:0048584	positive regulation of response to stimulus	2.81179405393984e-25	567	2.81179405393984e-25	+1
GSE91061	GO:0048523	negative regulation of cellular process	6.69518857672612e-25	1174	6.69518857672612e-25	+1
GSE91061	GO:1903311	regulation of mRNA metabolic process	7.44414871551342e-25	130	7.44414871551342e-25	+1
GSE91061	GO:1903131	mononuclear cell differentiation	1.19298169609537e-24	178	1.19298169609537e-24	+1
GSE91061	GO:0048519	negative regulation of biological process	9.21065377535383e-24	1227	9.21065377535383e-24	+1
GSE91061	GO:0006955	immune response	1.95705522711064e-23	503	1.95705522711064e-23	+1
GSE91061	GO:0002253	activation of immune response	2.43374347803908e-23	187	2.43374347803908e-23	+1
GSE91061	GO:0006412	translation	6.15677613470819e-23	232	6.15677613470819e-23	+1
GSE91061	GO:0044249	cellular biosynthetic process	1.03975927553037e-22	2014	1.03975927553037e-22	+1
GSE91061	GO:0050851	antigen receptor-mediated signaling pathway	1.21224836357891e-22	94	1.21224836357891e-22	+1
GSE91061	GO:0002768	immune response-regulating cell surface receptor signaling pathway	1.35591522794189e-22	133	1.35591522794189e-22	+1
GSE91061	GO:0042110	T cell activation	1.73272733040757e-22	191	1.73272733040757e-22	+1
GSE91061	GO:0042113	B cell activation	2.10670550720789e-22	120	2.10670550720789e-22	+1
GSE91061	GO:0080134	regulation of response to stress	2.66529156287551e-22	366	2.66529156287551e-22	+1
GSE91061	GO:0002521	leukocyte differentiation	6.24214366927721e-22	207	6.24214366927721e-22	+1
GSE91061	GO:0034660	ncRNA metabolic process	6.7179231132459e-22	210	6.7179231132459e-22	+1
GSE91061	GO:1901576	organic substance biosynthetic process	7.95305779349123e-22	2022	7.95305779349123e-22	+1
GSE91061	GO:0010605	negative regulation of macromolecule metabolic process	2.06226878043657e-21	737	2.06226878043657e-21	+1
GSE91061	GO:0000122	negative regulation of transcription by RNA polymerase II	2.46301564206302e-21	287	2.46301564206302e-21	+1
