GO.ID	Description	p.Val	FDR	Phenotype	Genes
CORUM:351	Spliceosome	3.04972800615797e-10	3.04972800615797e-10	+1	63
CORUM:1181	C complex spliceosome	1.00077117191505e-05	1.00077117191505e-05	+1	36
CORUM:1332	Large Drosha complex	2.34126778056885e-05	2.34126778056885e-05	+1	15
CORUM:713	BRG1-SIN3A complex	3.40619194203746e-05	3.40619194203746e-05	+1	12
CORUM:556	PBAF complex (Polybromo- and BAF containing complex)	7.43205928040197e-05	7.43205928040197e-05	+1	9
CORUM:565	PBAF complex (Polybromo- and BAF containing complex)	7.43205928040197e-05	7.43205928040197e-05	+1	9
CORUM:1238	PBAF complex (Polybromo- and BAF containing complex)	7.43205928040197e-05	7.43205928040197e-05	+1	9
CORUM:803	BRG1-SIN3A-HDAC containing SWI/SNF remodeling complex I	0.000131671492958832	0.000131671492958832	+1	10
CORUM:1230	WINAC complex	0.000149774484377109	0.000149774484377109	+1	11
CORUM:3065	RNA polymerase II complex, chromatin structure modifying	0.000378900303192699	0.000378900303192699	+1	8
CORUM:739	SIN3-ING1b complex II	0.000458401426825263	0.000458401426825263	+1	12
CORUM:149	PBAF complex (Polybromo- and BAF containing complex)	0.000612164669418052	0.000612164669418052	+1	9
CORUM:554	PBAF complex (Polybromo- and BAF containing complex)	0.000612164669418052	0.000612164669418052	+1	9
CORUM:714	BRM-SIN3A complex	0.00176855972327021	0.00176855972327021	+1	11
CORUM:189	BAF complex	0.00231617083940042	0.00231617083940042	+1	10
CORUM:807	BRG1-associated complex	0.00281553798630213	0.00281553798630213	+1	8
CORUM:566	BAF complex	0.00281553798630213	0.00281553798630213	+1	8
CORUM:710	Brg1-associated complex I	0.00281553798630213	0.00281553798630213	+1	8
CORUM:555	BAF complex	0.00281553798630213	0.00281553798630213	+1	8
CORUM:1237	BAF complex	0.00281553798630213	0.00281553798630213	+1	8
CORUM:806	BRM-SIN3A-HDAC complex	0.00914839953963687	0.00914839953963687	+1	9
CORUM:1239	EBAFb complex	0.0116290312538384	0.0116290312538384	+1	8
CORUM:1252	EBAFa complex	0.0116290312538384	0.0116290312538384	+1	8
CORUM:3082	DGCR8 multiprotein complex	0.0116290312538384	0.0116290312538384	+1	8
CORUM:564	BAF complex	0.0127825989163063	0.0127825989163063	+1	7
CORUM:1251	BAF complex	0.0127825989163063	0.0127825989163063	+1	7
CORUM:7372	BRD7-SWI–SNF complex	0.0352414240281154	0.0352414240281154	+1	8
CORUM:778	LARC complex (LCR-associated remodeling complex)	0.0447525926108335	0.0447525926108335	+1	11
CORUM:711	Brm-associated complex	0.0476673121713209	0.0476673121713209	+1	7
GO:0019219	regulation of nucleobase-containing compound metabolic process	8.15699965568746e-145	8.15699965568746e-145	+1	980
GO:0051252	regulation of RNA metabolic process	8.02286636343603e-138	8.02286636343603e-138	+1	921
GO:0051171	regulation of nitrogen compound metabolic process	2.66930749227303e-129	2.66930749227303e-129	+1	1148
GO:0080090	regulation of primary metabolic process	1.53485607473646e-127	1.53485607473646e-127	+1	1165
GO:0032774	RNA biosynthetic process	3.90423760071282e-122	3.90423760071282e-122	+1	866
GO:0006351	DNA-templated transcription	1.34783514076785e-121	1.34783514076785e-121	+1	860
GO:2001141	regulation of RNA biosynthetic process	3.58180803248218e-118	3.58180803248218e-118	+1	837
GO:0006355	regulation of DNA-templated transcription	1.45968206586773e-117	1.45968206586773e-117	+1	833
GO:0006366	transcription by RNA polymerase II	1.57848664137609e-113	1.57848664137609e-113	+1	704
GO:0034654	nucleobase-containing compound biosynthetic process	4.96892854675959e-111	4.96892854675959e-111	+1	908
GO:0006357	regulation of transcription by RNA polymerase II	1.38071819487366e-109	1.38071819487366e-109	+1	676
GO:0018130	heterocycle biosynthetic process	2.05336653097767e-108	2.05336653097767e-108	+1	914
GO:0019438	aromatic compound biosynthetic process	3.4564346212687e-107	3.4564346212687e-107	+1	913
GO:1901362	organic cyclic compound biosynthetic process	2.10075509662177e-101	2.10075509662177e-101	+1	922
GO:0044271	cellular nitrogen compound biosynthetic process	7.41769198760321e-97	7.41769198760321e-97	+1	993
GO:0060255	regulation of macromolecule metabolic process	2.31353997078862e-95	2.31353997078862e-95	+1	1229
GO:0031323	regulation of cellular metabolic process	7.50472015756102e-89	7.50472015756102e-89	+1	1218
GO:0010468	regulation of gene expression	2.10433875623121e-88	2.10433875623121e-88	+1	1067
GO:0010556	regulation of macromolecule biosynthetic process	2.32685722100658e-88	2.32685722100658e-88	+1	1084
GO:0019222	regulation of metabolic process	1.06467861236427e-85	1.06467861236427e-85	+1	1271
GO:0031326	regulation of cellular biosynthetic process	1.79749102039079e-84	1.79749102039079e-84	+1	1091
GO:0009889	regulation of biosynthetic process	5.39070182928941e-84	5.39070182928941e-84	+1	1094
GO:0050789	regulation of biological process	2.75136990305119e-77	2.75136990305119e-77	+1	1831
GO:0050794	regulation of cellular process	4.32333251190757e-75	4.32333251190757e-75	+1	1768
GO:0065007	biological regulation	1.52891189800481e-72	1.52891189800481e-72	+1	1859
GO:0045935	positive regulation of nucleobase-containing compound metabolic process	6.00376721308109e-59	6.00376721308109e-59	+1	488
GO:0051254	positive regulation of RNA metabolic process	1.47290607112164e-56	1.47290607112164e-56	+1	450
GO:1902680	positive regulation of RNA biosynthetic process	5.08143062360055e-49	5.08143062360055e-49	+1	409
GO:0051173	positive regulation of nitrogen compound metabolic process	2.05735170198895e-48	2.05735170198895e-48	+1	607
GO:0045893	positive regulation of DNA-templated transcription	2.30378710356685e-48	2.30378710356685e-48	+1	407
GO:0090304	nucleic acid metabolic process	3.41117780091178e-48	3.41117780091178e-48	+1	1201
GO:0010604	positive regulation of macromolecule metabolic process	3.15470247656073e-42	3.15470247656073e-42	+1	649
GO:0006139	nucleobase-containing compound metabolic process	3.21819234973215e-41	3.21819234973215e-41	+1	1243
GO:0071824	protein-DNA complex organization	1.1705739852653e-40	1.1705739852653e-40	+1	255
GO:0016070	RNA metabolic process	1.17206901906863e-40	1.17206901906863e-40	+1	1106
GO:0045934	negative regulation of nucleobase-containing compound metabolic process	2.17525396925069e-39	2.17525396925069e-39	+1	367
GO:0046483	heterocycle metabolic process	1.09154283189359e-38	1.09154283189359e-38	+1	1254
GO:0006325	chromatin organization	1.12726067231655e-37	1.12726067231655e-37	+1	231
GO:0051253	negative regulation of RNA metabolic process	1.87935072503418e-37	1.87935072503418e-37	+1	342
GO:0006725	cellular aromatic compound metabolic process	2.31045783140424e-37	2.31045783140424e-37	+1	1255
GO:0031325	positive regulation of cellular metabolic process	2.26664037788654e-36	2.26664037788654e-36	+1	620
GO:0034641	cellular nitrogen compound metabolic process	6.46189844667395e-36	6.46189844667395e-36	+1	1298
GO:0009893	positive regulation of metabolic process	1.30897054468721e-35	1.30897054468721e-35	+1	668
GO:0010557	positive regulation of macromolecule biosynthetic process	2.08572364397022e-35	2.08572364397022e-35	+1	511
GO:0051172	negative regulation of nitrogen compound metabolic process	8.4780013829662e-35	8.4780013829662e-35	+1	450
GO:0031328	positive regulation of cellular biosynthetic process	7.89586090463537e-34	7.89586090463537e-34	+1	518
GO:1901360	organic cyclic compound metabolic process	2.08720068291991e-33	2.08720068291991e-33	+1	1268
GO:0009891	positive regulation of biosynthetic process	7.11633973420572e-33	7.11633973420572e-33	+1	518
GO:0045892	negative regulation of DNA-templated transcription	3.15671454963878e-32	3.15671454963878e-32	+1	308
GO:0006807	nitrogen compound metabolic process	3.41030034346362e-32	3.41030034346362e-32	+1	1657
GO:1902679	negative regulation of RNA biosynthetic process	4.05869409761157e-32	4.05869409761157e-32	+1	310
GO:0045944	positive regulation of transcription by RNA polymerase II	7.52954264205723e-32	7.52954264205723e-32	+1	294
GO:0044238	primary metabolic process	1.07095707571931e-29	1.07095707571931e-29	+1	1702
GO:0006338	chromatin remodeling	1.5062737292386e-29	1.5062737292386e-29	+1	187
GO:0048522	positive regulation of cellular process	2.00362486963307e-29	2.00362486963307e-29	+1	908
GO:0043170	macromolecule metabolic process	6.59627989696723e-28	6.59627989696723e-28	+1	1658
GO:0048518	positive regulation of biological process	6.6686037270376e-27	6.6686037270376e-27	+1	964
GO:0000122	negative regulation of transcription by RNA polymerase II	9.11328347678334e-26	9.11328347678334e-26	+1	235
GO:0048523	negative regulation of cellular process	2.67840018368459e-25	2.67840018368459e-25	+1	868
GO:0051276	chromosome organization	9.22234757808246e-25	9.22234757808246e-25	+1	172
GO:0048519	negative regulation of biological process	1.03425923668826e-22	1.03425923668826e-22	+1	898
GO:0010467	gene expression	9.51577563070297e-21	9.51577563070297e-21	+1	1290
GO:0031324	negative regulation of cellular metabolic process	1.31566791919629e-20	1.31566791919629e-20	+1	546
GO:0007049	cell cycle	2.95811301852765e-20	2.95811301852765e-20	+1	348
GO:0051028	mRNA transport	3.32100598924773e-20	3.32100598924773e-20	+1	60
GO:0010558	negative regulation of macromolecule biosynthetic process	4.95791510148432e-20	4.95791510148432e-20	+1	482
GO:0050657	nucleic acid transport	1.01411571629018e-19	1.01411571629018e-19	+1	67
GO:0050658	RNA transport	1.01411571629018e-19	1.01411571629018e-19	+1	67
GO:0010605	negative regulation of macromolecule metabolic process	1.12004439524371e-19	1.12004439524371e-19	+1	544
GO:0031327	negative regulation of cellular biosynthetic process	2.75460460113861e-19	2.75460460113861e-19	+1	486
GO:0051236	establishment of RNA localization	3.63522426587738e-19	3.63522426587738e-19	+1	67
GO:0009890	negative regulation of biosynthetic process	4.6138200660752e-19	4.6138200660752e-19	+1	487
GO:0009059	macromolecule biosynthetic process	1.20058251224793e-18	1.20058251224793e-18	+1	1334
GO:0006259	DNA metabolic process	1.37214687952618e-18	1.37214687952618e-18	+1	225
GO:0009892	negative regulation of metabolic process	1.39002931281688e-18	1.39002931281688e-18	+1	568
GO:0051169	nuclear transport	7.72160035703584e-18	7.72160035703584e-18	+1	102
