query	GO.ID	Description	p.Val	Genes	FDR	Phenotype
GSE61992	GO:0005737	cytoplasm	7.92302350395141e-05	67	7.92302350395141e-05	+1
GSE61992	GO:0098588	bounding membrane of organelle	0.00018703185489899	24	0.00018703185489899	+1
GSE61992	GO:0005829	cytosol	0.00128630826021913	39	0.00128630826021913	+1
GSE61992	GO:0005789	endoplasmic reticulum membrane	0.00701226996493471	15	0.00701226996493471	+1
GSE61992	GO:0098827	endoplasmic reticulum subcompartment	0.00743255991698512	15	0.00743255991698512	+1
GSE61992	GO:0031984	organelle subcompartment	0.00837005571318171	17	0.00837005571318171	+1
GSE61992	GO:0042175	nuclear outer membrane-endoplasmic reticulum membrane network	0.00874719490700317	15	0.00874719490700317	+1
GSE61992	GO:0000139	Golgi membrane	0.00911348786323271	11	0.00911348786323271	+1
GSE61992	GO:0031090	organelle membrane	0.0106435224192602	29	0.0106435224192602	+1
GSE61992	GO:0070062	extracellular exosome	0.0155072510599729	20	0.0155072510599729	+1
GSE61992	GO:1903561	extracellular vesicle	0.0181823157876328	20	0.0181823157876328	+1
GSE61992	GO:0065010	extracellular membrane-bounded organelle	0.0183022379463549	20	0.0183022379463549	+1
GSE61992	GO:0043230	extracellular organelle	0.0183022379463549	20	0.0183022379463549	+1
GSE61992	GO:0030659	cytoplasmic vesicle membrane	0.037523722971673	14	0.037523722971673	+1
GSE61992	GO:0012506	vesicle membrane	0.0422579274671327	14	0.0422579274671327	+1
GSE61992	HPA:0471461	skin 2; langerhans cells[≥Low]	0.00116400850131048	16	0.00116400850131048	+1
GSE61992	HPA:0460201	skin 1; endothelial cells[≥Low]	0.00262675630648557	16	0.00262675630648557	+1
GSE61992	HPA:0461391	skin 1; cells in basal layer[≥Low]	0.00470412689716079	16	0.00470412689716079	+1
GSE61992	HPA:0461441	skin 1; fibrohistiocytic cells[≥Low]	0.00497679789074807	16	0.00497679789074807	+1
GSE61992	HPA:0470201	skin 2; endothelial cells[≥Low]	0.00519047535778121	16	0.00519047535778121	+1
GSE61992	HPA:0471441	skin 2; fibrohistiocytic cells[≥Low]	0.00749252445548459	17	0.00749252445548459	+1
GSE61992	HPA:0471462	skin 2; langerhans cells[≥Medium]	0.0149989211775409	13	0.0149989211775409	+1
GSE61992	HPA:0461461	skin 1; langerhans cells[≥Low]	0.0332343800844242	13	0.0332343800844242	+1
GSE61992	HPA:0470671	skin 2; melanocytes[≥Low]	0.0371404698859817	13	0.0371404698859817	+1
GSE61992	REAC:R-HSA-5357801	Programmed Cell Death	0.0245742398000666	7	0.0245742398000666	+1
GSE91061	CORUM:351	Spliceosome	3.04972800615797e-10	63	3.04972800615797e-10	+1
GSE91061	CORUM:1181	C complex spliceosome	1.00077117191505e-05	36	1.00077117191505e-05	+1
GSE91061	CORUM:1332	Large Drosha complex	2.34126778056885e-05	15	2.34126778056885e-05	+1
GSE91061	CORUM:713	BRG1-SIN3A complex	3.40619194203746e-05	12	3.40619194203746e-05	+1
GSE91061	CORUM:556	PBAF complex (Polybromo- and BAF containing complex)	7.43205928040197e-05	9	7.43205928040197e-05	+1
GSE91061	CORUM:565	PBAF complex (Polybromo- and BAF containing complex)	7.43205928040197e-05	9	7.43205928040197e-05	+1
GSE91061	CORUM:1238	PBAF complex (Polybromo- and BAF containing complex)	7.43205928040197e-05	9	7.43205928040197e-05	+1
GSE91061	CORUM:803	BRG1-SIN3A-HDAC containing SWI/SNF remodeling complex I	0.000131671492958832	10	0.000131671492958832	+1
GSE91061	CORUM:1230	WINAC complex	0.000149774484377109	11	0.000149774484377109	+1
GSE91061	CORUM:3065	RNA polymerase II complex, chromatin structure modifying	0.000378900303192699	8	0.000378900303192699	+1
GSE91061	CORUM:739	SIN3-ING1b complex II	0.000458401426825263	12	0.000458401426825263	+1
GSE91061	CORUM:149	PBAF complex (Polybromo- and BAF containing complex)	0.000612164669418052	9	0.000612164669418052	+1
GSE91061	CORUM:554	PBAF complex (Polybromo- and BAF containing complex)	0.000612164669418052	9	0.000612164669418052	+1
GSE91061	CORUM:714	BRM-SIN3A complex	0.00176855972327021	11	0.00176855972327021	+1
GSE91061	CORUM:189	BAF complex	0.00231617083940042	10	0.00231617083940042	+1
GSE91061	CORUM:807	BRG1-associated complex	0.00281553798630213	8	0.00281553798630213	+1
GSE91061	CORUM:566	BAF complex	0.00281553798630213	8	0.00281553798630213	+1
GSE91061	CORUM:710	Brg1-associated complex I	0.00281553798630213	8	0.00281553798630213	+1
GSE91061	CORUM:555	BAF complex	0.00281553798630213	8	0.00281553798630213	+1
GSE91061	CORUM:1237	BAF complex	0.00281553798630213	8	0.00281553798630213	+1
GSE91061	CORUM:806	BRM-SIN3A-HDAC complex	0.00914839953963687	9	0.00914839953963687	+1
GSE91061	CORUM:1239	EBAFb complex	0.0116290312538384	8	0.0116290312538384	+1
GSE91061	CORUM:1252	EBAFa complex	0.0116290312538384	8	0.0116290312538384	+1
GSE91061	CORUM:3082	DGCR8 multiprotein complex	0.0116290312538384	8	0.0116290312538384	+1
GSE91061	CORUM:564	BAF complex	0.0127825989163063	7	0.0127825989163063	+1
GSE91061	CORUM:1251	BAF complex	0.0127825989163063	7	0.0127825989163063	+1
GSE91061	CORUM:7372	BRD7-SWI–SNF complex	0.0352414240281154	8	0.0352414240281154	+1
GSE91061	CORUM:778	LARC complex (LCR-associated remodeling complex)	0.0447525926108335	11	0.0447525926108335	+1
GSE91061	CORUM:711	Brm-associated complex	0.0476673121713209	7	0.0476673121713209	+1
GSE91061	GO:0019219	regulation of nucleobase-containing compound metabolic process	8.15699965568746e-145	980	8.15699965568746e-145	+1
GSE91061	GO:0051252	regulation of RNA metabolic process	8.02286636343603e-138	921	8.02286636343603e-138	+1
GSE91061	GO:0051171	regulation of nitrogen compound metabolic process	2.66930749227303e-129	1148	2.66930749227303e-129	+1
GSE91061	GO:0080090	regulation of primary metabolic process	1.53485607473646e-127	1165	1.53485607473646e-127	+1
