GO.ID	Description	p.Val	FDR	Phenotype	Genes
CORUM:193	PA700-20S-PA28 complex	7.38476651002389e-05	7.38476651002389e-05	+1	14
CORUM:32	PA700 complex	0.000534390689267911	0.000534390689267911	+1	10
CORUM:5230	CHUK-NFKB2-REL-IKBKG-SPAG9-NFKB1-NFKBIE-COPB2-TNIP1-NFKBIA-RELA-TNIP2 complex	0.000814139933216537	0.000814139933216537	+1	7
CORUM:5193	TNF-alpha/NF-kappa B signaling complex (CHUK, KPNA3, NFKB2, NFKBIB, REL, IKBKG,  NFKB1, NFKBIE, RELB,  NFKBIA, RELA, TNIP2)	0.000814139933216537	0.000814139933216537	+1	7
CORUM:6671	PI4K2A-WASH complex	0.00145676727984187	0.00145676727984187	+1	8
GO:0006950	response to stress	3.93931222755885e-25	3.93931222755885e-25	+1	364
GO:0002376	immune system process	3.23833395266188e-24	3.23833395266188e-24	+1	286
GO:1901564	organonitrogen compound metabolic process	8.7312691789326e-24	8.7312691789326e-24	+1	497
GO:0048583	regulation of response to stimulus	1.21968885832655e-22	1.21968885832655e-22	+1	362
GO:0016192	vesicle-mediated transport	1.97352861673719e-22	1.97352861673719e-22	+1	188
GO:0002682	regulation of immune system process	1.10733193098175e-20	1.10733193098175e-20	+1	181
GO:0019538	protein metabolic process	4.22763030385604e-20	4.22763030385604e-20	+1	417
GO:0048518	positive regulation of biological process	2.97133936197023e-19	2.97133936197023e-19	+1	497
GO:0051649	establishment of localization in cell	7.32577771914137e-19	7.32577771914137e-19	+1	212
GO:0002684	positive regulation of immune system process	1.81086595636607e-18	1.81086595636607e-18	+1	138
GO:0006810	transport	2.01668534713782e-18	2.01668534713782e-18	+1	375
GO:0051179	localization	4.01060733111926e-18	4.01060733111926e-18	+1	448
GO:0045087	innate immune response	7.41977382105694e-18	7.41977382105694e-18	+1	129
GO:0006955	immune response	1.03643778621551e-17	1.03643778621551e-17	+1	210
GO:0044419	biological process involved in interspecies interaction between organisms	1.0876156394372e-17	1.0876156394372e-17	+1	190
GO:0051234	establishment of localization	4.68311586523447e-17	4.68311586523447e-17	+1	404
GO:0009056	catabolic process	5.81824223676157e-17	5.81824223676157e-17	+1	249
GO:0006952	defense response	6.41000759278452e-17	6.41000759278452e-17	+1	193
GO:0048522	positive regulation of cellular process	8.83196287936099e-17	8.83196287936099e-17	+1	455
GO:0051641	cellular localization	1.13465726427783e-16	1.13465726427783e-16	+1	321
GO:0009607	response to biotic stimulus	4.69135255296434e-16	4.69135255296434e-16	+1	175
GO:0070887	cellular response to chemical stimulus	4.88188533592544e-16	4.88188533592544e-16	+1	255
GO:0140546	defense response to symbiont	6.85568604408336e-16	6.85568604408336e-16	+1	137
GO:0050896	response to stimulus	8.14269304125859e-16	8.14269304125859e-16	+1	642
GO:0010033	response to organic substance	8.52674363649573e-16	8.52674363649573e-16	+1	251
GO:0045321	leukocyte activation	5.16058696566923e-15	5.16058696566923e-15	+1	121
GO:0051707	response to other organism	6.31211999618573e-15	6.31211999618573e-15	+1	169
GO:0043207	response to external biotic stimulus	7.64427619287902e-15	7.64427619287902e-15	+1	169
GO:0051716	cellular response to stimulus	9.00370682153891e-15	9.00370682153891e-15	+1	547
GO:0009605	response to external stimulus	1.365251722612e-14	1.365251722612e-14	+1	253
GO:0001775	cell activation	1.53635450642425e-14	1.53635450642425e-14	+1	132
GO:0046907	intracellular transport	1.93104879741014e-14	1.93104879741014e-14	+1	154
GO:0048584	positive regulation of response to stimulus	1.96582060768885e-14	1.96582060768885e-14	+1	221
GO:1901565	organonitrogen compound catabolic process	2.25389168026383e-14	2.25389168026383e-14	+1	156
GO:0050776	regulation of immune response	2.27997649368776e-14	2.27997649368776e-14	+1	114
GO:0098542	defense response to other organism	5.08733921016538e-14	5.08733921016538e-14	+1	141
GO:0002274	myeloid leukocyte activation	4.13880051274424e-13	4.13880051274424e-13	+1	50
GO:0080134	regulation of response to stress	9.39550655479149e-13	9.39550655479149e-13	+1	147
GO:0051246	regulation of protein metabolic process	1.1866470838974e-12	1.1866470838974e-12	+1	203
GO:0006954	inflammatory response	2.1765892214626e-12	2.1765892214626e-12	+1	105
GO:1901575	organic substance catabolic process	2.40618426033637e-12	2.40618426033637e-12	+1	200
GO:0032101	regulation of response to external stimulus	2.99954179286846e-12	2.99954179286846e-12	+1	125
GO:0045088	regulation of innate immune response	4.66447819679743e-12	4.66447819679743e-12	+1	67
GO:0009966	regulation of signal transduction	6.3551645138624e-12	6.3551645138624e-12	+1	263
GO:0006897	endocytosis	8.09670236804618e-12	8.09670236804618e-12	+1	93
GO:0010646	regulation of cell communication	9.40497054298701e-12	9.40497054298701e-12	+1	291
GO:0050778	positive regulation of immune response	1.00257879460032e-11	1.00257879460032e-11	+1	94
GO:0065007	biological regulation	1.21607914491678e-11	1.21607914491678e-11	+1	823
GO:0023051	regulation of signaling	1.33777522014041e-11	1.33777522014041e-11	+1	290
GO:0033036	macromolecule localization	2.50598169583586e-11	2.50598169583586e-11	+1	274
GO:0071310	cellular response to organic substance	3.07953119337829e-11	3.07953119337829e-11	+1	189
GO:0006996	organelle organization	3.08718356304378e-11	3.08718356304378e-11	+1	300
GO:0033554	cellular response to stress	4.61384829247767e-11	4.61384829247767e-11	+1	174
GO:0065009	regulation of molecular function	9.9791665343404e-11	9.9791665343404e-11	+1	175
GO:0030163	protein catabolic process	1.29757416184668e-10	1.29757416184668e-10	+1	112
GO:0032103	positive regulation of response to external stimulus	1.3242967586954e-10	1.3242967586954e-10	+1	82
GO:0042221	response to chemical	1.69573579568922e-10	1.69573579568922e-10	+1	319
GO:0002831	regulation of response to biotic stimulus	2.08372851233443e-10	2.08372851233443e-10	+1	72
GO:0031347	regulation of defense response	2.38792155424207e-10	2.38792155424207e-10	+1	95
GO:0035556	intracellular signal transduction	2.44546009170131e-10	2.44546009170131e-10	+1	234
GO:0051240	positive regulation of multicellular organismal process	2.46752809927262e-10	2.46752809927262e-10	+1	162
GO:0050789	regulation of biological process	2.9693932252189e-10	2.9693932252189e-10	+1	796
GO:0034097	response to cytokine	3.44672005622658e-10	3.44672005622658e-10	+1	108
GO:0070727	cellular macromolecule localization	4.37710932463835e-10	4.37710932463835e-10	+1	238
GO:0008104	protein localization	5.11050174576143e-10	5.11050174576143e-10	+1	237
GO:0051603	proteolysis involved in protein catabolic process	5.21036383013434e-10	5.21036383013434e-10	+1	91
GO:0001819	positive regulation of cytokine production	5.67208625615929e-10	5.67208625615929e-10	+1	70
GO:0009893	positive regulation of metabolic process	5.69998625026759e-10	5.69998625026759e-10	+1	301
GO:0009967	positive regulation of signal transduction	7.01240302439935e-10	7.01240302439935e-10	+1	155
GO:0050790	regulation of catalytic activity	1.7002247403441e-09	1.7002247403441e-09	+1	129
GO:0050865	regulation of cell activation	1.88449745537065e-09	1.88449745537065e-09	+1	80
GO:0141124	intracellular signaling cassette	2.01829641104937e-09	2.01829641104937e-09	+1	175
GO:0002764	immune response-regulating signaling pathway	2.06265103936918e-09	2.06265103936918e-09	+1	69
GO:0009057	macromolecule catabolic process	2.18730790352522e-09	2.18730790352522e-09	+1	137
GO:0031349	positive regulation of defense response	2.29419545265503e-09	2.29419545265503e-09	+1	67
GO:0002694	regulation of leukocyte activation	2.36789151506645e-09	2.36789151506645e-09	+1	75
GO:1902531	regulation of intracellular signal transduction	2.4006522184497e-09	2.4006522184497e-09	+1	168
GO:0098657	import into cell	2.47695675851577e-09	2.47695675851577e-09	+1	105
GO:0045089	positive regulation of innate immune response	2.72647634333054e-09	2.72647634333054e-09	+1	55
GO:0031325	positive regulation of cellular metabolic process	3.64015893821348e-09	3.64015893821348e-09	+1	274
GO:0044248	cellular catabolic process	5.09822630790559e-09	5.09822630790559e-09	+1	155
GO:0006508	proteolysis	5.28313623385045e-09	5.28313623385045e-09	+1	153
GO:0001817	regulation of cytokine production	5.57212212911869e-09	5.57212212911869e-09	+1	92
GO:0036211	protein modification process	8.09433647483514e-09	8.09433647483514e-09	+1	252
GO:0023056	positive regulation of signaling	8.19563534909582e-09	8.19563534909582e-09	+1	167
GO:0001816	cytokine production	8.632612375217e-09	8.632612375217e-09	+1	92
GO:0080090	regulation of primary metabolic process	8.83305929678104e-09	8.83305929678104e-09	+1	412
GO:0010604	positive regulation of macromolecule metabolic process	9.30094021979612e-09	9.30094021979612e-09	+1	277
GO:0002253	activation of immune response	9.68467940464002e-09	9.68467940464002e-09	+1	71
GO:0002757	immune response-activating signaling pathway	1.11784728236751e-08	1.11784728236751e-08	+1	65
GO:0051128	regulation of cellular component organization	1.22004771037398e-08	1.22004771037398e-08	+1	211
GO:0002833	positive regulation of response to biotic stimulus	1.30806073909967e-08	1.30806073909967e-08	+1	56
GO:0010647	positive regulation of cell communication	1.50211901943927e-08	1.50211901943927e-08	+1	166
GO:0043632	modification-dependent macromolecule catabolic process	1.85813557600195e-08	1.85813557600195e-08	+1	78
GO:0080171	lytic vacuole organization	1.8604373940083e-08	1.8604373940083e-08	+1	28
GO:0007040	lysosome organization	1.8604373940083e-08	1.8604373940083e-08	+1	28
GO:0019941	modification-dependent protein catabolic process	1.98527938699983e-08	1.98527938699983e-08	+1	77
GO:0012501	programmed cell death	2.03048438873363e-08	2.03048438873363e-08	+1	180
GO:0008219	cell death	2.41012561300464e-08	2.41012561300464e-08	+1	180
GO:0051239	regulation of multicellular organismal process	2.41233206766722e-08	2.41233206766722e-08	+1	245
GO:0015031	protein transport	2.41804823587147e-08	2.41804823587147e-08	+1	140
GO:0046649	lymphocyte activation	2.77265317754603e-08	2.77265317754603e-08	+1	91
GO:0061024	membrane organization	4.5123260838706e-08	4.5123260838706e-08	+1	93
GO:0051171	regulation of nitrogen compound metabolic process	5.05437383754298e-08	5.05437383754298e-08	+1	399
GO:0007049	cell cycle	5.2168710877202e-08	5.2168710877202e-08	+1	167
GO:0006796	phosphate-containing compound metabolic process	5.92714812436153e-08	5.92714812436153e-08	+1	218
GO:0006511	ubiquitin-dependent protein catabolic process	5.99959007142299e-08	5.99959007142299e-08	+1	75
GO:0035751	regulation of lysosomal lumen pH	7.09058262345223e-08	7.09058262345223e-08	+1	15
GO:0006793	phosphorus metabolic process	8.53274470461058e-08	8.53274470461058e-08	+1	219
GO:0032675	regulation of interleukin-6 production	9.09293749507709e-08	9.09293749507709e-08	+1	32
GO:0032635	interleukin-6 production	9.09293749507709e-08	9.09293749507709e-08	+1	32
