GO.ID	Description	p.Val	FDR	Phenotype	Genes
CORUM:2919	Respiratory chain complex I (gamma subunit) mitochondrial	2.19654403709146e-06	2.19654403709146e-06	+1	5
CORUM:178	Respiratory chain complex I (holoenzyme), mitochondrial	4.52549720825395e-05	4.52549720825395e-05	+1	6
CORUM:2886	Respiratory chain complex I (incomplete intermediate ND1, ND2, ND3, CIA30 assembly), mitochondrial	0.00033281058030416	0.00033281058030416	+1	3
CORUM:6442	Cytochrome c oxidase, mitochondrial	0.017791107302442	0.017791107302442	+1	3
GO:0006119	oxidative phosphorylation	2.37659415139763e-17	2.37659415139763e-17	+1	13
GO:0019646	aerobic electron transport chain	1.20634370079511e-15	1.20634370079511e-15	+1	11
GO:0009060	aerobic respiration	1.32676294561998e-15	1.32676294561998e-15	+1	13
GO:0042773	ATP synthesis coupled electron transport	3.15526473323163e-15	3.15526473323163e-15	+1	11
GO:0042775	mitochondrial ATP synthesis coupled electron transport	3.15526473323163e-15	3.15526473323163e-15	+1	11
GO:0045333	cellular respiration	2.38364935878149e-14	2.38364935878149e-14	+1	13
GO:0022904	respiratory electron transport chain	3.06363596532214e-14	3.06363596532214e-14	+1	11
GO:0042776	proton motive force-driven mitochondrial ATP synthesis	7.38732949336983e-13	7.38732949336983e-13	+1	9
GO:0015980	energy derivation by oxidation of organic compounds	1.48614906418633e-12	1.48614906418633e-12	+1	13
GO:0022900	electron transport chain	1.78177286142736e-12	1.78177286142736e-12	+1	11
GO:0015986	proton motive force-driven ATP synthesis	3.18492281294353e-12	3.18492281294353e-12	+1	9
GO:0006754	ATP biosynthetic process	4.41157024455908e-11	4.41157024455908e-11	+1	9
GO:0009206	purine ribonucleoside triphosphate biosynthetic process	1.13745845110455e-10	1.13745845110455e-10	+1	9
GO:0009145	purine nucleoside triphosphate biosynthetic process	1.23373464198474e-10	1.23373464198474e-10	+1	9
GO:0009201	ribonucleoside triphosphate biosynthetic process	1.83194719526907e-10	1.83194719526907e-10	+1	9
GO:0009142	nucleoside triphosphate biosynthetic process	3.33017241973779e-10	3.33017241973779e-10	+1	9
GO:0006091	generation of precursor metabolites and energy	3.7094938733769e-10	3.7094938733769e-10	+1	13
GO:0006120	mitochondrial electron transport, NADH to ubiquinone	1.71988904096435e-09	1.71988904096435e-09	+1	7
GO:0015990	electron transport coupled proton transport	3.67342345016442e-08	3.67342345016442e-08	+1	4
GO:0015988	energy coupled proton transmembrane transport, against electrochemical gradient	3.67342345016442e-08	3.67342345016442e-08	+1	4
GO:0009152	purine ribonucleotide biosynthetic process	4.09855494482742e-08	4.09855494482742e-08	+1	9
GO:0046034	ATP metabolic process	5.4526469521998e-08	5.4526469521998e-08	+1	9
GO:0009260	ribonucleotide biosynthetic process	7.47161126850068e-08	7.47161126850068e-08	+1	9
GO:0046390	ribose phosphate biosynthetic process	9.75263054224148e-08	9.75263054224148e-08	+1	9
GO:1902600	proton transmembrane transport	1.34347226178169e-07	1.34347226178169e-07	+1	8
GO:0009205	purine ribonucleoside triphosphate metabolic process	1.35760140280526e-07	1.35760140280526e-07	+1	9
GO:0009199	ribonucleoside triphosphate metabolic process	1.74088098847727e-07	1.74088098847727e-07	+1	9
GO:0009144	purine nucleoside triphosphate metabolic process	1.74088098847727e-07	1.74088098847727e-07	+1	9
GO:0006164	purine nucleotide biosynthetic process	1.93243342700927e-07	1.93243342700927e-07	+1	9
GO:0072522	purine-containing compound biosynthetic process	2.62338628071766e-07	2.62338628071766e-07	+1	9
GO:0009141	nucleoside triphosphate metabolic process	2.99477969703376e-07	2.99477969703376e-07	+1	9
GO:0009165	nucleotide biosynthetic process	6.55697943826058e-07	6.55697943826058e-07	+1	9
GO:1901293	nucleoside phosphate biosynthetic process	6.96007200260341e-07	6.96007200260341e-07	+1	9
GO:1901137	carbohydrate derivative biosynthetic process	3.20825601050229e-06	3.20825601050229e-06	+1	11
GO:0090407	organophosphate biosynthetic process	2.0235296705705e-05	2.0235296705705e-05	+1	10
GO:0009150	purine ribonucleotide metabolic process	2.62210992316765e-05	2.62210992316765e-05	+1	9
