query	GO.ID	Description	p.Val	Genes	FDR	Phenotype
GSE61992	GO:0005829	cytosol	0.00091686993504102	19	0.00091686993504102	+1
GSE61992	GO:0160064	multi-pass translocon complex	0.0126122456976332	2	0.0126122456976332	+1
GSE61992	GO:0072379	ER membrane insertion complex	0.0317513838405379	2	0.0317513838405379	+1
GSE61992	MIRNA:hsa-miR-5690	hsa-miR-5690	0.0196888098655047	5	0.0196888098655047	+1
GSE91061	GO:0048518	positive regulation of biological process	2.71359305658368e-55	1039	2.71359305658368e-55	+1
GSE91061	GO:0048583	regulation of response to stimulus	3.47625907215657e-52	732	3.47625907215657e-52	+1
GSE91061	GO:0048522	positive regulation of cellular process	3.07404794747921e-47	947	3.07404794747921e-47	+1
GSE91061	GO:0002682	regulation of immune system process	3.55087558370333e-46	362	3.55087558370333e-46	+1
GSE91061	GO:0048584	positive regulation of response to stimulus	9.11376354725144e-46	479	9.11376354725144e-46	+1
GSE91061	GO:0065007	biological regulation	2.89090174239409e-42	1713	2.89090174239409e-42	+1
GSE91061	GO:0050896	response to stimulus	1.22030419674983e-41	1313	1.22030419674983e-41	+1
GSE91061	GO:0016192	vesicle-mediated transport	4.23784166875446e-41	356	4.23784166875446e-41	+1
GSE91061	GO:0051716	cellular response to stimulus	6.09902231543841e-41	1128	6.09902231543841e-41	+1
GSE91061	GO:0051239	regulation of multicellular organismal process	1.13934484791727e-40	563	1.13934484791727e-40	+1
GSE91061	GO:0050789	regulation of biological process	4.63441988988194e-40	1665	4.63441988988194e-40	+1
GSE91061	GO:0006950	response to stress	1.5995725057805e-39	682	1.5995725057805e-39	+1
GSE91061	GO:0002376	immune system process	1.11414366866473e-38	532	1.11414366866473e-38	+1
GSE91061	GO:0002684	positive regulation of immune system process	2.63454186050227e-38	269	2.63454186050227e-38	+1
GSE91061	GO:0009966	regulation of signal transduction	3.99676243501007e-38	563	3.99676243501007e-38	+1
GSE91061	GO:0050794	regulation of cellular process	1.35455293906335e-36	1595	1.35455293906335e-36	+1
GSE91061	GO:0001775	cell activation	3.02604757865899e-36	271	3.02604757865899e-36	+1
GSE91061	GO:0141124	intracellular signaling cassette	3.99848086020021e-36	392	3.99848086020021e-36	+1
GSE91061	GO:0035556	intracellular signal transduction	4.55295160307013e-36	509	4.55295160307013e-36	+1
GSE91061	GO:0006952	defense response	3.37478270232063e-35	379	3.37478270232063e-35	+1
GSE91061	GO:0050776	regulation of immune response	8.27634733864205e-35	232	8.27634733864205e-35	+1
GSE91061	GO:0023051	regulation of signaling	5.16488971103495e-34	608	5.16488971103495e-34	+1
GSE91061	GO:0010646	regulation of cell communication	8.96244131647527e-34	608	8.96244131647527e-34	+1
GSE91061	GO:0007165	signal transduction	2.35686134859121e-33	927	2.35686134859121e-33	+1
GSE91061	GO:0045321	leukocyte activation	2.75373139084765e-33	240	2.75373139084765e-33	+1
GSE91061	GO:0009893	positive regulation of metabolic process	5.31939069452734e-33	641	5.31939069452734e-33	+1
GSE91061	GO:0001816	cytokine production	8.88130216536849e-32	208	8.88130216536849e-32	+1
GSE91061	GO:0023052	signaling	1.39200243849987e-31	979	1.39200243849987e-31	+1
GSE91061	GO:0007154	cell communication	2.1828891875663e-31	989	2.1828891875663e-31	+1
GSE91061	GO:0030097	hemopoiesis	6.79124043828871e-31	238	6.79124043828871e-31	+1
GSE91061	GO:0001817	regulation of cytokine production	8.0860190768253e-31	205	8.0860190768253e-31	+1
GSE91061	GO:0010604	positive regulation of macromolecule metabolic process	2.62429503152775e-30	593	2.62429503152775e-30	+1
GSE91061	GO:0006954	inflammatory response	5.41963926707737e-30	213	5.41963926707737e-30	+1
GSE91061	GO:0007166	cell surface receptor signaling pathway	1.11726379259676e-29	507	1.11726379259676e-29	+1
GSE91061	GO:0009605	response to external stimulus	3.29216418450052e-29	495	3.29216418450052e-29	+1
GSE91061	GO:0050793	regulation of developmental process	1.21118307432071e-28	456	1.21118307432071e-28	+1
