GO.ID	Description	p.Val	FDR	Phenotype	Genes
GO:0002082	regulation of oxidative phosphorylation	0.00924770309976002	0.00924770309976002	+1	4
GO:0010498	proteasomal protein catabolic process	0.0255462082764804	0.0255462082764804	+1	12
GO:1903715	regulation of aerobic respiration	0.0383224165685946	0.0383224165685946	+1	4
GO:0034976	response to endoplasmic reticulum stress	0.043433456856842	0.043433456856842	+1	8
GO:1903862	positive regulation of oxidative phosphorylation	0.049336606754819	0.049336606754819	+1	2
GO:0005737	cytoplasm	8.61360913199658e-08	8.61360913199658e-08	+1	96
GO:0031984	organelle subcompartment	0.00328376591144424	0.00328376591144424	+1	22
GO:0005789	endoplasmic reticulum membrane	0.00386659298333056	0.00386659298333056	+1	19
GO:0098827	endoplasmic reticulum subcompartment	0.00414796107465758	0.00414796107465758	+1	19
GO:0042175	nuclear outer membrane-endoplasmic reticulum membrane network	0.00504811655590893	0.00504811655590893	+1	19
GO:0005829	cytosol	0.00676872415524476	0.00676872415524476	+1	49
GO:0005515	protein binding	0.000880876572568655	0.000880876572568655	+1	104
GO:0002020	protease binding	0.00882366182753088	0.00882366182753088	+1	7
HPA:0470671	skin 2; melanocytes[≥Low]	0.00599615040064424	0.00599615040064424	+1	18
HPA:0461441	skin 1; fibrohistiocytic cells[≥Low]	0.00783408261009095	0.00783408261009095	+1	20
HPA:0460201	skin 1; endothelial cells[≥Low]	0.0417794694503269	0.0417794694503269	+1	18
