GO.ID	Description	p.Val	FDR	Phenotype	Genes
CORUM:6442	Cytochrome c oxidase, mitochondrial	0.000503948038262773	0.000503948038262773	+1	3
CORUM:2919	Respiratory chain complex I (gamma subunit) mitochondrial	0.000654259072426945	0.000654259072426945	+1	3
CORUM:2886	Respiratory chain complex I (incomplete intermediate ND1, ND2, ND3, CIA30 assembly), mitochondrial	0.00669995818278329	0.00669995818278329	+1	2
CORUM:178	Respiratory chain complex I (holoenzyme), mitochondrial	0.0290670163473743	0.0290670163473743	+1	3
GO:0006119	oxidative phosphorylation	5.20050617051503e-11	5.20050617051503e-11	+1	10
GO:0009060	aerobic respiration	1.08967470001163e-09	1.08967470001163e-09	+1	10
GO:0019646	aerobic electron transport chain	3.88772745008642e-09	3.88772745008642e-09	+1	8
GO:0042773	ATP synthesis coupled electron transport	7.70149308315323e-09	7.70149308315323e-09	+1	8
GO:0042775	mitochondrial ATP synthesis coupled electron transport	7.70149308315323e-09	7.70149308315323e-09	+1	8
GO:0045333	cellular respiration	9.68559947747644e-09	9.68559947747644e-09	+1	10
GO:0022904	respiratory electron transport chain	3.8858668227417e-08	3.8858668227417e-08	+1	8
GO:0015980	energy derivation by oxidation of organic compounds	2.19669312091348e-07	2.19669312091348e-07	+1	10
GO:0022900	electron transport chain	7.04364025429047e-07	7.04364025429047e-07	+1	8
GO:0042776	proton motive force-driven mitochondrial ATP synthesis	2.1182466928332e-06	2.1182466928332e-06	+1	6
GO:0022618	protein-RNA complex assembly	2.7206081837251e-06	2.7206081837251e-06	+1	16
GO:0071826	protein-RNA complex organization	2.97548258052851e-06	2.97548258052851e-06	+1	16
GO:0015986	proton motive force-driven ATP synthesis	5.45597538651567e-06	5.45597538651567e-06	+1	6
GO:0000398	mRNA splicing, via spliceosome	6.87934932274511e-06	6.87934932274511e-06	+1	16
GO:0000377	RNA splicing, via transesterification reactions with bulged adenosine as nucleophile	6.87934932274511e-06	6.87934932274511e-06	+1	16
GO:0000375	RNA splicing, via transesterification reactions	7.11317382801212e-06	7.11317382801212e-06	+1	16
GO:1902600	proton transmembrane transport	1.28882929575302e-05	1.28882929575302e-05	+1	7
GO:0006091	generation of precursor metabolites and energy	1.39421357804199e-05	1.39421357804199e-05	+1	10
GO:0008380	RNA splicing	2.19258947105282e-05	2.19258947105282e-05	+1	16
GO:0022613	ribonucleoprotein complex biogenesis	2.47624871830271e-05	2.47624871830271e-05	+1	16
GO:0006754	ATP biosynthetic process	3.00824123107752e-05	3.00824123107752e-05	+1	6
