query	GO.ID	Description	p.Val	Genes	FDR	Phenotype
GSE61992	GO:0002082	regulation of oxidative phosphorylation	0.00924770309976002	4	0.00924770309976002	+1
GSE61992	GO:0010498	proteasomal protein catabolic process	0.0255462082764804	12	0.0255462082764804	+1
GSE61992	GO:1903715	regulation of aerobic respiration	0.0383224165685946	4	0.0383224165685946	+1
GSE61992	GO:0034976	response to endoplasmic reticulum stress	0.043433456856842	8	0.043433456856842	+1
GSE61992	GO:1903862	positive regulation of oxidative phosphorylation	0.049336606754819	2	0.049336606754819	+1
GSE61992	GO:0005737	cytoplasm	8.61360913199658e-08	96	8.61360913199658e-08	+1
GSE61992	GO:0031984	organelle subcompartment	0.00328376591144424	22	0.00328376591144424	+1
GSE61992	GO:0005789	endoplasmic reticulum membrane	0.00386659298333056	19	0.00386659298333056	+1
GSE61992	GO:0098827	endoplasmic reticulum subcompartment	0.00414796107465758	19	0.00414796107465758	+1
GSE61992	GO:0042175	nuclear outer membrane-endoplasmic reticulum membrane network	0.00504811655590893	19	0.00504811655590893	+1
GSE61992	GO:0005829	cytosol	0.00676872415524476	49	0.00676872415524476	+1
GSE61992	GO:0005515	protein binding	0.000880876572568655	104	0.000880876572568655	+1
GSE61992	GO:0002020	protease binding	0.00882366182753088	7	0.00882366182753088	+1
GSE61992	HPA:0470671	skin 2; melanocytes[≥Low]	0.00599615040064424	18	0.00599615040064424	+1
GSE61992	HPA:0461441	skin 1; fibrohistiocytic cells[≥Low]	0.00783408261009095	20	0.00783408261009095	+1
GSE61992	HPA:0460201	skin 1; endothelial cells[≥Low]	0.0417794694503269	18	0.0417794694503269	+1
GSE91061	CORUM:351	Spliceosome	0.000117939649072989	54	0.000117939649072989	+1
GSE91061	GO:1901564	organonitrogen compound metabolic process	5.27051818315237e-42	1065	5.27051818315237e-42	+1
GSE91061	GO:0080090	regulation of primary metabolic process	7.92979772465427e-30	962	7.92979772465427e-30	+1
GSE91061	GO:0019538	protein metabolic process	2.15464524450444e-27	857	2.15464524450444e-27	+1
GSE91061	GO:0009056	catabolic process	3.98696932202171e-27	511	3.98696932202171e-27	+1
GSE91061	GO:0051171	regulation of nitrogen compound metabolic process	3.79974240842253e-26	925	3.79974240842253e-26	+1
GSE91061	GO:1901575	organic substance catabolic process	7.420699188913e-25	428	7.420699188913e-25	+1
GSE91061	GO:0044271	cellular nitrogen compound biosynthetic process	2.12470500916133e-22	824	2.12470500916133e-22	+1
GSE91061	GO:0043412	macromolecule modification	1.19828576188102e-21	596	1.19828576188102e-21	+1
GSE91061	GO:0044238	primary metabolic process	2.76326123326501e-21	1805	2.76326123326501e-21	+1
GSE91061	GO:0048518	positive regulation of biological process	8.41926379584356e-19	999	8.41926379584356e-19	+1
GSE91061	GO:0019219	regulation of nucleobase-containing compound metabolic process	2.68601397580919e-18	696	2.68601397580919e-18	+1
GSE91061	GO:0006807	nitrogen compound metabolic process	5.21124254347074e-18	1726	5.21124254347074e-18	+1
GSE91061	GO:1901565	organonitrogen compound catabolic process	5.86287728340176e-18	297	5.86287728340176e-18	+1
GSE91061	GO:0006950	response to stress	9.07980963585742e-18	664	9.07980963585742e-18	+1
GSE91061	GO:0051173	positive regulation of nitrogen compound metabolic process	1.56549273563797e-17	540	1.56549273563797e-17	+1
GSE91061	GO:1901362	organic cyclic compound biosynthetic process	1.96422508944713e-17	720	1.96422508944713e-17	+1
GSE91061	GO:0018130	heterocycle biosynthetic process	1.67795049858784e-16	693	1.67795049858784e-16	+1
GSE91061	GO:0044248	cellular catabolic process	3.32285681605601e-16	323	3.32285681605601e-16	+1
GSE91061	GO:0019438	aromatic compound biosynthetic process	3.36501685774262e-16	693	3.36501685774262e-16	+1
GSE91061	GO:0065007	biological regulation	3.79009835583371e-16	1798	3.79009835583371e-16	+1
GSE91061	GO:0048583	regulation of response to stimulus	5.6126742092114e-16	667	5.6126742092114e-16	+1
GSE91061	GO:0034654	nucleobase-containing compound biosynthetic process	1.03879165902706e-15	678	1.03879165902706e-15	+1
GSE91061	GO:0048522	positive regulation of cellular process	1.69073856084765e-15	909	1.69073856084765e-15	+1
GSE91061	GO:0036211	protein modification process	1.73021636200546e-15	535	1.73021636200546e-15	+1
GSE91061	GO:0009057	macromolecule catabolic process	2.96187956779463e-15	278	2.96187956779463e-15	+1
GSE91061	GO:0043687	post-translational protein modification	3.45521610714252e-15	226	3.45521610714252e-15	+1
GSE91061	GO:0009893	positive regulation of metabolic process	4.98242539526374e-15	630	4.98242539526374e-15	+1
GSE91061	GO:0019222	regulation of metabolic process	1.99587317316248e-14	1094	1.99587317316248e-14	+1
GSE91061	GO:0006996	organelle organization	2.03746463599886e-14	613	2.03746463599886e-14	+1
GSE91061	GO:0045935	positive regulation of nucleobase-containing compound metabolic process	4.92348845424219e-14	384	4.92348845424219e-14	+1
GSE91061	GO:0051252	regulation of RNA metabolic process	8.13540857670296e-14	631	8.13540857670296e-14	+1
GSE91061	GO:0032774	RNA biosynthetic process	8.7886290188498e-14	608	8.7886290188498e-14	+1
GSE91061	GO:0070647	protein modification by small protein conjugation or removal	9.35872288445455e-14	213	9.35872288445455e-14	+1
GSE91061	GO:0071702	organic substance transport	1.19093420148242e-13	428	1.19093420148242e-13	+1
GSE91061	GO:0031325	positive regulation of cellular metabolic process	1.28585004617123e-13	571	1.28585004617123e-13	+1
GSE91061	GO:0033554	cellular response to stress	1.65435756619716e-13	339	1.65435756619716e-13	+1
GSE91061	GO:0010604	positive regulation of macromolecule metabolic process	3.89661838580581e-13	579	3.89661838580581e-13	+1
GSE91061	GO:0009894	regulation of catabolic process	4.57941168311777e-13	220	4.57941168311777e-13	+1
GSE91061	GO:0006351	DNA-templated transcription	9.42367769308057e-13	598	9.42367769308057e-13	+1
GSE91061	GO:0043632	modification-dependent macromolecule catabolic process	1.18892682523326e-12	150	1.18892682523326e-12	+1
GSE91061	GO:0006511	ubiquitin-dependent protein catabolic process	1.51982135933729e-12	146	1.51982135933729e-12	+1
GSE91061	GO:0033036	macromolecule localization	1.57335537391493e-12	546	1.57335537391493e-12	+1
GSE91061	GO:0019941	modification-dependent protein catabolic process	2.90308972846596e-12	147	2.90308972846596e-12	+1
GSE91061	GO:0046907	intracellular transport	3.57556332158876e-12	272	3.57556332158876e-12	+1
GSE91061	GO:0051179	localization	4.31964571789044e-12	862	4.31964571789044e-12	+1
GSE91061	GO:0031323	regulation of cellular metabolic process	4.83018024060228e-12	1015	4.83018024060228e-12	+1
GSE91061	GO:0051603	proteolysis involved in protein catabolic process	6.25406596274345e-12	167	6.25406596274345e-12	+1
GSE91061	GO:0008152	metabolic process	7.64318567668204e-12	1960	7.64318567668204e-12	+1
