GO.ID	Description	p.Val	FDR	Phenotype	Genes
GO:0006950	response to stress	9.19337368149048e-05	9.19337368149048e-05	+1	59
GO:0010033	response to organic substance	0.000121738504900737	0.000121738504900737	+1	46
GO:0012501	programmed cell death	0.00198064432854793	0.00198064432854793	+1	36
GO:0008219	cell death	0.00207713503709708	0.00207713503709708	+1	36
GO:0034976	response to endoplasmic reticulum stress	0.00234329930493424	0.00234329930493424	+1	11
GO:0019882	antigen processing and presentation	0.00617339285053006	0.00617339285053006	+1	8
GO:0008283	cell population proliferation	0.00705959647791616	0.00705959647791616	+1	35
GO:0071310	cellular response to organic substance	0.0128522666048788	0.0128522666048788	+1	34
GO:0006915	apoptotic process	0.0181000828560867	0.0181000828560867	+1	33
GO:0070887	cellular response to chemical stimulus	0.0233223458261998	0.0233223458261998	+1	41
GO:0033554	cellular response to stress	0.0264807400140725	0.0264807400140725	+1	31
GO:0042127	regulation of cell population proliferation	0.0267044532911906	0.0267044532911906	+1	30
GO:0071396	cellular response to lipid	0.0418947931937219	0.0418947931937219	+1	16
GO:0045785	positive regulation of cell adhesion	0.0420815471556243	0.0420815471556243	+1	14
GO:0002082	regulation of oxidative phosphorylation	0.0438730398936811	0.0438730398936811	+1	4
GO:0014070	response to organic cyclic compound	0.0469761016287561	0.0469761016287561	+1	20
GO:0005737	cytoplasm	2.50352120763325e-08	2.50352120763325e-08	+1	133
GO:0005829	cytosol	2.08983283621752e-05	2.08983283621752e-05	+1	73
GO:0005789	endoplasmic reticulum membrane	0.000320717293806969	0.000320717293806969	+1	26
GO:0031984	organelle subcompartment	0.000338113373289032	0.000338113373289032	+1	30
GO:0098827	endoplasmic reticulum subcompartment	0.000352062867616964	0.000352062867616964	+1	26
GO:0042175	nuclear outer membrane-endoplasmic reticulum membrane network	0.000456870142167554	0.000456870142167554	+1	26
GO:0005783	endoplasmic reticulum	0.00109628707385292	0.00109628707385292	+1	35
GO:0140534	endoplasmic reticulum protein-containing complex	0.00155977065309741	0.00155977065309741	+1	8
GO:1902494	catalytic complex	0.00270889826793384	0.00270889826793384	+1	31
GO:0012505	endomembrane system	0.00448913506663682	0.00448913506663682	+1	60
GO:0030135	coated vesicle	0.00784857650921832	0.00784857650921832	+1	11
GO:0016020	membrane	0.014919065574544	0.014919065574544	+1	100
GO:0031090	organelle membrane	0.0166861173026229	0.0166861173026229	+1	49
GO:0005515	protein binding	0.000105789520185871	0.000105789520185871	+1	149
GO:0042802	identical protein binding	0.0471367733311593	0.0471367733311593	+1	35
HPA:0471441	skin 2; fibrohistiocytic cells[≥Low]	0.00176037812471458	0.00176037812471458	+1	28
HPA:0461441	skin 1; fibrohistiocytic cells[≥Low]	0.00369001489245015	0.00369001489245015	+1	25
HPA:0460201	skin 1; endothelial cells[≥Low]	0.0143684387737544	0.0143684387737544	+1	23
MIRNA:hsa-miR-199b-3p	hsa-miR-199b-3p	0.0233542362506946	0.0233542362506946	+1	7
MIRNA:hsa-miR-1254	hsa-miR-1254	0.0349224905775177	0.0349224905775177	+1	8
WP:WP5115	Network map of SARS CoV 2 signaling pathway	0.0162326179778072	0.0162326179778072	+1	10
