query	GO.ID	Description	p.Val	Genes	FDR	Phenotype
GSE61992	GO:0006950	response to stress	9.19337368149048e-05	59	9.19337368149048e-05	+1
GSE61992	GO:0010033	response to organic substance	0.000121738504900737	46	0.000121738504900737	+1
GSE61992	GO:0012501	programmed cell death	0.00198064432854793	36	0.00198064432854793	+1
GSE61992	GO:0008219	cell death	0.00207713503709708	36	0.00207713503709708	+1
GSE61992	GO:0034976	response to endoplasmic reticulum stress	0.00234329930493424	11	0.00234329930493424	+1
GSE61992	GO:0019882	antigen processing and presentation	0.00617339285053006	8	0.00617339285053006	+1
GSE61992	GO:0008283	cell population proliferation	0.00705959647791616	35	0.00705959647791616	+1
GSE61992	GO:0071310	cellular response to organic substance	0.0128522666048788	34	0.0128522666048788	+1
GSE61992	GO:0006915	apoptotic process	0.0181000828560867	33	0.0181000828560867	+1
GSE61992	GO:0070887	cellular response to chemical stimulus	0.0233223458261998	41	0.0233223458261998	+1
GSE61992	GO:0033554	cellular response to stress	0.0264807400140725	31	0.0264807400140725	+1
GSE61992	GO:0042127	regulation of cell population proliferation	0.0267044532911906	30	0.0267044532911906	+1
GSE61992	GO:0071396	cellular response to lipid	0.0418947931937219	16	0.0418947931937219	+1
GSE61992	GO:0045785	positive regulation of cell adhesion	0.0420815471556243	14	0.0420815471556243	+1
GSE61992	GO:0002082	regulation of oxidative phosphorylation	0.0438730398936811	4	0.0438730398936811	+1
GSE61992	GO:0014070	response to organic cyclic compound	0.0469761016287561	20	0.0469761016287561	+1
GSE61992	GO:0005737	cytoplasm	2.50352120763325e-08	133	2.50352120763325e-08	+1
GSE61992	GO:0005829	cytosol	2.08983283621752e-05	73	2.08983283621752e-05	+1
GSE61992	GO:0005789	endoplasmic reticulum membrane	0.000320717293806969	26	0.000320717293806969	+1
GSE61992	GO:0031984	organelle subcompartment	0.000338113373289032	30	0.000338113373289032	+1
GSE61992	GO:0098827	endoplasmic reticulum subcompartment	0.000352062867616964	26	0.000352062867616964	+1
GSE61992	GO:0042175	nuclear outer membrane-endoplasmic reticulum membrane network	0.000456870142167554	26	0.000456870142167554	+1
GSE61992	GO:0005783	endoplasmic reticulum	0.00109628707385292	35	0.00109628707385292	+1
GSE61992	GO:0140534	endoplasmic reticulum protein-containing complex	0.00155977065309741	8	0.00155977065309741	+1
GSE61992	GO:1902494	catalytic complex	0.00270889826793384	31	0.00270889826793384	+1
GSE61992	GO:0012505	endomembrane system	0.00448913506663682	60	0.00448913506663682	+1
GSE61992	GO:0030135	coated vesicle	0.00784857650921832	11	0.00784857650921832	+1
GSE61992	GO:0016020	membrane	0.014919065574544	100	0.014919065574544	+1
GSE61992	GO:0031090	organelle membrane	0.0166861173026229	49	0.0166861173026229	+1
GSE61992	GO:0005515	protein binding	0.000105789520185871	149	0.000105789520185871	+1
GSE61992	GO:0042802	identical protein binding	0.0471367733311593	35	0.0471367733311593	+1
GSE61992	HPA:0471441	skin 2; fibrohistiocytic cells[≥Low]	0.00176037812471458	28	0.00176037812471458	+1
GSE61992	HPA:0461441	skin 1; fibrohistiocytic cells[≥Low]	0.00369001489245015	25	0.00369001489245015	+1
GSE61992	HPA:0460201	skin 1; endothelial cells[≥Low]	0.0143684387737544	23	0.0143684387737544	+1
GSE61992	MIRNA:hsa-miR-199b-3p	hsa-miR-199b-3p	0.0233542362506946	7	0.0233542362506946	+1
GSE61992	MIRNA:hsa-miR-1254	hsa-miR-1254	0.0349224905775177	8	0.0349224905775177	+1
GSE61992	WP:WP5115	Network map of SARS CoV 2 signaling pathway	0.0162326179778072	10	0.0162326179778072	+1
GSE91061	CORUM:143	APP-APBB1-LRP1 complex	0.0499525906448572	3	0.0499525906448572	+1
GSE91061	CORUM:2396	ITGA7-ITGB1-CD9 complex	0.0499525906448572	3	0.0499525906448572	+1
GSE91061	CORUM:2445	ITGA9-ITGB1-ADAM15 complex	0.0499525906448572	3	0.0499525906448572	+1
GSE91061	GO:0009056	catabolic process	4.4214305031016e-09	178	4.4214305031016e-09	+1
GSE91061	GO:0044281	small molecule metabolic process	8.56764262875606e-08	134	8.56764262875606e-08	+1
GSE91061	GO:1901575	organic substance catabolic process	3.30809311209592e-07	146	3.30809311209592e-07	+1
GSE91061	GO:0050789	regulation of biological process	3.89815673482365e-07	602	3.89815673482365e-07	+1
GSE91061	GO:0044248	cellular catabolic process	4.37706957300013e-07	120	4.37706957300013e-07	+1
GSE91061	GO:0006629	lipid metabolic process	5.01128240554919e-07	108	5.01128240554919e-07	+1
GSE91061	GO:0065007	biological regulation	5.01333646583728e-07	617	5.01333646583728e-07	+1
GSE91061	GO:1901565	organonitrogen compound catabolic process	1.63233759591936e-06	107	1.63233759591936e-06	+1
GSE91061	GO:0019752	carboxylic acid metabolic process	4.00599350652155e-06	77	4.00599350652155e-06	+1
GSE91061	GO:0050794	regulation of cellular process	5.75978911256196e-06	574	5.75978911256196e-06	+1
GSE91061	GO:1901564	organonitrogen compound metabolic process	8.66897288149147e-06	328	8.66897288149147e-06	+1
GSE91061	GO:0043436	oxoacid metabolic process	1.16952784267895e-05	77	1.16952784267895e-05	+1
GSE91061	GO:0048518	positive regulation of biological process	1.25658159663237e-05	339	1.25658159663237e-05	+1
GSE91061	GO:0006082	organic acid metabolic process	1.55315897421447e-05	77	1.55315897421447e-05	+1
GSE91061	GO:0048522	positive regulation of cellular process	1.91782388289741e-05	314	1.91782388289741e-05	+1
GSE91061	GO:0032502	developmental process	1.97236143850715e-05	347	1.97236143850715e-05	+1
GSE91061	GO:0080090	regulation of primary metabolic process	3.32025604912511e-05	307	3.32025604912511e-05	+1
GSE91061	GO:0070848	response to growth factor	3.69012138105644e-05	63	3.69012138105644e-05	+1
GSE91061	GO:0071495	cellular response to endogenous stimulus	4.54232940452177e-05	104	4.54232940452177e-05	+1
GSE91061	GO:0009719	response to endogenous stimulus	5.21983129551114e-05	117	5.21983129551114e-05	+1
GSE91061	GO:0007399	nervous system development	8.54947357269123e-05	160	8.54947357269123e-05	+1
GSE91061	GO:0071363	cellular response to growth factor stimulus	0.00010053540025547	60	0.00010053540025547	+1
GSE91061	GO:0048856	anatomical structure development	0.000110883145905864	318	0.000110883145905864	+1
GSE91061	GO:0032787	monocarboxylic acid metabolic process	0.000202516891646858	56	0.000202516891646858	+1
GSE91061	GO:0048731	system development	0.000206371623167109	228	0.000206371623167109	+1
GSE91061	GO:0007275	multicellular organism development	0.000230127113693892	259	0.000230127113693892	+1
GSE91061	GO:0044255	cellular lipid metabolic process	0.000456616804800748	77	0.000456616804800748	+1
GSE91061	GO:0051171	regulation of nitrogen compound metabolic process	0.000613153625557343	293	0.000613153625557343	+1
GSE91061	GO:0051716	cellular response to stimulus	0.000779444305800858	379	0.000779444305800858	+1
GSE91061	GO:0007154	cell communication	0.000905205998412443	341	0.000905205998412443	+1
GSE91061	GO:0023052	signaling	0.000911523677667536	337	0.000911523677667536	+1
GSE91061	GO:0071705	nitrogen compound transport	0.00102314417157212	124	0.00102314417157212	+1
GSE91061	GO:1901566	organonitrogen compound biosynthetic process	0.00208743006319362	115	0.00208743006319362	+1
GSE91061	GO:1901362	organic cyclic compound biosynthetic process	0.00321615757720483	235	0.00321615757720483	+1
GSE91061	GO:0051130	positive regulation of cellular component organization	0.00375961861500796	80	0.00375961861500796	+1
GSE91061	GO:0006810	transport	0.00469104156452924	238	0.00469104156452924	+1
GSE91061	GO:0044271	cellular nitrogen compound biosynthetic process	0.0051674741032096	260	0.0051674741032096	+1
GSE91061	GO:0033036	macromolecule localization	0.00618513576609587	184	0.00618513576609587	+1
GSE91061	GO:0010646	regulation of cell communication	0.00627592833652747	195	0.00627592833652747	+1
GSE91061	GO:0006635	fatty acid beta-oxidation	0.00646961747948867	14	0.00646961747948867	+1
GSE91061	GO:0009894	regulation of catabolic process	0.00757955684217015	74	0.00757955684217015	+1
GSE91061	GO:0043603	amide metabolic process	0.00791540238208174	83	0.00791540238208174	+1
GSE91061	GO:0023051	regulation of signaling	0.00841185484696751	194	0.00841185484696751	+1
GSE91061	GO:0051649	establishment of localization in cell	0.00851644014259013	123	0.00851644014259013	+1
GSE91061	GO:0008610	lipid biosynthetic process	0.00933633680490649	57	0.00933633680490649	+1
GSE91061	GO:0001649	osteoblast differentiation	0.0107791715214695	26	0.0107791715214695	+1
GSE91061	GO:0051641	cellular localization	0.0108714895461216	202	0.0108714895461216	+1
GSE91061	GO:0019438	aromatic compound biosynthetic process	0.0109061082237944	225	0.0109061082237944	+1
GSE91061	GO:0006631	fatty acid metabolic process	0.011334012627429	37	0.011334012627429	+1
GSE91061	GO:0009057	macromolecule catabolic process	0.01138632905739	90	0.01138632905739	+1
GSE91061	GO:0007167	enzyme-linked receptor protein signaling pathway	0.0124673482257942	70	0.0124673482257942	+1
GSE91061	GO:0016054	organic acid catabolic process	0.0179387720045099	27	0.0179387720045099	+1
GSE91061	GO:0046395	carboxylic acid catabolic process	0.0179387720045099	27	0.0179387720045099	+1
GSE91061	GO:0070727	cellular macromolecule localization	0.0188339495075475	159	0.0188339495075475	+1
GSE91061	GO:0018130	heterocycle biosynthetic process	0.0190774426402791	223	0.0190774426402791	+1
GSE91061	GO:0071702	organic substance transport	0.0225746371639276	140	0.0225746371639276	+1
GSE91061	GO:0008104	protein localization	0.0229986817658902	158	0.0229986817658902	+1
GSE91061	GO:0044282	small molecule catabolic process	0.0248235258668845	35	0.0248235258668845	+1
GSE91061	GO:0031331	positive regulation of cellular catabolic process	0.0248502497090331	32	0.0248502497090331	+1
GSE91061	GO:0019395	fatty acid oxidation	0.0277804539795403	16	0.0277804539795403	+1
GSE91061	GO:0046907	intracellular transport	0.0295944843987899	90	0.0295944843987899	+1
GSE91061	GO:0007267	cell-cell signaling	0.0298030834772377	107	0.0298030834772377	+1
GSE91061	GO:0045184	establishment of protein localization	0.0301297206522019	118	0.0301297206522019	+1
GSE91061	GO:0005975	carbohydrate metabolic process	0.0311642885013165	46	0.0311642885013165	+1
GSE91061	GO:0007165	signal transduction	0.0336968443020409	305	0.0336968443020409	+1
GSE91061	GO:0010564	regulation of cell cycle process	0.0342434236707997	55	0.0342434236707997	+1
GSE91061	GO:0019637	organophosphate metabolic process	0.0343601656873659	72	0.0343601656873659	+1
GSE91061	GO:0035295	tube development	0.0352686641996696	75	0.0352686641996696	+1
GSE91061	GO:0032880	regulation of protein localization	0.0378186026661844	64	0.0378186026661844	+1
GSE91061	GO:0051128	regulation of cellular component organization	0.0391291510912414	142	0.0391291510912414	+1
GSE91061	GO:0009966	regulation of signal transduction	0.0391876545563549	170	0.0391876545563549	+1
GSE91061	GO:0015031	protein transport	0.0437549431884328	92	0.0437549431884328	+1
GSE91061	GO:0051234	establishment of localization	0.0441499092384722	256	0.0441499092384722	+1
GSE91061	GO:0030163	protein catabolic process	0.0452119990063959	68	0.0452119990063959	+1
GSE91061	GO:0005737	cytoplasm	7.92033428081377e-25	664	7.92033428081377e-25	+1
GSE91061	GO:0005829	cytosol	6.95851379995645e-11	323	6.95851379995645e-11	+1
GSE91061	GO:0012505	endomembrane system	4.08525528274349e-07	273	4.08525528274349e-07	+1
GSE91061	GO:0098588	bounding membrane of organelle	8.55428848240168e-07	147	8.55428848240168e-07	+1
GSE91061	GO:0031982	vesicle	6.57896028966646e-06	231	6.57896028966646e-06	+1
GSE91061	GO:0031090	organelle membrane	4.05651940716992e-05	216	4.05651940716992e-05	+1
GSE91061	GO:0016020	membrane	7.28008283341538e-05	482	7.28008283341538e-05	+1
GSE91061	GO:0031410	cytoplasmic vesicle	9.13243410570346e-05	154	9.13243410570346e-05	+1
GSE91061	GO:0097708	intracellular vesicle	0.000103198439591378	154	0.000103198439591378	+1
GSE91061	GO:0005783	endoplasmic reticulum	0.000103545271328377	131	0.000103545271328377	+1
GSE91061	GO:0030054	cell junction	0.000420025897433337	137	0.000420025897433337	+1
GSE91061	GO:0005622	intracellular anatomical structure	0.00145285949884512	786	0.00145285949884512	+1
GSE91061	GO:0005654	nucleoplasm	0.00320565512644609	226	0.00320565512644609	+1
GSE91061	GO:0012506	vesicle membrane	0.00337634725911862	83	0.00337634725911862	+1
GSE91061	GO:0005773	vacuole	0.00459164998041323	62	0.00459164998041323	+1
GSE91061	GO:0043233	organelle lumen	0.00653893114577888	332	0.00653893114577888	+1
GSE91061	GO:0031974	membrane-enclosed lumen	0.00653893114577888	332	0.00653893114577888	+1
GSE91061	GO:0070013	intracellular organelle lumen	0.00653893114577888	332	0.00653893114577888	+1
GSE91061	GO:0045202	synapse	0.00848274591004227	93	0.00848274591004227	+1
GSE91061	GO:0005739	mitochondrion	0.00881748743001154	104	0.00881748743001154	+1
GSE91061	GO:0045121	membrane raft	0.0101930938372075	28	0.0101930938372075	+1
GSE91061	GO:0098857	membrane microdomain	0.0108497838254174	28	0.0108497838254174	+1
GSE91061	GO:0030659	cytoplasmic vesicle membrane	0.0120454609339816	80	0.0120454609339816	+1
GSE91061	GO:0005777	peroxisome	0.0125719872941743	18	0.0125719872941743	+1
GSE91061	GO:0042579	microbody	0.0125719872941743	18	0.0125719872941743	+1
GSE91061	GO:0005768	endosome	0.0150175795534989	71	0.0150175795534989	+1
GSE91061	GO:0009986	cell surface	0.0231171585474618	62	0.0231171585474618	+1
GSE91061	GO:0055037	recycling endosome	0.0345511683481007	21	0.0345511683481007	+1
GSE91061	GO:0005759	mitochondrial matrix	0.0362430154582308	39	0.0362430154582308	+1
GSE91061	GO:0005515	protein binding	1.31608306316366e-12	764	1.31608306316366e-12	+1
GSE91061	GO:0043169	cation binding	1.76827740639523e-08	283	1.76827740639523e-08	+1
GSE91061	GO:0046872	metal ion binding	2.19657737383296e-08	278	2.19657737383296e-08	+1
GSE91061	GO:0043167	ion binding	7.94716319234242e-08	364	7.94716319234242e-08	+1
GSE91061	GO:0036094	small molecule binding	2.0910974923687e-07	372	2.0910974923687e-07	+1
GSE91061	GO:0005488	binding	2.62026711776259e-06	870	2.62026711776259e-06	+1
GSE91061	GO:0003824	catalytic activity	5.09157330254854e-05	330	5.09157330254854e-05	+1
GSE91061	GO:0016830	carbon-carbon lyase activity	0.0058099951694719	11	0.0058099951694719	+1
GSE91061	GO:0016829	lyase activity	0.0225863347763009	23	0.0225863347763009	+1
GSE91061	HPA:0100000	cerebral cortex	1.50761471180326e-10	504	1.50761471180326e-10	+1
GSE91061	HPA:0570731	testis; Leydig cells[≥Low]	4.93798259891787e-10	459	4.93798259891787e-10	+1
GSE91061	HPA:0270000	kidney	5.94477434919245e-10	508	5.94477434919245e-10	+1
GSE91061	HPA:0480000	small intestine	1.06467687026688e-06	481	1.06467687026688e-06	+1
GSE91061	HPA:0020051	adrenal gland; glandular cells[≥Low]	2.05598523590196e-06	458	2.05598523590196e-06	+1
GSE91061	HPA:0020000	adrenal gland	2.48735943350998e-06	458	2.48735943350998e-06	+1
GSE91061	HPA:0550000	stomach 2	4.63334911716719e-06	466	4.63334911716719e-06	+1
