GO.ID	Description	p.Val	FDR	Phenotype	Genes
GO:0031984	organelle subcompartment	0.00025068502315847	0.00025068502315847	+1	16
GO:0005789	endoplasmic reticulum membrane	0.000398146437958615	0.000398146437958615	+1	14
GO:0098827	endoplasmic reticulum subcompartment	0.000422430790775035	0.000422430790775035	+1	14
GO:0042175	nuclear outer membrane-endoplasmic reticulum membrane network	0.000498624612112116	0.000498624612112116	+1	14
GO:0005737	cytoplasm	0.00144334512609109	0.00144334512609109	+1	48
GO:0030135	coated vesicle	0.00414927701020268	0.00414927701020268	+1	7
GO:0005783	endoplasmic reticulum	0.0116566863400419	0.0116566863400419	+1	16
GO:0000139	Golgi membrane	0.0139722802380531	0.0139722802380531	+1	9
GO:0030134	COPII-coated ER to Golgi transport vesicle	0.0226672112232166	0.0226672112232166	+1	4
GO:0031090	organelle membrane	0.0245324249797086	0.0245324249797086	+1	22
GO:0098588	bounding membrane of organelle	0.0269313644917729	0.0269313644917729	+1	16
GO:0030662	coated vesicle membrane	0.0443101158808254	0.0443101158808254	+1	5
GO:0032588	trans-Golgi network membrane	0.0462876952394878	0.0462876952394878	+1	4
HPA:0381191	placenta; cytotrophoblasts[≥Low]	0.0330531568434299	0.0330531568434299	+1	9
HPA:0460201	skin 1; endothelial cells[≥Low]	0.0335993320435933	0.0335993320435933	+1	12
WP:WP4217	Ebola virus infection in host	0.00953949251600235	0.00953949251600235	+1	5
