query	GO.ID	Description	p.Val	Genes	FDR	Phenotype
GSE61992	GO:0031984	organelle subcompartment	0.00025068502315847	16	0.00025068502315847	+1
GSE61992	GO:0005789	endoplasmic reticulum membrane	0.000398146437958615	14	0.000398146437958615	+1
GSE61992	GO:0098827	endoplasmic reticulum subcompartment	0.000422430790775035	14	0.000422430790775035	+1
GSE61992	GO:0042175	nuclear outer membrane-endoplasmic reticulum membrane network	0.000498624612112116	14	0.000498624612112116	+1
GSE61992	GO:0005737	cytoplasm	0.00144334512609109	48	0.00144334512609109	+1
GSE61992	GO:0030135	coated vesicle	0.00414927701020268	7	0.00414927701020268	+1
GSE61992	GO:0005783	endoplasmic reticulum	0.0116566863400419	16	0.0116566863400419	+1
GSE61992	GO:0000139	Golgi membrane	0.0139722802380531	9	0.0139722802380531	+1
GSE61992	GO:0030134	COPII-coated ER to Golgi transport vesicle	0.0226672112232166	4	0.0226672112232166	+1
GSE61992	GO:0031090	organelle membrane	0.0245324249797086	22	0.0245324249797086	+1
GSE61992	GO:0098588	bounding membrane of organelle	0.0269313644917729	16	0.0269313644917729	+1
GSE61992	GO:0030662	coated vesicle membrane	0.0443101158808254	5	0.0443101158808254	+1
GSE61992	GO:0032588	trans-Golgi network membrane	0.0462876952394878	4	0.0462876952394878	+1
GSE61992	HPA:0381191	placenta; cytotrophoblasts[≥Low]	0.0330531568434299	9	0.0330531568434299	+1
GSE61992	HPA:0460201	skin 1; endothelial cells[≥Low]	0.0335993320435933	12	0.0335993320435933	+1
GSE61992	WP:WP4217	Ebola virus infection in host	0.00953949251600235	5	0.00953949251600235	+1
GSE91061	CORUM:5230	CHUK-NFKB2-REL-IKBKG-SPAG9-NFKB1-NFKBIE-COPB2-TNIP1-NFKBIA-RELA-TNIP2 complex	0.00141983311551799	8	0.00141983311551799	+1
GSE91061	CORUM:5194	TNF-alpha/NF-kappa B signaling complex (SEC16A, CHUK, IKBKB, NFKB2, REL, IKBKG, MAP3K14, RELA, FBXW7, USP2)	0.0210075221951487	7	0.0210075221951487	+1
GSE91061	CORUM:5193	TNF-alpha/NF-kappa B signaling complex (CHUK, KPNA3, NFKB2, NFKBIB, REL, IKBKG,  NFKB1, NFKBIE, RELB,  NFKBIA, RELA, TNIP2)	0.0210075221951487	7	0.0210075221951487	+1
GSE91061	GO:0065007	biological regulation	9.52091174277903e-72	1492	9.52091174277903e-72	+1
GSE91061	GO:0050789	regulation of biological process	9.0870789239612e-71	1459	9.0870789239612e-71	+1
GSE91061	GO:0050794	regulation of cellular process	4.50472242309331e-69	1411	4.50472242309331e-69	+1
GSE91061	GO:0048518	positive regulation of biological process	4.02738313506107e-65	903	4.02738313506107e-65	+1
GSE91061	GO:0019222	regulation of metabolic process	4.03029538077998e-61	982	4.03029538077998e-61	+1
GSE91061	GO:0048583	regulation of response to stimulus	7.19996563772318e-61	646	7.19996563772318e-61	+1
GSE91061	GO:0080090	regulation of primary metabolic process	8.89614188818121e-61	824	8.89614188818121e-61	+1
GSE91061	GO:0009893	positive regulation of metabolic process	5.1568439578181e-60	618	5.1568439578181e-60	+1
GSE91061	GO:0048522	positive regulation of cellular process	2.66782606047768e-59	833	2.66782606047768e-59	+1
GSE91061	GO:0002376	immune system process	7.34728283259153e-59	505	7.34728283259153e-59	+1
GSE91061	GO:0035556	intracellular signal transduction	3.27178196750773e-57	488	3.27178196750773e-57	+1
GSE91061	GO:0051171	regulation of nitrogen compound metabolic process	5.48122601332625e-57	798	5.48122601332625e-57	+1
GSE91061	GO:0006950	response to stress	1.0707246663812e-56	626	1.0707246663812e-56	+1
GSE91061	GO:0010604	positive regulation of macromolecule metabolic process	3.67330011037133e-56	575	3.67330011037133e-56	+1
GSE91061	GO:0031325	positive regulation of cellular metabolic process	2.18971619892276e-54	562	2.18971619892276e-54	+1
GSE91061	GO:0006952	defense response	4.73713700097324e-54	369	4.73713700097324e-54	+1
GSE91061	GO:0031323	regulation of cellular metabolic process	6.84075430808634e-53	911	6.84075430808634e-53	+1
GSE91061	GO:0051173	positive regulation of nitrogen compound metabolic process	3.99548305451361e-50	511	3.99548305451361e-50	+1
GSE91061	GO:0009605	response to external stimulus	9.50831070761925e-50	477	9.50831070761925e-50	+1
GSE91061	GO:0051716	cellular response to stimulus	1.50950197675298e-49	971	1.50950197675298e-49	+1
GSE91061	GO:0050896	response to stimulus	2.15127114147972e-47	1112	2.15127114147972e-47	+1
GSE91061	GO:0060255	regulation of macromolecule metabolic process	2.53834875918052e-47	890	2.53834875918052e-47	+1
GSE91061	GO:0002682	regulation of immune system process	4.07484458437393e-47	317	4.07484458437393e-47	+1
GSE91061	GO:0044419	biological process involved in interspecies interaction between organisms	1.89257373740557e-46	344	1.89257373740557e-46	+1
GSE91061	GO:0050776	regulation of immune response	1.94870444321473e-44	221	1.94870444321473e-44	+1
GSE91061	GO:0009607	response to biotic stimulus	2.79660538759499e-44	321	2.79660538759499e-44	+1
GSE91061	GO:0034097	response to cytokine	5.45574430409408e-44	228	5.45574430409408e-44	+1
GSE91061	GO:0098542	defense response to other organism	6.38656641909946e-44	270	6.38656641909946e-44	+1
GSE91061	GO:0009966	regulation of signal transduction	1.51125847688548e-43	495	1.51125847688548e-43	+1
GSE91061	GO:0006955	immune response	2.59812601353619e-43	371	2.59812601353619e-43	+1
GSE91061	GO:0043207	response to external biotic stimulus	3.35779235151623e-43	314	3.35779235151623e-43	+1
GSE91061	GO:0051707	response to other organism	6.36116334238784e-43	313	6.36116334238784e-43	+1
GSE91061	GO:0023051	regulation of signaling	6.80917761860743e-43	542	6.80917761860743e-43	+1
GSE91061	GO:0140546	defense response to symbiont	1.57356078909044e-42	252	1.57356078909044e-42	+1
GSE91061	GO:0010646	regulation of cell communication	2.6874260324618e-42	541	2.6874260324618e-42	+1
GSE91061	GO:0007154	cell communication	9.10675109533197e-42	863	9.10675109533197e-42	+1
GSE91061	GO:0023052	signaling	2.01726200404465e-41	853	2.01726200404465e-41	+1
GSE91061	GO:0045087	innate immune response	2.82377116548631e-41	228	2.82377116548631e-41	+1
GSE91061	GO:0002684	positive regulation of immune system process	3.02086645602392e-41	241	3.02086645602392e-41	+1
GSE91061	GO:0070887	cellular response to chemical stimulus	1.24251667841722e-40	449	1.24251667841722e-40	+1
GSE91061	GO:0080134	regulation of response to stress	1.25638025527345e-40	280	1.25638025527345e-40	+1
GSE91061	GO:0031347	regulation of defense response	3.87925697554706e-40	196	3.87925697554706e-40	+1
GSE91061	GO:0032101	regulation of response to external stimulus	4.76854865766727e-40	242	4.76854865766727e-40	+1
GSE91061	GO:0007165	signal transduction	9.31816101202257e-40	799	9.31816101202257e-40	+1
GSE91061	GO:0141124	intracellular signaling cassette	1.54048220867194e-39	346	1.54048220867194e-39	+1
GSE91061	GO:1902531	regulation of intracellular signal transduction	3.70508948239672e-39	333	3.70508948239672e-39	+1
GSE91061	GO:0048584	positive regulation of response to stimulus	6.74133616574326e-38	393	6.74133616574326e-38	+1
GSE91061	GO:0002764	immune response-regulating signaling pathway	7.33978354297993e-38	147	7.33978354297993e-38	+1
GSE91061	GO:0002757	immune response-activating signaling pathway	1.10593213475777e-37	142	1.10593213475777e-37	+1
GSE91061	GO:0031328	positive regulation of cellular biosynthetic process	7.34452752327583e-37	439	7.34452752327583e-37	+1
GSE91061	GO:0071345	cellular response to cytokine stimulus	7.53772019337499e-37	201	7.53772019337499e-37	+1
GSE91061	GO:0050778	positive regulation of immune response	1.41925580989129e-36	182	1.41925580989129e-36	+1
GSE91061	GO:0071310	cellular response to organic substance	2.32522954687924e-36	352	2.32522954687924e-36	+1
GSE91061	GO:0045088	regulation of innate immune response	2.90258989334503e-36	131	2.90258989334503e-36	+1
GSE91061	GO:0002253	activation of immune response	4.05835574644757e-36	151	4.05835574644757e-36	+1
GSE91061	GO:0010557	positive regulation of macromolecule biosynthetic process	5.48235711922142e-36	427	5.48235711922142e-36	+1
GSE91061	GO:0009891	positive regulation of biosynthetic process	5.52558460820858e-36	439	5.52558460820858e-36	+1
GSE91061	GO:0006954	inflammatory response	1.68185606021193e-35	197	1.68185606021193e-35	+1
GSE91061	GO:0002831	regulation of response to biotic stimulus	2.0180046815401e-35	145	2.0180046815401e-35	+1
GSE91061	GO:0051252	regulation of RNA metabolic process	2.04067179736117e-35	556	2.04067179736117e-35	+1
GSE91061	GO:0016192	vesicle-mediated transport	2.06991256766888e-35	296	2.06991256766888e-35	+1
GSE91061	GO:0010033	response to organic substance	6.32200643578234e-35	428	6.32200643578234e-35	+1
GSE91061	GO:0019219	regulation of nucleobase-containing compound metabolic process	1.17251935222438e-34	586	1.17251935222438e-34	+1
GSE91061	GO:0001775	cell activation	1.55636513520069e-34	233	1.55636513520069e-34	+1
GSE91061	GO:0045321	leukocyte activation	2.23601702344688e-34	212	2.23601702344688e-34	+1
GSE91061	GO:0031326	regulation of cellular biosynthetic process	7.20550600705404e-34	761	7.20550600705404e-34	+1
GSE91061	GO:0009889	regulation of biosynthetic process	8.21391713914675e-34	764	8.21391713914675e-34	+1
