GO.ID	Description	p.Val	FDR	Phenotype	Genes
CORUM:6826	Calprotectin heterotetramer	0.000421943631863054	0.000421943631863054	+1	2
CORUM:6827	iNOS-S100A8/A9 complex	0.00126458291087499	0.00126458291087499	+1	2
GO:0070488	neutrophil aggregation	0.00067830037731815	0.00067830037731815	+1	2
GO:0032119	sequestering of zinc ion	0.00067830037731815	0.00067830037731815	+1	2
GO:0035425	autocrine signaling	0.0142149805569665	0.0142149805569665	+1	2
GO:0051238	sequestering of metal ion	0.0304230305267682	0.0304230305267682	+1	2
GO:0070062	extracellular exosome	0.00010441192325488	0.00010441192325488	+1	9
GO:1903561	extracellular vesicle	0.000115013398728119	0.000115013398728119	+1	9
GO:0043230	extracellular organelle	0.000115474864135781	0.000115474864135781	+1	9
GO:0065010	extracellular membrane-bounded organelle	0.000115474864135781	0.000115474864135781	+1	9
GO:0005615	extracellular space	0.000388003617336591	0.000388003617336591	+1	10
GO:0031982	vesicle	0.002328451764811	0.002328451764811	+1	10
GO:0005576	extracellular region	0.0037189351718421	0.0037189351718421	+1	10
GO:0005829	cytosol	0.0403689372796769	0.0403689372796769	+1	10
GO:0035662	Toll-like receptor 4 binding	0.000798387253081857	0.000798387253081857	+1	2
GO:0050544	arachidonic acid binding	0.00279076218995961	0.00279076218995961	+1	2
GO:0050543	icosatetraenoic acid binding	0.00279076218995961	0.00279076218995961	+1	2
GO:0050542	icosanoid binding	0.00371942069960611	0.00371942069960611	+1	2
GO:0050786	RAGE receptor binding	0.00597251527035434	0.00597251527035434	+1	2
GO:0035325	Toll-like receptor binding	0.010339049270222	0.010339049270222	+1	2
GO:0036041	long-chain fatty acid binding	0.0179961643331583	0.0179961643331583	+1	2
REAC:R-HSA-6799990	Metal sequestration by antimicrobial proteins	0.00628310683610136	0.00628310683610136	+1	2
REAC:R-HSA-1236974	ER-Phagosome pathway	0.0471413666081532	0.0471413666081532	+1	3
