query	GO.ID	Description	p.Val	Genes	FDR	Phenotype
GSE61992	GO:0005737	cytoplasm	7.63909536752423e-07	76	7.63909536752423e-07	+1
GSE61992	GO:0012505	endomembrane system	0.005445643211462	37	0.005445643211462	+1
GSE61992	GO:0030141	secretory granule	0.0186171469734362	13	0.0186171469734362	+1
GSE61992	GO:0140534	endoplasmic reticulum protein-containing complex	0.0492328662075783	5	0.0492328662075783	+1
GSE61992	GO:0031501	mannosyltransferase complex	0.049733856050926	2	0.049733856050926	+1
GSE61992	GO:0005515	protein binding	0.0390924979308471	82	0.0390924979308471	+1
GSE91061	CORUM:320	55S ribosome, mitochondrial	0.000238602604733351	42	0.000238602604733351	+1
GSE91061	CORUM:193	PA700-20S-PA28 complex	0.000618291844699724	22	0.000618291844699724	+1
GSE91061	CORUM:181	26S proteasome	0.000747373444348851	15	0.000747373444348851	+1
GSE91061	CORUM:32	PA700 complex	0.00219050646590114	15	0.00219050646590114	+1
GSE91061	CORUM:324	39S ribosomal subunit, mitochondrial	0.00539946203785285	27	0.00539946203785285	+1
GSE91061	CORUM:2825	BRCA1-RNA polymerase II complex	0.005620611516632	15	0.005620611516632	+1
GSE91061	CORUM:103	RNA polymerase II holoenzyme complex	0.0348522936265765	13	0.0348522936265765	+1
GSE91061	GO:0006996	organelle organization	4.54193729689502e-51	845	4.54193729689502e-51	+1
GSE91061	GO:0019538	protein metabolic process	1.74184479520194e-49	1063	1.74184479520194e-49	+1
GSE91061	GO:1901564	organonitrogen compound metabolic process	9.03250436440315e-49	1237	9.03250436440315e-49	+1
GSE91061	GO:0044271	cellular nitrogen compound biosynthetic process	3.52199214961464e-45	1035	3.52199214961464e-45	+1
GSE91061	GO:0051171	regulation of nitrogen compound metabolic process	7.93132604161786e-43	1126	7.93132604161786e-43	+1
GSE91061	GO:0043412	macromolecule modification	3.08002769556223e-41	751	3.08002769556223e-41	+1
GSE91061	GO:0080090	regulation of primary metabolic process	1.29264672648719e-40	1142	1.29264672648719e-40	+1
GSE91061	GO:0009057	macromolecule catabolic process	2.11215600311144e-36	376	2.11215600311144e-36	+1
GSE91061	GO:0007049	cell cycle	3.98108563910003e-36	470	3.98108563910003e-36	+1
GSE91061	GO:0046907	intracellular transport	2.27214494656711e-35	380	2.27214494656711e-35	+1
GSE91061	GO:0036211	protein modification process	2.24144259922362e-33	683	2.24144259922362e-33	+1
GSE91061	GO:0006974	DNA damage response	2.1084471005678e-31	272	2.1084471005678e-31	+1
GSE91061	GO:0051649	establishment of localization in cell	3.61609703053107e-31	484	3.61609703053107e-31	+1
GSE91061	GO:0009056	catabolic process	3.02298807950559e-29	584	3.02298807950559e-29	+1
GSE91061	GO:1901362	organic cyclic compound biosynthetic process	3.72825600804155e-29	877	3.72825600804155e-29	+1
GSE91061	GO:0019438	aromatic compound biosynthetic process	7.71762278744145e-29	851	7.71762278744145e-29	+1
