GO.ID	Description	p.Val	FDR	Phenotype	Genes
GO:0005737	cytoplasm	8.07022239649138e-05	8.07022239649138e-05	+1	30
GO:0005829	cytosol	0.000761392151465837	0.000761392151465837	+1	20
GO:0000177	cytoplasmic exosome (RNase complex)	0.0499526932411238	0.0499526932411238	+1	2
GO:0008408	3'-5' exonuclease activity	0.0374136738102151	0.0374136738102151	+1	3
HPA:0540000	stomach 1	0.00244156535970614	0.00244156535970614	+1	31
HPA:0540051	stomach 1; glandular cells[≥Low]	0.00244156535970614	0.00244156535970614	+1	31
HPA:0400051	rectum; glandular cells[≥Low]	0.0324428170144601	0.0324428170144601	+1	29
HPA:0220000	gallbladder	0.0357052548064231	0.0357052548064231	+1	30
HPA:0220051	gallbladder; glandular cells[≥Low]	0.0357052548064231	0.0357052548064231	+1	30
HPA:0150051	duodenum; glandular cells[≥Low]	0.0376614685817728	0.0376614685817728	+1	29
MIRNA:hsa-miR-6500-3p	hsa-miR-6500-3p	0.034532217547809	0.034532217547809	+1	5
