GO.ID	Description	p.Val	FDR	Phenotype	Genes
CORUM:306	Ribosome, cytoplasmic	5.48989426546601e-12	5.48989426546601e-12	+1	34
CORUM:308	60S ribosomal subunit, cytoplasmic	1.0249848641572e-06	1.0249848641572e-06	+1	20
CORUM:3055	Nop56p-associated pre-rRNA complex	0.000319612570064765	0.000319612570064765	+1	27
CORUM:305	40S ribosomal subunit, cytoplasmic	0.000335609012883352	0.000335609012883352	+1	14
CORUM:338	40S ribosomal subunit, cytoplasmic	0.000878229771816952	0.000878229771816952	+1	13
CORUM:5380	TRBP containing complex (DICER, RPL7A, EIF6, MOV10 and subunits of the 60S ribosomal particle)	0.00595821441252088	0.00595821441252088	+1	10
GO:0002376	immune system process	2.31124408665451e-58	2.31124408665451e-58	+1	425
GO:0006955	immune response	4.49368620415043e-55	4.49368620415043e-55	+1	338
GO:0050776	regulation of immune response	1.14011041617544e-49	1.14011041617544e-49	+1	200
GO:0002682	regulation of immune system process	1.00328401310754e-48	1.00328401310754e-48	+1	274
GO:0045321	leukocyte activation	2.53198671805725e-43	2.53198671805725e-43	+1	198
GO:0002684	positive regulation of immune system process	1.20722353441711e-42	1.20722353441711e-42	+1	210
GO:0046649	lymphocyte activation	2.89622409970997e-41	2.89622409970997e-41	+1	174
GO:0050778	positive regulation of immune response	1.12762213081932e-39	1.12762213081932e-39	+1	163
GO:0001775	cell activation	1.4343216417136e-39	1.4343216417136e-39	+1	209
GO:0044419	biological process involved in interspecies interaction between organisms	6.88677321518062e-38	6.88677321518062e-38	+1	275
GO:0009607	response to biotic stimulus	1.22248419589963e-37	1.22248419589963e-37	+1	260
GO:0051707	response to other organism	3.52637328651112e-37	3.52637328651112e-37	+1	255
GO:0043207	response to external biotic stimulus	4.99227269095022e-37	4.99227269095022e-37	+1	255
GO:0140546	defense response to symbiont	1.19863890499825e-36	1.19863890499825e-36	+1	206
GO:0006952	defense response	1.45368110271075e-36	1.45368110271075e-36	+1	279
GO:0098542	defense response to other organism	1.47971588763446e-35	1.47971588763446e-35	+1	216
GO:0048583	regulation of response to stimulus	2.59210945645753e-35	2.59210945645753e-35	+1	475
GO:0045087	innate immune response	1.28078771605612e-34	1.28078771605612e-34	+1	185
GO:0042110	T cell activation	2.09731832136478e-34	2.09731832136478e-34	+1	133
GO:0051249	regulation of lymphocyte activation	1.96866679930934e-30	1.96866679930934e-30	+1	119
GO:0006950	response to stress	2.64261473715277e-30	2.64261473715277e-30	+1	453
GO:0002694	regulation of leukocyte activation	4.77832851879611e-30	4.77832851879611e-30	+1	127
GO:0050865	regulation of cell activation	3.67388587892537e-28	3.67388587892537e-28	+1	131
GO:0009605	response to external stimulus	2.26132989564473e-27	2.26132989564473e-27	+1	345
GO:0048584	positive regulation of response to stimulus	4.026444755837e-27	4.026444755837e-27	+1	303
GO:0050863	regulation of T cell activation	3.25051379891834e-25	3.25051379891834e-25	+1	94
GO:0002253	activation of immune response	4.06702906276352e-25	4.06702906276352e-25	+1	115
GO:0002764	immune response-regulating signaling pathway	1.50263728244727e-24	1.50263728244727e-24	+1	109
GO:0002831	regulation of response to biotic stimulus	3.54940611027793e-23	3.54940611027793e-23	+1	108
GO:0030098	lymphocyte differentiation	4.14922740778567e-23	4.14922740778567e-23	+1	99
GO:0002250	adaptive immune response	9.78277471468405e-23	9.78277471468405e-23	+1	136
GO:0048518	positive regulation of biological process	1.28095752462679e-22	1.28095752462679e-22	+1	619
GO:0002757	immune response-activating signaling pathway	1.8942224951081e-22	1.8942224951081e-22	+1	102
GO:0002768	immune response-regulating cell surface receptor signaling pathway	2.66290461013385e-22	2.66290461013385e-22	+1	83
GO:0030217	T cell differentiation	4.0034580192034e-22	4.0034580192034e-22	+1	80
GO:1903037	regulation of leukocyte cell-cell adhesion	4.53306902255908e-22	4.53306902255908e-22	+1	88
GO:0031347	regulation of defense response	4.6172693932127e-22	4.6172693932127e-22	+1	138
GO:0002683	negative regulation of immune system process	6.07986955486007e-22	6.07986955486007e-22	+1	105
GO:0002696	positive regulation of leukocyte activation	9.24060869560284e-22	9.24060869560284e-22	+1	86
GO:0032101	regulation of response to external stimulus	1.18789832219375e-21	1.18789832219375e-21	+1	171
GO:0002252	immune effector process	1.34949332310561e-21	1.34949332310561e-21	+1	129
GO:1903131	mononuclear cell differentiation	1.35718104165786e-21	1.35718104165786e-21	+1	103
GO:0080134	regulation of response to stress	1.37297151474761e-21	1.37297151474761e-21	+1	198
GO:0007159	leukocyte cell-cell adhesion	2.48868920968949e-21	2.48868920968949e-21	+1	92
GO:0001817	regulation of cytokine production	2.74254458104449e-21	2.74254458104449e-21	+1	137
GO:0001816	cytokine production	5.8730160054565e-21	5.8730160054565e-21	+1	137
GO:0002429	immune response-activating cell surface receptor signaling pathway	5.90428108426706e-21	5.90428108426706e-21	+1	77
GO:0002521	leukocyte differentiation	9.72027162334702e-21	9.72027162334702e-21	+1	119
GO:0045088	regulation of innate immune response	2.3316641111843e-20	2.3316641111843e-20	+1	92
GO:0050867	positive regulation of cell activation	2.88011642261733e-20	2.88011642261733e-20	+1	86
GO:0050896	response to stimulus	3.12831747374579e-20	3.12831747374579e-20	+1	810
GO:0051251	positive regulation of lymphocyte activation	5.26183531194344e-20	5.26183531194344e-20	+1	79
GO:0001909	leukocyte mediated cytotoxicity	5.79707487403126e-20	5.79707487403126e-20	+1	49
GO:1903039	positive regulation of leukocyte cell-cell adhesion	4.93002896482762e-19	4.93002896482762e-19	+1	70
GO:0046651	lymphocyte proliferation	9.3248770755695e-19	9.3248770755695e-19	+1	75
GO:0050870	positive regulation of T cell activation	1.33447002012458e-18	1.33447002012458e-18	+1	66
GO:1901564	organonitrogen compound metabolic process	3.19719797487182e-18	3.19719797487182e-18	+1	581
GO:0032943	mononuclear cell proliferation	3.95980016201012e-18	3.95980016201012e-18	+1	75
GO:0042098	T cell proliferation	7.24022681082956e-18	7.24022681082956e-18	+1	60
GO:0048522	positive regulation of cellular process	1.13777430087389e-17	1.13777430087389e-17	+1	558
GO:0001906	cell killing	1.56456499549452e-17	1.56456499549452e-17	+1	60
GO:0019538	protein metabolic process	3.88773001182034e-17	3.88773001182034e-17	+1	493
GO:0030097	hemopoiesis	7.2517431622854e-17	7.2517431622854e-17	+1	148
GO:0046631	alpha-beta T cell activation	7.64895858010442e-17	7.64895858010442e-17	+1	53
GO:0002449	lymphocyte mediated immunity	8.45285007335678e-17	8.45285007335678e-17	+1	79
GO:0022407	regulation of cell-cell adhesion	1.69525374979565e-16	1.69525374979565e-16	+1	93
GO:0070661	leukocyte proliferation	2.19155036056852e-16	2.19155036056852e-16	+1	77
GO:0032103	positive regulation of response to external stimulus	2.98535559465966e-16	2.98535559465966e-16	+1	108
GO:0001819	positive regulation of cytokine production	3.37298978031726e-16	3.37298978031726e-16	+1	94
GO:0050670	regulation of lymphocyte proliferation	3.81457118648147e-16	3.81457118648147e-16	+1	61
GO:0050851	antigen receptor-mediated signaling pathway	4.67926147655702e-16	4.67926147655702e-16	+1	54
GO:0002443	leukocyte mediated immunity	5.37804236483924e-16	5.37804236483924e-16	+1	90
GO:0022409	positive regulation of cell-cell adhesion	5.39441098894682e-16	5.39441098894682e-16	+1	72
GO:0032944	regulation of mononuclear cell proliferation	9.39659350573137e-16	9.39659350573137e-16	+1	61
GO:0002460	adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	9.51904899131841e-16	9.51904899131841e-16	+1	79
GO:0002697	regulation of immune effector process	1.56991040063233e-15	1.56991040063233e-15	+1	79
GO:0045619	regulation of lymphocyte differentiation	4.09552013358213e-15	4.09552013358213e-15	+1	56
GO:0050777	negative regulation of immune response	6.26470218094061e-15	6.26470218094061e-15	+1	52
GO:0050852	T cell receptor signaling pathway	6.59586835235642e-15	6.59586835235642e-15	+1	44
GO:0010604	positive regulation of macromolecule metabolic process	8.75677540212034e-15	8.75677540212034e-15	+1	363
GO:0070663	regulation of leukocyte proliferation	9.11272297765748e-15	9.11272297765748e-15	+1	63
GO:0051607	defense response to virus	1.16685023587839e-14	1.16685023587839e-14	+1	69
GO:0045824	negative regulation of innate immune response	3.73504681789364e-14	3.73504681789364e-14	+1	33
GO:0009893	positive regulation of metabolic process	4.47148457456458e-14	4.47148457456458e-14	+1	384
GO:0009966	regulation of signal transduction	4.59152302890003e-14	4.59152302890003e-14	+1	326
GO:0035556	intracellular signal transduction	4.64604786489355e-14	4.64604786489355e-14	+1	297
GO:0034097	response to cytokine	8.22646794050553e-14	8.22646794050553e-14	+1	137
GO:0050789	regulation of biological process	8.22683141586608e-14	8.22683141586608e-14	+1	1008
GO:0031349	positive regulation of defense response	9.23987705423287e-14	9.23987705423287e-14	+1	87
GO:0051171	regulation of nitrogen compound metabolic process	1.05964701420696e-13	1.05964701420696e-13	+1	519
GO:1902531	regulation of intracellular signal transduction	1.37548896123259e-13	1.37548896123259e-13	+1	216
GO:0042129	regulation of T cell proliferation	1.55485437153007e-13	1.55485437153007e-13	+1	49
GO:0065007	biological regulation	2.12132630732641e-13	2.12132630732641e-13	+1	1032
GO:0002833	positive regulation of response to biotic stimulus	2.25625408041043e-13	2.25625408041043e-13	+1	74
GO:0045089	positive regulation of innate immune response	2.29058088178596e-13	2.29058088178596e-13	+1	71
GO:0050794	regulation of cellular process	3.96434436239152e-13	3.96434436239152e-13	+1	968
