GO.ID	Description	p.Val	FDR	Phenotype	Genes
GO:0019882	antigen processing and presentation	3.86732592546183e-05	3.86732592546183e-05	+1	5
GO:0002483	antigen processing and presentation of endogenous peptide antigen	0.00129207751952958	0.00129207751952958	+1	3
GO:0019883	antigen processing and presentation of endogenous antigen	0.0028594940873959	0.0028594940873959	+1	3
GO:0071346	cellular response to type II interferon	0.00379675473774661	0.00379675473774661	+1	4
GO:0034341	response to type II interferon	0.00727145797091991	0.00727145797091991	+1	4
GO:0002376	immune system process	0.0186176925887575	0.0186176925887575	+1	10
GO:0048002	antigen processing and presentation of peptide antigen	0.0312974149116509	0.0312974149116509	+1	3
GO:0071345	cellular response to cytokine stimulus	0.0493801978166907	0.0493801978166907	+1	6
GO:0030139	endocytic vesicle	0.000700492943948724	0.000700492943948724	+1	5
GO:0042611	MHC protein complex	0.0219988863987228	0.0219988863987228	+1	2
GO:0098553	lumenal side of endoplasmic reticulum membrane	0.0239010161848418	0.0239010161848418	+1	2
GO:0045335	phagocytic vesicle	0.0244002734637959	0.0244002734637959	+1	3
GO:0098576	lumenal side of membrane	0.0499429760287567	0.0499429760287567	+1	2
GO:0042605	peptide antigen binding	0.0014039128450562	0.0014039128450562	+1	3
GO:0046977	TAP binding	0.00352225872961979	0.00352225872961979	+1	2
HP:0012312	Monocytopenia	0.0266302328371229	0.0266302328371229	+1	2
HPA:0310433	lymph node; germinal center cells[High]	0.00500712442630521	0.00500712442630521	+1	7
HPA:0461473	skin 1; lymphocytes[High]	0.0080773141673132	0.0080773141673132	+1	5
HPA:0461443	skin 1; fibrohistiocytic cells[High]	0.00954327471944692	0.00954327471944692	+1	5
HPA:0530722	spleen; cells in white pulp[≥Medium]	0.015528598412563	0.015528598412563	+1	10
HPA:0471473	skin 2; lymphocytes[High]	0.016195641010213	0.016195641010213	+1	5
HPA:0030073	appendix; lymphoid tissue[High]	0.0169840025769488	0.0169840025769488	+1	6
HPA:0471443	skin 2; fibrohistiocytic cells[High]	0.0181305476828723	0.0181305476828723	+1	5
HPA:0600433	tonsil; germinal center cells[High]	0.0273920249302473	0.0273920249302473	+1	7
HPA:0461472	skin 1; lymphocytes[≥Medium]	0.0477645574750889	0.0477645574750889	+1	5
REAC:R-HSA-913531	Interferon Signaling	0.000208992905113152	0.000208992905113152	+1	5
REAC:R-HSA-877300	Interferon gamma signaling	0.000355469077870771	0.000355469077870771	+1	4
REAC:R-HSA-168256	Immune System	0.00338720722940851	0.00338720722940851	+1	9
REAC:R-HSA-1280215	Cytokine Signaling in Immune system	0.00838620030391642	0.00838620030391642	+1	6
REAC:R-HSA-909733	Interferon alpha/beta signaling	0.0124322763378863	0.0124322763378863	+1	3
REAC:R-HSA-1280218	Adaptive Immune System	0.0164264099211556	0.0164264099211556	+1	6
REAC:R-HSA-1236974	ER-Phagosome pathway	0.0252859043213834	0.0252859043213834	+1	3
REAC:R-HSA-1236975	Antigen processing-Cross presentation	0.0400132356173313	0.0400132356173313	+1	3
WP:WP619	Type II interferon signaling	0.00110152431604857	0.00110152431604857	+1	3
