GO.ID	Description	p.Val	FDR	Phenotype	Genes
GO:0050789	regulation of biological process	6.61556434504683e-18	6.61556434504683e-18	+1	892
GO:0065007	biological regulation	6.41463820472011e-17	6.41463820472011e-17	+1	910
GO:0050794	regulation of cellular process	1.81943286110152e-15	1.81943286110152e-15	+1	851
GO:0048518	positive regulation of biological process	2.51138826752561e-15	2.51138826752561e-15	+1	516
GO:0048522	positive regulation of cellular process	2.19782335995673e-14	2.19782335995673e-14	+1	477
GO:0032502	developmental process	2.28093188419376e-14	2.28093188419376e-14	+1	525
GO:0048856	anatomical structure development	3.68098595614862e-14	3.68098595614862e-14	+1	488
GO:0007275	multicellular organism development	6.56417145051795e-14	6.56417145051795e-14	+1	403
GO:0048731	system development	3.26754092090758e-13	3.26754092090758e-13	+1	354
GO:0009653	anatomical structure morphogenesis	5.15112503567549e-13	5.15112503567549e-13	+1	261
GO:0051716	cellular response to stimulus	7.90166182418091e-13	7.90166182418091e-13	+1	578
GO:0050896	response to stimulus	8.24504755856507e-12	8.24504755856507e-12	+1	671
GO:0007154	cell communication	1.76500677380965e-11	1.76500677380965e-11	+1	517
GO:0023052	signaling	3.13493054727192e-11	3.13493054727192e-11	+1	510
GO:0050793	regulation of developmental process	7.9826021697512e-11	7.9826021697512e-11	+1	236
GO:0023051	regulation of signaling	1.9095385531908e-10	1.9095385531908e-10	+1	305
GO:0030154	cell differentiation	1.93112639719966e-10	1.93112639719966e-10	+1	369
GO:0048468	cell development	1.99034774148451e-10	1.99034774148451e-10	+1	261
GO:0048869	cellular developmental process	1.99778249142255e-10	1.99778249142255e-10	+1	369
GO:0010646	regulation of cell communication	2.39357028496628e-10	2.39357028496628e-10	+1	305
GO:0048583	regulation of response to stimulus	4.94832436727643e-10	4.94832436727643e-10	+1	338
GO:0032501	multicellular organismal process	5.5768352165196e-10	5.5768352165196e-10	+1	581
GO:0035556	intracellular signal transduction	6.59830212843771e-10	6.59830212843771e-10	+1	248
GO:0051239	regulation of multicellular organismal process	9.36309081366484e-10	9.36309081366484e-10	+1	268
GO:0007165	signal transduction	9.89748915308376e-10	9.89748915308376e-10	+1	471
GO:0009966	regulation of signal transduction	1.54422743714873e-09	1.54422743714873e-09	+1	271
