query	GO.ID	Description	p.Val	Genes	FDR	Phenotype
GSE61992	CORUM:6826	Calprotectin heterotetramer	0.00832405804355686	2	0.00832405804355686	+1
GSE61992	CORUM:6827	iNOS-S100A8/A9 complex	0.0249032378321732	2	0.0249032378321732	+1
GSE61992	GO:0010033	response to organic substance	0.00810518431112328	20	0.00810518431112328	+1
GSE61992	GO:0070486	leukocyte aggregation	0.00936215671348731	3	0.00936215671348731	+1
GSE61992	GO:0070488	neutrophil aggregation	0.0134812199991983	2	0.0134812199991983	+1
GSE61992	GO:0032119	sequestering of zinc ion	0.0134812199991983	2	0.0134812199991983	+1
GSE61992	GO:0002544	chronic inflammatory response	0.0368456183666031	3	0.0368456183666031	+1
GSE61992	GO:0005829	cytosol	0.000195751444689252	30	0.000195751444689252	+1
GSE61992	GO:0005737	cytoplasm	0.00677310523466823	44	0.00677310523466823	+1
GSE61992	GO:0035662	Toll-like receptor 4 binding	0.0204896124725187	2	0.0204896124725187	+1
GSE61992	GO:0005515	protein binding	0.0209089300413754	53	0.0209089300413754	+1
GSE61992	REAC:R-HSA-5686938	Regulation of TLR by endogenous ligand	0.00894330228812579	3	0.00894330228812579	+1
GSE61992	REAC:R-HSA-6799990	Metal sequestration by antimicrobial proteins	0.0387633712839066	2	0.0387633712839066	+1
GSE91061	GO:0050789	regulation of biological process	6.61556434504683e-18	892	6.61556434504683e-18	+1
GSE91061	GO:0065007	biological regulation	6.41463820472011e-17	910	6.41463820472011e-17	+1
GSE91061	GO:0050794	regulation of cellular process	1.81943286110152e-15	851	1.81943286110152e-15	+1
GSE91061	GO:0048518	positive regulation of biological process	2.51138826752561e-15	516	2.51138826752561e-15	+1
GSE91061	GO:0048522	positive regulation of cellular process	2.19782335995673e-14	477	2.19782335995673e-14	+1
GSE91061	GO:0032502	developmental process	2.28093188419376e-14	525	2.28093188419376e-14	+1
GSE91061	GO:0048856	anatomical structure development	3.68098595614862e-14	488	3.68098595614862e-14	+1
GSE91061	GO:0007275	multicellular organism development	6.56417145051795e-14	403	6.56417145051795e-14	+1
GSE91061	GO:0048731	system development	3.26754092090758e-13	354	3.26754092090758e-13	+1
GSE91061	GO:0009653	anatomical structure morphogenesis	5.15112503567549e-13	261	5.15112503567549e-13	+1
GSE91061	GO:0051716	cellular response to stimulus	7.90166182418091e-13	578	7.90166182418091e-13	+1
GSE91061	GO:0050896	response to stimulus	8.24504755856507e-12	671	8.24504755856507e-12	+1
GSE91061	GO:0007154	cell communication	1.76500677380965e-11	517	1.76500677380965e-11	+1
GSE91061	GO:0023052	signaling	3.13493054727192e-11	510	3.13493054727192e-11	+1
GSE91061	GO:0050793	regulation of developmental process	7.9826021697512e-11	236	7.9826021697512e-11	+1
GSE91061	GO:0023051	regulation of signaling	1.9095385531908e-10	305	1.9095385531908e-10	+1
GSE91061	GO:0030154	cell differentiation	1.93112639719966e-10	369	1.93112639719966e-10	+1
