Var1	Var2	Freq
adipose tissue	GSE22155_02	1
adipose tissue; adipocytes[≥Low]	GSE22155_02	1
adrenal gland	GSE22155_02	1
adrenal gland; glandular cells[≥Low]	GSE22155_02	1
adrenal gland; glandular cells[≥Medium]	GSE22155_02	1
anatomical structure morphogenesis	GSE22155_02	0
apoptotic process	GSE22155_02	0
appendix	GSE22155_02	1
appendix; glandular cells[≥Low]	GSE22155_02	1
appendix; glandular cells[≥Medium]	GSE22155_02	0
appendix; lymphoid tissue[≥Low]	GSE22155_02	0
autophagy	GSE22155_02	0
binding	GSE22155_02	1
biological regulation	GSE22155_02	1
bone marrow	GSE22155_02	0
bone marrow; hematopoietic cells[≥Low]	GSE22155_02	0
bounding membrane of organelle	GSE22155_02	0
breast	GSE22155_02	1
breast; adipocytes[≥Medium]	GSE22155_02	0
breast; glandular cells[≥Low]	GSE22155_02	1
breast; glandular cells[≥Medium]	GSE22155_02	1
breast; myoepithelial cells[≥Low]	GSE22155_02	1
bronchus	GSE22155_02	1
bronchus; respiratory epithelial cells[≥Low]	GSE22155_02	0
bronchus; respiratory epithelial cells[≥Medium]	GSE22155_02	0
catabolic process	GSE22155_02	0
catalytic complex	GSE22155_02	0
caudate	GSE22155_02	1
caudate; glial cells[≥Low]	GSE22155_02	0
cell adhesion	GSE22155_02	0
cell communication	GSE22155_02	1
cell death	GSE22155_02	0
cell morphogenesis	GSE22155_02	0
cell morphogenesis involved in neuron differentiation	GSE22155_02	0
cell periphery	GSE22155_02	0
cell projection	GSE22155_02	1
cell projection organization	GSE22155_02	0
cell surface receptor signaling pathway	GSE22155_02	1
cellular response to stimulus	GSE22155_02	1
cerebellum	GSE22155_02	1
cerebellum; cells in molecular layer[≥Medium]	GSE22155_02	0
cerebellum; Purkinje cells[≥Low]	GSE22155_02	0
cerebral cortex	GSE22155_02	1
cerebral cortex; endothelial cells[≥Low]	GSE22155_02	0
cerebral cortex; endothelial cells[≥Medium]	GSE22155_02	0
cerebral cortex; neuronal cells[≥Low]	GSE22155_02	0
cerebral cortex; neuropil[≥Low]	GSE22155_02	0
cervix	GSE22155_02	0
cervix; glandular cells[≥Low]	GSE22155_02	0
colon	GSE22155_02	1
colon; endothelial cells[≥Low]	GSE22155_02	0
colon; glandular cells[≥Low]	GSE22155_02	1
colon; glandular cells[≥Medium]	GSE22155_02	1
colon; peripheral nerve/ganglion[≥Low]	GSE22155_02	0
cytoplasm	GSE22155_02	1
cytosol	GSE22155_02	0
developmental process	GSE22155_02	1
duodenum	GSE22155_02	1
duodenum; glandular cells[≥Low]	GSE22155_02	1
duodenum; glandular cells[≥Medium]	GSE22155_02	1
embryonic morphogenesis	GSE22155_02	0
embryonic organ development	GSE22155_02	0
endomembrane system	GSE22155_02	1
endometrium 1	GSE22155_02	1
