query	significant	p_value	term_size	query_size	intersection_size	precision	recall	term_id	source	term_name	effective_domain_size	source_order
GSE22155_02	TRUE	0.00171340159789183	74	400	23	0.0575	0.310810810810811	CORUM:306	CORUM	Ribosome, cytoplasmic	3383	183
GSE22155_02	TRUE	1.44092168416751e-21	5986	1567	628	0.400765794511806	0.104911460073505	GO:1901564	GO:BP	organonitrogen compound metabolic process	21031	22098
GSE22155_02	TRUE	5.33794812228188e-15	1761	1567	231	0.147415443522655	0.131175468483816	GO:1901566	GO:BP	organonitrogen compound biosynthetic process	21031	22100
GSE22155_02	TRUE	5.97882148104598e-15	1194	1567	174	0.11104020421187	0.14572864321608	GO:0043603	GO:BP	amide metabolic process	21031	11152
GSE22155_02	TRUE	4.20730232345403e-14	4912	1567	507	0.323548181238034	0.10321661237785	GO:0019538	GO:BP	protein metabolic process	21031	6075
GSE22155_02	TRUE	7.2066632887121e-12	4836	1567	490	0.312699425654116	0.101323407775021	GO:0044271	GO:BP	cellular nitrogen compound biosynthetic process	21031	11312
GSE22155_02	TRUE	1.39505677125265e-11	911	1567	135	0.0861518825781749	0.148188803512623	GO:0006518	GO:BP	peptide metabolic process	21031	2266
GSE22155_02	TRUE	2.81952110488981e-11	723	1567	114	0.0727504786215699	0.157676348547718	GO:0006412	GO:BP	translation	21031	2194
GSE22155_02	TRUE	6.45332923472235e-11	2556	1567	290	0.185067007019783	0.113458528951487	GO:0009056	GO:BP	catabolic process	21031	3269
GSE22155_02	TRUE	1.86614982753024e-10	752	1567	115	0.0733886407147415	0.152925531914894	GO:0043043	GO:BP	peptide biosynthetic process	21031	10843
GSE22155_02	TRUE	2.14607195598179e-10	3613	1567	380	0.242501595405233	0.105175754220869	GO:0006996	GO:BP	organelle organization	21031	2642
GSE22155_02	TRUE	1.19365828121251e-08	887	1567	124	0.0791320995532865	0.139797068771139	GO:0043604	GO:BP	amide biosynthetic process	21031	11153
GSE22155_02	TRUE	1.86015682523317e-08	1819	1567	213	0.135928525845565	0.117097306212205	GO:0007049	GO:BP	cell cycle	21031	2680
GSE22155_02	TRUE	1.61832752876621e-07	6250	1567	580	0.370134014039566	0.0928	GO:0048518	GO:BP	positive regulation of biological process	21031	13226
GSE22155_02	TRUE	6.49394978479269e-07	322	1567	58	0.0370134014039566	0.180124223602484	GO:0042254	GO:BP	ribosome biogenesis	21031	10405
GSE22155_02	TRUE	6.59069368223702e-07	1034	1567	133	0.0848755583918315	0.12862669245648	GO:0019637	GO:BP	organophosphate metabolic process	21031	6166
GSE22155_02	TRUE	8.13783015090243e-07	2074	1567	229	0.146139119336311	0.110414657666345	GO:1901575	GO:BP	organic substance catabolic process	21031	22105
GSE22155_02	TRUE	1.24332682776403e-06	5717	1567	532	0.339502233567326	0.0930557984957145	GO:0048522	GO:BP	positive regulation of cellular process	21031	13230
GSE22155_02	TRUE	2.60296279456871e-06	1600	1567	184	0.117421825143586	0.115	GO:0044248	GO:BP	cellular catabolic process	21031	11304
GSE22155_02	TRUE	6.26841634559902e-06	439	1567	69	0.0440331844288449	0.157175398633257	GO:0034248	GO:BP	regulation of amide metabolic process	21031	8813
GSE22155_02	TRUE	6.41565101346334e-06	3262	1567	327	0.208679004467135	0.100245248313918	GO:0043412	GO:BP	macromolecule modification	21031	11034
GSE22155_02	TRUE	2.53993855521861e-05	156	1567	34	0.0216975111678366	0.217948717948718	GO:0002181	GO:BP	cytoplasmic translation	21031	736
GSE22155_02	TRUE	2.87174771146416e-05	4264	1567	406	0.259093809827696	0.0952157598499062	GO:1901362	GO:BP	organic cyclic compound biosynthetic process	21031	21928
GSE22155_02	TRUE	3.06825970757779e-05	1399	1567	161	0.102744097000638	0.115082201572552	GO:1901565	GO:BP	organonitrogen compound catabolic process	21031	22099
GSE22155_02	TRUE	3.64449922532992e-05	640	1567	88	0.0561582641991066	0.1375	GO:0034660	GO:BP	ncRNA metabolic process	21031	9013
GSE22155_02	TRUE	3.7924215690139e-05	1338	1567	155	0.0989151244416082	0.115844544095665	GO:0009057	GO:BP	macromolecule catabolic process	21031	3270
GSE22155_02	TRUE	4.71460928525973e-05	378	1567	60	0.0382897255902999	0.158730158730159	GO:0006417	GO:BP	regulation of translation	21031	2198
GSE22155_02	TRUE	5.66120199771689e-05	4116	1567	392	0.250159540523293	0.0952380952380952	GO:0019438	GO:BP	aromatic compound biosynthetic process	21031	5983
GSE22155_02	TRUE	5.94449722378337e-05	1813	1567	197	0.125717932354818	0.108659680088252	GO:0044281	GO:BP	small molecule metabolic process	21031	11317
GSE22155_02	TRUE	7.50108943083645e-05	438	1567	66	0.0421186981493299	0.150684931506849	GO:0034470	GO:BP	ncRNA processing	21031	8945
GSE22155_02	TRUE	7.85223928111263e-05	495	1567	72	0.0459476707083599	0.145454545454545	GO:0007005	GO:BP	mitochondrion organization	21031	2648
GSE22155_02	TRUE	8.65986141907881e-05	3031	1567	301	0.192086790044671	0.0993071593533487	GO:0036211	GO:BP	protein modification process	21031	9821
GSE22155_02	TRUE	9.30162238617383e-05	2596	1567	264	0.16847479259732	0.101694915254237	GO:0006793	GO:BP	phosphorus metabolic process	21031	2507
GSE22155_02	TRUE	9.5656238159271e-05	1972	1567	210	0.13401403956605	0.106490872210953	GO:0051649	GO:BP	establishment of localization in cell	21031	14317
GSE22155_02	TRUE	0.000108367964755344	2425	1567	249	0.158902361199745	0.102680412371134	GO:0051128	GO:BP	regulation of cellular component organization	21031	13953
GSE22155_02	TRUE	0.000132467188618788	2571	1567	261	0.166560306317805	0.101516919486581	GO:0006796	GO:BP	phosphate-containing compound metabolic process	21031	2510
GSE22155_02	TRUE	0.000134834687647072	5440	1567	496	0.316528398213146	0.0911764705882353	GO:0051171	GO:BP	regulation of nitrogen compound metabolic process	21031	13995
GSE22155_02	TRUE	0.000166339093732675	4105	1567	388	0.247606892150606	0.0945188794153471	GO:0018130	GO:BP	heterocycle biosynthetic process	21031	5424
GSE22155_02	TRUE	0.000489604281845325	577	1567	78	0.0497766432673899	0.135181975736568	GO:0061919	GO:BP	process utilizing autophagic mechanism	21031	16215
GSE22155_02	TRUE	0.000489604281845325	577	1567	78	0.0497766432673899	0.135181975736568	GO:0006914	GO:BP	autophagy	21031	2592
GSE22155_02	TRUE	0.000537707691896665	896	1567	109	0.0695596681557115	0.121651785714286	GO:0006974	GO:BP	DNA damage response	21031	2632
GSE22155_02	TRUE	0.000620287671535365	5591	1567	503	0.320995532865348	0.0899660168127348	GO:0080090	GO:BP	regulation of primary metabolic process	21031	18320
GSE22155_02	TRUE	0.000630082610047619	1091	1567	127	0.0810465858328015	0.116406966086159	GO:1901135	GO:BP	carbohydrate derivative metabolic process	21031	21749
GSE22155_02	TRUE	0.000652580374506479	1770	1567	188	0.119974473516273	0.106214689265537	GO:0033554	GO:BP	cellular response to stress	21031	8567
GSE22155_02	TRUE	0.000802096412561915	604	1567	80	0.0510529674537333	0.132450331125828	GO:0006281	GO:BP	DNA repair	21031	2116
GSE22155_02	TRUE	0.000839129559400961	1371	1567	152	0.0970006381620932	0.110867979576951	GO:0046907	GO:BP	intracellular transport	21031	12847
GSE22155_02	TRUE	0.000909182169796065	24	1567	11	0.00701978302488832	0.458333333333333	GO:0007042	GO:BP	lysosomal lumen acidification	21031	2677
GSE22155_02	TRUE	0.00148524843007768	968	1567	114	0.0727504786215699	0.117768595041322	GO:0030163	GO:BP	protein catabolic process	21031	6928
GSE22155_02	TRUE	0.00184008057328972	325	1567	50	0.0319081046585833	0.153846153846154	GO:0016236	GO:BP	macroautophagy	21031	5240
GSE22155_02	TRUE	0.00206842537563006	4027	1567	374	0.238672622846203	0.0928731065309163	GO:0034654	GO:BP	nucleobase-containing compound biosynthetic process	21031	9009
GSE22155_02	TRUE	0.00212102399085307	4350	1567	400	0.255264837268666	0.0919540229885057	GO:0006810	GO:BP	transport	21031	2519
GSE22155_02	TRUE	0.00214716807007952	1040	1567	120	0.0765794511805999	0.115384615384615	GO:0006259	GO:BP	DNA metabolic process	21031	2097
GSE22155_02	TRUE	0.00224283143732381	5520	1567	493	0.314613911933631	0.0893115942028986	GO:0051179	GO:BP	localization	21031	14002
GSE22155_02	TRUE	0.00248448103318797	247	1567	41	0.0261646458200383	0.165991902834008	GO:0045017	GO:BP	glycerolipid biosynthetic process	21031	11620
GSE22155_02	TRUE	0.00276014891118329	1276	1567	141	0.0899808551372048	0.110501567398119	GO:0022402	GO:BP	cell cycle process	21031	6830
GSE22155_02	TRUE	0.00327018282082047	232	1567	39	0.024888321633695	0.168103448275862	GO:0007033	GO:BP	vacuole organization	21031	2669
GSE22155_02	TRUE	0.00331918387559192	677	1567	85	0.0542437779195916	0.125553914327917	GO:0055086	GO:BP	nucleobase-containing small molecule metabolic process	21031	14702
GSE22155_02	TRUE	0.00425703770494772	391	1567	56	0.0357370772176133	0.143222506393862	GO:0046486	GO:BP	glycerolipid metabolic process	21031	12596
GSE22155_02	TRUE	0.00442678265581821	620	1567	79	0.0504148053605616	0.12741935483871	GO:0043632	GO:BP	modification-dependent macromolecule catabolic process	21031	11169
GSE22155_02	TRUE	0.00454877113501502	600	1567	77	0.0491384811742182	0.128333333333333	GO:0090407	GO:BP	organophosphate biosynthetic process	21031	18806
GSE22155_02	TRUE	0.00689342392555455	2102	1567	211	0.134652201659221	0.100380589914367	GO:0051246	GO:BP	regulation of protein metabolic process	21031	14041
GSE22155_02	TRUE	0.00708367714298979	12680	1567	1029	0.656668793873644	0.0811514195583596	GO:0065007	GO:BP	biological regulation	21031	16384
GSE22155_02	TRUE	0.00798158798867721	609	1567	77	0.0491384811742182	0.126436781609195	GO:0006753	GO:BP	nucleoside phosphate metabolic process	21031	2478
GSE22155_02	TRUE	0.00798158798867721	609	1567	77	0.0491384811742182	0.126436781609195	GO:0019941	GO:BP	modification-dependent protein catabolic process	21031	6301
GSE22155_02	TRUE	0.00854079018552084	895	1567	104	0.0663688576898532	0.116201117318436	GO:0000278	GO:BP	mitotic cell cycle	21031	77
GSE22155_02	TRUE	0.00878383613005636	1026	1567	116	0.0740268028079132	0.113060428849903	GO:0009894	GO:BP	regulation of catabolic process	21031	3792
GSE22155_02	TRUE	0.00917926164211076	601	1567	76	0.0485003190810466	0.126455906821963	GO:0009117	GO:BP	nucleotide metabolic process	21031	3323
GSE22155_02	TRUE	0.0109080551619234	208	1567	35	0.0223356732610083	0.168269230769231	GO:0046474	GO:BP	glycerophospholipid biosynthetic process	21031	12586
GSE22155_02	TRUE	0.011907532895922	166	1567	30	0.01914486279515	0.180722891566265	GO:0019362	GO:BP	pyridine nucleotide metabolic process	21031	5915
GSE22155_02	TRUE	0.011907532895922	166	1567	30	0.01914486279515	0.180722891566265	GO:0046496	GO:BP	nicotinamide nucleotide metabolic process	21031	12605
