Var1	Var2	Freq
40S ribosomal subunit, cytoplasmic	GSE22155_02	0
Abnormal nervous system morphology	GSE22155_02	0
adipose tissue	GSE22155_02	1
adipose tissue; adipocytes[≥Low]	GSE22155_02	1
adipose tissue; adipocytes[≥Medium]	GSE22155_02	1
adrenal gland	GSE22155_02	1
adrenal gland; glandular cells[≥Low]	GSE22155_02	1
adrenal gland; glandular cells[≥Medium]	GSE22155_02	1
adrenal gland; glandular cells[High]	GSE22155_02	1
amide biosynthetic process	GSE22155_02	1
amide metabolic process	GSE22155_02	1
anion binding	GSE22155_02	1
apoptotic process	GSE22155_02	0
appendix	GSE22155_02	1
appendix; glandular cells[≥Low]	GSE22155_02	1
appendix; glandular cells[≥Medium]	GSE22155_02	1
appendix; lymphoid tissue[≥Low]	GSE22155_02	1
appendix; lymphoid tissue[≥Medium]	GSE22155_02	1
aromatic compound biosynthetic process	GSE22155_02	1
aromatic compound catabolic process	GSE22155_02	1
autophagy	GSE22155_02	1
binding	GSE22155_02	1
biological regulation	GSE22155_02	1
bone marrow	GSE22155_02	1
bone marrow; hematopoietic cells[≥Low]	GSE22155_02	1
bone marrow; hematopoietic cells[≥Medium]	GSE22155_02	1
bounding membrane of organelle	GSE22155_02	1
breast	GSE22155_02	1
breast; adipocytes[≥Low]	GSE22155_02	1
breast; adipocytes[≥Medium]	GSE22155_02	1
breast; glandular cells[≥Low]	GSE22155_02	1
breast; glandular cells[≥Medium]	GSE22155_02	1
breast; myoepithelial cells[≥Low]	GSE22155_02	1
breast; myoepithelial cells[≥Medium]	GSE22155_02	1
bronchus	GSE22155_02	1
bronchus; basal cells[≥Low]	GSE22155_02	1
bronchus; basal cells[≥Medium]	GSE22155_02	1
bronchus; respiratory epithelial cells[≥Low]	GSE22155_02	1
bronchus; respiratory epithelial cells[≥Medium]	GSE22155_02	1
Cap-dependent Translation Initiation	GSE22155_02	1
carbohydrate derivative binding	GSE22155_02	1
carbohydrate derivative metabolic process	GSE22155_02	1
carboxylic acid metabolic process	GSE22155_02	1
catabolic process	GSE22155_02	1
catalytic activity	GSE22155_02	1
catalytic activity, acting on a protein	GSE22155_02	1
catalytic complex	GSE22155_02	1
caudate	GSE22155_02	1
caudate; glial cells[≥Low]	GSE22155_02	1
caudate; neuronal cells[≥Low]	GSE22155_02	1
caudate; neuronal cells[≥Medium]	GSE22155_02	1
cell cycle	GSE22155_02	1
cell cycle phase transition	GSE22155_02	1
cell cycle process	GSE22155_02	1
cell-substrate junction	GSE22155_02	1
cellular catabolic process	GSE22155_02	1
cellular lipid metabolic process	GSE22155_02	1
cellular localization	GSE22155_02	1
cellular nitrogen compound biosynthetic process	GSE22155_02	1
Cellular response to starvation	GSE22155_02	1
cellular response to stress	GSE22155_02	1
Cellular responses to stimuli	GSE22155_02	0
Cellular responses to stress	GSE22155_02	1
cerebellum	GSE22155_02	1
cerebellum; cells in granular layer[≥Low]	GSE22155_02	1
cerebellum; cells in granular layer[≥Medium]	GSE22155_02	1
cerebellum; cells in molecular layer[≥Low]	GSE22155_02	1
cerebellum; cells in molecular layer[≥Medium]	GSE22155_02	1
cerebellum; Purkinje cells[≥Low]	GSE22155_02	1
cerebellum; Purkinje cells[≥Medium]	GSE22155_02	1
cerebellum; Purkinje cells[High]	GSE22155_02	1
cerebral cortex	GSE22155_02	1
cerebral cortex; endothelial cells[≥Low]	GSE22155_02	1
cerebral cortex; endothelial cells[≥Medium]	GSE22155_02	1
cerebral cortex; glial cells[≥Low]	GSE22155_02	1
cerebral cortex; glial cells[≥Medium]	GSE22155_02	1
cerebral cortex; neuronal cells[≥Low]	GSE22155_02	1
cerebral cortex; neuronal cells[≥Medium]	GSE22155_02	1
cerebral cortex; neuronal cells[High]	GSE22155_02	1
cerebral cortex; neuropil[≥Low]	GSE22155_02	1
cerebral cortex; neuropil[≥Medium]	GSE22155_02	1
cervix	GSE22155_02	1
cervix; glandular cells[≥Low]	GSE22155_02	1
cervix; glandular cells[≥Medium]	GSE22155_02	1
cervix; squamous epithelial cells[≥Low]	GSE22155_02	1
cervix; squamous epithelial cells[≥Medium]	GSE22155_02	1
colon	GSE22155_02	1
colon; endothelial cells[≥Low]	GSE22155_02	1
colon; endothelial cells[≥Medium]	GSE22155_02	1
colon; glandular cells[≥Low]	GSE22155_02	1
colon; glandular cells[≥Medium]	GSE22155_02	1
colon; glandular cells[High]	GSE22155_02	1
colon; peripheral nerve/ganglion[≥Low]	GSE22155_02	1
colon; peripheral nerve/ganglion[≥Medium]	GSE22155_02	1
cytoplasm	GSE22155_02	1
Cytoplasmic ribosomal proteins	GSE22155_02	1
cytoplasmic translation	GSE22155_02	1
cytoplasmic vesicle	GSE22155_02	1
cytoplasmic vesicle membrane	GSE22155_02	0
cytosol	GSE22155_02	1
cytosolic large ribosomal subunit	GSE22155_02	1
cytosolic ribosome	GSE22155_02	1
cytosolic small ribosomal subunit	GSE22155_02	1
DNA damage response	GSE22155_02	1
DNA metabolic process	GSE22155_02	1
DNA repair	GSE22155_02	1
duodenum	GSE22155_02	1
duodenum; glandular cells[≥Low]	GSE22155_02	1
duodenum; glandular cells[≥Medium]	GSE22155_02	1
duodenum; glandular cells[High]	GSE22155_02	1
endomembrane system	GSE22155_02	1
endometrium 1	GSE22155_02	1
endometrium 1; cells in endometrial stroma[≥Low]	GSE22155_02	1
endometrium 1; cells in endometrial stroma[≥Medium]	GSE22155_02	1
endometrium 1; glandular cells[≥Low]	GSE22155_02	1
endometrium 1; glandular cells[≥Medium]	GSE22155_02	1
endometrium 2	GSE22155_02	1
endometrium 2; cells in endometrial stroma[≥Low]	GSE22155_02	1
endometrium 2; cells in endometrial stroma[≥Medium]	GSE22155_02	1
endometrium 2; glandular cells[≥Low]	GSE22155_02	1
endometrium 2; glandular cells[≥Medium]	GSE22155_02	1
endoplasmic reticulum	GSE22155_02	1
endoplasmic reticulum membrane	GSE22155_02	1
endoplasmic reticulum subcompartment	GSE22155_02	1
endosome	GSE22155_02	0
endosome membrane	GSE22155_02	0
envelope	GSE22155_02	1
enzyme binding	GSE22155_02	1
epididymis	GSE22155_02	1
epididymis; glandular cells[≥Low]	GSE22155_02	1
epididymis; glandular cells[≥Medium]	GSE22155_02	1
esophagus	GSE22155_02	1
esophagus; squamous epithelial cells[≥Low]	GSE22155_02	1
esophagus; squamous epithelial cells[≥Medium]	GSE22155_02	1
esophagus; squamous epithelial cells[High]	GSE22155_02	1
establishment of localization	GSE22155_02	0
establishment of localization in cell	GSE22155_02	1
Eukaryotic Translation Elongation	GSE22155_02	1
Eukaryotic Translation Initiation	GSE22155_02	1
Eukaryotic Translation Termination	GSE22155_02	1
extracellular exosome	GSE22155_02	1
extracellular membrane-bounded organelle	GSE22155_02	1
extracellular organelle	GSE22155_02	1
extracellular vesicle	GSE22155_02	1
fallopian tube	GSE22155_02	1
fallopian tube; glandular cells[≥Low]	GSE22155_02	1
fallopian tube; glandular cells[≥Medium]	GSE22155_02	1
focal adhesion	GSE22155_02	1
Formation of a pool of free 40S subunits	GSE22155_02	1
gallbladder	GSE22155_02	1
gallbladder; glandular cells[≥Low]	GSE22155_02	1
gallbladder; glandular cells[≥Medium]	GSE22155_02	1
gallbladder; glandular cells[High]	GSE22155_02	1
generation of precursor metabolites and energy	GSE22155_02	1
glucose 6-phosphate metabolic process	GSE22155_02	1
glycerolipid biosynthetic process	GSE22155_02	1
glycerolipid metabolic process	GSE22155_02	1
glycerophospholipid biosynthetic process	GSE22155_02	1
glycerophospholipid metabolic process	GSE22155_02	1
Golgi apparatus	GSE22155_02	1
Golgi membrane	GSE22155_02	0
GTP hydrolysis and joining of the 60S ribosomal subunit	GSE22155_02	1
heart muscle	GSE22155_02	1
heart muscle; cardiomyocytes[≥Low]	GSE22155_02	1
heart muscle; cardiomyocytes[≥Medium]	GSE22155_02	1
heterocycle biosynthetic process	GSE22155_02	1
heterocyclic compound binding	GSE22155_02	1
hippocampus	GSE22155_02	1
hippocampus; glial cells[≥Low]	GSE22155_02	1
hippocampus; neuronal cells[≥Low]	GSE22155_02	1
hippocampus; neuronal cells[≥Medium]	GSE22155_02	1
hsa-miR-16-5p	GSE22155_02	0
hsa-miR-193b-3p	GSE22155_02	1
hsa-miR-423-5p	GSE22155_02	1
hsa-miR-615-3p	GSE22155_02	1
hydrolase activity	GSE22155_02	1
hydrolase activity, acting on ester bonds	GSE22155_02	1
Influenza Infection	GSE22155_02	1
Influenza Viral RNA Transcription and Replication	GSE22155_02	1
intracellular anatomical structure	GSE22155_02	1
intracellular membrane-bounded organelle	GSE22155_02	1
intracellular organelle	GSE22155_02	1
intracellular organelle lumen	GSE22155_02	1
intracellular pH reduction	GSE22155_02	1
intracellular protein-containing complex	GSE22155_02	1
intracellular transport	GSE22155_02	1
intracellular vesicle	GSE22155_02	1
ion binding	GSE22155_02	1
kidney	GSE22155_02	1
kidney; cells in glomeruli[≥Low]	GSE22155_02	1
kidney; cells in tubules[≥Low]	GSE22155_02	1
kidney; cells in tubules[≥Medium]	GSE22155_02	1
kidney; cells in tubules[High]	GSE22155_02	1
L13a-mediated translational silencing of Ceruloplasmin expression	GSE22155_02	1
large ribosomal subunit	GSE22155_02	1
liver	GSE22155_02	1
liver; cholangiocytes[≥Low]	GSE22155_02	1
liver; cholangiocytes[≥Medium]	GSE22155_02	1
liver; hepatocytes[≥Low]	GSE22155_02	1
liver; hepatocytes[≥Medium]	GSE22155_02	1
localization	GSE22155_02	1
lung	GSE22155_02	1
lung; alveolar cells[≥Low]	GSE22155_02	1
lung; alveolar cells[≥Medium]	GSE22155_02	1
lung; macrophages[≥Low]	GSE22155_02	1
lung; macrophages[≥Medium]	GSE22155_02	1
lymph node	GSE22155_02	1
lymph node; germinal center cells[≥Low]	GSE22155_02	1
lymph node; germinal center cells[≥Medium]	GSE22155_02	1
lymph node; non-germinal center cells[≥Low]	GSE22155_02	1
lymph node; non-germinal center cells[≥Medium]	GSE22155_02	1
lymph node; non-germinal center cells[High]	GSE22155_02	1
lysosomal lumen acidification	GSE22155_02	1
lysosomal membrane	GSE22155_02	1
lysosome	GSE22155_02	0
lysosome organization	GSE22155_02	0
lytic vacuole	GSE22155_02	0
lytic vacuole membrane	GSE22155_02	1
lytic vacuole organization	GSE22155_02	0
macroautophagy	GSE22155_02	1
macromolecule catabolic process	GSE22155_02	1
macromolecule modification	GSE22155_02	1
Major pathway of rRNA processing in the nucleolus and cytosol	GSE22155_02	1
membrane	GSE22155_02	1
membrane-bounded organelle	GSE22155_02	1
membrane-enclosed lumen	GSE22155_02	1
Metabolism	GSE22155_02	1
Metabolism of amino acids and derivatives	GSE22155_02	1
Metabolism of proteins	GSE22155_02	1
mitochondrial envelope	GSE22155_02	1
mitochondrial inner membrane	GSE22155_02	1
mitochondrial matrix	GSE22155_02	1
mitochondrial membrane	GSE22155_02	1
mitochondrial outer membrane	GSE22155_02	1
mitochondrial translation	GSE22155_02	0
mitochondrion	GSE22155_02	1
mitochondrion organization	GSE22155_02	1
mitotic cell cycle	GSE22155_02	1
mitotic cell cycle phase transition	GSE22155_02	1
mitotic cell cycle process	GSE22155_02	0
modification-dependent macromolecule catabolic process	GSE22155_02	1
modification-dependent protein catabolic process	GSE22155_02	1
NADPH regeneration	GSE22155_02	0
nasopharynx	GSE22155_02	1
nasopharynx; basal cells[≥Low]	GSE22155_02	1
nasopharynx; basal cells[≥Medium]	GSE22155_02	1
nasopharynx; ciliated cells (cell body)[≥Medium]	GSE22155_02	1
nasopharynx; respiratory epithelial cells[≥Low]	GSE22155_02	1
nasopharynx; respiratory epithelial cells[≥Medium]	GSE22155_02	1
ncRNA metabolic process	GSE22155_02	1
ncRNA processing	GSE22155_02	1
negative regulation of cellular process	GSE22155_02	0
nicotinamide nucleotide metabolic process	GSE22155_02	1
Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)	GSE22155_02	1
