Var1	Var2	Freq
Abnormal immune system morphology	GSE22155_02	0
actin cytoskeleton organization	GSE22155_02	0
actin filament-based process	GSE22155_02	0
activation of immune response	GSE22155_02	0
Activation of Matrix Metalloproteinases	GSE22155_02	0
adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	GSE22155_02	0
adherens junction	GSE22155_02	0
Affected pathways in Duchenne muscular dystrophy	GSE22155_02	1
ameboidal-type cell migration	GSE22155_02	0
anatomical structure development	GSE22155_02	1
anatomical structure formation involved in morphogenesis	GSE22155_02	0
anatomical structure morphogenesis	GSE22155_02	1
anchoring junction	GSE22155_02	0
angiogenesis	GSE22155_02	0
animal organ development	GSE22155_02	0
animal organ morphogenesis	GSE22155_02	0
apoptotic process	GSE22155_02	0
appendage development	GSE22155_02	0
appendage morphogenesis	GSE22155_02	0
aromatic compound biosynthetic process	GSE22155_02	0
autonomic nervous system development	GSE22155_02	0
axon development	GSE22155_02	0
axonogenesis	GSE22155_02	0
B cell activation	GSE22155_02	0
basal part of cell	GSE22155_02	0
behavior	GSE22155_02	0
biological process involved in interspecies interaction between organisms	GSE22155_02	1
biological regulation	GSE22155_02	1
biomineral tissue development	GSE22155_02	0
blood circulation	GSE22155_02	0
blood vessel development	GSE22155_02	0
blood vessel morphogenesis	GSE22155_02	0
bone development	GSE22155_02	0
bone mineralization	GSE22155_02	0
bounding membrane of organelle	GSE22155_02	1
brain development	GSE22155_02	0
branching morphogenesis of an epithelial tube	GSE22155_02	0
carboxylic acid transport	GSE22155_02	0
cardiac chamber development	GSE22155_02	0
cardiac chamber morphogenesis	GSE22155_02	0
cardiac muscle tissue development	GSE22155_02	0
cardiac septum development	GSE22155_02	0
cardiac ventricle development	GSE22155_02	0
cardiocyte differentiation	GSE22155_02	0
cartilage development	GSE22155_02	0
cell activation	GSE22155_02	1
cell activation involved in immune response	GSE22155_02	0
cell adhesion	GSE22155_02	1
cell adhesion mediated by integrin	GSE22155_02	0
cell chemotaxis	GSE22155_02	1
cell communication	GSE22155_02	1
cell death	GSE22155_02	0
cell development	GSE22155_02	0
cell differentiation	GSE22155_02	0
cell fate specification	GSE22155_02	0
cell junction	GSE22155_02	0
cell killing	GSE22155_02	0
cell migration	GSE22155_02	1
cell migration involved in heart development	GSE22155_02	0
cell morphogenesis	GSE22155_02	0
cell motility	GSE22155_02	0
cell periphery	GSE22155_02	1
cell population proliferation	GSE22155_02	1
cell projection morphogenesis	GSE22155_02	0
cell projection organization	GSE22155_02	0
cell surface	GSE22155_02	0
cell surface receptor signaling pathway	GSE22155_02	1
cell-cell adhesion	GSE22155_02	0
cell-cell junction	GSE22155_02	0
cell-cell signaling	GSE22155_02	1
cell-cell signaling by wnt	GSE22155_02	0
Cells and molecules involved in local acute inflammatory response 	GSE22155_02	1
cellular anatomical entity morphogenesis	GSE22155_02	0
cellular developmental process	GSE22155_02	0
cellular homeostasis	GSE22155_02	0
cellular response to biotic stimulus	GSE22155_02	0
cellular response to chemical stimulus	GSE22155_02	1
cellular response to chemokine	GSE22155_02	0
cellular response to cytokine stimulus	GSE22155_02	1
cellular response to endogenous stimulus	GSE22155_02	0
cellular response to growth factor stimulus	GSE22155_02	0
cellular response to interleukin-1	GSE22155_02	0
cellular response to lipid	GSE22155_02	0
cellular response to lipopolysaccharide	GSE22155_02	0
cellular response to molecule of bacterial origin	GSE22155_02	0
cellular response to organic substance	GSE22155_02	1
cellular response to oxygen-containing compound	GSE22155_02	0
cellular response to stimulus	GSE22155_02	1
cellular response to type II interferon	GSE22155_02	1
cellular response to zinc ion	GSE22155_02	1
central nervous system development	GSE22155_02	0
chemical homeostasis	GSE22155_02	0
chemokine activity	GSE22155_02	0
chemokine production	GSE22155_02	0
Chemokine receptors bind chemokines	GSE22155_02	0
Chemokine signaling pathway	GSE22155_02	0
chemokine-mediated signaling pathway	GSE22155_02	0
chemotaxis	GSE22155_02	1
chondrocyte differentiation	GSE22155_02	0
chordate embryonic development	GSE22155_02	0
chromatin	GSE22155_02	0
circulatory system development	GSE22155_02	1
circulatory system process	GSE22155_02	1
cis-regulatory region sequence-specific DNA binding	GSE22155_02	0
collagen-containing extracellular matrix	GSE22155_02	0
connective tissue development	GSE22155_02	0
cranial nerve development	GSE22155_02	0
cytokine activity	GSE22155_02	1
cytokine binding	GSE22155_02	0
cytokine production	GSE22155_02	0
cytokine production involved in immune response	GSE22155_02	0
cytokine receptor binding	GSE22155_02	0
Cytokine Signaling in Immune system	GSE22155_02	1
cytokine-mediated signaling pathway	GSE22155_02	1
Cytokines and inflammatory response	GSE22155_02	0
cytoplasm	GSE22155_02	1
cytoplasmic vesicle	GSE22155_02	1
cytoplasmic vesicle lumen	GSE22155_02	0
cytoplasmic vesicle membrane	GSE22155_02	0
cytoskeleton organization	GSE22155_02	0
defense response	GSE22155_02	1
defense response to bacterium	GSE22155_02	0
defense response to other organism	GSE22155_02	1
defense response to symbiont	GSE22155_02	1
Degradation of the extracellular matrix	GSE22155_02	0
Development of ureteric collection system	GSE22155_02	0
developmental growth	GSE22155_02	0
developmental process	GSE22155_02	1
DNA-binding transcription activator activity	GSE22155_02	0
DNA-binding transcription activator activity, RNA polymerase II-specific	GSE22155_02	0
DNA-binding transcription factor activity	GSE22155_02	0
DNA-binding transcription factor activity, RNA polymerase II-specific	GSE22155_02	0
DNA-templated transcription	GSE22155_02	0
double-stranded DNA binding	GSE22155_02	0
ear development	GSE22155_02	0
embryo development	GSE22155_02	0
embryo development ending in birth or egg hatching	GSE22155_02	0
embryonic appendage morphogenesis	GSE22155_02	0
embryonic forelimb morphogenesis	GSE22155_02	0
embryonic hindlimb morphogenesis	GSE22155_02	0
embryonic limb morphogenesis	GSE22155_02	0
embryonic morphogenesis	GSE22155_02	0
embryonic organ development	GSE22155_02	0
embryonic organ morphogenesis	GSE22155_02	0
embryonic skeletal system development	GSE22155_02	0
endocardial cushion development	GSE22155_02	0
endocardial cushion formation	GSE22155_02	0
endocardial cushion morphogenesis	GSE22155_02	0
Endochondral ossification	GSE22155_02	0
Endochondral ossification with skeletal dysplasias	GSE22155_02	0
endocytic vesicle	GSE22155_02	0
