query	significant	p_value	term_size	query_size	intersection_size	precision	recall	term_id	source	term_name	effective_domain_size	source_order
GSE22155_02	TRUE	9.0028388618007e-25	5899	846	384	0.453900709219858	0.065095778945584	GO:0048856	GO:BP	anatomical structure development	21031	13525
GSE22155_02	TRUE	9.75856232109025e-23	6453	846	403	0.476359338061466	0.062451572911824	GO:0032502	GO:BP	developmental process	21031	7884
GSE22155_02	TRUE	6.18137951610573e-22	2684	846	217	0.256501182033097	0.080849478390462	GO:0009653	GO:BP	anatomical structure morphogenesis	21031	3608
GSE22155_02	TRUE	2.57406390699434e-21	4643	846	315	0.372340425531915	0.0678440663364204	GO:0007275	GO:BP	multicellular organism development	21031	2835
GSE22155_02	TRUE	7.0247557066465e-21	3973	846	281	0.332151300236407	0.0707274100176189	GO:0048731	GO:BP	system development	21031	13413
GSE22155_02	TRUE	3.41642419198725e-20	2955	846	227	0.268321513002364	0.0768189509306261	GO:0051239	GO:BP	regulation of multicellular organismal process	21031	14037
GSE22155_02	TRUE	4.37746160811565e-20	1130	846	121	0.143026004728132	0.107079646017699	GO:0072359	GO:BP	circulatory system development	21031	17886
GSE22155_02	TRUE	5.80224250977181e-20	1496	846	144	0.170212765957447	0.0962566844919786	GO:0016477	GO:BP	cell migration	21031	5292
GSE22155_02	TRUE	1.36365370412505e-19	7669	846	446	0.527186761229314	0.0581562133263789	GO:0032501	GO:BP	multicellular organismal process	21031	7883
GSE22155_02	TRUE	2.79200816914408e-18	1709	846	153	0.180851063829787	0.0895260386190755	GO:0048870	GO:BP	cell motility	21031	13538
GSE22155_02	TRUE	3.04946501884068e-18	1411	846	135	0.159574468085106	0.0956768249468462	GO:2000026	GO:BP	regulation of multicellular organismal development	21031	26054
GSE22155_02	TRUE	3.58433827306478e-18	1512	846	141	0.166666666666667	0.0932539682539683	GO:0007155	GO:BP	cell adhesion	21031	2750
GSE22155_02	TRUE	1.09059833477976e-17	872	846	99	0.117021276595745	0.113532110091743	GO:0035239	GO:BP	tube morphogenesis	21031	9225
GSE22155_02	TRUE	2.33535806293649e-17	752	846	90	0.106382978723404	0.11968085106383	GO:0001944	GO:BP	vasculature development	21031	560
GSE22155_02	TRUE	4.11189661707051e-17	1637	846	146	0.1725768321513	0.0891875381795968	GO:0051240	GO:BP	positive regulation of multicellular organismal process	21031	14038
GSE22155_02	TRUE	6.35334257369166e-17	721	846	87	0.102836879432624	0.120665742024965	GO:0001568	GO:BP	blood vessel development	21031	358
GSE22155_02	TRUE	1.40215127422495e-16	6250	846	374	0.442080378250591	0.05984	GO:0048518	GO:BP	positive regulation of biological process	21031	13226
GSE22155_02	TRUE	1.93167097642342e-16	11738	846	598	0.706855791962175	0.0509456466178225	GO:0050794	GO:BP	regulation of cellular process	21031	13691
GSE22155_02	TRUE	1.98933164808638e-16	1091	846	111	0.131205673758865	0.101741521539872	GO:0035295	GO:BP	tube development	21031	9257
GSE22155_02	TRUE	4.773696254479e-16	1328	846	125	0.147754137115839	0.0941265060240964	GO:0051094	GO:BP	positive regulation of developmental process	21031	13928
GSE22155_02	TRUE	5.06827025382816e-16	2455	846	189	0.223404255319149	0.0769857433808554	GO:0050793	GO:BP	regulation of developmental process	21031	13690
GSE22155_02	TRUE	1.66402036310366e-15	1234	846	118	0.139479905437352	0.0956239870340357	GO:0040011	GO:BP	locomotion	21031	10240
GSE22155_02	TRUE	1.78793486937714e-15	2006	846	163	0.192671394799054	0.0812562313060818	GO:0008283	GO:BP	cell population proliferation	21031	3185
GSE22155_02	TRUE	2.02667842451266e-15	12287	846	615	0.726950354609929	0.0500529014405469	GO:0050789	GO:BP	regulation of biological process	21031	13687
GSE22155_02	TRUE	3.9368253763724e-15	5717	846	345	0.407801418439716	0.0603463354906419	GO:0048522	GO:BP	positive regulation of cellular process	21031	13230
GSE22155_02	TRUE	8.49357980529257e-15	1683	846	143	0.16903073286052	0.0849673202614379	GO:0042127	GO:BP	regulation of cell population proliferation	21031	10326
GSE22155_02	TRUE	2.86756340735646e-14	1038	846	103	0.121749408983452	0.0992292870905588	GO:0040012	GO:BP	regulation of locomotion	21031	10241
GSE22155_02	TRUE	3.05216569790767e-14	1183	846	112	0.132387706855792	0.0946745562130177	GO:0048646	GO:BP	anatomical structure formation involved in morphogenesis	21031	13329
GSE22155_02	TRUE	3.80501403070465e-14	4366	846	279	0.329787234042553	0.0639028859367842	GO:0030154	GO:BP	cell differentiation	21031	6924
GSE22155_02	TRUE	3.92765135335555e-14	4367	846	279	0.329787234042553	0.0638882528051294	GO:0048869	GO:BP	cellular developmental process	21031	13537
GSE22155_02	TRUE	4.08366361901773e-14	934	846	96	0.113475177304965	0.102783725910064	GO:0030334	GO:BP	regulation of cell migration	21031	7017
GSE22155_02	TRUE	7.59663580770276e-14	3039	846	213	0.25177304964539	0.0700888450148075	GO:0048513	GO:BP	animal organ development	21031	13223
GSE22155_02	TRUE	7.59822286602486e-14	12680	846	624	0.737588652482269	0.049211356466877	GO:0065007	GO:BP	biological regulation	21031	16384
GSE22155_02	TRUE	9.69605584053988e-14	5541	846	332	0.392434988179669	0.0599169824941346	GO:0048523	GO:BP	negative regulation of cellular process	21031	13231
GSE22155_02	TRUE	1.17433953958257e-13	996	846	99	0.117021276595745	0.0993975903614458	GO:2000145	GO:BP	regulation of cell motility	21031	26166
GSE22155_02	TRUE	1.34195480285336e-13	2819	846	201	0.23758865248227	0.071301880099326	GO:0048468	GO:BP	cell development	21031	13194
GSE22155_02	TRUE	1.4518511920606e-13	625	846	74	0.0874704491725768	0.1184	GO:0048514	GO:BP	blood vessel morphogenesis	21031	13224
GSE22155_02	TRUE	1.97914950940123e-13	864	846	90	0.106382978723404	0.104166666666667	GO:0045597	GO:BP	positive regulation of cell differentiation	21031	11844
GSE22155_02	TRUE	3.47821085637414e-13	2010	846	157	0.185579196217494	0.0781094527363184	GO:0009888	GO:BP	tissue development	21031	3786
GSE22155_02	TRUE	3.61849485393459e-13	538	846	67	0.0791962174940898	0.12453531598513	GO:0001525	GO:BP	angiogenesis	21031	335
GSE22155_02	TRUE	5.47136848534746e-13	423	846	58	0.0685579196217494	0.137115839243499	GO:0001503	GO:BP	ossification	21031	325
GSE22155_02	TRUE	6.05835394318633e-13	5874	846	344	0.40661938534279	0.0585631596867552	GO:0048519	GO:BP	negative regulation of biological process	21031	13227
GSE22155_02	TRUE	1.59760639531412e-12	2846	846	199	0.235224586288416	0.0699226985242446	GO:0065008	GO:BP	regulation of biological quality	21031	16385
GSE22155_02	TRUE	1.23658696684023e-11	535	846	64	0.0756501182033097	0.119626168224299	GO:0001501	GO:BP	skeletal system development	21031	323
GSE22155_02	TRUE	2.13929586637071e-11	1576	846	128	0.151300236406619	0.0812182741116751	GO:0045595	GO:BP	regulation of cell differentiation	21031	11842
GSE22155_02	TRUE	2.32569626091707e-11	8976	846	470	0.555555555555556	0.0523618538324421	GO:0050896	GO:BP	response to stimulus	21031	13774
GSE22155_02	TRUE	3.80716820546177e-11	3939	846	248	0.293144208037825	0.062960142168063	GO:0048583	GO:BP	regulation of response to stimulus	21031	13279
GSE22155_02	TRUE	4.15239592256131e-11	2799	846	192	0.226950354609929	0.0685959271168274	GO:0007166	GO:BP	cell surface receptor signaling pathway	21031	2761
GSE22155_02	TRUE	4.52030285234155e-11	881	846	86	0.101654846335697	0.0976163450624291	GO:0043066	GO:BP	negative regulation of apoptotic process	21031	10862
GSE22155_02	TRUE	6.75290182755714e-11	7394	846	402	0.475177304964539	0.0543684068163376	GO:0051716	GO:BP	cellular response to stimulus	21031	14364
GSE22155_02	TRUE	7.06817718768891e-11	6537	846	365	0.431442080378251	0.0558360104023252	GO:0007154	GO:BP	cell communication	21031	2749
GSE22155_02	TRUE	7.76296919719815e-11	1035	846	95	0.112293144208038	0.0917874396135266	GO:0009887	GO:BP	animal organ morphogenesis	21031	3785
GSE22155_02	TRUE	8.62167484032086e-11	907	846	87	0.102836879432624	0.0959206174200661	GO:0043069	GO:BP	negative regulation of programmed cell death	21031	10865
GSE22155_02	TRUE	1.27439251956976e-10	6447	846	360	0.425531914893617	0.0558399255467659	GO:0023052	GO:BP	signaling	21031	6877
GSE22155_02	TRUE	1.71995778027651e-10	5959	846	338	0.399527186761229	0.0567209263299211	GO:0007165	GO:BP	signal transduction	21031	2760
GSE22155_02	TRUE	4.53188263112968e-10	1463	846	118	0.139479905437352	0.0806561859193438	GO:0042981	GO:BP	regulation of apoptotic process	21031	10815
GSE22155_02	TRUE	6.35661352395359e-10	1506	846	120	0.141843971631206	0.0796812749003984	GO:0043067	GO:BP	regulation of programmed cell death	21031	10863
GSE22155_02	TRUE	8.0490920995047e-10	1110	846	97	0.114657210401891	0.0873873873873874	GO:0051241	GO:BP	negative regulation of multicellular organismal process	21031	14039
GSE22155_02	TRUE	3.43444174667869e-09	838	846	79	0.0933806146572104	0.094272076372315	GO:0022603	GO:BP	regulation of anatomical structure morphogenesis	21031	6848
GSE22155_02	TRUE	1.2776834453886e-08	179	846	31	0.0366430260047281	0.173184357541899	GO:0031214	GO:BP	biomineral tissue development	21031	7337
GSE22155_02	TRUE	1.9306371986667e-08	3443	846	214	0.252955082742317	0.0621550972988673	GO:0010646	GO:BP	regulation of cell communication	21031	4342
GSE22155_02	TRUE	2.9250640296305e-08	3437	846	213	0.25177304964539	0.0619726505673553	GO:0023051	GO:BP	regulation of signaling	21031	6876
GSE22155_02	TRUE	4.46561706555823e-08	2531	846	168	0.198581560283688	0.0663769261161596	GO:0007399	GO:BP	nervous system development	21031	2932
