query	significant	p_value	term_size	query_size	intersection_size	precision	recall	term_id	source	term_name	effective_domain_size	source_order
GSE22155_02	TRUE	4.73266954068161e-22	5986	1774	699	0.39402480270575	0.116772469094554	GO:1901564	GO:BP	organonitrogen compound metabolic process	21031	22098
GSE22155_02	TRUE	5.22909843669042e-17	1761	1774	260	0.146561443066516	0.147643384440659	GO:1901566	GO:BP	organonitrogen compound biosynthetic process	21031	22100
GSE22155_02	TRUE	4.18850361955284e-14	3613	1774	439	0.247463359639233	0.121505673955162	GO:0006996	GO:BP	organelle organization	21031	2642
GSE22155_02	TRUE	2.62043667558316e-13	1194	1774	185	0.104284103720406	0.154941373534338	GO:0043603	GO:BP	amide metabolic process	21031	11152
GSE22155_02	TRUE	4.03947906812205e-12	4912	1774	553	0.311724915445321	0.112581433224756	GO:0019538	GO:BP	protein metabolic process	21031	6075
GSE22155_02	TRUE	1.69075222667953e-10	911	1774	144	0.0811724915445321	0.158068057080132	GO:0006518	GO:BP	peptide metabolic process	21031	2266
GSE22155_02	TRUE	6.21643111583778e-10	6250	1774	663	0.373731679819617	0.10608	GO:0048518	GO:BP	positive regulation of biological process	21031	13226
GSE22155_02	TRUE	1.89795497986871e-09	5717	1774	612	0.344983089064262	0.107049151652965	GO:0048522	GO:BP	positive regulation of cellular process	21031	13230
GSE22155_02	TRUE	2.21411573887766e-09	4836	1774	531	0.299323562570462	0.109801488833747	GO:0044271	GO:BP	cellular nitrogen compound biosynthetic process	21031	11312
GSE22155_02	TRUE	2.48453342805627e-09	752	1774	122	0.068771138669673	0.162234042553191	GO:0043043	GO:BP	peptide biosynthetic process	21031	10843
GSE22155_02	TRUE	3.94281943045844e-09	723	1774	118	0.0665163472378805	0.163208852005533	GO:0006412	GO:BP	translation	21031	2194
GSE22155_02	TRUE	4.08539742445968e-09	887	1774	137	0.0772266065388952	0.15445321307779	GO:0043604	GO:BP	amide biosynthetic process	21031	11153
GSE22155_02	TRUE	4.93046222302344e-09	1972	1774	253	0.142615558060879	0.128296146044625	GO:0051649	GO:BP	establishment of localization in cell	21031	14317
