Var1	Var2	Freq
39S ribosomal subunit, mitochondrial	GSE22155_02	0
55S ribosome, mitochondrial	GSE22155_02	0
Abnormal cerebral morphology	GSE22155_02	1
Abnormal forebrain morphology	GSE22155_02	1
Abnormal nervous system morphology	GSE22155_02	1
Abnormal nervous system physiology	GSE22155_02	1
Abnormality of the musculoskeletal system	GSE22155_02	1
Abnormality of the urinary system	GSE22155_02	0
adipose tissue	GSE22155_02	1
adipose tissue; adipocytes[≥Low]	GSE22155_02	1
adipose tissue; adipocytes[≥Medium]	GSE22155_02	1
adrenal gland	GSE22155_02	1
adrenal gland; glandular cells[≥Low]	GSE22155_02	1
adrenal gland; glandular cells[≥Medium]	GSE22155_02	1
adrenal gland; glandular cells[High]	GSE22155_02	1
amide biosynthetic process	GSE22155_02	1
amide metabolic process	GSE22155_02	1
anatomical structure morphogenesis	GSE22155_02	1
appendix	GSE22155_02	1
appendix; glandular cells[≥Low]	GSE22155_02	1
appendix; glandular cells[≥Medium]	GSE22155_02	1
appendix; lymphoid tissue[≥Low]	GSE22155_02	1
appendix; lymphoid tissue[≥Medium]	GSE22155_02	1
aromatic compound biosynthetic process	GSE22155_02	1
Asparagine N-linked glycosylation	GSE22155_02	0
autophagy	GSE22155_02	1
binding	GSE22155_02	1
bone marrow	GSE22155_02	1
bone marrow; hematopoietic cells[≥Low]	GSE22155_02	1
bone marrow; hematopoietic cells[≥Medium]	GSE22155_02	1
bounding membrane of organelle	GSE22155_02	1
breast	GSE22155_02	1
breast; adipocytes[≥Low]	GSE22155_02	1
breast; glandular cells[≥Low]	GSE22155_02	1
breast; glandular cells[≥Medium]	GSE22155_02	1
breast; myoepithelial cells[≥Low]	GSE22155_02	1
breast; myoepithelial cells[≥Medium]	GSE22155_02	1
bronchus	GSE22155_02	1
bronchus; respiratory epithelial cells[≥Low]	GSE22155_02	1
bronchus; respiratory epithelial cells[≥Medium]	GSE22155_02	1
carbohydrate derivative biosynthetic process	GSE22155_02	1
carbohydrate derivative metabolic process	GSE22155_02	1
catabolic process	GSE22155_02	1
catalytic activity	GSE22155_02	1
catalytic activity, acting on a nucleic acid	GSE22155_02	1
catalytic activity, acting on RNA	GSE22155_02	1
catalytic complex	GSE22155_02	1
caudate	GSE22155_02	1
caudate; glial cells[≥Low]	GSE22155_02	1
caudate; glial cells[≥Medium]	GSE22155_02	1
caudate; neuronal cells[≥Low]	GSE22155_02	1
caudate; neuronal cells[≥Medium]	GSE22155_02	1
cell cycle	GSE22155_02	1
cell cycle phase transition	GSE22155_02	1
cell cycle process	GSE22155_02	1
cell morphogenesis	GSE22155_02	0
cell-substrate junction	GSE22155_02	1
cellular anatomical entity	GSE22155_02	1
cellular catabolic process	GSE22155_02	1
cellular lipid metabolic process	GSE22155_02	1
cellular localization	GSE22155_02	1
cellular nitrogen compound biosynthetic process	GSE22155_02	1
cerebellum	GSE22155_02	1
cerebellum; cells in granular layer[≥Low]	GSE22155_02	1
cerebellum; cells in granular layer[≥Medium]	GSE22155_02	1
cerebellum; cells in molecular layer[≥Low]	GSE22155_02	1
cerebellum; cells in molecular layer[≥Medium]	GSE22155_02	1
cerebellum; Purkinje cells[≥Low]	GSE22155_02	1
cerebellum; Purkinje cells[≥Medium]	GSE22155_02	1
cerebellum; Purkinje cells[High]	GSE22155_02	1
cerebral cortex	GSE22155_02	1
cerebral cortex; endothelial cells[≥Low]	GSE22155_02	1
cerebral cortex; endothelial cells[≥Medium]	GSE22155_02	1
cerebral cortex; glial cells[≥Low]	GSE22155_02	1
cerebral cortex; glial cells[≥Medium]	GSE22155_02	1
cerebral cortex; neuronal cells[≥Low]	GSE22155_02	1
cerebral cortex; neuronal cells[≥Medium]	GSE22155_02	1
cerebral cortex; neuropil[≥Low]	GSE22155_02	1
cerebral cortex; neuropil[≥Medium]	GSE22155_02	1
cervix	GSE22155_02	1
cervix; glandular cells[≥Low]	GSE22155_02	1
cervix; glandular cells[≥Medium]	GSE22155_02	1
cervix; squamous epithelial cells[≥Low]	GSE22155_02	1
cervix; squamous epithelial cells[≥Medium]	GSE22155_02	1
colon	GSE22155_02	1
colon; endothelial cells[≥Low]	GSE22155_02	1
colon; endothelial cells[≥Medium]	GSE22155_02	1
colon; glandular cells[≥Low]	GSE22155_02	1
colon; glandular cells[≥Medium]	GSE22155_02	1
colon; glandular cells[High]	GSE22155_02	1
colon; peripheral nerve/ganglion[≥Low]	GSE22155_02	1
colon; peripheral nerve/ganglion[≥Medium]	GSE22155_02	1
cytochrome complex assembly	GSE22155_02	1
cytoplasm	GSE22155_02	1
cytoplasmic translation	GSE22155_02	0
cytoplasmic vesicle	GSE22155_02	1
cytoplasmic vesicle membrane	GSE22155_02	1
cytosol	GSE22155_02	1
DNA damage response	GSE22155_02	1
DNA metabolic process	GSE22155_02	1
DNA repair	GSE22155_02	1
duodenum	GSE22155_02	1
duodenum; glandular cells[≥Low]	GSE22155_02	1
duodenum; glandular cells[≥Medium]	GSE22155_02	1
duodenum; glandular cells[High]	GSE22155_02	1
endomembrane system	GSE22155_02	1
endometrium 1	GSE22155_02	1
endometrium 1; cells in endometrial stroma[≥Low]	GSE22155_02	1
endometrium 1; cells in endometrial stroma[≥Medium]	GSE22155_02	1
endometrium 1; glandular cells[≥Low]	GSE22155_02	1
endometrium 1; glandular cells[≥Medium]	GSE22155_02	1
