query	significant	p_value	term_size	query_size	intersection_size	precision	recall	term_id	source	term_name	effective_domain_size	source_order
GSE22155_02	TRUE	9.12845302122595e-15	2556	1325	268	0.202264150943396	0.104851330203443	GO:0009056	GO:BP	catabolic process	21031	3269
GSE22155_02	TRUE	1.23161613145466e-14	5986	1325	518	0.390943396226415	0.086535248914133	GO:1901564	GO:BP	organonitrogen compound metabolic process	21031	22098
GSE22155_02	TRUE	2.91968974720038e-10	4912	1325	423	0.319245283018868	0.0861156351791531	GO:0019538	GO:BP	protein metabolic process	21031	6075
GSE22155_02	TRUE	5.56094901737443e-09	2074	1325	209	0.157735849056604	0.100771456123433	GO:1901575	GO:BP	organic substance catabolic process	21031	22105
GSE22155_02	TRUE	1.3202184348885e-08	1600	1325	170	0.128301886792453	0.10625	GO:0044248	GO:BP	cellular catabolic process	21031	11304
GSE22155_02	TRUE	1.78922716532409e-07	3613	1325	317	0.239245283018868	0.0877387212842513	GO:0006996	GO:BP	organelle organization	21031	2642
GSE22155_02	TRUE	5.34344538627039e-07	1338	1325	143	0.107924528301887	0.106875934230194	GO:0009057	GO:BP	macromolecule catabolic process	21031	3270
GSE22155_02	TRUE	4.89909650780411e-06	6250	1325	491	0.370566037735849	0.07856	GO:0048518	GO:BP	positive regulation of biological process	21031	13226
GSE22155_02	TRUE	7.48067547535124e-06	5717	1325	454	0.342641509433962	0.0794122791673955	GO:0048522	GO:BP	positive regulation of cellular process	21031	13230
GSE22155_02	TRUE	7.4956966699907e-06	1761	1325	172	0.129811320754717	0.097671777399205	GO:1901566	GO:BP	organonitrogen compound biosynthetic process	21031	22100
GSE22155_02	TRUE	8.14668590257905e-06	1194	1325	127	0.0958490566037736	0.106365159128978	GO:0043603	GO:BP	amide metabolic process	21031	11152
GSE22155_02	TRUE	1.08421147047448e-05	1399	1325	143	0.107924528301887	0.102215868477484	GO:1901565	GO:BP	organonitrogen compound catabolic process	21031	22099
GSE22155_02	TRUE	2.17660260611279e-05	1813	1325	174	0.131320754716981	0.0959735245449531	GO:0044281	GO:BP	small molecule metabolic process	21031	11317
GSE22155_02	TRUE	4.70837614320298e-05	911	1325	101	0.0762264150943396	0.110867178924259	GO:0006518	GO:BP	peptide metabolic process	21031	2266
GSE22155_02	TRUE	7.60119460555652e-05	968	1325	105	0.0792452830188679	0.108471074380165	GO:0030163	GO:BP	protein catabolic process	21031	6928
GSE22155_02	TRUE	0.000106402542221395	5591	1325	438	0.330566037735849	0.0783401895904132	GO:0080090	GO:BP	regulation of primary metabolic process	21031	18320
GSE22155_02	TRUE	0.000162398454567491	3262	1325	276	0.208301886792453	0.0846106683016554	GO:0043412	GO:BP	macromolecule modification	21031	11034
GSE22155_02	TRUE	0.000194632643207405	687	1325	80	0.060377358490566	0.116448326055313	GO:0031329	GO:BP	regulation of cellular catabolic process	21031	7378
