Var1	Var2	Freq
Abnormal muscle physiology	GSE22155_02	1
Abnormal nervous system physiology	GSE22155_02	1
Abnormality of mental function	GSE22155_02	1
Abnormality of the nervous system	GSE22155_02	1
acyltransferase activity	GSE22155_02	1
adipose tissue	GSE22155_02	1
adipose tissue; adipocytes[≥Low]	GSE22155_02	1
adipose tissue; adipocytes[≥Medium]	GSE22155_02	1
adrenal gland	GSE22155_02	1
adrenal gland; glandular cells[≥Low]	GSE22155_02	1
adrenal gland; glandular cells[≥Medium]	GSE22155_02	1
adrenal gland; glandular cells[High]	GSE22155_02	1
amide biosynthetic process	GSE22155_02	1
amide metabolic process	GSE22155_02	1
appendix	GSE22155_02	1
appendix; glandular cells[≥Low]	GSE22155_02	1
appendix; glandular cells[≥Medium]	GSE22155_02	1
appendix; lymphoid tissue[≥Low]	GSE22155_02	1
appendix; lymphoid tissue[≥Medium]	GSE22155_02	1
Asparagine N-linked glycosylation	GSE22155_02	1
autophagy	GSE22155_02	1
basal RNA polymerase II transcription machinery binding	GSE22155_02	0
basal transcription machinery binding	GSE22155_02	0
binding	GSE22155_02	1
bone marrow	GSE22155_02	1
bone marrow; hematopoietic cells[≥Low]	GSE22155_02	1
bounding membrane of organelle	GSE22155_02	1
breast	GSE22155_02	1
breast; adipocytes[≥Low]	GSE22155_02	1
breast; adipocytes[≥Medium]	GSE22155_02	1
breast; glandular cells[≥Low]	GSE22155_02	1
breast; glandular cells[≥Medium]	GSE22155_02	1
breast; myoepithelial cells[≥Low]	GSE22155_02	1
breast; myoepithelial cells[≥Medium]	GSE22155_02	1
bronchus	GSE22155_02	1
bronchus; respiratory epithelial cells[≥Low]	GSE22155_02	1
bronchus; respiratory epithelial cells[≥Medium]	GSE22155_02	1
catabolic process	GSE22155_02	1
catalytic activity	GSE22155_02	1
catalytic complex	GSE22155_02	1
caudate	GSE22155_02	1
caudate; glial cells[≥Low]	GSE22155_02	1
caudate; neuronal cells[≥Low]	GSE22155_02	1
caudate; neuronal cells[≥Medium]	GSE22155_02	1
cell cycle	GSE22155_02	0
cellular catabolic process	GSE22155_02	1
cellular lipid metabolic process	GSE22155_02	1
cellular nitrogen compound biosynthetic process	GSE22155_02	0
cellular response to stress	GSE22155_02	0
cerebellum	GSE22155_02	1
cerebellum; cells in granular layer[≥Low]	GSE22155_02	1
cerebellum; cells in granular layer[≥Medium]	GSE22155_02	1
cerebellum; cells in molecular layer[≥Low]	GSE22155_02	1
cerebellum; cells in molecular layer[≥Medium]	GSE22155_02	1
cerebellum; Purkinje cells[≥Low]	GSE22155_02	1
cerebellum; Purkinje cells[≥Medium]	GSE22155_02	1
cerebellum; Purkinje cells[High]	GSE22155_02	1
cerebral cortex	GSE22155_02	1
cerebral cortex; endothelial cells[≥Low]	GSE22155_02	1
cerebral cortex; endothelial cells[≥Medium]	GSE22155_02	1
cerebral cortex; glial cells[≥Low]	GSE22155_02	1
cerebral cortex; neuronal cells[≥Low]	GSE22155_02	1
cerebral cortex; neuronal cells[≥Medium]	GSE22155_02	1
cerebral cortex; neuropil[≥Low]	GSE22155_02	1
cervix	GSE22155_02	1
cervix; glandular cells[≥Low]	GSE22155_02	1
cervix; glandular cells[≥Medium]	GSE22155_02	1
cervix; squamous epithelial cells[≥Low]	GSE22155_02	1
cervix; squamous epithelial cells[≥Medium]	GSE22155_02	1
chitosome	GSE22155_02	1
colon	GSE22155_02	1
colon; endothelial cells[≥Low]	GSE22155_02	1
colon; endothelial cells[≥Medium]	GSE22155_02	1
colon; glandular cells[≥Low]	GSE22155_02	1
colon; glandular cells[≥Medium]	GSE22155_02	1
colon; glandular cells[High]	GSE22155_02	1
colon; peripheral nerve/ganglion[≥Low]	GSE22155_02	1
colon; peripheral nerve/ganglion[≥Medium]	GSE22155_02	1
cytoplasm	GSE22155_02	1
cytoplasmic vesicle	GSE22155_02	1
cytosol	GSE22155_02	1
DNA metabolic process	GSE22155_02	0
duodenum	GSE22155_02	1
duodenum; glandular cells[≥Low]	GSE22155_02	1
duodenum; glandular cells[≥Medium]	GSE22155_02	1
duodenum; glandular cells[High]	GSE22155_02	1
endomembrane system	GSE22155_02	1
endometrium 1	GSE22155_02	1
endometrium 1; cells in endometrial stroma[≥Low]	GSE22155_02	1
endometrium 1; glandular cells[≥Low]	GSE22155_02	1
endometrium 1; glandular cells[≥Medium]	GSE22155_02	1
endometrium 2	GSE22155_02	1
endometrium 2; cells in endometrial stroma[≥Low]	GSE22155_02	1
endometrium 2; glandular cells[≥Low]	GSE22155_02	1
endometrium 2; glandular cells[≥Medium]	GSE22155_02	1
endoplasmic reticulum	GSE22155_02	1
endoplasmic reticulum membrane	GSE22155_02	1
endoplasmic reticulum subcompartment	GSE22155_02	1
envelope	GSE22155_02	1
enzyme-directed rRNA pseudouridine synthesis	GSE22155_02	1
epididymis	GSE22155_02	1
epididymis; glandular cells[≥Low]	GSE22155_02	1
epididymis; glandular cells[≥Medium]	GSE22155_02	1
esophagus	GSE22155_02	1
esophagus; squamous epithelial cells[≥Low]	GSE22155_02	1
esophagus; squamous epithelial cells[≥Medium]	GSE22155_02	1
establishment of localization in cell	GSE22155_02	1
extracellular exosome	GSE22155_02	1
extracellular membrane-bounded organelle	GSE22155_02	1
extracellular organelle	GSE22155_02	1
extracellular vesicle	GSE22155_02	1
fallopian tube	GSE22155_02	1
fallopian tube; glandular cells[≥Low]	GSE22155_02	1
fallopian tube; glandular cells[≥Medium]	GSE22155_02	1
gallbladder	GSE22155_02	1
gallbladder; glandular cells[≥Low]	GSE22155_02	1
gallbladder; glandular cells[≥Medium]	GSE22155_02	1
gallbladder; glandular cells[High]	GSE22155_02	0
Glutathione conjugation	GSE22155_02	1
glutathione metabolic process	GSE22155_02	1
heart muscle	GSE22155_02	1
heart muscle; cardiomyocytes[≥Low]	GSE22155_02	1
heart muscle; cardiomyocytes[≥Medium]	GSE22155_02	1
hippocampus	GSE22155_02	1
hippocampus; glial cells[≥Low]	GSE22155_02	1
hippocampus; neuronal cells[≥Low]	GSE22155_02	1
hippocampus; neuronal cells[≥Medium]	GSE22155_02	1
hsa-miR-1-3p	GSE22155_02	1
hsa-miR-155-5p	GSE22155_02	1
hsa-miR-16-5p	GSE22155_02	1
hsa-miR-21-5p	GSE22155_02	1
hsa-miR-4752	GSE22155_02	1
intracellular anatomical structure	GSE22155_02	1
intracellular membrane-bounded organelle	GSE22155_02	1
intracellular organelle	GSE22155_02	1
intracellular organelle lumen	GSE22155_02	1
intracellular protein-containing complex	GSE22155_02	1
intracellular transport	GSE22155_02	1
intracellular vesicle	GSE22155_02	1
intramolecular transferase activity	GSE22155_02	1
ion binding	GSE22155_02	1
kidney	GSE22155_02	1
kidney; cells in glomeruli[≥Low]	GSE22155_02	1
kidney; cells in glomeruli[≥Medium]	GSE22155_02	1
kidney; cells in tubules[≥Low]	GSE22155_02	1
kidney; cells in tubules[≥Medium]	GSE22155_02	1
kidney; cells in tubules[High]	GSE22155_02	1
lipid metabolic process	GSE22155_02	1
lipoprotein metabolic process	GSE22155_02	1
liver	GSE22155_02	1
liver; cholangiocytes[≥Low]	GSE22155_02	1
liver; cholangiocytes[≥Medium]	GSE22155_02	1
liver; hepatocytes[≥Low]	GSE22155_02	1
liver; hepatocytes[≥Medium]	GSE22155_02	1
localization	GSE22155_02	1
lung	GSE22155_02	1
lung; alveolar cells type I[≥Low]	GSE22155_02	1
lung; alveolar cells type I[≥Medium]	GSE22155_02	1
lung; alveolar cells type II[≥Low]	GSE22155_02	1
lung; alveolar cells type II[≥Medium]	GSE22155_02	0
lung; alveolar cells type II[High]	GSE22155_02	0
lung; alveolar cells[≥Low]	GSE22155_02	1
lung; endothelial cells[≥Low]	GSE22155_02	1
lung; macrophages[≥Low]	GSE22155_02	1
lung; macrophages[≥Medium]	GSE22155_02	1
lymph node	GSE22155_02	1
lymph node; germinal center cells[≥Low]	GSE22155_02	1
lymph node; non-germinal center cells[≥Low]	GSE22155_02	1
lymph node; non-germinal center cells[≥Medium]	GSE22155_02	0
lysosomal membrane	GSE22155_02	1
lysosome	GSE22155_02	1
lytic vacuole	GSE22155_02	1
lytic vacuole membrane	GSE22155_02	1
macroautophagy	GSE22155_02	1
macromolecule catabolic process	GSE22155_02	1
macromolecule localization	GSE22155_02	1
macromolecule modification	GSE22155_02	1
melanosome membrane	GSE22155_02	1
membrane	GSE22155_02	1
membrane-bounded organelle	GSE22155_02	1
membrane-enclosed lumen	GSE22155_02	1
mitochondrial envelope	GSE22155_02	1
mitochondrial membrane	GSE22155_02	1
mitochondrion	GSE22155_02	1
mitochondrion organization	GSE22155_02	1
modification-dependent macromolecule catabolic process	GSE22155_02	1
modification-dependent protein catabolic process	GSE22155_02	1
nasopharynx	GSE22155_02	1
nasopharynx; basal cells[≥Low]	GSE22155_02	0
nasopharynx; respiratory epithelial cells[≥Low]	GSE22155_02	1
nasopharynx; respiratory epithelial cells[≥Medium]	GSE22155_02	1
nasopharynx; respiratory epithelial cells[High]	GSE22155_02	1
negative regulation of protein metabolic process	GSE22155_02	1
nuclear envelope	GSE22155_02	1
nuclear lumen	GSE22155_02	1
nuclear membrane	GSE22155_02	1
nuclear outer membrane-endoplasmic reticulum membrane network	GSE22155_02	1
nucleoplasm	GSE22155_02	1
oral mucosa	GSE22155_02	1
oral mucosa; squamous epithelial cells[≥Low]	GSE22155_02	1
oral mucosa; squamous epithelial cells[≥Medium]	GSE22155_02	1
organelle	GSE22155_02	1
organelle envelope	GSE22155_02	1
organelle lumen	GSE22155_02	1
organelle membrane	GSE22155_02	1
organelle organization	GSE22155_02	1
organelle subcompartment	GSE22155_02	1
organic cyclic compound catabolic process	GSE22155_02	1
organic substance catabolic process	GSE22155_02	1
organonitrogen compound biosynthetic process	GSE22155_02	1
organonitrogen compound catabolic process	GSE22155_02	1
organonitrogen compound metabolic process	GSE22155_02	1
ovary	GSE22155_02	1
ovary; follicle cells[≥Low]	GSE22155_02	1
ovary; follicle cells[≥Medium]	GSE22155_02	0
ovary; ovarian stroma cells[≥Low]	GSE22155_02	1
pancreas	GSE22155_02	1
pancreas; exocrine glandular cells[≥Low]	GSE22155_02	1
pancreas; exocrine glandular cells[≥Medium]	GSE22155_02	1
pancreas; pancreatic endocrine cells[≥Low]	GSE22155_02	1
pancreas; pancreatic endocrine cells[≥Medium]	GSE22155_02	1
parathyroid gland	GSE22155_02	1
parathyroid gland; glandular cells[≥Low]	GSE22155_02	1
parathyroid gland; glandular cells[≥Medium]	GSE22155_02	1
peptide biosynthetic process	GSE22155_02	1
peptide metabolic process	GSE22155_02	1
pigment granule membrane	GSE22155_02	1
placenta	GSE22155_02	1
placenta; decidual cells[≥Low]	GSE22155_02	1
placenta; decidual cells[≥Medium]	GSE22155_02	1
placenta; trophoblastic cells[≥Low]	GSE22155_02	1
placenta; trophoblastic cells[≥Medium]	GSE22155_02	1
placenta; trophoblastic cells[High]	GSE22155_02	1
positive regulation of biological process	GSE22155_02	1
positive regulation of cellular metabolic process	GSE22155_02	0
positive regulation of cellular process	GSE22155_02	1
positive regulation of metabolic process	GSE22155_02	0
positive regulation of nitrogen compound metabolic process	GSE22155_02	0
positive regulation of nucleobase-containing compound metabolic process	GSE22155_02	0
positive regulation of RNA metabolic process	GSE22155_02	0
primary metabolic process	GSE22155_02	0
process utilizing autophagic mechanism	GSE22155_02	1
prostate	GSE22155_02	1
prostate; glandular cells[≥Low]	GSE22155_02	1
prostate; glandular cells[≥Medium]	GSE22155_02	1
proteasomal protein catabolic process	GSE22155_02	1
proteasome-mediated ubiquitin-dependent protein catabolic process	GSE22155_02	1
protein binding	GSE22155_02	1
protein catabolic process	GSE22155_02	1
protein lipidation	GSE22155_02	0
protein metabolic process	GSE22155_02	1
protein modification by small protein conjugation	GSE22155_02	1
protein modification process	GSE22155_02	1
protein ubiquitination	GSE22155_02	0
proteolysis involved in protein catabolic process	GSE22155_02	1
rectum	GSE22155_02	1
rectum; glandular cells[≥Low]	GSE22155_02	1
rectum; glandular cells[≥Medium]	GSE22155_02	1
rectum; glandular cells[High]	GSE22155_02	1
regulation of amide metabolic process	GSE22155_02	1
regulation of catabolic process	GSE22155_02	1
regulation of cellular catabolic process	GSE22155_02	1
regulation of nitrogen compound metabolic process	GSE22155_02	1
regulation of nucleobase-containing compound metabolic process	GSE22155_02	0
regulation of primary metabolic process	GSE22155_02	1
regulation of protein metabolic process	GSE22155_02	1
regulation of RNA metabolic process	GSE22155_02	0
regulation of RNA splicing	GSE22155_02	1
regulation of translation	GSE22155_02	0
ribosome binding	GSE22155_02	0
ribosome biogenesis	GSE22155_02	1
RNA localization	GSE22155_02	0
salivary gland	GSE22155_02	1
salivary gland; glandular cells[≥Low]	GSE22155_02	1
salivary gland; glandular cells[≥Medium]	GSE22155_02	1
seminal vesicle	GSE22155_02	1
seminal vesicle; glandular cells[≥Low]	GSE22155_02	1
seminal vesicle; glandular cells[≥Medium]	GSE22155_02	1
skeletal muscle	GSE22155_02	1
skeletal muscle; myocytes[≥Low]	GSE22155_02	1
skeletal muscle; myocytes[≥Medium]	GSE22155_02	1
skin 1	GSE22155_02	1
skin 1; cells in basal layer[≥Low]	GSE22155_02	1
skin 1; eccrine glands[≥Low]	GSE22155_02	1
skin 1; endothelial cells[≥Low]	GSE22155_02	1
skin 1; fibroblasts[≥Low]	GSE22155_02	1
skin 1; fibroblasts[≥Medium]	GSE22155_02	1
skin 1; keratinocytes[≥Low]	GSE22155_02	1
skin 1; keratinocytes[≥Medium]	GSE22155_02	1
skin 1; langerhans cells[≥Low]	GSE22155_02	1
skin 1; Langerhans[≥Low]	GSE22155_02	1
skin 1; melanocytes[≥Low]	GSE22155_02	1
skin 1; melanocytes[≥Medium]	GSE22155_02	1
skin 2	GSE22155_02	1
skin 2; cells in basal layer[≥Low]	GSE22155_02	1
skin 2; endothelial cells[≥Low]	GSE22155_02	1
skin 2; epidermal cells[≥Low]	GSE22155_02	1
skin 2; epidermal cells[≥Medium]	GSE22155_02	1
skin 2; hair follicles[≥Medium]	GSE22155_02	0
skin 2; melanocytes[≥Low]	GSE22155_02	1
skin 2; melanocytes[≥Medium]	GSE22155_02	1
skin 2; melanocytes[High]	GSE22155_02	1
small intestine	GSE22155_02	1
small intestine; glandular cells[≥Low]	GSE22155_02	1
small intestine; glandular cells[≥Medium]	GSE22155_02	1
small molecule metabolic process	GSE22155_02	1
smooth muscle	GSE22155_02	1
smooth muscle; smooth muscle cells[≥Low]	GSE22155_02	1
smooth muscle; smooth muscle cells[≥Medium]	GSE22155_02	1
soft tissue 1	GSE22155_02	1
soft tissue 1; fibroblasts[≥Low]	GSE22155_02	1
soft tissue 1; fibroblasts[≥Medium]	GSE22155_02	0
soft tissue 1; peripheral nerve[≥Low]	GSE22155_02	1
soft tissue 1; peripheral nerve[≥Medium]	GSE22155_02	1
soft tissue 2	GSE22155_02	1
soft tissue 2; fibroblasts[≥Low]	GSE22155_02	1
soft tissue 2; fibroblasts[≥Medium]	GSE22155_02	1
soft tissue 2; fibroblasts[High]	GSE22155_02	0
spleen	GSE22155_02	1
spleen; cells in red pulp[≥Low]	GSE22155_02	1
spleen; cells in white pulp[≥Low]	GSE22155_02	1
stomach 1	GSE22155_02	1
stomach 1; glandular cells[≥Low]	GSE22155_02	1
stomach 1; glandular cells[≥Medium]	GSE22155_02	1
stomach 1; glandular cells[High]	GSE22155_02	1
stomach 2	GSE22155_02	1
stomach 2; glandular cells[≥Low]	GSE22155_02	1
stomach 2; glandular cells[≥Medium]	GSE22155_02	1
stomach 2; glandular cells[High]	GSE22155_02	1
testis	GSE22155_02	1
testis; cells in seminiferous ducts[≥Low]	GSE22155_02	1
testis; cells in seminiferous ducts[≥Medium]	GSE22155_02	1
testis; Leydig cells[≥Low]	GSE22155_02	1
testis; Leydig cells[≥Medium]	GSE22155_02	1
testis; Leydig cells[High]	GSE22155_02	1
testis; sertoli cells[≥Low]	GSE22155_02	1
testis; sertoli cells[≥Medium]	GSE22155_02	1
thyroid gland	GSE22155_02	1
thyroid gland; glandular cells[≥Low]	GSE22155_02	1
thyroid gland; glandular cells[≥Medium]	GSE22155_02	1
tonsil	GSE22155_02	1
tonsil; germinal center cells[≥Low]	GSE22155_02	1
tonsil; germinal center cells[≥Medium]	GSE22155_02	1
tonsil; non-germinal center cells[≥Low]	GSE22155_02	1
tonsil; non-germinal center cells[≥Medium]	GSE22155_02	1
tonsil; squamous epithelial cells[≥Low]	GSE22155_02	1
tonsil; squamous epithelial cells[≥Medium]	GSE22155_02	1
transferase activity	GSE22155_02	1
transferase complex	GSE22155_02	1
translation	GSE22155_02	1
ubiquitin-dependent protein catabolic process	GSE22155_02	1
urinary bladder	GSE22155_02	1
urinary bladder; urothelial cells[≥Low]	GSE22155_02	1
urinary bladder; urothelial cells[≥Medium]	GSE22155_02	1
vacuolar membrane	GSE22155_02	1
vacuole	GSE22155_02	1
vacuole organization	GSE22155_02	1
vagina	GSE22155_02	1
vagina; squamous epithelial cells[≥Low]	GSE22155_02	1
vagina; squamous epithelial cells[≥Medium]	GSE22155_02	1
vesicle	GSE22155_02	1
X-linked inheritance	GSE22155_02	1
X-linked recessive inheritance	GSE22155_02	1
Abnormal muscle physiology	GSE22155_47	1
Abnormal nervous system physiology	GSE22155_47	1
Abnormality of mental function	GSE22155_47	0
Abnormality of the nervous system	GSE22155_47	1
acyltransferase activity	GSE22155_47	1
adipose tissue	GSE22155_47	1
adipose tissue; adipocytes[≥Low]	GSE22155_47	1
adipose tissue; adipocytes[≥Medium]	GSE22155_47	1
adrenal gland	GSE22155_47	1
adrenal gland; glandular cells[≥Low]	GSE22155_47	1
adrenal gland; glandular cells[≥Medium]	GSE22155_47	1
adrenal gland; glandular cells[High]	GSE22155_47	1
amide biosynthetic process	GSE22155_47	1
amide metabolic process	GSE22155_47	1
appendix	GSE22155_47	1
appendix; glandular cells[≥Low]	GSE22155_47	1
appendix; glandular cells[≥Medium]	GSE22155_47	1
appendix; lymphoid tissue[≥Low]	GSE22155_47	1
appendix; lymphoid tissue[≥Medium]	GSE22155_47	1
Asparagine N-linked glycosylation	GSE22155_47	1
autophagy	GSE22155_47	1
basal RNA polymerase II transcription machinery binding	GSE22155_47	0
basal transcription machinery binding	GSE22155_47	0
binding	GSE22155_47	1
bone marrow	GSE22155_47	1
bone marrow; hematopoietic cells[≥Low]	GSE22155_47	1
bounding membrane of organelle	GSE22155_47	1
breast	GSE22155_47	1
breast; adipocytes[≥Low]	GSE22155_47	1
breast; adipocytes[≥Medium]	GSE22155_47	1
breast; glandular cells[≥Low]	GSE22155_47	1
breast; glandular cells[≥Medium]	GSE22155_47	1
breast; myoepithelial cells[≥Low]	GSE22155_47	1
breast; myoepithelial cells[≥Medium]	GSE22155_47	1
bronchus	GSE22155_47	1
bronchus; respiratory epithelial cells[≥Low]	GSE22155_47	1
bronchus; respiratory epithelial cells[≥Medium]	GSE22155_47	1
catabolic process	GSE22155_47	1
catalytic activity	GSE22155_47	1
catalytic complex	GSE22155_47	1
caudate	GSE22155_47	1
caudate; glial cells[≥Low]	GSE22155_47	1
caudate; neuronal cells[≥Low]	GSE22155_47	1
caudate; neuronal cells[≥Medium]	GSE22155_47	1
cell cycle	GSE22155_47	1
cellular catabolic process	GSE22155_47	1
cellular lipid metabolic process	GSE22155_47	0
cellular nitrogen compound biosynthetic process	GSE22155_47	1
cellular response to stress	GSE22155_47	1
cerebellum	GSE22155_47	1
cerebellum; cells in granular layer[≥Low]	GSE22155_47	1
cerebellum; cells in granular layer[≥Medium]	GSE22155_47	1
cerebellum; cells in molecular layer[≥Low]	GSE22155_47	1
cerebellum; cells in molecular layer[≥Medium]	GSE22155_47	1
cerebellum; Purkinje cells[≥Low]	GSE22155_47	1
cerebellum; Purkinje cells[≥Medium]	GSE22155_47	1
cerebellum; Purkinje cells[High]	GSE22155_47	1
cerebral cortex	GSE22155_47	1
cerebral cortex; endothelial cells[≥Low]	GSE22155_47	1
cerebral cortex; endothelial cells[≥Medium]	GSE22155_47	0
cerebral cortex; glial cells[≥Low]	GSE22155_47	1
cerebral cortex; neuronal cells[≥Low]	GSE22155_47	1
