Var1	Var2	Freq
anatomical structure development	GSE22155_02	1
anatomical structure formation involved in morphogenesis	GSE22155_02	1
anatomical structure morphogenesis	GSE22155_02	1
angiogenesis	GSE22155_02	1
animal organ development	GSE22155_02	1
apoptotic process	GSE22155_02	1
appendage development	GSE22155_02	1
appendage morphogenesis	GSE22155_02	1
Arachidonic acid AA ARA oxylipin metabolism	GSE22155_02	1
asymmetric synapse	GSE22155_02	1
biological regulation	GSE22155_02	1
blood vessel development	GSE22155_02	1
blood vessel morphogenesis	GSE22155_02	1
cell activation	GSE22155_02	1
cell adhesion	GSE22155_02	1
cell communication	GSE22155_02	1
cell death	GSE22155_02	1
cell development	GSE22155_02	1
cell differentiation	GSE22155_02	1
cell junction	GSE22155_02	1
cell junction organization	GSE22155_02	1
cell migration	GSE22155_02	1
cell morphogenesis	GSE22155_02	1
cell motility	GSE22155_02	1
cell periphery	GSE22155_02	1
cell population proliferation	GSE22155_02	1
cell projection morphogenesis	GSE22155_02	0
cell surface receptor signaling pathway	GSE22155_02	1
cell-cell adhesion	GSE22155_02	1
cellular anatomical entity morphogenesis	GSE22155_02	1
cellular developmental process	GSE22155_02	1
cellular response to stimulus	GSE22155_02	1
cellular response to type II interferon	GSE22155_02	0
central nervous system development	GSE22155_02	0
CIN85-SH3GL3 complex	GSE22155_02	1
circulatory system development	GSE22155_02	1
collagen-containing extracellular matrix	GSE22155_02	1
cytokine binding	GSE22155_02	1
cytoplasm	GSE22155_02	0
cytoplasmic vesicle	GSE22155_02	1
developmental process	GSE22155_02	1
embryonic appendage morphogenesis	GSE22155_02	1
embryonic limb morphogenesis	GSE22155_02	1
endocytosis	GSE22155_02	1
endomembrane system	GSE22155_02	0
endometrium	GSE22155_02	0
endoplasmic reticulum	GSE22155_02	0
external encapsulating structure	GSE22155_02	1
extracellular matrix	GSE22155_02	1
extracellular region	GSE22155_02	1
extracellular space	GSE22155_02	0
Familial partial lipodystrophy	GSE22155_02	0
fatty acid binding	GSE22155_02	0
generation of neurons	GSE22155_02	1
glutamatergic synapse	GSE22155_02	1
glycosaminoglycan binding	GSE22155_02	1
heparin binding	GSE22155_02	1
intracellular vesicle	GSE22155_02	1
limb development	GSE22155_02	1
limb morphogenesis	GSE22155_02	1
locomotion	GSE22155_02	1
modulation of chemical synaptic transmission	GSE22155_02	0
monocarboxylic acid binding	GSE22155_02	0
multicellular organism development	GSE22155_02	1
multicellular organismal process	GSE22155_02	1
muscle cell proliferation	GSE22155_02	0
negative regulation of biological process	GSE22155_02	1
negative regulation of cell migration	GSE22155_02	1
negative regulation of cell motility	GSE22155_02	1
negative regulation of cell population proliferation	GSE22155_02	1
negative regulation of cellular component organization	GSE22155_02	0
negative regulation of cellular process	GSE22155_02	1
negative regulation of developmental process	GSE22155_02	0
negative regulation of hemostasis	GSE22155_02	0
negative regulation of locomotion	GSE22155_02	0
negative regulation of response to stimulus	GSE22155_02	0
negative regulation of smooth muscle cell proliferation	GSE22155_02	1
nervous system development	GSE22155_02	1
neurogenesis	GSE22155_02	1
neuron development	GSE22155_02	0
neuron differentiation	GSE22155_02	1
neuron projection development	GSE22155_02	1
olefinic compound metabolic process	GSE22155_02	0
ossification	GSE22155_02	1
plasma membrane	GSE22155_02	1
plasma membrane region	GSE22155_02	0
positive regulation of biological process	GSE22155_02	1
positive regulation of cell communication	GSE22155_02	0
positive regulation of cellular component organization	GSE22155_02	1
positive regulation of cellular process	GSE22155_02	1
positive regulation of developmental process	GSE22155_02	1
positive regulation of inflammatory response	GSE22155_02	1
positive regulation of multicellular organismal process	GSE22155_02	1
positive regulation of response to external stimulus	GSE22155_02	1
positive regulation of response to stimulus	GSE22155_02	1
positive regulation of signal transduction	GSE22155_02	1
positive regulation of signaling	GSE22155_02	0
postsynapse	GSE22155_02	1
postsynaptic density	GSE22155_02	1
postsynaptic specialization	GSE22155_02	1
programmed cell death	GSE22155_02	1
Prostaglandin synthesis and regulation	GSE22155_02	0
protein binding	GSE22155_02	1
regulation of anatomical structure morphogenesis	GSE22155_02	1
regulation of angiogenesis	GSE22155_02	0
regulation of apoptotic process	GSE22155_02	1
regulation of biological process	GSE22155_02	1
regulation of biological quality	GSE22155_02	1
regulation of cell communication	GSE22155_02	1
regulation of cell migration	GSE22155_02	1
regulation of cell motility	GSE22155_02	1
