Var1	Var2	Freq
40S ribosomal subunit, cytoplasmic	GSE22155_02	2
60S ribosomal subunit, cytoplasmic	GSE22155_02	1
Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S	GSE22155_02	1
adenyl nucleotide binding	GSE22155_02	1
adenyl ribonucleotide binding	GSE22155_02	1
adipose tissue	GSE22155_02	1
adipose tissue; adipocytes[≥Low]	GSE22155_02	1
adipose tissue; adipocytes[≥Medium]	GSE22155_02	1
adrenal gland	GSE22155_02	1
adrenal gland; glandular cells[≥Low]	GSE22155_02	1
adrenal gland; glandular cells[≥Medium]	GSE22155_02	1
adrenal gland; glandular cells[High]	GSE22155_02	0
amide biosynthetic process	GSE22155_02	1
amide metabolic process	GSE22155_02	1
anatomical structure development	GSE22155_02	0
anchoring junction	GSE22155_02	1
Anemia of inadequate production	GSE22155_02	0
anion binding	GSE22155_02	1
apoptotic process	GSE22155_02	1
appendix	GSE22155_02	1
appendix; glandular cells[≥Low]	GSE22155_02	1
appendix; glandular cells[≥Medium]	GSE22155_02	1
appendix; lymphoid tissue[≥Low]	GSE22155_02	1
appendix; lymphoid tissue[≥Medium]	GSE22155_02	1
appendix; non-germinal center cells[≥Low]	GSE22155_02	0
aromatic compound biosynthetic process	GSE22155_02	1
aromatic compound catabolic process	GSE22155_02	1
ATP binding	GSE22155_02	1
ATP hydrolysis activity	GSE22155_02	1
ATP-dependent activity	GSE22155_02	0
ATP-dependent activity, acting on RNA	GSE22155_02	1
binding	GSE22155_02	1
biological regulation	GSE22155_02	1
bone marrow	GSE22155_02	1
bone marrow; hematopoietic cells[≥Low]	GSE22155_02	1
bone marrow; hematopoietic cells[≥Medium]	GSE22155_02	1
bone marrow; hematopoietic cells[High]	GSE22155_02	0
bounding membrane of organelle	GSE22155_02	0
breast	GSE22155_02	1
breast; adipocytes[≥Low]	GSE22155_02	1
breast; adipocytes[≥Medium]	GSE22155_02	1
breast; glandular cells[≥Low]	GSE22155_02	1
breast; glandular cells[≥Medium]	GSE22155_02	1
breast; glandular cells[High]	GSE22155_02	1
breast; myoepithelial cells[≥Low]	GSE22155_02	1
breast; myoepithelial cells[≥Medium]	GSE22155_02	1
bronchus	GSE22155_02	1
bronchus; respiratory epithelial cells[≥Low]	GSE22155_02	1
bronchus; respiratory epithelial cells[≥Medium]	GSE22155_02	1
bronchus; respiratory epithelial cells[High]	GSE22155_02	0
Cap-dependent Translation Initiation	GSE22155_02	1
carbohydrate derivative binding	GSE22155_02	1
catabolic process	GSE22155_02	1
catalytic activity	GSE22155_02	1
catalytic activity, acting on a nucleic acid	GSE22155_02	1
catalytic activity, acting on RNA	GSE22155_02	1
catalytic complex	GSE22155_02	1
catalytic step 2 spliceosome	GSE22155_02	0
caudate	GSE22155_02	1
caudate; glial cells[≥Low]	GSE22155_02	1
caudate; glial cells[High]	GSE22155_02	0
caudate; neuronal cells[≥Low]	GSE22155_02	1
caudate; neuronal cells[≥Medium]	GSE22155_02	1
caudate; neuronal cells[High]	GSE22155_02	0
cell cycle	GSE22155_02	1
cell cycle phase transition	GSE22155_02	1
cell cycle process	GSE22155_02	1
cell death	GSE22155_02	1
cell junction	GSE22155_02	1
cell-substrate junction	GSE22155_02	1
cellular anatomical entity	GSE22155_02	1
cellular catabolic process	GSE22155_02	1
cellular metabolic process	GSE22155_02	0
cellular nitrogen compound biosynthetic process	GSE22155_02	1
cellular nitrogen compound catabolic process	GSE22155_02	1
cellular nitrogen compound metabolic process	GSE22155_02	0
Cellular response to starvation	GSE22155_02	1
cellular response to stimulus	GSE22155_02	0
cellular response to stress	GSE22155_02	0
Cellular responses to stimuli	GSE22155_02	1
Cellular responses to stress	GSE22155_02	1
cerebellum	GSE22155_02	1
cerebellum; cells in granular layer[≥Low]	GSE22155_02	1
cerebellum; cells in granular layer[≥Medium]	GSE22155_02	1
cerebellum; cells in granular layer[High]	GSE22155_02	0
cerebellum; cells in molecular layer[≥Low]	GSE22155_02	1
cerebellum; cells in molecular layer[≥Medium]	GSE22155_02	1
cerebellum; cells in molecular layer[High]	GSE22155_02	1
cerebellum; Purkinje cells[≥Low]	GSE22155_02	1
cerebellum; Purkinje cells[≥Medium]	GSE22155_02	1
cerebellum; Purkinje cells[High]	GSE22155_02	1
cerebral cortex	GSE22155_02	1
cerebral cortex; endothelial cells[≥Low]	GSE22155_02	1
cerebral cortex; endothelial cells[≥Medium]	GSE22155_02	1
cerebral cortex; glial cells[≥Low]	GSE22155_02	1
cerebral cortex; glial cells[≥Medium]	GSE22155_02	0
cerebral cortex; neuronal cells[≥Low]	GSE22155_02	1
cerebral cortex; neuronal cells[≥Medium]	GSE22155_02	1
cerebral cortex; neuronal cells[High]	GSE22155_02	1
cervix	GSE22155_02	1
cervix; glandular cells[≥Low]	GSE22155_02	1
cervix; glandular cells[≥Medium]	GSE22155_02	1
cervix; squamous epithelial cells[≥Low]	GSE22155_02	1
cervix; squamous epithelial cells[≥Medium]	GSE22155_02	1
cervix; squamous epithelial cells[High]	GSE22155_02	1
CoA-transferase activity	GSE22155_02	1
colon	GSE22155_02	1
colon; endothelial cells[≥Low]	GSE22155_02	1
colon; endothelial cells[≥Medium]	GSE22155_02	1
colon; glandular cells[≥Low]	GSE22155_02	1
colon; glandular cells[≥Medium]	GSE22155_02	1
colon; glandular cells[High]	GSE22155_02	0
colon; mucosal lymphoid cells[≥Low]	GSE22155_02	0
colon; mucosal lymphoid cells[≥Medium]	GSE22155_02	0
colon; peripheral nerve/ganglion[≥Low]	GSE22155_02	1
colon; peripheral nerve/ganglion[≥Medium]	GSE22155_02	1
cytoplasm	GSE22155_02	1
Cytoplasmic ribosomal proteins	GSE22155_02	1
cytoplasmic translation	GSE22155_02	1
cytosol	GSE22155_02	1
cytosolic large ribosomal subunit	GSE22155_02	1
cytosolic ribosome	GSE22155_02	1
cytosolic small ribosomal subunit	GSE22155_02	1
death domain binding	GSE22155_02	0
developmental process	GSE22155_02	0
DNA binding	GSE22155_02	0
DNA-templated transcription	GSE22155_02	0
duodenum	GSE22155_02	1
duodenum; glandular cells[≥Low]	GSE22155_02	1
duodenum; glandular cells[≥Medium]	GSE22155_02	1
duodenum; glandular cells[High]	GSE22155_02	0
endometrium 1	GSE22155_02	1
endometrium 1; cells in endometrial stroma[≥Low]	GSE22155_02	1
endometrium 1; cells in endometrial stroma[≥Medium]	GSE22155_02	0
endometrium 1; glandular cells[≥Low]	GSE22155_02	1
endometrium 1; glandular cells[≥Medium]	GSE22155_02	1
endometrium 1; glandular cells[High]	GSE22155_02	0
endometrium 2	GSE22155_02	1
endometrium 2; cells in endometrial stroma[≥Low]	GSE22155_02	1
endometrium 2; cells in endometrial stroma[≥Medium]	GSE22155_02	1
endometrium 2; cells in endometrial stroma[High]	GSE22155_02	0
endometrium 2; glandular cells[≥Low]	GSE22155_02	1
endometrium 2; glandular cells[≥Medium]	GSE22155_02	1
endometrium 2; glandular cells[High]	GSE22155_02	1
envelope	GSE22155_02	1
enzyme binding	GSE22155_02	0
epididymis	GSE22155_02	1
epididymis; glandular cells[≥Low]	GSE22155_02	1
epididymis; glandular cells[≥Medium]	GSE22155_02	1
epididymis; glandular cells[High]	GSE22155_02	0
esophagus	GSE22155_02	1
esophagus; squamous epithelial cells[≥Low]	GSE22155_02	1
esophagus; squamous epithelial cells[≥Medium]	GSE22155_02	1
esophagus; squamous epithelial cells[High]	GSE22155_02	1
Eukaryotic Translation Elongation	GSE22155_02	1
Eukaryotic Translation Initiation	GSE22155_02	1
Eukaryotic Translation Termination	GSE22155_02	1
extracellular exosome	GSE22155_02	1
extracellular membrane-bounded organelle	GSE22155_02	1
extracellular organelle	GSE22155_02	1
extracellular vesicle	GSE22155_02	1
fallopian tube	GSE22155_02	1
fallopian tube; glandular cells[≥Low]	GSE22155_02	1
fallopian tube; glandular cells[≥Medium]	GSE22155_02	1
fallopian tube; glandular cells[High]	GSE22155_02	0
focal adhesion	GSE22155_02	1
Formation of a pool of free 40S subunits	GSE22155_02	1
Formation of the ternary complex, and subsequently, the 43S complex	GSE22155_02	1
gallbladder	GSE22155_02	1
gallbladder; glandular cells[≥Low]	GSE22155_02	1
gallbladder; glandular cells[≥Medium]	GSE22155_02	1
gallbladder; glandular cells[High]	GSE22155_02	1
GTP hydrolysis and joining of the 60S ribosomal subunit	GSE22155_02	1
heart muscle	GSE22155_02	1
heart muscle; cardiomyocytes[≥Low]	GSE22155_02	1
heart muscle; cardiomyocytes[≥Medium]	GSE22155_02	1
helicase activity	GSE22155_02	1
heterocycle biosynthetic process	GSE22155_02	1
heterocycle catabolic process	GSE22155_02	1
heterocyclic compound binding	GSE22155_02	1
hippocampus	GSE22155_02	1
hippocampus; glial cells[≥Low]	GSE22155_02	1
