query	significant	p_value	term_size	query_size	intersection_size	precision	recall	term_id	source	term_name	effective_domain_size	source_order
GSE22155_02	TRUE	3.20211727424457e-09	12287	479	353	0.736951983298539	0.0287295515585578	GO:0050789	GO:BP	regulation of biological process	21031	13687
GSE22155_02	TRUE	7.15893404510107e-09	12680	479	360	0.751565762004175	0.028391167192429	GO:0065007	GO:BP	biological regulation	21031	16384
GSE22155_02	TRUE	3.3990914177951e-08	11738	479	338	0.705636743215031	0.0287953654796388	GO:0050794	GO:BP	regulation of cellular process	21031	13691
GSE22155_02	TRUE	1.82843123777338e-06	1512	479	73	0.152400835073069	0.0482804232804233	GO:0002682	GO:BP	regulation of immune system process	21031	1207
GSE22155_02	TRUE	1.98540077729973e-06	1988	479	88	0.183716075156576	0.0442655935613682	GO:0006955	GO:BP	immune response	21031	2617
GSE22155_02	TRUE	2.49878893267969e-06	881	479	51	0.106471816283925	0.05788876276958	GO:0050776	GO:BP	regulation of immune response	21031	13679
GSE22155_02	TRUE	3.03652649492442e-06	1054	479	57	0.118997912317328	0.0540796963946869	GO:0002684	GO:BP	positive regulation of immune system process	21031	1209
GSE22155_02	TRUE	5.64108038676523e-06	6631	479	212	0.44258872651357	0.0319710450912381	GO:0060255	GO:BP	regulation of macromolecule metabolic process	21031	14938
GSE22155_02	TRUE	7.71867187807651e-06	6250	479	202	0.421711899791232	0.03232	GO:0048518	GO:BP	positive regulation of biological process	21031	13226
GSE22155_02	TRUE	9.3644146688137e-06	7158	479	224	0.467640918580376	0.031293657446214	GO:0019222	GO:BP	regulation of metabolic process	21031	5789
GSE22155_02	TRUE	9.97290121662756e-06	8976	479	267	0.55741127348643	0.0297459893048128	GO:0050896	GO:BP	response to stimulus	21031	13774
GSE22155_02	TRUE	1.32052394305616e-05	2955	479	114	0.237995824634656	0.0385786802030457	GO:0051239	GO:BP	regulation of multicellular organismal process	21031	14037
GSE22155_02	TRUE	2.43356300443228e-05	2776	479	108	0.225469728601253	0.0389048991354467	GO:0002376	GO:BP	immune system process	21031	913
GSE22155_02	TRUE	5.24134467840666e-05	6673	479	209	0.436325678496868	0.0313202457665218	GO:0031323	GO:BP	regulation of cellular metabolic process	21031	7372
GSE22155_02	TRUE	6.08452869485135e-05	718	479	42	0.0876826722338205	0.0584958217270195	GO:0050778	GO:BP	positive regulation of immune response	21031	13681
GSE22155_02	TRUE	0.000101373175783244	5717	479	184	0.384133611691023	0.0321847122616757	GO:0048522	GO:BP	positive regulation of cellular process	21031	13230
GSE22155_02	TRUE	0.000125983811194371	6537	479	204	0.425887265135699	0.031206975676916	GO:0007154	GO:BP	cell communication	21031	2749
GSE22155_02	TRUE	0.000173510092694738	5440	479	176	0.367432150313152	0.0323529411764706	GO:0051171	GO:BP	regulation of nitrogen compound metabolic process	21031	13995
GSE22155_02	TRUE	0.000189426480986317	6447	479	201	0.419624217118998	0.031177291763611	GO:0023052	GO:BP	signaling	21031	6877
GSE22155_02	TRUE	0.000277281632221304	1512	479	67	0.139874739039666	0.0443121693121693	GO:0007155	GO:BP	cell adhesion	21031	2750
GSE22155_02	TRUE	0.000278880870909392	1971	479	81	0.169102296450939	0.0410958904109589	GO:0071310	GO:BP	cellular response to organic substance	21031	17066
GSE22155_02	TRUE	0.000356023279476163	2637	479	100	0.208768267223382	0.0379218809252939	GO:0010033	GO:BP	response to organic substance	21031	3883
GSE22155_02	TRUE	0.000362139899643865	5813	479	184	0.384133611691023	0.0316531911233442	GO:0009889	GO:BP	regulation of biosynthetic process	21031	3787
GSE22155_02	TRUE	0.000401244107124326	5781	479	183	0.382045929018789	0.0316554229372081	GO:0031326	GO:BP	regulation of cellular biosynthetic process	21031	7375
GSE22155_02	TRUE	0.000700981286525963	7669	479	228	0.475991649269311	0.0297300821489112	GO:0032501	GO:BP	multicellular organismal process	21031	7883
GSE22155_02	TRUE	0.000753976054402049	5591	479	177	0.369519832985386	0.0316580218207834	GO:0080090	GO:BP	regulation of primary metabolic process	21031	18320
GSE22155_02	TRUE	0.000755401729911083	250	479	21	0.0438413361169102	0.084	GO:0002699	GO:BP	positive regulation of immune effector process	21031	1224
GSE22155_02	TRUE	0.000897841808651218	492	479	31	0.0647181628392484	0.0630081300813008	GO:0002764	GO:BP	immune response-regulating signaling pathway	21031	1282
GSE22155_02	TRUE	0.000907373342257194	5526	479	175	0.365344467640919	0.0316684762938835	GO:0010468	GO:BP	regulation of gene expression	21031	4208
