Var1	Var2	Freq
Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3	GSE22155_02	1
Activation of anterior HOX genes in hindbrain development during early embryogenesis	GSE22155_02	1
Activation of HOX genes during differentiation	GSE22155_02	1
activation of immune response	GSE22155_02	1
Amyloid fiber formation	GSE22155_02	1
antigen receptor-mediated signaling pathway	GSE22155_02	1
aromatic compound biosynthetic process	GSE22155_02	1
Assembly of the ORC complex at the origin of replication	GSE22155_02	1
B-WICH complex positively regulates rRNA expression	GSE22155_02	1
biological process involved in interspecies interaction between organisms	GSE22155_02	0
biological regulation	GSE22155_02	1
bone marrow	GSE22155_02	1
bone marrow; hematopoietic cells[≥Low]	GSE22155_02	1
bone marrow; hematopoietic cells[≥Medium]	GSE22155_02	1
cell activation	GSE22155_02	1
cell activation involved in immune response	GSE22155_02	1
cell adhesion	GSE22155_02	1
cell communication	GSE22155_02	1
cell periphery	GSE22155_02	1
cell population proliferation	GSE22155_02	1
cell-cell adhesion	GSE22155_02	1
cellular nitrogen compound biosynthetic process	GSE22155_02	0
cellular response to chemical stimulus	GSE22155_02	1
cellular response to cytokine stimulus	GSE22155_02	1
cellular response to organic substance	GSE22155_02	1
cellular response to oxygen-containing compound	GSE22155_02	0
cellular response to stimulus	GSE22155_02	1
chromatin	GSE22155_02	1
Chromatin modifying enzymes	GSE22155_02	1
Chromatin organization	GSE22155_02	1
Cleavage of the damaged purine	GSE22155_02	0
Condensation of Prophase Chromosomes	GSE22155_02	1
cytokine production	GSE22155_02	1
Defective pyroptosis	GSE22155_02	1
defense response	GSE22155_02	1
defense response to other organism	GSE22155_02	0
defense response to symbiont	GSE22155_02	1
Deposition of new CENPA-containing nucleosomes at the centromere	GSE22155_02	1
Depurination	GSE22155_02	0
Diseases of programmed cell death	GSE22155_02	1
DNA methylation	GSE22155_02	1
DNA-templated transcription	GSE22155_02	1
endometrium; lymphocytes[≥Low]	GSE22155_02	1
endometrium; lymphocytes[≥Medium]	GSE22155_02	1
Epigenetic regulation of gene expression	GSE22155_02	0
ERCC6 (CSB) and EHMT2 (G9a) positively regulate rRNA expression	GSE22155_02	1
Estrogen-dependent gene expression	GSE22155_02	1
Formation of the beta-catenin:TCF transactivating complex	GSE22155_02	1
Gene Silencing by RNA	GSE22155_02	1
GTPase activity	GSE22155_02	0
HATs acetylate histones	GSE22155_02	1
HCMV Early Events	GSE22155_02	1
HCMV Infection	GSE22155_02	1
HCMV Late Events	GSE22155_02	1
HDACs deacetylate histones	GSE22155_02	1
heterocycle biosynthetic process	GSE22155_02	1
immune response	GSE22155_02	1
immune response-activating cell surface receptor signaling pathway	GSE22155_02	1
immune response-activating signaling pathway	GSE22155_02	1
immune response-regulating cell surface receptor signaling pathway	GSE22155_02	1
immune response-regulating signaling pathway	GSE22155_02	1
immune system process	GSE22155_02	1
immunological synapse	GSE22155_02	0
inflammatory response	GSE22155_02	1
innate immune response	GSE22155_02	1
interleukin-2 production	GSE22155_02	0
intracellular signal transduction	GSE22155_02	1
intracellular signaling cassette	GSE22155_02	1
leukocyte activation	GSE22155_02	1
leukocyte activation involved in immune response	GSE22155_02	1
leukocyte cell-cell adhesion	GSE22155_02	1
leukocyte proliferation	GSE22155_02	0
lung; alveolar cells[≥Medium]	GSE22155_02	0
lymph node	GSE22155_02	1
lymph node; germinal center cells[≥Medium]	GSE22155_02	0
lymph node; non-germinal center cells[≥Low]	GSE22155_02	1
lymph node; non-germinal center cells[≥Medium]	GSE22155_02	1
lymphocyte activation	GSE22155_02	1
Meiosis	GSE22155_02	1
Meiotic recombination	GSE22155_02	1
Meiotic synapsis	GSE22155_02	1
membrane	GSE22155_02	0
Mitotic Prophase	GSE22155_02	1
multicellular organismal process	GSE22155_02	1
negative regulation of response to stimulus	GSE22155_02	0
NoRC negatively regulates rRNA expression	GSE22155_02	0
nucleobase-containing compound biosynthetic process	GSE22155_02	1
nucleosome	GSE22155_02	1
Nucleosome assembly	GSE22155_02	1
organic cyclic compound biosynthetic process	GSE22155_02	1
Packaging Of Telomere Ends	GSE22155_02	1
peptidyl-tyrosine modification	GSE22155_02	1
peptidyl-tyrosine phosphorylation	GSE22155_02	1
phosphatidylinositol 3-kinase/protein kinase B signal transduction	GSE22155_02	1
plasma membrane	GSE22155_02	0
Positive epigenetic regulation of rRNA expression	GSE22155_02	1
positive regulation of alpha-beta T cell activation	GSE22155_02	0
positive regulation of biological process	GSE22155_02	1
positive regulation of biosynthetic process	GSE22155_02	1
positive regulation of cell activation	GSE22155_02	1
positive regulation of cell adhesion	GSE22155_02	1
positive regulation of cell communication	GSE22155_02	0
positive regulation of cell-cell adhesion	GSE22155_02	1
positive regulation of cellular biosynthetic process	GSE22155_02	1
positive regulation of cellular metabolic process	GSE22155_02	1
positive regulation of cellular process	GSE22155_02	1
positive regulation of cytokine production	GSE22155_02	1
positive regulation of gene expression	GSE22155_02	1
positive regulation of immune effector process	GSE22155_02	1
positive regulation of immune response	GSE22155_02	1
positive regulation of immune system process	GSE22155_02	1
positive regulation of interleukin-2 production	GSE22155_02	0
positive regulation of intracellular signal transduction	GSE22155_02	0
positive regulation of leukocyte activation	GSE22155_02	0
positive regulation of leukocyte cell-cell adhesion	GSE22155_02	1
positive regulation of lymphocyte activation	GSE22155_02	0
positive regulation of macromolecule biosynthetic process	GSE22155_02	1
positive regulation of macromolecule metabolic process	GSE22155_02	0
positive regulation of metabolic process	GSE22155_02	1
positive regulation of multicellular organismal process	GSE22155_02	1
positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction	GSE22155_02	1
positive regulation of protein localization to nucleus	GSE22155_02	0
positive regulation of response to external stimulus	GSE22155_02	0
positive regulation of response to stimulus	GSE22155_02	1
positive regulation of signal transduction	GSE22155_02	0
positive regulation of signaling	GSE22155_02	0
positive regulation of T cell activation	GSE22155_02	1
PRC2 methylates histones and DNA	GSE22155_02	1
Pre-NOTCH Expression and Processing	GSE22155_02	1
Pre-NOTCH Transcription and Translation	GSE22155_02	1
protein binding	GSE22155_02	1
protein dimerization activity	GSE22155_02	0
protein-DNA complex	GSE22155_02	1
Recognition and association of DNA glycosylase with site containing an affected purine	GSE22155_02	0
regulation of alpha-beta T cell activation	GSE22155_02	0
regulation of biological process	GSE22155_02	1
regulation of biosynthetic process	GSE22155_02	1
regulation of cell activation	GSE22155_02	1
regulation of cell adhesion	GSE22155_02	1
regulation of cell communication	GSE22155_02	1
regulation of cell population proliferation	GSE22155_02	1
regulation of cell-cell adhesion	GSE22155_02	0
regulation of cellular biosynthetic process	GSE22155_02	1
regulation of cellular metabolic process	GSE22155_02	1
regulation of cellular process	GSE22155_02	1
regulation of cytokine production	GSE22155_02	1
regulation of defense response	GSE22155_02	1
regulation of DNA-templated transcription	GSE22155_02	1
regulation of gene expression	GSE22155_02	1
regulation of immune effector process	GSE22155_02	1
regulation of immune response	GSE22155_02	1
regulation of immune system process	GSE22155_02	1
regulation of innate immune response	GSE22155_02	1
regulation of interleukin-2 production	GSE22155_02	0
regulation of intracellular signal transduction	GSE22155_02	0
regulation of leukocyte activation	GSE22155_02	1
regulation of leukocyte cell-cell adhesion	GSE22155_02	0
regulation of leukocyte mediated immunity	GSE22155_02	1
regulation of lymphocyte activation	GSE22155_02	1
regulation of macromolecule biosynthetic process	GSE22155_02	1
regulation of macromolecule metabolic process	GSE22155_02	1
regulation of metabolic process	GSE22155_02	1
regulation of multicellular organismal process	GSE22155_02	1
regulation of nitrogen compound metabolic process	GSE22155_02	1
regulation of nucleobase-containing compound metabolic process	GSE22155_02	1
regulation of peptidyl-tyrosine phosphorylation	GSE22155_02	1
regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction	GSE22155_02	1
regulation of primary metabolic process	GSE22155_02	1
regulation of programmed cell death	GSE22155_02	0
regulation of response to biotic stimulus	GSE22155_02	1
regulation of response to external stimulus	GSE22155_02	1
regulation of response to stimulus	GSE22155_02	1
regulation of RNA biosynthetic process	GSE22155_02	1
regulation of RNA metabolic process	GSE22155_02	1
regulation of signal transduction	GSE22155_02	1
regulation of signaling	GSE22155_02	1
regulation of T cell activation	GSE22155_02	1
Reproduction	GSE22155_02	0
response to biotic stimulus	GSE22155_02	1
response to chemical	GSE22155_02	1
response to cytokine	GSE22155_02	1
response to external biotic stimulus	GSE22155_02	1
response to external stimulus	GSE22155_02	1
response to organic substance	GSE22155_02	1
response to other organism	GSE22155_02	1
response to stimulus	GSE22155_02	1
response to stress	GSE22155_02	0
RHO GTPases activate PKNs	GSE22155_02	1
RMTs methylate histone arginines	GSE22155_02	1
RNA biosynthetic process	GSE22155_02	1
RNA Polymerase I Promoter Clearance	GSE22155_02	1
RNA Polymerase I Promoter Escape	GSE22155_02	1
RNA Polymerase I Promoter Opening	GSE22155_02	1
RNA Polymerase I Transcription	GSE22155_02	1
RUNX1 regulates genes involved in megakaryocyte differentiation and platelet function	GSE22155_02	1
Senescence-Associated Secretory Phenotype (SASP)	GSE22155_02	1
signal transduction	GSE22155_02	1
signaling	GSE22155_02	1
SIRT1 negatively regulates rRNA expression	GSE22155_02	1
spleen	GSE22155_02	1
spleen; cells in red pulp[≥Low]	GSE22155_02	1
spleen; cells in red pulp[≥Medium]	GSE22155_02	1
structural constituent of chromatin	GSE22155_02	1
T cell activation	GSE22155_02	1
T cell activation SARS CoV 2	GSE22155_02	0
tonsil; non-germinal center cells[≥Medium]	GSE22155_02	1
Transcriptional regulation by small RNAs	GSE22155_02	1
Transcriptional regulation of granulopoiesis	GSE22155_02	1
Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3	GSE22155_47	1
Activation of anterior HOX genes in hindbrain development during early embryogenesis	GSE22155_47	1
Activation of HOX genes during differentiation	GSE22155_47	1
activation of immune response	GSE22155_47	0
Amyloid fiber formation	GSE22155_47	0
antigen receptor-mediated signaling pathway	GSE22155_47	1
aromatic compound biosynthetic process	GSE22155_47	1
Assembly of the ORC complex at the origin of replication	GSE22155_47	1
B-WICH complex positively regulates rRNA expression	GSE22155_47	1
biological process involved in interspecies interaction between organisms	GSE22155_47	1
biological regulation	GSE22155_47	1
bone marrow	GSE22155_47	1
bone marrow; hematopoietic cells[≥Low]	GSE22155_47	1
bone marrow; hematopoietic cells[≥Medium]	GSE22155_47	1
cell activation	GSE22155_47	1
cell activation involved in immune response	GSE22155_47	1
cell adhesion	GSE22155_47	1
cell communication	GSE22155_47	1
cell periphery	GSE22155_47	1
cell population proliferation	GSE22155_47	1
cell-cell adhesion	GSE22155_47	1
cellular nitrogen compound biosynthetic process	GSE22155_47	1
cellular response to chemical stimulus	GSE22155_47	1
cellular response to cytokine stimulus	GSE22155_47	0
cellular response to organic substance	GSE22155_47	1
cellular response to oxygen-containing compound	GSE22155_47	1
cellular response to stimulus	GSE22155_47	1
chromatin	GSE22155_47	1
Chromatin modifying enzymes	GSE22155_47	1
Chromatin organization	GSE22155_47	1
Cleavage of the damaged purine	GSE22155_47	0
Condensation of Prophase Chromosomes	GSE22155_47	1
cytokine production	GSE22155_47	1
Defective pyroptosis	GSE22155_47	1
defense response	GSE22155_47	1
defense response to other organism	GSE22155_47	1
defense response to symbiont	GSE22155_47	1
Deposition of new CENPA-containing nucleosomes at the centromere	GSE22155_47	1
Depurination	GSE22155_47	0
Diseases of programmed cell death	GSE22155_47	1
DNA methylation	GSE22155_47	1
DNA-templated transcription	GSE22155_47	1
endometrium; lymphocytes[≥Low]	GSE22155_47	0
endometrium; lymphocytes[≥Medium]	GSE22155_47	0
Epigenetic regulation of gene expression	GSE22155_47	0
ERCC6 (CSB) and EHMT2 (G9a) positively regulate rRNA expression	GSE22155_47	1
Estrogen-dependent gene expression	GSE22155_47	0
Formation of the beta-catenin:TCF transactivating complex	GSE22155_47	1
Gene Silencing by RNA	GSE22155_47	1
GTPase activity	GSE22155_47	1
HATs acetylate histones	GSE22155_47	1
HCMV Early Events	GSE22155_47	1
HCMV Infection	GSE22155_47	1
HCMV Late Events	GSE22155_47	1
HDACs deacetylate histones	GSE22155_47	1
heterocycle biosynthetic process	GSE22155_47	1
immune response	GSE22155_47	1
immune response-activating cell surface receptor signaling pathway	GSE22155_47	1
immune response-activating signaling pathway	GSE22155_47	1
immune response-regulating cell surface receptor signaling pathway	GSE22155_47	1
immune response-regulating signaling pathway	GSE22155_47	1
immune system process	GSE22155_47	1
immunological synapse	GSE22155_47	1
inflammatory response	GSE22155_47	1
innate immune response	GSE22155_47	1
interleukin-2 production	GSE22155_47	0
intracellular signal transduction	GSE22155_47	1
intracellular signaling cassette	GSE22155_47	1
leukocyte activation	GSE22155_47	1
leukocyte activation involved in immune response	GSE22155_47	1
leukocyte cell-cell adhesion	GSE22155_47	1
leukocyte proliferation	GSE22155_47	0
lung; alveolar cells[≥Medium]	GSE22155_47	1
lymph node	GSE22155_47	1
lymph node; germinal center cells[≥Medium]	GSE22155_47	1
lymph node; non-germinal center cells[≥Low]	GSE22155_47	1
lymph node; non-germinal center cells[≥Medium]	GSE22155_47	1
lymphocyte activation	GSE22155_47	1
Meiosis	GSE22155_47	1
Meiotic recombination	GSE22155_47	1
Meiotic synapsis	GSE22155_47	1
membrane	GSE22155_47	1
Mitotic Prophase	GSE22155_47	0
multicellular organismal process	GSE22155_47	1
negative regulation of response to stimulus	GSE22155_47	1
NoRC negatively regulates rRNA expression	GSE22155_47	0
nucleobase-containing compound biosynthetic process	GSE22155_47	1
nucleosome	GSE22155_47	1
Nucleosome assembly	GSE22155_47	1
organic cyclic compound biosynthetic process	GSE22155_47	1
Packaging Of Telomere Ends	GSE22155_47	0
peptidyl-tyrosine modification	GSE22155_47	1
peptidyl-tyrosine phosphorylation	GSE22155_47	1
phosphatidylinositol 3-kinase/protein kinase B signal transduction	GSE22155_47	1
plasma membrane	GSE22155_47	1
Positive epigenetic regulation of rRNA expression	GSE22155_47	1
positive regulation of alpha-beta T cell activation	GSE22155_47	1
positive regulation of biological process	GSE22155_47	1
positive regulation of biosynthetic process	GSE22155_47	1
positive regulation of cell activation	GSE22155_47	1
positive regulation of cell adhesion	GSE22155_47	1
positive regulation of cell communication	GSE22155_47	1
positive regulation of cell-cell adhesion	GSE22155_47	1
positive regulation of cellular biosynthetic process	GSE22155_47	1
positive regulation of cellular metabolic process	GSE22155_47	1
positive regulation of cellular process	GSE22155_47	1
positive regulation of cytokine production	GSE22155_47	1
positive regulation of gene expression	GSE22155_47	1
positive regulation of immune effector process	GSE22155_47	1
positive regulation of immune response	GSE22155_47	1
positive regulation of immune system process	GSE22155_47	1
positive regulation of interleukin-2 production	GSE22155_47	1
positive regulation of intracellular signal transduction	GSE22155_47	0
positive regulation of leukocyte activation	GSE22155_47	0
positive regulation of leukocyte cell-cell adhesion	GSE22155_47	1
positive regulation of lymphocyte activation	GSE22155_47	1
positive regulation of macromolecule biosynthetic process	GSE22155_47	1
positive regulation of macromolecule metabolic process	GSE22155_47	1
positive regulation of metabolic process	GSE22155_47	1
positive regulation of multicellular organismal process	GSE22155_47	1
positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction	GSE22155_47	1
positive regulation of protein localization to nucleus	GSE22155_47	1
positive regulation of response to external stimulus	GSE22155_47	0
positive regulation of response to stimulus	GSE22155_47	1
positive regulation of signal transduction	GSE22155_47	1
positive regulation of signaling	GSE22155_47	1
positive regulation of T cell activation	GSE22155_47	1
PRC2 methylates histones and DNA	GSE22155_47	1
Pre-NOTCH Expression and Processing	GSE22155_47	1
Pre-NOTCH Transcription and Translation	GSE22155_47	1
protein binding	GSE22155_47	1
protein dimerization activity	GSE22155_47	0
protein-DNA complex	GSE22155_47	1
Recognition and association of DNA glycosylase with site containing an affected purine	GSE22155_47	0
regulation of alpha-beta T cell activation	GSE22155_47	0
regulation of biological process	GSE22155_47	1
regulation of biosynthetic process	GSE22155_47	1
regulation of cell activation	GSE22155_47	1
regulation of cell adhesion	GSE22155_47	1
regulation of cell communication	GSE22155_47	1
regulation of cell population proliferation	GSE22155_47	1
regulation of cell-cell adhesion	GSE22155_47	0
regulation of cellular biosynthetic process	GSE22155_47	1
regulation of cellular metabolic process	GSE22155_47	1
regulation of cellular process	GSE22155_47	1
regulation of cytokine production	GSE22155_47	1
regulation of defense response	GSE22155_47	1
regulation of DNA-templated transcription	GSE22155_47	1
regulation of gene expression	GSE22155_47	1
regulation of immune effector process	GSE22155_47	1
regulation of immune response	GSE22155_47	1
regulation of immune system process	GSE22155_47	1
regulation of innate immune response	GSE22155_47	1
regulation of interleukin-2 production	GSE22155_47	0
regulation of intracellular signal transduction	GSE22155_47	1
regulation of leukocyte activation	GSE22155_47	1
regulation of leukocyte cell-cell adhesion	GSE22155_47	1
regulation of leukocyte mediated immunity	GSE22155_47	1
regulation of lymphocyte activation	GSE22155_47	1
regulation of macromolecule biosynthetic process	GSE22155_47	1
regulation of macromolecule metabolic process	GSE22155_47	1
regulation of metabolic process	GSE22155_47	1
regulation of multicellular organismal process	GSE22155_47	1
regulation of nitrogen compound metabolic process	GSE22155_47	1
regulation of nucleobase-containing compound metabolic process	GSE22155_47	1
regulation of peptidyl-tyrosine phosphorylation	GSE22155_47	0
regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction	GSE22155_47	1
regulation of primary metabolic process	GSE22155_47	1
regulation of programmed cell death	GSE22155_47	0
regulation of response to biotic stimulus	GSE22155_47	0
regulation of response to external stimulus	GSE22155_47	1
regulation of response to stimulus	GSE22155_47	1
regulation of RNA biosynthetic process	GSE22155_47	1
regulation of RNA metabolic process	GSE22155_47	1
regulation of signal transduction	GSE22155_47	1
regulation of signaling	GSE22155_47	1
regulation of T cell activation	GSE22155_47	1
Reproduction	GSE22155_47	0
response to biotic stimulus	GSE22155_47	1
response to chemical	GSE22155_47	1
response to cytokine	GSE22155_47	1
response to external biotic stimulus	GSE22155_47	1
response to external stimulus	GSE22155_47	1
response to organic substance	GSE22155_47	1
response to other organism	GSE22155_47	1
response to stimulus	GSE22155_47	1
response to stress	GSE22155_47	1
RHO GTPases activate PKNs	GSE22155_47	0
RMTs methylate histone arginines	GSE22155_47	0
RNA biosynthetic process	GSE22155_47	1
RNA Polymerase I Promoter Clearance	GSE22155_47	1
RNA Polymerase I Promoter Escape	GSE22155_47	1
RNA Polymerase I Promoter Opening	GSE22155_47	1
RNA Polymerase I Transcription	GSE22155_47	1
RUNX1 regulates genes involved in megakaryocyte differentiation and platelet function	GSE22155_47	1
Senescence-Associated Secretory Phenotype (SASP)	GSE22155_47	0
signal transduction	GSE22155_47	1
signaling	GSE22155_47	1
SIRT1 negatively regulates rRNA expression	GSE22155_47	1
spleen	GSE22155_47	1
spleen; cells in red pulp[≥Low]	GSE22155_47	1
spleen; cells in red pulp[≥Medium]	GSE22155_47	1
structural constituent of chromatin	GSE22155_47	1
T cell activation	GSE22155_47	1
T cell activation SARS CoV 2	GSE22155_47	0
tonsil; non-germinal center cells[≥Medium]	GSE22155_47	1
Transcriptional regulation by small RNAs	GSE22155_47	1
Transcriptional regulation of granulopoiesis	GSE22155_47	1
Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3	GSE35640	1
Activation of anterior HOX genes in hindbrain development during early embryogenesis	GSE35640	1
Activation of HOX genes during differentiation	GSE35640	1
activation of immune response	GSE35640	1
Amyloid fiber formation	GSE35640	0
antigen receptor-mediated signaling pathway	GSE35640	1
aromatic compound biosynthetic process	GSE35640	1
Assembly of the ORC complex at the origin of replication	GSE35640	1
B-WICH complex positively regulates rRNA expression	GSE35640	0
biological process involved in interspecies interaction between organisms	GSE35640	1
biological regulation	GSE35640	1
bone marrow	GSE35640	1
bone marrow; hematopoietic cells[≥Low]	GSE35640	1
bone marrow; hematopoietic cells[≥Medium]	GSE35640	1
cell activation	GSE35640	1
cell activation involved in immune response	GSE35640	1
cell adhesion	GSE35640	1
cell communication	GSE35640	1
cell periphery	GSE35640	1
cell population proliferation	GSE35640	1
cell-cell adhesion	GSE35640	1
cellular nitrogen compound biosynthetic process	GSE35640	1
cellular response to chemical stimulus	GSE35640	1
cellular response to cytokine stimulus	GSE35640	0
cellular response to organic substance	GSE35640	1
cellular response to oxygen-containing compound	GSE35640	0
cellular response to stimulus	GSE35640	1
chromatin	GSE35640	0
Chromatin modifying enzymes	GSE35640	1
Chromatin organization	GSE35640	1
Cleavage of the damaged purine	GSE35640	0
Condensation of Prophase Chromosomes	GSE35640	1
cytokine production	GSE35640	1
Defective pyroptosis	GSE35640	1
defense response	GSE35640	1
defense response to other organism	GSE35640	1
defense response to symbiont	GSE35640	1
Deposition of new CENPA-containing nucleosomes at the centromere	GSE35640	1
Depurination	GSE35640	0
Diseases of programmed cell death	GSE35640	0
DNA methylation	GSE35640	1
DNA-templated transcription	GSE35640	1
endometrium; lymphocytes[≥Low]	GSE35640	1
endometrium; lymphocytes[≥Medium]	GSE35640	1
Epigenetic regulation of gene expression	GSE35640	0
ERCC6 (CSB) and EHMT2 (G9a) positively regulate rRNA expression	GSE35640	1
Estrogen-dependent gene expression	GSE35640	0
Formation of the beta-catenin:TCF transactivating complex	GSE35640	1
Gene Silencing by RNA	GSE35640	1
GTPase activity	GSE35640	0
HATs acetylate histones	GSE35640	1
HCMV Early Events	GSE35640	1
HCMV Infection	GSE35640	0
HCMV Late Events	GSE35640	0
HDACs deacetylate histones	GSE35640	1
heterocycle biosynthetic process	GSE35640	1
immune response	GSE35640	1
immune response-activating cell surface receptor signaling pathway	GSE35640	1
immune response-activating signaling pathway	GSE35640	1
