GO.ID	Description	p.Val	FDR	Phenotype	Genes
GO:0065007	biological regulation	1.85713293086517e-08	1.85713293086517e-08	+1	527
GO:0050794	regulation of cellular process	2.06356126917149e-08	2.06356126917149e-08	+1	496
GO:0050789	regulation of biological process	6.24796820846297e-08	6.24796820846297e-08	+1	512
GO:0023052	signaling	5.06819939807797e-07	5.06819939807797e-07	+1	303
GO:0007154	cell communication	2.62488017878168e-06	2.62488017878168e-06	+1	303
GO:0007165	signal transduction	4.82843946765937e-06	4.82843946765937e-06	+1	280
GO:0051716	cellular response to stimulus	5.72046164285878e-06	5.72046164285878e-06	+1	333
GO:0023051	regulation of signaling	1.38197193961625e-05	1.38197193961625e-05	+1	179
GO:0050896	response to stimulus	2.06486500732385e-05	2.06486500732385e-05	+1	387
GO:0048519	negative regulation of biological process	4.4881075124137e-05	4.4881075124137e-05	+1	272
GO:0010646	regulation of cell communication	4.56091744362184e-05	4.56091744362184e-05	+1	177
GO:1901564	organonitrogen compound metabolic process	0.000120375769062396	0.000120375769062396	+1	274
GO:0009966	regulation of signal transduction	0.000151380315338535	0.000151380315338535	+1	157
GO:0048523	negative regulation of cellular process	0.000737484380606346	0.000737484380606346	+1	253
GO:0009894	regulation of catabolic process	0.00126277033683139	0.00126277033683139	+1	67
GO:0048583	regulation of response to stimulus	0.00310558779290435	0.00310558779290435	+1	188
GO:0007166	cell surface receptor signaling pathway	0.00379889538438235	0.00379889538438235	+1	142
GO:0006914	autophagy	0.00585948324251603	0.00585948324251603	+1	43
GO:0061919	process utilizing autophagic mechanism	0.00585948324251603	0.00585948324251603	+1	43
GO:0012501	programmed cell death	0.0192478836921148	0.0192478836921148	+1	105
GO:0006915	apoptotic process	0.0193011022868792	0.0193011022868792	+1	102
GO:0019538	protein metabolic process	0.0194830614700134	0.0194830614700134	+1	221
GO:0048518	positive regulation of biological process	0.0198254185144556	0.0198254185144556	+1	271
GO:0010506	regulation of autophagy	0.0201218803340517	0.0201218803340517	+1	30
GO:0031329	regulation of cellular catabolic process	0.0201685604334425	0.0201685604334425	+1	47
GO:0008219	cell death	0.0209940789252961	0.0209940789252961	+1	105
GO:0019222	regulation of metabolic process	0.0216358507952139	0.0216358507952139	+1	304
GO:0023056	positive regulation of signaling	0.0378382850123916	0.0378382850123916	+1	95
GO:0009056	catabolic process	0.0421691304290558	0.0421691304290558	+1	127
GO:0048522	positive regulation of cellular process	0.044080060282856	0.044080060282856	+1	249
GO:0080090	regulation of primary metabolic process	0.0491402808815372	0.0491402808815372	+1	244
GO:0048666	neuron development	0.0495477497747489	0.0495477497747489	+1	68
GO:0005737	cytoplasm	9.55414900384947e-16	9.55414900384947e-16	+1	539
GO:0012505	endomembrane system	3.07747419605145e-05	3.07747419605145e-05	+1	225
GO:0005829	cytosol	4.82768237146486e-05	4.82768237146486e-05	+1	251
GO:0016020	membrane	7.2326793803677e-05	7.2326793803677e-05	+1	408
GO:0031090	organelle membrane	0.000177010679762101	0.000177010679762101	+1	182
GO:1905360	GTPase complex	0.000387027260591452	0.000387027260591452	+1	10
GO:0005834	heterotrimeric G-protein complex	0.000857882502711271	0.000857882502711271	+1	9
GO:0098588	bounding membrane of organelle	0.00111892224530493	0.00111892224530493	+1	115
GO:0005783	endoplasmic reticulum	0.0202765212972801	0.0202765212972801	+1	103
GO:1902494	catalytic complex	0.0261664296974592	0.0261664296974592	+1	91
GO:0005794	Golgi apparatus	0.0406589856275173	0.0406589856275173	+1	84
GO:0019897	extrinsic component of plasma membrane	0.0474629748294946	0.0474629748294946	+1	14
GO:0120025	plasma membrane bounded cell projection	0.0487748790841051	0.0487748790841051	+1	110
GO:0005515	protein binding	8.98615195877448e-22	8.98615195877448e-22	+1	657
GO:0005488	binding	0.000189746111765886	0.000189746111765886	+1	711
HPA:0390051	prostate; glandular cells[≥Low]	8.00709876253794e-09	8.00709876253794e-09	+1	363
HPA:0390000	prostate	8.00709876253794e-09	8.00709876253794e-09	+1	363
HPA:0430051	seminal vesicle; glandular cells[≥Low]	8.24985608449141e-09	8.24985608449141e-09	+1	369
HPA:0430000	seminal vesicle	8.24985608449141e-09	8.24985608449141e-09	+1	369
HPA:0050000	breast	2.57694255385621e-07	2.57694255385621e-07	+1	378
HPA:0090000	cerebellum	3.97608215098088e-07	3.97608215098088e-07	+1	378
