GO.ID	Description	p.Val	FDR	Phenotype	Genes
GO:0048731	system development	0.000705646459349844	0.000705646459349844	+1	107
GO:0023052	signaling	0.00324668379708686	0.00324668379708686	+1	152
GO:0065007	biological regulation	0.00446111476828515	0.00446111476828515	+1	258
GO:0007399	nervous system development	0.00488769652902104	0.00488769652902104	+1	74
GO:0007275	multicellular organism development	0.00507915473097252	0.00507915473097252	+1	117
GO:0009653	anatomical structure morphogenesis	0.00588599770502537	0.00588599770502537	+1	77
GO:0120036	plasma membrane bounded cell projection organization	0.00720438261589163	0.00720438261589163	+1	52
GO:0007154	cell communication	0.00779530380615277	0.00779530380615277	+1	152
GO:0071670	smooth muscle cell chemotaxis	0.0136903558753884	0.0136903558753884	+1	4
GO:0000902	cell morphogenesis	0.0152027447375849	0.0152027447375849	+1	37
GO:0030030	cell projection organization	0.0155660151296554	0.0155660151296554	+1	52
GO:0048598	embryonic morphogenesis	0.0203364863682629	0.0203364863682629	+1	27
GO:0048666	neuron development	0.0229245571805055	0.0229245571805055	+1	41
GO:0007155	cell adhesion	0.025951405869344	0.025951405869344	+1	49
GO:0032501	multicellular organismal process	0.026860692565971	0.026860692565971	+1	170
GO:0048667	cell morphogenesis involved in neuron differentiation	0.0326019201227543	0.0326019201227543	+1	26
GO:0050794	regulation of cellular process	0.0329538199828211	0.0329538199828211	+1	239
GO:0048568	embryonic organ development	0.0409884476952416	0.0409884476952416	+1	22
GO:0007165	signal transduction	0.0416337972375459	0.0416337972375459	+1	138
GO:0032502	developmental process	0.0438946225204137	0.0438946225204137	+1	147
GO:0045600	positive regulation of fat cell differentiation	0.0443203939591024	0.0443203939591024	+1	8
GO:0071673	positive regulation of smooth muscle cell chemotaxis	0.0483002537696019	0.0483002537696019	+1	3
GO:0005737	cytoplasm	0.000757213553223221	0.000757213553223221	+1	256
GO:0120025	plasma membrane bounded cell projection	0.00473382734249968	0.00473382734249968	+1	66
GO:0042995	cell projection	0.0114488440841398	0.0114488440841398	+1	67
GO:0043005	neuron projection	0.0168458299351006	0.0168458299351006	+1	43
GO:0005515	protein binding	8.74587371545026e-05	8.74587371545026e-05	+1	308
