GO.ID	Description	p.Val	FDR	Phenotype	Genes
CORUM:306	Ribosome, cytoplasmic	0.00171340159789183	0.00171340159789183	+1	23
GO:1901564	organonitrogen compound metabolic process	1.44092168416751e-21	1.44092168416751e-21	+1	628
GO:1901566	organonitrogen compound biosynthetic process	5.33794812228188e-15	5.33794812228188e-15	+1	231
GO:0043603	amide metabolic process	5.97882148104598e-15	5.97882148104598e-15	+1	174
GO:0019538	protein metabolic process	4.20730232345403e-14	4.20730232345403e-14	+1	507
GO:0044271	cellular nitrogen compound biosynthetic process	7.2066632887121e-12	7.2066632887121e-12	+1	490
GO:0006518	peptide metabolic process	1.39505677125265e-11	1.39505677125265e-11	+1	135
GO:0006412	translation	2.81952110488981e-11	2.81952110488981e-11	+1	114
GO:0009056	catabolic process	6.45332923472235e-11	6.45332923472235e-11	+1	290
GO:0043043	peptide biosynthetic process	1.86614982753024e-10	1.86614982753024e-10	+1	115
GO:0006996	organelle organization	2.14607195598179e-10	2.14607195598179e-10	+1	380
GO:0043604	amide biosynthetic process	1.19365828121251e-08	1.19365828121251e-08	+1	124
GO:0007049	cell cycle	1.86015682523317e-08	1.86015682523317e-08	+1	213
GO:0048518	positive regulation of biological process	1.61832752876621e-07	1.61832752876621e-07	+1	580
GO:0042254	ribosome biogenesis	6.49394978479269e-07	6.49394978479269e-07	+1	58
GO:0019637	organophosphate metabolic process	6.59069368223702e-07	6.59069368223702e-07	+1	133
GO:1901575	organic substance catabolic process	8.13783015090243e-07	8.13783015090243e-07	+1	229
GO:0048522	positive regulation of cellular process	1.24332682776403e-06	1.24332682776403e-06	+1	532
GO:0044248	cellular catabolic process	2.60296279456871e-06	2.60296279456871e-06	+1	184
GO:0034248	regulation of amide metabolic process	6.26841634559902e-06	6.26841634559902e-06	+1	69
GO:0043412	macromolecule modification	6.41565101346334e-06	6.41565101346334e-06	+1	327
GO:0002181	cytoplasmic translation	2.53993855521861e-05	2.53993855521861e-05	+1	34
GO:1901362	organic cyclic compound biosynthetic process	2.87174771146416e-05	2.87174771146416e-05	+1	406
GO:1901565	organonitrogen compound catabolic process	3.06825970757779e-05	3.06825970757779e-05	+1	161
GO:0034660	ncRNA metabolic process	3.64449922532992e-05	3.64449922532992e-05	+1	88
GO:0009057	macromolecule catabolic process	3.7924215690139e-05	3.7924215690139e-05	+1	155
GO:0006417	regulation of translation	4.71460928525973e-05	4.71460928525973e-05	+1	60
GO:0019438	aromatic compound biosynthetic process	5.66120199771689e-05	5.66120199771689e-05	+1	392
GO:0044281	small molecule metabolic process	5.94449722378337e-05	5.94449722378337e-05	+1	197
GO:0034470	ncRNA processing	7.50108943083645e-05	7.50108943083645e-05	+1	66
GO:0007005	mitochondrion organization	7.85223928111263e-05	7.85223928111263e-05	+1	72
GO:0036211	protein modification process	8.65986141907881e-05	8.65986141907881e-05	+1	301
GO:0006793	phosphorus metabolic process	9.30162238617383e-05	9.30162238617383e-05	+1	264
GO:0051649	establishment of localization in cell	9.5656238159271e-05	9.5656238159271e-05	+1	210
GO:0051128	regulation of cellular component organization	0.000108367964755344	0.000108367964755344	+1	249
GO:0006796	phosphate-containing compound metabolic process	0.000132467188618788	0.000132467188618788	+1	261
GO:0051171	regulation of nitrogen compound metabolic process	0.000134834687647072	0.000134834687647072	+1	496
GO:0018130	heterocycle biosynthetic process	0.000166339093732675	0.000166339093732675	+1	388
GO:0061919	process utilizing autophagic mechanism	0.000489604281845325	0.000489604281845325	+1	78
GO:0006914	autophagy	0.000489604281845325	0.000489604281845325	+1	78
GO:0006974	DNA damage response	0.000537707691896665	0.000537707691896665	+1	109
GO:0080090	regulation of primary metabolic process	0.000620287671535365	0.000620287671535365	+1	503
GO:1901135	carbohydrate derivative metabolic process	0.000630082610047619	0.000630082610047619	+1	127
GO:0033554	cellular response to stress	0.000652580374506479	0.000652580374506479	+1	188
GO:0006281	DNA repair	0.000802096412561915	0.000802096412561915	+1	80
GO:0046907	intracellular transport	0.000839129559400961	0.000839129559400961	+1	152
GO:0007042	lysosomal lumen acidification	0.000909182169796065	0.000909182169796065	+1	11
GO:0030163	protein catabolic process	0.00148524843007768	0.00148524843007768	+1	114
GO:0016236	macroautophagy	0.00184008057328972	0.00184008057328972	+1	50
GO:0034654	nucleobase-containing compound biosynthetic process	0.00206842537563006	0.00206842537563006	+1	374
GO:0006810	transport	0.00212102399085307	0.00212102399085307	+1	400
GO:0006259	DNA metabolic process	0.00214716807007952	0.00214716807007952	+1	120
GO:0051179	localization	0.00224283143732381	0.00224283143732381	+1	493
GO:0045017	glycerolipid biosynthetic process	0.00248448103318797	0.00248448103318797	+1	41
