GO.ID	Description	p.Val	FDR	Phenotype	Genes
CORUM:306	Ribosome, cytoplasmic	0.00799032638033769	0.00799032638033769	+1	21
GO:1901564	organonitrogen compound metabolic process	2.21579393527825e-21	2.21579393527825e-21	+1	609
GO:0019538	protein metabolic process	2.07328106688476e-15	2.07328106688476e-15	+1	498
GO:0043603	amide metabolic process	4.65780347992906e-15	4.65780347992906e-15	+1	170
GO:1901566	organonitrogen compound biosynthetic process	4.50939752137145e-14	4.50939752137145e-14	+1	222
GO:0006518	peptide metabolic process	1.0688643842377e-11	1.0688643842377e-11	+1	132
GO:0006412	translation	1.4628107112226e-11	1.4628107112226e-11	+1	112
GO:0044271	cellular nitrogen compound biosynthetic process	3.67942317331415e-11	3.67942317331415e-11	+1	472
GO:0043043	peptide biosynthetic process	9.37300842552505e-11	9.37300842552505e-11	+1	113
GO:0009056	catabolic process	1.83340315004912e-10	1.83340315004912e-10	+1	280
GO:0007049	cell cycle	1.03958976570966e-09	1.03958976570966e-09	+1	212
GO:0006996	organelle organization	1.43494868636283e-09	1.43494868636283e-09	+1	365
GO:0043604	amide biosynthetic process	4.93943510403319e-09	4.93943510403319e-09	+1	122
GO:0048518	positive regulation of biological process	2.49836526404923e-08	2.49836526404923e-08	+1	567
GO:0048522	positive regulation of cellular process	1.66482135767707e-07	1.66482135767707e-07	+1	521
GO:1901575	organic substance catabolic process	6.24953117615942e-07	6.24953117615942e-07	+1	223
GO:0043412	macromolecule modification	8.66702443848282e-07	8.66702443848282e-07	+1	322
GO:0042254	ribosome biogenesis	1.33809202273557e-06	1.33809202273557e-06	+1	56
GO:0034248	regulation of amide metabolic process	3.44350489296598e-06	3.44350489296598e-06	+1	68
GO:0009057	macromolecule catabolic process	1.03680459565274e-05	1.03680459565274e-05	+1	153
GO:0036211	protein modification process	1.13277461136573e-05	1.13277461136573e-05	+1	297
GO:0044248	cellular catabolic process	1.20695574752579e-05	1.20695574752579e-05	+1	176
GO:0006417	regulation of translation	1.24796128206871e-05	1.24796128206871e-05	+1	60
GO:0051171	regulation of nitrogen compound metabolic process	2.1837234699827e-05	2.1837234699827e-05	+1	486
GO:0051128	regulation of cellular component organization	2.53828760437464e-05	2.53828760437464e-05	+1	245
GO:1901565	organonitrogen compound catabolic process	4.00651372774236e-05	4.00651372774236e-05	+1	156
GO:0007005	mitochondrion organization	4.0817018458995e-05	4.0817018458995e-05	+1	71
GO:0034660	ncRNA metabolic process	6.23374304960389e-05	6.23374304960389e-05	+1	85
GO:0080090	regulation of primary metabolic process	7.21912771268328e-05	7.21912771268328e-05	+1	494
GO:1901362	organic cyclic compound biosynthetic process	0.000101548578205633	0.000101548578205633	+1	390
GO:0034470	ncRNA processing	0.000102126661213564	0.000102126661213564	+1	64
GO:0002181	cytoplasmic translation	0.000130554666434154	0.000130554666434154	+1	32
GO:0019637	organophosphate metabolic process	0.000135363340129127	0.000135363340129127	+1	121
GO:0019438	aromatic compound biosynthetic process	0.000229194229737859	0.000229194229737859	+1	376
GO:0044281	small molecule metabolic process	0.000448966704382293	0.000448966704382293	+1	187
GO:0006793	phosphorus metabolic process	0.000498388890649575	0.000498388890649575	+1	252
GO:0018130	heterocycle biosynthetic process	0.000659582259678095	0.000659582259678095	+1	372
GO:0006796	phosphate-containing compound metabolic process	0.000723535188000022	0.000723535188000022	+1	249
