GO.ID	Description	p.Val	FDR	Phenotype	Genes
CORUM:2434	ITGA1-ITGB1-COL6A3 complex	0.0499346691240812	0.0499346691240812	+1	2
CORUM:2435	ITGA1-ITGB1-PTPN2 complex	0.0499346691240812	0.0499346691240812	+1	2
GO:0006954	inflammatory response	5.96949370239886e-12	5.96949370239886e-12	+1	49
GO:0050900	leukocyte migration	2.43814871462495e-11	2.43814871462495e-11	+1	33
GO:0006950	response to stress	2.53872081378296e-11	2.53872081378296e-11	+1	121
GO:0030595	leukocyte chemotaxis	3.00640323686727e-11	3.00640323686727e-11	+1	26
GO:0097529	myeloid leukocyte migration	3.00640323686727e-11	3.00640323686727e-11	+1	26
GO:0006952	defense response	5.02992544948202e-11	5.02992544948202e-11	+1	74
GO:0006935	chemotaxis	3.74419518333855e-10	3.74419518333855e-10	+1	34
GO:0042330	taxis	4.23592976324926e-10	4.23592976324926e-10	+1	34
GO:0050896	response to stimulus	5.10966449364579e-10	5.10966449364579e-10	+1	210
GO:0007166	cell surface receptor signaling pathway	7.40264648730268e-10	7.40264648730268e-10	+1	95
GO:0060326	cell chemotaxis	8.45970851751074e-10	8.45970851751074e-10	+1	28
GO:0051716	cellular response to stimulus	8.62045121447345e-10	8.62045121447345e-10	+1	183
GO:0070887	cellular response to chemical stimulus	1.12924599280332e-09	1.12924599280332e-09	+1	92
GO:0023052	signaling	2.69901731939892e-09	2.69901731939892e-09	+1	165
GO:0019221	cytokine-mediated signaling pathway	3.12542608224506e-09	3.12542608224506e-09	+1	34
GO:0007154	cell communication	4.35368008209007e-09	4.35368008209007e-09	+1	166
GO:0048583	regulation of response to stimulus	4.44140424477493e-09	4.44140424477493e-09	+1	117
GO:1990266	neutrophil migration	6.4688209995186e-09	6.4688209995186e-09	+1	18
GO:0071345	cellular response to cytokine stimulus	1.08111124754559e-08	1.08111124754559e-08	+1	44
GO:0030593	neutrophil chemotaxis	3.15809527251598e-08	3.15809527251598e-08	+1	16
GO:0009605	response to external stimulus	4.42087570012719e-08	4.42087570012719e-08	+1	89
GO:0023051	regulation of signaling	4.82059873857813e-08	4.82059873857813e-08	+1	104
GO:0010646	regulation of cell communication	5.35807566103539e-08	5.35807566103539e-08	+1	104
GO:0007165	signal transduction	7.20458264942564e-08	7.20458264942564e-08	+1	152
GO:0007267	cell-cell signaling	9.09588207886026e-08	9.09588207886026e-08	+1	65
GO:0097530	granulocyte migration	1.6743639395654e-07	1.6743639395654e-07	+1	18
GO:0042221	response to chemical	1.69707203299546e-07	1.69707203299546e-07	+1	113
GO:0034097	response to cytokine	3.31154558394184e-07	3.31154558394184e-07	+1	44
GO:0040011	locomotion	3.61460715115629e-07	3.61460715115629e-07	+1	52
GO:0001775	cell activation	4.98299823180265e-07	4.98299823180265e-07	+1	48
GO:0045321	leukocyte activation	5.31170567613299e-07	5.31170567613299e-07	+1	44
