GO.ID	Description	p.Val	FDR	Phenotype	Genes
GO:0048856	anatomical structure development	9.0028388618007e-25	9.0028388618007e-25	+1	384
GO:0032502	developmental process	9.75856232109025e-23	9.75856232109025e-23	+1	403
GO:0009653	anatomical structure morphogenesis	6.18137951610573e-22	6.18137951610573e-22	+1	217
GO:0007275	multicellular organism development	2.57406390699434e-21	2.57406390699434e-21	+1	315
GO:0048731	system development	7.0247557066465e-21	7.0247557066465e-21	+1	281
GO:0051239	regulation of multicellular organismal process	3.41642419198725e-20	3.41642419198725e-20	+1	227
GO:0072359	circulatory system development	4.37746160811565e-20	4.37746160811565e-20	+1	121
GO:0016477	cell migration	5.80224250977181e-20	5.80224250977181e-20	+1	144
GO:0032501	multicellular organismal process	1.36365370412505e-19	1.36365370412505e-19	+1	446
GO:0048870	cell motility	2.79200816914408e-18	2.79200816914408e-18	+1	153
GO:2000026	regulation of multicellular organismal development	3.04946501884068e-18	3.04946501884068e-18	+1	135
GO:0007155	cell adhesion	3.58433827306478e-18	3.58433827306478e-18	+1	141
GO:0035239	tube morphogenesis	1.09059833477976e-17	1.09059833477976e-17	+1	99
GO:0001944	vasculature development	2.33535806293649e-17	2.33535806293649e-17	+1	90
GO:0051240	positive regulation of multicellular organismal process	4.11189661707051e-17	4.11189661707051e-17	+1	146
GO:0001568	blood vessel development	6.35334257369166e-17	6.35334257369166e-17	+1	87
GO:0048518	positive regulation of biological process	1.40215127422495e-16	1.40215127422495e-16	+1	374
GO:0050794	regulation of cellular process	1.93167097642342e-16	1.93167097642342e-16	+1	598
GO:0035295	tube development	1.98933164808638e-16	1.98933164808638e-16	+1	111
GO:0051094	positive regulation of developmental process	4.773696254479e-16	4.773696254479e-16	+1	125
GO:0050793	regulation of developmental process	5.06827025382816e-16	5.06827025382816e-16	+1	189
GO:0040011	locomotion	1.66402036310366e-15	1.66402036310366e-15	+1	118
GO:0008283	cell population proliferation	1.78793486937714e-15	1.78793486937714e-15	+1	163
GO:0050789	regulation of biological process	2.02667842451266e-15	2.02667842451266e-15	+1	615
GO:0048522	positive regulation of cellular process	3.9368253763724e-15	3.9368253763724e-15	+1	345
GO:0042127	regulation of cell population proliferation	8.49357980529257e-15	8.49357980529257e-15	+1	143
GO:0040012	regulation of locomotion	2.86756340735646e-14	2.86756340735646e-14	+1	103
GO:0048646	anatomical structure formation involved in morphogenesis	3.05216569790767e-14	3.05216569790767e-14	+1	112
GO:0030154	cell differentiation	3.80501403070465e-14	3.80501403070465e-14	+1	279
GO:0048869	cellular developmental process	3.92765135335555e-14	3.92765135335555e-14	+1	279
GO:0030334	regulation of cell migration	4.08366361901773e-14	4.08366361901773e-14	+1	96
GO:0048513	animal organ development	7.59663580770276e-14	7.59663580770276e-14	+1	213
GO:0065007	biological regulation	7.59822286602486e-14	7.59822286602486e-14	+1	624
GO:0048523	negative regulation of cellular process	9.69605584053988e-14	9.69605584053988e-14	+1	332
GO:2000145	regulation of cell motility	1.17433953958257e-13	1.17433953958257e-13	+1	99
GO:0048468	cell development	1.34195480285336e-13	1.34195480285336e-13	+1	201
GO:0048514	blood vessel morphogenesis	1.4518511920606e-13	1.4518511920606e-13	+1	74
GO:0045597	positive regulation of cell differentiation	1.97914950940123e-13	1.97914950940123e-13	+1	90
GO:0009888	tissue development	3.47821085637414e-13	3.47821085637414e-13	+1	157
GO:0001525	angiogenesis	3.61849485393459e-13	3.61849485393459e-13	+1	67
GO:0001503	ossification	5.47136848534746e-13	5.47136848534746e-13	+1	58
GO:0048519	negative regulation of biological process	6.05835394318633e-13	6.05835394318633e-13	+1	344
GO:0065008	regulation of biological quality	1.59760639531412e-12	1.59760639531412e-12	+1	199
GO:0001501	skeletal system development	1.23658696684023e-11	1.23658696684023e-11	+1	64
GO:0045595	regulation of cell differentiation	2.13929586637071e-11	2.13929586637071e-11	+1	128
GO:0050896	response to stimulus	2.32569626091707e-11	2.32569626091707e-11	+1	470
GO:0048583	regulation of response to stimulus	3.80716820546177e-11	3.80716820546177e-11	+1	248
GO:0007166	cell surface receptor signaling pathway	4.15239592256131e-11	4.15239592256131e-11	+1	192
GO:0043066	negative regulation of apoptotic process	4.52030285234155e-11	4.52030285234155e-11	+1	86
GO:0051716	cellular response to stimulus	6.75290182755714e-11	6.75290182755714e-11	+1	402
GO:0007154	cell communication	7.06817718768891e-11	7.06817718768891e-11	+1	365
GO:0009887	animal organ morphogenesis	7.76296919719815e-11	7.76296919719815e-11	+1	95
GO:0043069	negative regulation of programmed cell death	8.62167484032086e-11	8.62167484032086e-11	+1	87
GO:0023052	signaling	1.27439251956976e-10	1.27439251956976e-10	+1	360
GO:0007165	signal transduction	1.71995778027651e-10	1.71995778027651e-10	+1	338
GO:0042981	regulation of apoptotic process	4.53188263112968e-10	4.53188263112968e-10	+1	118
GO:0043067	regulation of programmed cell death	6.35661352395359e-10	6.35661352395359e-10	+1	120
GO:0051241	negative regulation of multicellular organismal process	8.0490920995047e-10	8.0490920995047e-10	+1	97
GO:0022603	regulation of anatomical structure morphogenesis	3.43444174667869e-09	3.43444174667869e-09	+1	79
GO:0031214	biomineral tissue development	1.2776834453886e-08	1.2776834453886e-08	+1	31
GO:0010646	regulation of cell communication	1.9306371986667e-08	1.9306371986667e-08	+1	214
GO:0023051	regulation of signaling	2.9250640296305e-08	2.9250640296305e-08	+1	213
GO:0007399	nervous system development	4.46561706555823e-08	4.46561706555823e-08	+1	168
GO:0030198	extracellular matrix organization	5.00197421172197e-08	5.00197421172197e-08	+1	42
