GO.ID	Description	p.Val	FDR	Phenotype	Genes
GO:0006952	defense response	1.59155412501253e-20	1.59155412501253e-20	+1	100
GO:0006954	inflammatory response	1.35483698087346e-19	1.35483698087346e-19	+1	65
GO:0006950	response to stress	4.1999874710352e-18	4.1999874710352e-18	+1	152
GO:0050900	leukocyte migration	2.62565333895839e-17	2.62565333895839e-17	+1	43
GO:0097529	myeloid leukocyte migration	5.05614332423126e-17	5.05614332423126e-17	+1	34
GO:0030595	leukocyte chemotaxis	4.77670885777079e-16	4.77670885777079e-16	+1	33
GO:0002376	immune system process	3.57394716567056e-15	3.57394716567056e-15	+1	118
GO:0050896	response to stimulus	4.37035286085692e-15	4.37035286085692e-15	+1	254
GO:0098542	defense response to other organism	5.64289850965368e-15	5.64289850965368e-15	+1	72
GO:0009605	response to external stimulus	6.69567710229601e-15	6.69567710229601e-15	+1	116
GO:0070887	cellular response to chemical stimulus	1.80253620028722e-14	1.80253620028722e-14	+1	114
GO:0051716	cellular response to stimulus	2.98167402961055e-14	2.98167402961055e-14	+1	221
GO:0002682	regulation of immune system process	3.3154489601559e-14	3.3154489601559e-14	+1	80
GO:0009607	response to biotic stimulus	4.67064257744571e-14	4.67064257744571e-14	+1	82
GO:0060326	cell chemotaxis	9.44725334688365e-14	9.44725334688365e-14	+1	35
GO:0048583	regulation of response to stimulus	9.74069245235591e-14	9.74069245235591e-14	+1	144
GO:0051707	response to other organism	1.28849985467516e-13	1.28849985467516e-13	+1	80
GO:0043207	response to external biotic stimulus	1.43975101606254e-13	1.43975101606254e-13	+1	80
GO:0140546	defense response to symbiont	1.44459271822594e-13	1.44459271822594e-13	+1	66
GO:0044419	biological process involved in interspecies interaction between organisms	1.85256925832877e-13	1.85256925832877e-13	+1	85
GO:0045321	leukocyte activation	2.09268826665453e-13	2.09268826665453e-13	+1	60
GO:0001775	cell activation	2.13993306859069e-13	2.13993306859069e-13	+1	65
GO:0006935	chemotaxis	3.39533229850407e-13	3.39533229850407e-13	+1	41
GO:0042330	taxis	3.94920595693672e-13	3.94920595693672e-13	+1	41
GO:0007166	cell surface receptor signaling pathway	4.24465997363814e-13	4.24465997363814e-13	+1	114
GO:0002697	regulation of immune effector process	4.45082108657834e-13	4.45082108657834e-13	+1	37
GO:0002684	positive regulation of immune system process	5.59113604544453e-13	5.59113604544453e-13	+1	63
GO:0002252	immune effector process	8.3066266760941e-13	8.3066266760941e-13	+1	50
GO:0002274	myeloid leukocyte activation	2.90833011624005e-12	2.90833011624005e-12	+1	29
GO:0007154	cell communication	6.7557927724872e-12	6.7557927724872e-12	+1	197
GO:0006810	transport	6.87282971463584e-12	6.87282971463584e-12	+1	149
GO:1990266	neutrophil migration	7.04574739442314e-12	7.04574739442314e-12	+1	22
GO:0023052	signaling	7.44720369447614e-12	7.44720369447614e-12	+1	195
GO:0042221	response to chemical	1.37867846171017e-11	1.37867846171017e-11	+1	139
GO:0006909	phagocytosis	1.45459010623364e-11	1.45459010623364e-11	+1	28
GO:0032101	regulation of response to external stimulus	2.07127333558803e-11	2.07127333558803e-11	+1	61
GO:0019221	cytokine-mediated signaling pathway	2.33343175499551e-11	2.33343175499551e-11	+1	40
GO:0048584	positive regulation of response to stimulus	2.56965093596162e-11	2.56965093596162e-11	+1	96
GO:0097530	granulocyte migration	4.31845888901178e-11	4.31845888901178e-11	+1	23
GO:0030155	regulation of cell adhesion	5.99230922164826e-11	5.99230922164826e-11	+1	50
GO:0050865	regulation of cell activation	6.24990863465547e-11	6.24990863465547e-11	+1	44
GO:0007165	signal transduction	6.50149877398821e-11	6.50149877398821e-11	+1	182
GO:0046649	lymphocyte activation	7.67270915216493e-11	7.67270915216493e-11	+1	50
GO:0006955	immune response	8.52725369136625e-11	8.52725369136625e-11	+1	87
GO:0045087	innate immune response	1.08870675707187e-10	1.08870675707187e-10	+1	56
GO:0007155	cell adhesion	1.27009357528677e-10	1.27009357528677e-10	+1	73
GO:0023051	regulation of signaling	1.27557777664273e-10	1.27557777664273e-10	+1	124
GO:0010646	regulation of cell communication	1.45060130604879e-10	1.45060130604879e-10	+1	124
GO:0030593	neutrophil chemotaxis	2.1618462798107e-10	2.1618462798107e-10	+1	19
GO:0040011	locomotion	2.44271239196189e-10	2.44271239196189e-10	+1	64
GO:0071345	cellular response to cytokine stimulus	2.82530131078975e-10	2.82530131078975e-10	+1	51
GO:0034097	response to cytokine	3.46187574635962e-10	3.46187574635962e-10	+1	54
GO:0051049	regulation of transport	5.92965203938393e-10	5.92965203938393e-10	+1	74
GO:0016477	cell migration	6.90702391076512e-10	6.90702391076512e-10	+1	71
GO:0001817	regulation of cytokine production	7.31372760709786e-10	7.31372760709786e-10	+1	48
GO:0001816	cytokine production	9.69736096761646e-10	9.69736096761646e-10	+1	48
GO:0001819	positive regulation of cytokine production	1.51037992280249e-09	1.51037992280249e-09	+1	37
GO:0010647	positive regulation of cell communication	2.11145386680813e-09	2.11145386680813e-09	+1	78
GO:0023056	positive regulation of signaling	2.17273730577151e-09	2.17273730577151e-09	+1	78
GO:0071310	cellular response to organic substance	3.02565699460204e-09	3.02565699460204e-09	+1	83
GO:0042110	T cell activation	3.32354312895758e-09	3.32354312895758e-09	+1	39
GO:0002548	monocyte chemotaxis	3.66328140019232e-09	3.66328140019232e-09	+1	15
GO:0002694	regulation of leukocyte activation	4.63472071222904e-09	4.63472071222904e-09	+1	39
GO:0043408	regulation of MAPK cascade	4.82998119093873e-09	4.82998119093873e-09	+1	42
GO:0051234	establishment of localization	4.91239567305092e-09	4.91239567305092e-09	+1	153
GO:0002275	myeloid cell activation involved in immune response	7.60400414562993e-09	7.60400414562993e-09	+1	17
GO:0141124	intracellular signaling cassette	8.02465959294688e-09	8.02465959294688e-09	+1	79
