GO.ID	Description	p.Val	FDR	Phenotype	Genes
GO:1901564	organonitrogen compound metabolic process	4.73266954068161e-22	4.73266954068161e-22	+1	699
GO:1901566	organonitrogen compound biosynthetic process	5.22909843669042e-17	5.22909843669042e-17	+1	260
GO:0006996	organelle organization	4.18850361955284e-14	4.18850361955284e-14	+1	439
GO:0043603	amide metabolic process	2.62043667558316e-13	2.62043667558316e-13	+1	185
GO:0019538	protein metabolic process	4.03947906812205e-12	4.03947906812205e-12	+1	553
GO:0006518	peptide metabolic process	1.69075222667953e-10	1.69075222667953e-10	+1	144
GO:0048518	positive regulation of biological process	6.21643111583778e-10	6.21643111583778e-10	+1	663
GO:0048522	positive regulation of cellular process	1.89795497986871e-09	1.89795497986871e-09	+1	612
GO:0044271	cellular nitrogen compound biosynthetic process	2.21411573887766e-09	2.21411573887766e-09	+1	531
GO:0043043	peptide biosynthetic process	2.48453342805627e-09	2.48453342805627e-09	+1	122
GO:0006412	translation	3.94281943045844e-09	3.94281943045844e-09	+1	118
GO:0043604	amide biosynthetic process	4.08539742445968e-09	4.08539742445968e-09	+1	137
GO:0051649	establishment of localization in cell	4.93046222302344e-09	4.93046222302344e-09	+1	253
GO:0140053	mitochondrial gene expression	1.8747029371702e-08	1.8747029371702e-08	+1	43
GO:0019637	organophosphate metabolic process	9.11130211621899e-08	9.11130211621899e-08	+1	149
GO:0006810	transport	1.11473590284204e-07	1.11473590284204e-07	+1	476
GO:0044281	small molecule metabolic process	1.74961691820222e-07	1.74961691820222e-07	+1	230
GO:0046907	intracellular transport	1.95660455918776e-07	1.95660455918776e-07	+1	184
GO:0032543	mitochondrial translation	2.06416415210681e-07	2.06416415210681e-07	+1	36
GO:1901135	carbohydrate derivative metabolic process	3.7625424203162e-07	3.7625424203162e-07	+1	153
GO:0051179	localization	1.35598441084525e-06	1.35598441084525e-06	+1	576
GO:0007005	mitochondrion organization	5.04453673585264e-06	5.04453673585264e-06	+1	82
GO:0034470	ncRNA processing	1.28935383272985e-05	1.28935383272985e-05	+1	74
GO:0006793	phosphorus metabolic process	1.36821271045173e-05	1.36821271045173e-05	+1	298
GO:0090407	organophosphate biosynthetic process	1.38169997710874e-05	1.38169997710874e-05	+1	93
GO:0006091	generation of precursor metabolites and energy	1.49945677253994e-05	1.49945677253994e-05	+1	83
GO:0006796	phosphate-containing compound metabolic process	1.73951351605264e-05	1.73951351605264e-05	+1	295
GO:0042254	ribosome biogenesis	2.26428941969387e-05	2.26428941969387e-05	+1	59
GO:0051234	establishment of localization	2.82990045173318e-05	2.82990045173318e-05	+1	509
GO:0007049	cell cycle	3.10744118869497e-05	3.10744118869497e-05	+1	220
GO:0051128	regulation of cellular component organization	3.7690801615506e-05	3.7690801615506e-05	+1	279
GO:0071705	nitrogen compound transport	5.17936523313361e-05	5.17936523313361e-05	+1	228
GO:0071702	organic substance transport	6.98644682123095e-05	6.98644682123095e-05	+1	271
GO:0034660	ncRNA metabolic process	8.35066371288778e-05	8.35066371288778e-05	+1	95
GO:0051641	cellular localization	8.62267535864697e-05	8.62267535864697e-05	+1	390
GO:0006417	regulation of translation	0.000125504139714777	0.000125504139714777	+1	64
GO:0043412	macromolecule modification	0.000145812975185012	0.000145812975185012	+1	355
GO:0009056	catabolic process	0.000156759949507088	0.000156759949507088	+1	288
GO:0016192	vesicle-mediated transport	0.000178368876703679	0.000178368876703679	+1	189
GO:0044248	cellular catabolic process	0.000205994817759439	0.000205994817759439	+1	194
GO:0034248	regulation of amide metabolic process	0.000345198940003924	0.000345198940003924	+1	70
GO:0055086	nucleobase-containing small molecule metabolic process	0.00063574472838949	0.00063574472838949	+1	96
GO:1901137	carbohydrate derivative biosynthetic process	0.000741747094763294	0.000741747094763294	+1	94
GO:0006753	nucleoside phosphate metabolic process	0.000879355687698576	0.000879355687698576	+1	88
GO:0009117	nucleotide metabolic process	0.000946480306546681	0.000946480306546681	+1	87
GO:0032259	methylation	0.00104757931443227	0.00104757931443227	+1	48
GO:0009142	nucleoside triphosphate biosynthetic process	0.00128805703100362	0.00128805703100362	+1	29
GO:0044770	cell cycle phase transition	0.00167897413691931	0.00167897413691931	+1	79
