GO.ID	Description	p.Val	FDR	Phenotype	Genes
CORUM:320	55S ribosome, mitochondrial	0.0403827366245408	0.0403827366245408	+1	23
GO:1901564	organonitrogen compound metabolic process	2.92984726156993e-25	2.92984726156993e-25	+1	737
GO:1901566	organonitrogen compound biosynthetic process	7.53101233627689e-19	7.53101233627689e-19	+1	274
GO:0019538	protein metabolic process	6.51346130915093e-15	6.51346130915093e-15	+1	587
GO:0043603	amide metabolic process	1.99382472219706e-13	1.99382472219706e-13	+1	191
GO:0006996	organelle organization	2.04112195782337e-13	2.04112195782337e-13	+1	451
GO:0006518	peptide metabolic process	1.03065874044688e-10	1.03065874044688e-10	+1	149
GO:0048518	positive regulation of biological process	1.67751612499355e-10	1.67751612499355e-10	+1	691
GO:0044271	cellular nitrogen compound biosynthetic process	5.11614885848606e-10	5.11614885848606e-10	+1	554
GO:0048522	positive regulation of cellular process	5.12356632783108e-10	5.12356632783108e-10	+1	638
GO:0043043	peptide biosynthetic process	8.49542767962065e-10	8.49542767962065e-10	+1	127
GO:0043604	amide biosynthetic process	1.08192242783146e-09	1.08192242783146e-09	+1	143
GO:0006412	translation	1.20467591274378e-09	1.20467591274378e-09	+1	123
GO:0051649	establishment of localization in cell	1.29476677406833e-09	1.29476677406833e-09	+1	264
GO:0140053	mitochondrial gene expression	1.89296901757155e-08	1.89296901757155e-08	+1	44
GO:0019637	organophosphate metabolic process	7.63570393387159e-08	7.63570393387159e-08	+1	154
GO:0046907	intracellular transport	1.13855225192186e-07	1.13855225192186e-07	+1	191
GO:0032543	mitochondrial translation	1.60307396587368e-07	1.60307396587368e-07	+1	37
GO:0006810	transport	1.86471763277443e-07	1.86471763277443e-07	+1	492
GO:1901135	carbohydrate derivative metabolic process	1.93424324778629e-07	1.93424324778629e-07	+1	159
GO:0042254	ribosome biogenesis	3.5226518992474e-07	3.5226518992474e-07	+1	65
GO:0034470	ncRNA processing	1.18970840996623e-06	1.18970840996623e-06	+1	79
GO:0051179	localization	1.62922936103862e-06	1.62922936103862e-06	+1	597
GO:0044281	small molecule metabolic process	1.89362248401183e-06	1.89362248401183e-06	+1	233
GO:0043412	macromolecule modification	2.62535712889199e-06	2.62535712889199e-06	+1	379
GO:0006793	phosphorus metabolic process	5.21212692175617e-06	5.21212692175617e-06	+1	311
GO:0006796	phosphate-containing compound metabolic process	9.58974342597804e-06	9.58974342597804e-06	+1	307
GO:0090407	organophosphate biosynthetic process	1.24515846623573e-05	1.24515846623573e-05	+1	96
GO:0034660	ncRNA metabolic process	2.10680510996701e-05	2.10680510996701e-05	+1	100
GO:0051128	regulation of cellular component organization	2.46310953501125e-05	2.46310953501125e-05	+1	290
GO:0051641	cellular localization	2.47324592883132e-05	2.47324592883132e-05	+1	408
GO:0009056	catabolic process	2.61914851000395e-05	2.61914851000395e-05	+1	303
GO:0007005	mitochondrion organization	3.38359428575095e-05	3.38359428575095e-05	+1	82
GO:0051234	establishment of localization	3.96755193501519e-05	3.96755193501519e-05	+1	527
GO:0006417	regulation of translation	4.96332448704044e-05	4.96332448704044e-05	+1	67
GO:0071705	nitrogen compound transport	7.93634333474604e-05	7.93634333474604e-05	+1	235
GO:0006091	generation of precursor metabolites and energy	9.76371294362213e-05	9.76371294362213e-05	+1	83
GO:1901137	carbohydrate derivative biosynthetic process	0.000110674969577673	0.000110674969577673	+1	100
GO:0044248	cellular catabolic process	0.000116576827485303	0.000116576827485303	+1	202
GO:0071702	organic substance transport	0.000135173230409877	0.000135173230409877	+1	279
GO:0007049	cell cycle	0.000155484729680643	0.000155484729680643	+1	224
GO:0034248	regulation of amide metabolic process	0.000178046758989713	0.000178046758989713	+1	73
GO:0055086	nucleobase-containing small molecule metabolic process	0.000191426522138953	0.000191426522138953	+1	101
GO:0006364	rRNA processing	0.000262775674584609	0.000262775674584609	+1	45
GO:0016072	rRNA metabolic process	0.000329367770016987	0.000329367770016987	+1	50
GO:0016192	vesicle-mediated transport	0.000359562458345818	0.000359562458345818	+1	194
GO:0006753	nucleoside phosphate metabolic process	0.000407609542093965	0.000407609542093965	+1	92
GO:0009117	nucleotide metabolic process	0.000427946161142781	0.000427946161142781	+1	91
GO:0032259	methylation	0.000602115730915124	0.000602115730915124	+1	50
GO:0051171	regulation of nitrogen compound metabolic process	0.000835349686178098	0.000835349686178098	+1	569
GO:0009142	nucleoside triphosphate biosynthetic process	0.000949021645312315	0.000949021645312315	+1	30
GO:0036211	protein modification process	0.000958627699114878	0.000958627699114878	+1	340
GO:0006163	purine nucleotide metabolic process	0.00130732911739118	0.00130732911739118	+1	82
GO:0043414	macromolecule methylation	0.00142621769367607	0.00142621769367607	+1	37
GO:0080090	regulation of primary metabolic process	0.00144378353967171	0.00144378353967171	+1	581
GO:0072521	purine-containing compound metabolic process	0.00165226027787268	0.00165226027787268	+1	85
GO:0051246	regulation of protein metabolic process	0.0022553905754451	0.0022553905754451	+1	246
GO:0009201	ribonucleoside triphosphate biosynthetic process	0.00248078115911428	0.00248078115911428	+1	28
GO:0009206	purine ribonucleoside triphosphate biosynthetic process	0.00278521285456526	0.00278521285456526	+1	27
GO:1901362	organic cyclic compound biosynthetic process	0.00330016931242339	0.00330016931242339	+1	454
GO:0009145	purine nucleoside triphosphate biosynthetic process	0.00334735392997198	0.00334735392997198	+1	27
GO:0016236	macroautophagy	0.00398915168308888	0.00398915168308888	+1	55
GO:0019438	aromatic compound biosynthetic process	0.00440909665341384	0.00440909665341384	+1	439
GO:0044770	cell cycle phase transition	0.00446469605711535	0.00446469605711535	+1	80
GO:1902600	proton transmembrane transport	0.00585060642144745	0.00585060642144745	+1	33
GO:0015031	protein transport	0.00838918362741516	0.00838918362741516	+1	174
GO:0019693	ribose phosphate metabolic process	0.00854632110518926	0.00854632110518926	+1	73
GO:0006228	UTP biosynthetic process	0.0085979410695769	0.0085979410695769	+1	7
GO:0009893	positive regulation of metabolic process	0.00927027120409117	0.00927027120409117	+1	398
GO:0009199	ribonucleoside triphosphate metabolic process	0.00992809676230108	0.00992809676230108	+1	45
GO:1901575	organic substance catabolic process	0.0103961339027598	0.0103961339027598	+1	239
GO:0009205	purine ribonucleoside triphosphate metabolic process	0.0109051886800983	0.0109051886800983	+1	44
GO:0045017	glycerolipid biosynthetic process	0.0109051886800983	0.0109051886800983	+1	44
GO:0000278	mitotic cell cycle	0.0109312343968954	0.0109312343968954	+1	118
GO:0061919	process utilizing autophagic mechanism	0.0116358591767976	0.0116358591767976	+1	83
GO:0006914	autophagy	0.0116358591767976	0.0116358591767976	+1	83
GO:0018130	heterocycle biosynthetic process	0.0132194319313871	0.0132194319313871	+1	434
GO:0044772	mitotic cell cycle phase transition	0.0149394067247609	0.0149394067247609	+1	66
GO:0033036	macromolecule localization	0.0174859172513409	0.0174859172513409	+1	348
GO:0009259	ribonucleotide metabolic process	0.0208539528649273	0.0208539528649273	+1	70
GO:0009141	nucleoside triphosphate metabolic process	0.0227160484260175	0.0227160484260175	+1	46
GO:0009144	purine nucleoside triphosphate metabolic process	0.0228220072532351	0.0228220072532351	+1	44
GO:0009653	anatomical structure morphogenesis	0.0260391423694459	0.0260391423694459	+1	296
GO:0008610	lipid biosynthetic process	0.0282419838582216	0.0282419838582216	+1	98
GO:0051129	negative regulation of cellular component organization	0.0302311921074406	0.0302311921074406	+1	97
GO:0051726	regulation of cell cycle	0.0302473534204349	0.0302473534204349	+1	138
GO:0009150	purine ribonucleotide metabolic process	0.0303160594453372	0.0303160594453372	+1	67
GO:0065008	regulation of biological quality	0.0317290915231202	0.0317290915231202	+1	311
GO:0006259	DNA metabolic process	0.0332426712510102	0.0332426712510102	+1	131
GO:0044255	cellular lipid metabolic process	0.0385952193950482	0.0385952193950482	+1	127
GO:0031325	positive regulation of cellular metabolic process	0.0408552936779458	0.0408552936779458	+1	358
GO:0048193	Golgi vesicle transport	0.0419504298544385	0.0419504298544385	+1	49
GO:0015980	energy derivation by oxidation of organic compounds	0.0443583489619658	0.0443583489619658	+1	53
GO:0010639	negative regulation of organelle organization	0.0467667965992001	0.0467667965992001	+1	56
GO:0046051	UTP metabolic process	0.0484201793530434	0.0484201793530434	+1	7
GO:0006974	DNA damage response	0.0489615428597215	0.0489615428597215	+1	115
GO:0005737	cytoplasm	4.49345116670167e-67	4.49345116670167e-67	+1	1442
GO:0031090	organelle membrane	8.53428331728951e-34	8.53428331728951e-34	+1	542
GO:0005739	mitochondrion	3.47405825410412e-25	3.47405825410412e-25	+1	282
GO:0005829	cytosol	1.20886986478116e-24	1.20886986478116e-24	+1	684
GO:0043227	membrane-bounded organelle	1.55063214383339e-22	1.55063214383339e-22	+1	1565
GO:0043231	intracellular membrane-bounded organelle	3.82040977696827e-20	3.82040977696827e-20	+1	1471
GO:0031967	organelle envelope	7.9548144961366e-20	7.9548144961366e-20	+1	220
GO:0031975	envelope	7.9548144961366e-20	7.9548144961366e-20	+1	220
GO:0005622	intracellular anatomical structure	2.99168775974647e-19	2.99168775974647e-19	+1	1715
GO:0043226	organelle	1.784075934092e-18	1.784075934092e-18	+1	1636
GO:0031966	mitochondrial membrane	4.08554843949136e-17	4.08554843949136e-17	+1	148
GO:0005740	mitochondrial envelope	5.67111861127485e-17	5.67111861127485e-17	+1	154
GO:0012505	endomembrane system	6.99586057277804e-17	6.99586057277804e-17	+1	580
GO:0043229	intracellular organelle	8.88883236954758e-17	8.88883236954758e-17	+1	1568
GO:0005759	mitochondrial matrix	2.94416588274411e-14	2.94416588274411e-14	+1	103
GO:0005743	mitochondrial inner membrane	3.65306143934793e-14	3.65306143934793e-14	+1	105
GO:0019866	organelle inner membrane	6.71164525505019e-14	6.71164525505019e-14	+1	112
GO:0005654	nucleoplasm	8.68100738388937e-14	8.68100738388937e-14	+1	510
GO:0070013	intracellular organelle lumen	5.44521708239844e-12	5.44521708239844e-12	+1	734
GO:0043233	organelle lumen	5.44521708239844e-12	5.44521708239844e-12	+1	734
GO:0031974	membrane-enclosed lumen	5.44521708239844e-12	5.44521708239844e-12	+1	734
GO:0098588	bounding membrane of organelle	1.09029141953036e-11	1.09029141953036e-11	+1	294
GO:0098827	endoplasmic reticulum subcompartment	1.53288278313246e-11	1.53288278313246e-11	+1	183
GO:0031984	organelle subcompartment	1.89341296808733e-11	1.89341296808733e-11	+1	219
GO:0016020	membrane	3.85540212678059e-11	3.85540212678059e-11	+1	1020
GO:0042175	nuclear outer membrane-endoplasmic reticulum membrane network	5.71103498584835e-11	5.71103498584835e-11	+1	183
GO:0005789	endoplasmic reticulum membrane	7.29765432925762e-11	7.29765432925762e-11	+1	180
GO:0005783	endoplasmic reticulum	9.01068266727275e-10	9.01068266727275e-10	+1	270
GO:0044391	ribosomal subunit	2.36019711875624e-08	2.36019711875624e-08	+1	47
GO:0098798	mitochondrial protein-containing complex	1.21366234269325e-07	1.21366234269325e-07	+1	62
GO:0031982	vesicle	2.40007119138778e-07	2.40007119138778e-07	+1	453
GO:1902494	catalytic complex	4.994005428013e-07	4.994005428013e-07	+1	228
GO:0005761	mitochondrial ribosome	1.95886221889857e-06	1.95886221889857e-06	+1	27
GO:0000313	organellar ribosome	1.95886221889857e-06	1.95886221889857e-06	+1	27
GO:0005794	Golgi apparatus	1.789535207057e-05	1.789535207057e-05	+1	205
GO:0070062	extracellular exosome	1.99226118830013e-05	1.99226118830013e-05	+1	254
GO:0015934	large ribosomal subunit	2.09897975137625e-05	2.09897975137625e-05	+1	30
GO:0005762	mitochondrial large ribosomal subunit	3.52760864956568e-05	3.52760864956568e-05	+1	19
GO:0000315	organellar large ribosomal subunit	3.52760864956568e-05	3.52760864956568e-05	+1	19
GO:1903561	extracellular vesicle	3.54611646938017e-05	3.54611646938017e-05	+1	255
GO:0043230	extracellular organelle	3.69191368656258e-05	3.69191368656258e-05	+1	255
GO:0065010	extracellular membrane-bounded organelle	3.69191368656258e-05	3.69191368656258e-05	+1	255
GO:0110165	cellular anatomical entity	6.37641909163175e-05	6.37641909163175e-05	+1	1921
GO:0031410	cytoplasmic vesicle	7.66219313401646e-05	7.66219313401646e-05	+1	291
GO:0097708	intracellular vesicle	9.17836032254047e-05	9.17836032254047e-05	+1	291
GO:0005768	endosome	0.000115981843491179	0.000115981843491179	+1	141
GO:0005925	focal adhesion	0.0020422536698618	0.0020422536698618	+1	65
GO:0030055	cell-substrate junction	0.00228739314882907	0.00228739314882907	+1	66
GO:0005635	nuclear envelope	0.00314025888388124	0.00314025888388124	+1	73
