GO.ID	Description	p.Val	FDR	Phenotype	Genes
CORUM:320	55S ribosome, mitochondrial	0.0463048243019254	0.0463048243019254	+1	23
GO:1901564	organonitrogen compound metabolic process	5.19394021618537e-25	5.19394021618537e-25	+1	742
GO:1901566	organonitrogen compound biosynthetic process	1.52700424764157e-18	1.52700424764157e-18	+1	275
GO:0019538	protein metabolic process	1.55691069500654e-14	1.55691069500654e-14	+1	590
GO:0006996	organelle organization	6.28393338734429e-14	6.28393338734429e-14	+1	457
GO:0043603	amide metabolic process	5.40159573897144e-13	5.40159573897144e-13	+1	191
GO:0006518	peptide metabolic process	2.25998424138152e-10	2.25998424138152e-10	+1	149
GO:0048518	positive regulation of biological process	2.41846134434607e-10	2.41846134434607e-10	+1	696
GO:0051649	establishment of localization in cell	4.48046104652765e-10	4.48046104652765e-10	+1	268
GO:0048522	positive regulation of cellular process	6.13580030607883e-10	6.13580030607883e-10	+1	643
GO:0044271	cellular nitrogen compound biosynthetic process	1.49291845570533e-09	1.49291845570533e-09	+1	556
GO:0043043	peptide biosynthetic process	1.68959074537197e-09	1.68959074537197e-09	+1	127
GO:0043604	amide biosynthetic process	2.26755680547221e-09	2.26755680547221e-09	+1	143
GO:0006412	translation	2.35438448187318e-09	2.35438448187318e-09	+1	123
GO:0046907	intracellular transport	2.59075133111576e-08	2.59075133111576e-08	+1	195
GO:0140053	mitochondrial gene expression	2.61473670843553e-08	2.61473670843553e-08	+1	44
GO:0006810	transport	4.42520125903209e-08	4.42520125903209e-08	+1	500
GO:0019637	organophosphate metabolic process	8.30363726067946e-08	8.30363726067946e-08	+1	155
GO:1901135	carbohydrate derivative metabolic process	1.15971054790692e-07	1.15971054790692e-07	+1	161
GO:0032543	mitochondrial translation	2.11654485780805e-07	2.11654485780805e-07	+1	37
GO:0042254	ribosome biogenesis	5.27885887254596e-07	5.27885887254596e-07	+1	65
GO:0051179	localization	6.40855448849793e-07	6.40855448849793e-07	+1	605
GO:0044281	small molecule metabolic process	6.61808711275821e-07	6.61808711275821e-07	+1	237
GO:0034470	ncRNA processing	1.86576952002037e-06	1.86576952002037e-06	+1	79
GO:0043412	macromolecule modification	2.80863044237383e-06	2.80863044237383e-06	+1	382
GO:0006793	phosphorus metabolic process	9.85386498090829e-06	9.85386498090829e-06	+1	312
GO:0051128	regulation of cellular component organization	1.27727800932944e-05	1.27727800932944e-05	+1	294
GO:0051234	establishment of localization	1.34159118496362e-05	1.34159118496362e-05	+1	535
GO:0006796	phosphate-containing compound metabolic process	1.77877827015333e-05	1.77877827015333e-05	+1	308
GO:0090407	organophosphate biosynthetic process	2.02442994785029e-05	2.02442994785029e-05	+1	96
GO:0051641	cellular localization	2.0573372182214e-05	2.0573372182214e-05	+1	412
GO:0007005	mitochondrion organization	2.43176604300591e-05	2.43176604300591e-05	+1	83
GO:0009056	catabolic process	3.20475994060703e-05	3.20475994060703e-05	+1	305
GO:0006091	generation of precursor metabolites and energy	3.42739643812717e-05	3.42739643812717e-05	+1	85
GO:0034660	ncRNA metabolic process	3.44863586570109e-05	3.44863586570109e-05	+1	100
GO:0071702	organic substance transport	4.66785291203213e-05	4.66785291203213e-05	+1	284
GO:0071705	nitrogen compound transport	4.95073139436852e-05	4.95073139436852e-05	+1	238
GO:0006417	regulation of translation	7.22153737422273e-05	7.22153737422273e-05	+1	67
GO:1901137	carbohydrate derivative biosynthetic process	9.2491863587126e-05	9.2491863587126e-05	+1	101
GO:0016192	vesicle-mediated transport	0.00011860228135209	0.00011860228135209	+1	198
GO:0044248	cellular catabolic process	0.000154330400671986	0.000154330400671986	+1	203
GO:0055086	nucleobase-containing small molecule metabolic process	0.000162010703961518	0.000162010703961518	+1	102
GO:0007049	cell cycle	0.000220547558549317	0.000220547558549317	+1	225
GO:0034248	regulation of amide metabolic process	0.000261416873177415	0.000261416873177415	+1	73
GO:0006753	nucleoside phosphate metabolic process	0.000328165939786332	0.000328165939786332	+1	93
GO:0009117	nucleotide metabolic process	0.000342405028787137	0.000342405028787137	+1	92
GO:0006364	rRNA processing	0.000347251749616954	0.000347251749616954	+1	45
GO:0016072	rRNA metabolic process	0.000443253867617546	0.000443253867617546	+1	50
