GO.ID	Description	p.Val	FDR	Phenotype	Genes
GO:0009056	catabolic process	9.12845302122595e-15	9.12845302122595e-15	+1	268
GO:1901564	organonitrogen compound metabolic process	1.23161613145466e-14	1.23161613145466e-14	+1	518
GO:0019538	protein metabolic process	2.91968974720038e-10	2.91968974720038e-10	+1	423
GO:1901575	organic substance catabolic process	5.56094901737443e-09	5.56094901737443e-09	+1	209
GO:0044248	cellular catabolic process	1.3202184348885e-08	1.3202184348885e-08	+1	170
GO:0006996	organelle organization	1.78922716532409e-07	1.78922716532409e-07	+1	317
GO:0009057	macromolecule catabolic process	5.34344538627039e-07	5.34344538627039e-07	+1	143
GO:0048518	positive regulation of biological process	4.89909650780411e-06	4.89909650780411e-06	+1	491
GO:0048522	positive regulation of cellular process	7.48067547535124e-06	7.48067547535124e-06	+1	454
GO:1901566	organonitrogen compound biosynthetic process	7.4956966699907e-06	7.4956966699907e-06	+1	172
GO:0043603	amide metabolic process	8.14668590257905e-06	8.14668590257905e-06	+1	127
GO:1901565	organonitrogen compound catabolic process	1.08421147047448e-05	1.08421147047448e-05	+1	143
GO:0044281	small molecule metabolic process	2.17660260611279e-05	2.17660260611279e-05	+1	174
GO:0006518	peptide metabolic process	4.70837614320298e-05	4.70837614320298e-05	+1	101
GO:0030163	protein catabolic process	7.60119460555652e-05	7.60119460555652e-05	+1	105
GO:0080090	regulation of primary metabolic process	0.000106402542221395	0.000106402542221395	+1	438
GO:0043412	macromolecule modification	0.000162398454567491	0.000162398454567491	+1	276
GO:0031329	regulation of cellular catabolic process	0.000194632643207405	0.000194632643207405	+1	80
GO:0051171	regulation of nitrogen compound metabolic process	0.000197232286272766	0.000197232286272766	+1	426
GO:0006914	autophagy	0.00026860060137448	0.00026860060137448	+1	70
GO:0061919	process utilizing autophagic mechanism	0.00026860060137448	0.00026860060137448	+1	70
GO:0009894	regulation of catabolic process	0.000758863279382646	0.000758863279382646	+1	106
GO:0051603	proteolysis involved in protein catabolic process	0.00122514686081414	0.00122514686081414	+1	81
GO:0046907	intracellular transport	0.00140826112488174	0.00140826112488174	+1	132
GO:0036211	protein modification process	0.00143450613186318	0.00143450613186318	+1	254
GO:0043632	modification-dependent macromolecule catabolic process	0.00198859153395487	0.00198859153395487	+1	71
GO:0006511	ubiquitin-dependent protein catabolic process	0.00229935761677001	0.00229935761677001	+1	69
GO:0006629	lipid metabolic process	0.00274003408691044	0.00274003408691044	+1	132
GO:0051179	localization	0.00397056790715119	0.00397056790715119	+1	422
GO:0019941	modification-dependent protein catabolic process	0.0041715109176597	0.0041715109176597	+1	69
GO:0043604	amide biosynthetic process	0.00723056186884157	0.00723056186884157	+1	91
GO:0043043	peptide biosynthetic process	0.00753461314741696	0.00753461314741696	+1	80
GO:0006749	glutathione metabolic process	0.00897916773967676	0.00897916773967676	+1	14
GO:0051246	regulation of protein metabolic process	0.0170303943265559	0.0170303943265559	+1	181
GO:0042157	lipoprotein metabolic process	0.0184352104231509	0.0184352104231509	+1	22
GO:0032446	protein modification by small protein conjugation	0.0189850659292283	0.0189850659292283	+1	87
GO:0016236	macroautophagy	0.0203790657831022	0.0203790657831022	+1	42
GO:0007005	mitochondrion organization	0.020550927917386	0.020550927917386	+1	57
GO:0033036	macromolecule localization	0.0217240963652451	0.0217240963652451	+1	259
GO:0010498	proteasomal protein catabolic process	0.021832710277846	0.021832710277846	+1	57
GO:1901361	organic cyclic compound catabolic process	0.0234240875712506	0.0234240875712506	+1	67
GO:0007033	vacuole organization	0.0258287282922164	0.0258287282922164	+1	33
GO:0044255	cellular lipid metabolic process	0.0261202847487386	0.0261202847487386	+1	98
GO:0051248	negative regulation of protein metabolic process	0.0273071551106656	0.0273071551106656	+1	79
GO:0051649	establishment of localization in cell	0.0316783301648471	0.0316783301648471	+1	170
GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	0.0359785677875782	0.0359785677875782	+1	48
GO:0042254	ribosome biogenesis	0.0372649485777477	0.0372649485777477	+1	41
GO:0006412	translation	0.0373461705196736	0.0373461705196736	+1	75
GO:0000455	enzyme-directed rRNA pseudouridine synthesis	0.0412853319340549	0.0412853319340549	+1	4
GO:0043484	regulation of RNA splicing	0.0413728823302492	0.0413728823302492	+1	28
